"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",26.28375,"Up",11007300,-920600,10086700,-4747800,-4747800,5338900,-267800,-267800,5071100,4740400,-2050400,2690000,2690000,2690000,2690000,5359919.09616923,5109200.41466742,1030164.05613795,1030164.05613795,202841.832950795,23151831.8869998,1400727.38206132,21261370.1534677,29744756.8722578,1782891.61955797,14672321.3651898,685038.992648082,17140251.9773959,46885008.8496536,4251593.35711549,-787318.960032125,447325.124373873,637660.505800124,22267683.3931481,-521646.473048414,27156937.2560637,1307855.36033729,703740.207479204,2790982.49044784,1325784.82362999,28482722.0796937,18444847.9120106,18402286.7699599,18402286.7699599,46885008.8496536,2690000,114100,369400,-2007400,1166100,-4040200,4754100,984600,-100400,-10516700,0,0,-10617100,-8466400,-8466400,-8466400,5453000,0,1455800,0.91636,0.48503,0.24438,0.119314848878377,0.0329702984840776,0.54119,0.402750796664324,1.38562199281504,0.0140597079528917,0.53673,0.51487,2.19625,3.60027891988136,0.29047,0.02003,0.280145472024114,0.8710611210253,0.03732,-0.886585995419769,-0.905833629978658
"2","2011_Q1",28.6035483870968,"Up",10474400,-319300,10155100,-4777000,-4777000,5378100,-174000,-174000,5204100,5220800,-2101600,3119200,3119200,3119200,3119200,2418100,2257100,1841300,1841300,85900,14534000,382600,13856700,18879300,1785900,20776300,680500,23242700,42122000,2787800,1274200,1513600,530400,11966000,1041700,15284200,3798300,767600,2374900,3824800,19109000,22499300,23013000,23013000,42122000,3119200,114100,756000,640000,4629300,-2968700,4824100,2027200,-100200,-6600000,182300,249800,-6568800,87700,87700,87700,5492200,556900,5265100,0.96952,0.51345,0.29779,0.13554,0.07405,1.68796,1.23522,0.83036,0.01322,0.61828,0.59862,2.0762,4.56155,1.04363,0.01986,0.11763,0.19238,0.03212,-0.33888,-0.34607
"3","2011_Q2",31.6663492063492,"Up",11104900,-482900,10622000,-5364600,-5364600,5257400,-13900,-13900,5243500,5121100,-2094800,3026300,3026300,3026300,3026300,961426.967943591,912099.861777525,1935220.31462068,1935220.31462068,45269.3890164016,11892539.3710001,142324.205979561,11623326.6155108,14834456.0425807,1737411.12681401,22697117.8782701,678237.002450639,25112766.0075347,39947222.0501155,3903693.8809615,2063997.98667738,2102941.62520871,372846.498066625,5884247.20228396,1531557.1576828,10160787.5813121,4024173.2132209,802944.930840265,2042697.50318405,4046955.05879,14207742.6401021,25378784.0293298,25739479.4100134,25739479.4100134,39947222.0501155,3026300,120500,398400,4159600,7704800,-4752400,4405700,-186300,-99800,-5300000,-2078000,421300,-7408000,110500,110500,110500,5377900,0,6879900,0.95651,0.47343,0.27252,0.132853383707208,0.0873799005053075,2.27337,1.55131640111189,0.542212669061653,0.00984176401570276,0.60652,0.58025,2.22561,5.14248536003955,1.37885,0.02,0.0597081759919621,-0.0116278736751002,0.03298,-0.0988705015267438,-0.100963790007114
"4","2011_Q3",36.53484375,"Up",15224800,-794200,14430600,-8370600,-8370600,6060000,-13000,-13000,6047000,5675300,-2275100,3400200,3400200,3400200,3400200,1043400,1036000,1643700,1643700,50300,12550800,324100,12226700,15288200,1655900,22217100,677500,24550500,39838700,5765500,2039300,2276700,203600,3491500,1402400,9460600,3274800,819800,1799200,3284100,12744700,27094600,27094000,27094000,39838700,3400200,122200,485300,-437400,3570300,-6308100,6502600,-813900,-149400,-3500000,-506400,307800,-4088000,-1331600,-1331600,-1331600,6182200,212900,1711800,0.94784,0.39803,0.22333,0.1255,0.08535,0.50344,1.61599,0.47039,0.00534,0.68265,0.64896,3.05667,5.43963,0.34368,0.02999,0.11607,0.05597,0.04394,-0.13434,-0.13705
"5","2011_Q4",41.1353968253968,"Up",11773500,-631400,11142100,-4509500,-4509500,6632600,-35200,-35200,6597400,6092600,-2609100,3483500,3483500,3483500,3483500,4227500,3896500,1330300,1330300,68000,13519200,508900,13010300,19145000,1562500,21394400,677500,23634400,42779400,5944900,1689200,1992400,74900,3245300,1149000,9265100,3158400,830500,1672100,3160800,12425900,30426100,30353500,30353500,42779400,3483500,118900,728600,-179800,4151200,-4656300,4161500,-937000,-149200,0,-204500,9200,-353700,2860500,2860500,2860500,6751500,77300,4524500,0.94637,0.56335,0.29588,0.11476,0.08143,1.29884,2.06636,0.40937,0.00181,0.7009,0.66184,2.36889,6.10729,0.91035,0.03002,0.10815,0.1347,0.04283,-0.61471,-0.62573
"6","2012_Q1",51.2124193548387,"Up",13231800,-457900,12773900,-5919700,-5919700,6854200,-4999.99999999999,-5000,6849200,6492600,-2307600,4185000,4185000,4185000,4185000,10063900,9020100,1316200,1316200,68500,12225400,362000,11746900,23674000,1474800,21919400,677500,24071700,47745700,2806300,1460300,1346000,20800,4951900,1212400,7779000,4858000,844300,1658600,4858000,12637000,34461900,35108700,35108700,47745700,4185000,117500,3684000,-2825000,5161500,-4829600,5020600,-315600,-149200.000000001,0,315000,315000,277699.999999999,5123600,5123600,5123600,6971700,20800,1624700,0.96539,0.51801,0.31628,0.1192,0.08765,0.38822,3.04332,0.35994,0.00044,0.84109,0.79937,2.65931,7.05609,0.32653,0.0299900000000002,0.10839,0.04063,0.03565,-1.44055,-1.46525
"7","2012_Q2",46.5553968253968,"Down",11833400,-664300,11169100,-5375900,-5375900,5793200,-23500,-23500,5769700,5785300,-2269300,3516000,3516000,3516000,3516000,2093400,2093400,1282400,1282400,69100,11902700,437400,11465300,15347600,1384000,21876700,677500,23938200,39285800,3037900,1269800,1709900,13900,17246700,1376800,20298500,4963100,847300,1508700,4963100,25261600,12458400,14024200,14024200,39285800,3516000,114500,165400,736700,4532600,-4361700,4545500,1229600,-25519500,12100000,403200,403200,-12688900,-6926700,-6926700,-6926700,5907700,13900,4552000,0.94386,0.48956,0.29713,0.25071,0.0895,1.29465,0.7561,1.80129,0.00035,0.69583,0.66588,2.34188,2.77545,0.90086,5.05041,1.52809,0.23956,7.25811,-0.352,-0.35896
"8","2012_Q3",46.8055555555556,"Up",12192400,-633500,11558900,-5547300,-5547300,6011600,-132300,-132300,5879300,5653500,-2249100,3404400,3404400,3404400,3404400,2153900,2037300,1041900,1041900,84600,13026600,401100,11454500,16307000,1323500,24157300,677500,26158300,42465300,3439800,1252300,2187500,403200,18200300,1635600,22043300,4993600,882800,1503700,5536500,27579800,14883300,14885500,14885500,42465300,3404400,104900,426300,-177600,3758000,-6620300,4020600,-2712700,-202600,1675900,-2574700,0,-1101400,-56100,-56100,-56100,6116500,946100,1567700,0.94804,0.49306,0.27922,0.22871,0.08017,0.46049,0.73977,1.8528,0.02228,0.6733,0.64621,2.41133,2.94396,0.31005,0.04007,0.1732,0.07528,0.0595099999999995,-0.19747,-0.20091
"9","2012_Q4",47.0127419354839,"Up",14799100,-684400,14114700,-5652900,-5652900,8461800,-95900,-95900,8365900,7334600,-3075100,4259500,4259500,4259500,4259500,2339600,2249200,1164500,1164500,85300,11765900,573300,10764800,15355300,1229700,25879500,677500,27786700,43142000,3955200,1511300,2443900,570100,15937600,1583400,20462900,4935100,923800,1424800,5593700,26056600,17086600,17085400,17085400,43142000,4259500,107200,1096700,918200,6381600,-6471900,4236100,-2210600,-200500,-1657300,-2127200,191700,-3959100,211900,211900,211900,8569000,1228700,6090400,0.95375,0.57178,0.28782,0.24931,0.09873,1.42984,0.7504,1.52508,0.02848,0.84955,0.81557,2.95166,3.40766,1.21472,0.03999,0.19183,0.26196,0.04707,-0.12964,-0.13128
"10","2013_Q1",53.2005,"Up",13118200,-639300,12478900,-5494000,-5494000,6984900,-74600,-74600,6910300,4382100,-2624100,1758000,1758000,1758000,1758000,2319300,2233400,1237100,1237100,71200,15307100,445200,13461200,18934700,1229500,22697100,677500,24604100,43538800,3624800,2203700,1421100,896800,15991600,1641700,20513200,4919700,953000,1372400,5097600,25610800,17932000,17928000,17928000,43538800,1758000,106700,2418700,-783300,3500100,-6527200,4084500,-2456100,-199800,1e+05,-1491000,835700,-1059800,-15799.9999999998,-15799.9999999998,-15799.9999999998,7091600,1074700,2405200,0.95127,0.53246,0.13401,0.09806,0.04038,1.36815,0.92305,1.42854,0.02468,0.35252,0.33941,2.63049,3.59497,0.4823,0.0400600000000002,0.08184,0.10054,0.11365,-0.1755,-0.17818
