"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",38.0804761904762,"Up",328600000,-88100000,240500000,-110800000,-82800000,-2.8e+07,129700000,4100000,4100000,133800000,133800000,-48500000,85300000,85300000,85300000,85300000,743400000,313600000,429800000,180200000,180200000,68500000,27400000,20100000,1019500000,132900000,652100000,212100000,52400000,110700000,48400000,997100000,2016600000,70500000,34400000,36100000,103300000,103300000,173800000,72800000,72800000,72800000,246600000,1170800000,5.97e+08,2200000,1.77e+09,1.77e+09,2016600000,85300000,9500000,26900000,-6100000,115600000,-16200000,-131400000,-147600000,92500000,32200000,124700000,92700000,92700000,-5e+05,92200000,139200000,0,165400000,0.73189,0.3947,0.25959,0.04819,0.0423,1.93904,5.86594,0.13932,0,0.24427,0.23577,0.94101,5.06873,0.47365,100.05627068703,0.04629,0.08975,-5.34052,-5.73169
"2","2010_Q3",34.05734375,"Down",350700000,-93900000,256800000,-117100000,-88600000,-28500000,139700000,4500000,4500000,144200000,144200000,-55500000,88700000,88700000,88700000,88700000,967900000,4.2e+08,547900000,194700000,194700000,7.4e+07,27500000,20300000,1264100000,144400000,620300000,214300000,49800000,110700000,53200000,9.79e+08,2243100000,135700000,41600000,94100000,107600000,107600000,243300000,75400000,75400000,75400000,318700000,1.238e+09,685700000,7e+05,1924400000,1924400000,2243100000,88700000,9800000,24400000,52600000,175500000,-20300000,-86300000,-106600000,23400000,14700000,38100000,1.07e+08,1.07e+08,-6e+05,106400000,149500000,0,237300000,0.73225,0.39835,0.25292,0.04609,0.03954,2.67531,5.19564,0.16561,0,0.25014,0.24275,0.989,5.42696,0.6692,49.6966776997495,0.04435,0.11866,-6.47425,-6.92842
"3","2010_Q4",29.766875,"Down",344400000,-93800000,250600000,-118500000,-91600000,-26900000,132100000,5e+06,5e+06,137100000,137100000,-50500000,86600000,86600000,86600000,86600000,980900000,3.82e+08,598900000,207900000,207900000,8.5e+07,27700000,20300000,1301500000,156600000,639700000,2.54e+08,70600000,116900000,65200000,1050300000,2351800000,150500000,35700000,114800000,116800000,116800000,267300000,76200000,76200000,76200000,343500000,1287500000,720100000,7e+05,2008300000,2008300000,2351800000,86600000,10300000,17600000,-1500000,1.13e+08,-50100000,-69100000,-119200000,-41900000,9400000,-32500000,-38700000,-38700000,7e+05,-3.8e+07,142400000,0,141300000,0.72764,0.38357,0.25145,0.04312,0.03682,1.63164,4.86906,0.17104,0,0.24422,0.23817,0.97124,5.66356,0.39848,20.011254137406,0.04154,0.06779,-6.88834,-7.42544
"4","2011_Q1",35.5316129032258,"Up",389300000,-107200000,282100000,-128400000,-95800000,-32600000,153700000,3500000,3500000,157200000,157200000,-3.6e+07,121200000,121200000,121200000,121200000,910400000,279800000,630600000,246800000,246800000,86800000,31800000,23300000,1275800000,159800000,698500000,256300000,66100000,116900000,73300000,1114600000,2390400000,147700000,35600000,112100000,126100000,126100000,273800000,79200000,79200000,79200000,3.53e+08,1316900000,718900000,1600000,2037400000,2037400000,2390400000,121200000,10800000,37700000,-2.8e+07,141700000,-9400000,-111500000,-120900000,-131500000,8900000,-122600000,-101800000,-101800000,-4e+05,-102200000,164500000,0,163100000,0.72463,0.39481,0.31133,0.05949,0.0507,1.34571,4.65961,0.17326,0,0.34354,0.33667,1.10346,5.77494,0.4623,6,0.05726,0.07706,-5.53435,-5.92323
"5","2011_Q2",39.1692063492063,"Up",388100000,-109300000,278800000,-130500000,-99100000,-31400000,148300000,5300000,5300000,153600000,153600000,-49500000,104100000,104100000,104100000,104100000,1089800000,449800000,6.4e+08,259900000,259900000,93300000,40600000,32200000,1483600000,162600000,667200000,254900000,72500000,116900000,65500000,1084700000,2568300000,1.22e+08,43200000,78800000,130300000,130300000,252300000,85100000,85100000,85100000,337400000,1419600000,8.12e+08,-7e+05,2230900000,2230900000,2568300000,104100000,11300000,43300000,-53300000,105400000,-14700000,16900000,2200000,47900000,13700000,61600000,169200000,169200000,8e+05,1.7e+08,159600000,0,141100000,0.71837,0.38212,0.26823,0.04666,0.04053,1.35543,5.8803,0.15124,0,0.29582,0.28773,1.10287,6.33959,0.40097,2.66291528753132,0.04495,0.06092,-6.82832,-7.34862
"6","2011_Q3",41.1634375,"Up",425700000,-119100000,306600000,-138500000,-106500000,-3.2e+07,168100000,4100000,4100000,172200000,172200000,-54800000,117400000,117400000,117400000,117400000,993900000,3.82e+08,611900000,250300000,250300000,100100000,2.1e+07,1.7e+07,1365300000,194200000,828100000,262300000,68100000,116900000,77300000,1284600000,2649900000,139700000,37500000,102200000,134300000,134300000,2.74e+08,87400000,87400000,87400000,361400000,1487400000,798500000,2600000,2288500000,2288500000,2649900000,117400000,11200000,31100000,41200000,200900000,-38500000,-133500000,-1.72e+08,-107400000,10700000,-96700000,-67800000,-67800000,0,-67800000,179300000,0,236800000,0.72023,0.39488,0.27578,0.0513,0.0443,2.01704,4.98285,0.15792,0,0.33192,0.32449,1.20356,6.47017,0.66949,5,0.04941,0.09967,-5.54322,-5.91255
"7","2011_Q4",46.9879365079365,"Up",446700000,-121200000,325500000,-146600000,-111200000,-35400000,178900000,1900000,1900000,180800000,180800000,-58400000,122400000,122400000,122400000,122400000,910600000,298200000,612400000,265100000,265100000,108600000,27600000,22800000,1311900000,1.96e+08,976700000,261400000,75400000,116900000,69100000,1434100000,2.746e+09,140400000,43200000,97200000,143700000,143700000,284100000,92900000,92900000,92900000,3.77e+08,1616800000,750700000,1500000,2.369e+09,2.369e+09,2.746e+09,122400000,11500000,42900000,-19200000,157600000,-14500000,-156300000,-170800000,-90700000,20500000,-70200000,-83400000,-83400000,-4e+05,-83800000,190400000,0,215100000,0.72868,0.40049,0.27401,0.05167,0.04457,1.75735,4.61774,0.15914,0,0.34694,0.33831,1.26616,6.71485,0.60969,7,0.04972,0.08737,-4.78256,-5.08999
"8","2012_Q1",55.2120967741935,"Up",496800000,-133900000,362900000,-163400000,-1.22e+08,-41400000,199500000,3600000,3600000,203100000,203100000,-51900000,151200000,151200000,151200000,151200000,1029200000,465800000,563400000,297900000,297900000,112100000,27100000,20900000,1466300000,197200000,1142600000,2.57e+08,7.1e+07,116900000,69100000,1596800000,3063100000,166400000,45800000,120600000,154200000,154200000,320600000,96900000,96900000,96900000,417500000,1742800000,901900000,9e+05,2645600000,2645600000,3063100000,151200000,12500000,38600000,11400000,213700000,-15200000,-123200000,-138400000,7.9e+07,13900000,92900000,168200000,168200000,-6e+05,167600000,2.12e+08,0,260100000,0.73048,0.40157,0.30435,0.05715,0.04936,1.72024,4.57361,0.15781,0,0.42857,0.41791,1.40816,7.49887,0.73724,4,0.05513,0.09484,-4.85472,-5.1589
"9","2012_Q2",60.6444444444444,"Up",495200000,-139300000,355900000,-162600000,-124200000,-38400000,193300000,3800000,3800000,197100000,197100000,-53600000,143500000,143500000,143500000,143500000,971300000,325900000,645400000,299700000,299700000,118800000,46300000,39900000,1436100000,210100000,1399700000,2.87e+08,81400000,138100000,67500000,1896800000,3332900000,153100000,49800000,103300000,160500000,160500000,313600000,9.2e+07,9.2e+07,9.2e+07,405600000,1880400000,1045400000,1500000,2927300000,2927300000,3332900000,143500000,13300000,4e+07,-31800000,1.65e+08,-48300000,-359900000,-408200000,82900000,20200000,103100000,-140100000,-140100000,2e+05,-139900000,206600000,0,180100000,0.7187,0.39035,0.28978,0.04902,0.04306,1.25505,4.5794,0.13856,0,0.40366,0.38889,1.39297,8.23432,0.50661,5,0.04753,0.05965,-4.70136,-5.02483
"10","2012_Q3",56.4852380952381,"Down",536500000,-150100000,386400000,-161100000,-120900000,-40200000,225300000,4e+06,4e+06,229300000,229300000,-74400000,154900000,154900000,154900000,154900000,1212500000,484400000,728100000,323200000,323200000,119400000,48200000,40800000,1703300000,216100000,1418700000,2.88e+08,75300000,138100000,74600000,1922800000,3626100000,178600000,54600000,1.24e+08,168200000,168200000,346800000,96900000,96900000,96900000,443700000,1.993e+09,1185800000,3600000,3182400000,3182400000,3626100000,154900000,13900000,36800000,5200000,210800000,-8100000,-108800000,-116900000,40400000,24500000,64900000,158800000,158800000,-3e+05,158500000,239200000,0,310700000,0.72022,0.41994,0.28872,0.04867,0.04272,2.00581,4.91148,0.13942,0,0.43136,0.41775,1.49401,8.86216,0.86522,3,0.04724,0.09475,-5.06898,-5.38171
