"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",32.3298412698413,"Up",7.776e+09,-5.858e+09,1.918e+09,-1.111e+09,-1.111e+09,8.07e+08,-1.05e+08,-1.07e+08,2e+06,7.02e+08,7.02e+08,-2.06e+08,4.96e+08,4.96e+08,-7e+06,4.89e+08,4.89e+08,2.851e+09,2.851e+09,6.184e+09,3.568e+09,1.73e+09,7.06e+08,1.4333e+10,4.697e+09,5.86e+08,1.641e+10,1.0362e+10,2.114e+09,1.973e+09,1.961e+09,2.1693e+10,3.6026e+10,9.786e+09,3.553e+09,6.233e+09,1.315e+09,1.1101e+10,6.246e+09,9.575e+09,1.547e+09,1.547e+09,5.7e+08,7.458e+09,1.5821e+10,2.6922e+10,4.817e+09,-8.922e+09,1.7635e+10,-4.543e+09,8.987e+09,1.17e+08,9.104e+09,3.6026e+10,4.89e+08,2.33e+08,4.4e+07,4.8e+07,7.2e+07,-7.6e+07,-2.3e+07,9e+07,-1.22e+08,-8e+07,8.9e+07,7.43e+08,-6.9e+07,1e+06,1e+06,-7e+07,-7e+07,-2.96e+08,0,-2.96e+08,-1.6e+07,-3.81e+08,-2.31e+08,-5.2e+07,9.49e+08,-1.001e+09,-1.001e+09,0,3.2e+07,3.2e+07,0,2e+06,-2.49e+08,1.13e+08,1.13e+08,-6.3e+07,5e+07,1.04e+09,7.561e+09,1.154e+09,0.24666,0.10378,0.06289,0.05371,0.01357,2.35992,1.29114,2.95716,0.20988,0.60734,0.60734,9.65777,11.16183,1.43326,0.2869,0.02744,0.04398,0.47239,4.52885,5.83643
"2","2010_Q3",31.0303125,"Down",7.686e+09,-5.776e+09,1.91e+09,-1.089e+09,-1.089e+09,8.21e+08,-8.2e+07,-9.1e+07,8999999.99999999,7.39e+08,7.39e+08,-1.99e+08,5.4e+08,5.74e+08,-8e+06,5.66e+08,5.66e+08,2804336507.29778,2804336507.2978,6903253495.0074,4228587322.96058,888599154.656267,772223753.693226,14824776479.922,4776739073.53212,539668664.350333,17995080972.9757,11621691674.0897,2680931286.74759,1704053533.12543,1988404479.01292,23311488710.8581,38136265190.7802,10383628967.074,3853588142.94984,6530040824.12417,1141295098.55952,11306547434.4343,6979874399.39752,9667492521.26932,1516951271.45727,1516951271.45727,797932149.274754,7352609100.53729,16647366920.6668,27953914355.1012,4848400958.91882,-8562270895.6328,20541605952.0037,-6788549796.38047,10039186218.9092,143164616.769788,10182350835.679,38136265190.7802,5.66e+08,2.41e+08,3.83e+08,3.4e+07,4.15e+08,-6.6e+07,-1e+08,-2.78e+08,-9e+06,1.77e+08,9999999.99999994,1.09e+09,-1.14e+08,1e+06,1e+06,-1.15e+08,-1.15e+08,-4999999.99999994,1e+07,-14999999.9999999,4000000.00000001,-1.111e+09,-2.33e+08,-87000000.0000001,-86999999.9999999,0,0,0,2.3e+07,2.3e+07,0,2e+06,-2.95e+08,-3.16e+08,-3.16e+08,-8.4e+07,-4e+08,1.062e+09,1.9073486328125e-06,1.047e+09,0.2485,0.10682,0.07364,0.0826180484442686,0.0225277626467056,1.84982,1.31105392013676,2.76119365965419,0.213299282234177,0.69791,0.69791,9.47722,12.4151172014717,1.291,0.2873,0.0397196080391754,0.0410867986381805,0.41166,3.49200720694751,3.27165908363259
"3","2010_Q4",36.57375,"Up",8.139e+09,-6.17e+09,1.969e+09,-1.129e+09,-1.129e+09,8.4e+08,-1.8e+07,-9.6e+07,7.8e+07,8.22e+08,8.22e+08,-2.45e+08,5.77e+08,5.96e+08,2e+06,5.98e+08,5.98e+08,2.64e+09,2.64e+09,6.916e+09,4.027e+09,1.58e+09,5.93e+08,1.5163e+10,4.738e+09,6.01e+08,1.7617e+10,1.1529e+10,2.711e+09,1.411e+09,1.966e+09,2.2956e+10,3.8119e+10,1.0561e+10,4.059e+09,6.502e+09,9.85e+08,1.1546e+10,6.265e+09,9.842e+09,1.494e+09,1.494e+09,7.45e+08,7.603e+09,1.6107e+10,2.7653e+10,4.887e+09,-8.405e+09,1.813e+10,-4.282e+09,1.033e+10,1.36e+08,1.0466e+10,3.8119e+10,5.98e+08,2.42e+08,5.6e+08,3.6e+07,2.01e+08,3.23e+08,-7.5e+07,-3.81e+08,-2.25e+08,2.32e+08,2.99e+08,1.325e+09,-1.6e+08,6e+06,6e+06,-1.66e+08,-1.66e+08,-4e+07,8.4e+07,-1.24e+08,3.4e+07,-4.88e+08,-2.4e+08,-5.74e+08,-2.45e+08,-3.29e+08,-3.29e+08,0,5.6e+07,5.6e+07,0,1e+06,-7.57e+08,8e+07,8e+07,1.09e+08,1.89e+08,1.082e+09,7.25e+09,1.092e+09,0.24192,0.10321,0.07347,0.05714,0.01569,1.82609,1.31327,2.64217,0.19019,0.73218,0.73218,9.96528,12.64791,1.33703,0.29385,0.03041,0.03963,0.40134,4.26063,5.4881
"4","2011_Q1",42.0903225806452,"Up",8.749e+09,-6.917e+09,1.832e+09,-1.289e+09,-1.289e+09,5.43e+08,-8.4e+07,-9.2e+07,8000000.00000001,4.59e+08,4.59e+08,-1.15e+08,3.44e+08,3.69e+08,0,3.69e+08,3.69e+08,2.65e+09,2.65e+09,6.841e+09,3.822e+09,2.173e+09,4.55e+08,1.5486e+10,4.724e+09,6.16e+08,1.7008e+10,1.1275e+10,2.537e+09,1.221e+09,1.975e+09,2.2348e+10,3.7834e+10,1.0645e+10,4.199e+09,6.446e+09,8.89e+08,1.1724e+10,5.755e+09,9.568e+09,1.477e+09,1.477e+09,6.36e+08,7.455e+09,1.5323e+10,2.7047e+10,4.935e+09,-8.299e+09,1.5097e+10,-1.067e+09,1.0666e+10,1.21e+08,1.0787e+10,3.7834e+10,3.69e+08,2.71e+08,8.1e+07,3.3e+07,1.9e+08,-1.42e+08,3.24e+08,-1.19e+08,5.6e+07,2.63e+08,1.24e+08,1.045e+09,-2.94e+08,6e+06,6e+06,-3e+08,-3e+08,-1.49011611938477e-08,1.8e+07,-1.8e+07,-1.7e+07,-2.89e+08,-2.4e+08,-5.98e+08,-5.96e+08,-2e+06,-1999999.99999994,0,8.4e+07,8.4e+07,3.72529029846191e-09,8e+06,-7.46e+08,9999999.99999994,9999999.99999994,0,1e+07,8.14e+08,6.644e+09,9.59e+08,0.2094,0.06206,0.04218,0.03421,0.00975,2.59892,1.32088,2.50737,0.17561,0.44666,0.44666,10.59039,12.91086,1.16084,0.29051,0.02256,0.03552,0.65041,4.90663,7.35543
"5","2011_Q2",44.1131746031746,"Up",8.672e+09,-6.424e+09,2.248e+09,-1.232e+09,-1.232e+09,1.016e+09,-7e+07,-9.9e+07,2.9e+07,9.46e+08,9.46e+08,-2.56e+08,6.9e+08,7.08e+08,-3e+06,7.05e+08,7.05e+08,3.076e+09,3.076e+09,7.201e+09,4.29e+09,1.464e+09,5.82e+08,1.6031e+10,4.832e+09,4.76e+08,1.7563e+10,1.1805e+10,2.456e+09,1.232e+09,2.07e+09,2.2871e+10,3.8902e+10,1.0895e+10,4.308e+09,6.587e+09,8.75e+08,1.177e+10,6.763e+09,8.559e+09,1.461e+09,1.461e+09,6.71e+08,6.427e+09,1.5322e+10,2.7092e+10,4.994e+09,-8.155e+09,1.5538e+10,-6.87e+08,1.169e+10,1.2e+08,1.181e+10,3.8902e+10,7.05e+08,2.42e+08,-8.04e+08,3.6e+07,6.8e+07,-9.08e+08,-5.86e+08,-1.72e+08,-3.3e+08,-4e+06,-8e+07,-4.43e+08,-1.23e+08,1e+06,1e+06,-1.24e+08,-1.24e+08,-1.02e+08,6.2e+07,-1.64e+08,3.1e+07,1.6e+07,-2.64e+08,9.36e+08,-8e+06,9.44e+08,-4.37e+08,1.381e+09,1.01e+08,1.01e+08,-225008557.528139,1.3e+07,7.86e+08,3.59e+08,3.59e+08,6.7e+07,4.26e+08,1.258e+09,7.638e+09,8.05e+08,0.25923,0.11716,0.0813,0.0597,0.01812,1.14184,1.36202,2.29399,0.19634,0.84707,0.84707,10.41955,14.04572,0.96722,0.3172,0.0346,0.02874,0.37447,3.62639,4.49016
"6","2011_Q3",37.3328125,"Down",9.086e+09,-6.664e+09,2.422e+09,-1.248e+09,-1.248e+09,1.174e+09,-7.4e+07,-9.6e+07,2.2e+07,1.1e+09,1.1e+09,-3.04e+08,7.96e+08,8.1e+08,4.65661287307739e-10,8.1e+08,8.1e+08,3.548e+09,3.548e+09,7.344e+09,4.197e+09,2.297e+09,5.45e+08,1.7386e+10,4.718e+09,5.16e+08,1.703e+10,1.1492e+10,2.347e+09,1.115e+09,2.076e+09,2.2264e+10,3.965e+10,1.0997e+10,4.442e+09,6.555e+09,9.32e+08,1.2111e+10,6.79e+09,8.565e+09,1.411e+09,1.411e+09,6.61e+08,6.493e+09,1.5355e+10,2.7466e+10,5.047e+09,-8.524e+09,1.6085e+10,-5.36e+08,1.2072e+10,1.12e+08,1.2184e+10,3.965e+10,8.1e+08,2.36e+08,8.7e+07,2.5e+07,9e+07,-27999999.9999999,5e+06,-3.65e+08,-5.9e+07,2.64e+08,1.65e+08,1.138e+09,-1.63e+08,2e+06,2e+06,-1.65e+08,-1.65e+08,4.9e+07,1.14e+08,-6.5e+07,2.7e+07,-9e+07,-2.66e+08,58000000.0000002,5.7e+07,1e+06,-2e+06,3e+06,-4.05e+08,9.9e+07,-5.04e+08,1.7e+07,-5.96e+08,4.52e+08,4.52e+08,2e+07,4.72e+08,1.41e+09,7.722e+09,1.556e+09,0.26656,0.12921,0.08915,0.06648,0.02043,1.92099,1.43555,2.25427,0.19475,0.97372,0.97372,10.92245,14.51198,1.8705,0.31976,0.03779,0.05465,0.3284,2.96028,3.55537
"7","2011_Q4",39.4134920634921,"Up",9.298e+09,-7.033e+09,2.265e+09,-1.303e+09,-1.303e+09,9.62e+08,-6.9e+07,-9e+07,2.1e+07,8.93e+08,8.93e+08,-2.07e+08,6.86e+08,8.63e+08,-1e+06,8.62e+08,8.62e+08,3.885e+09,3.885e+09,7.316e+09,4.369e+09,1.474e+09,6.07e+08,1.7044e+10,4.725e+09,4.65e+08,1.7211e+10,1.1645e+10,2.376e+09,1.056e+09,2.134e+09,2.2401e+10,3.9445e+10,1.1584e+10,4.57e+09,7.014e+09,1.275e+09,1.2859e+10,6.88e+09,7.939e+09,1.386e+09,1.386e+09,5.05e+08,6.048e+09,1.4819e+10,2.7678e+10,5.071e+09,-8.973e+09,1.6686e+10,-1.122e+09,1.1662e+10,1.05e+08,1.1767e+10,3.9445e+10,8.62e+08,2.26e+08,-5.75e+08,3.7e+07,3.9e+07,-6.51e+08,1.48e+08,1.04e+08,-5.1e+07,1.05e+08,-1e+07,6.61e+08,-1.77e+08,0,0,-1.77e+08,-1.77e+08,1.9e+07,1.12e+08,-9.3e+07,9e+06,1.87e+08,-2.66e+08,3.53e+08,3.48e+08,5e+06,0,5e+06,-4.73e+08,3.2e+07,-5.05e+08,1e+06,-3.85e+08,4.63e+08,4.63e+08,-1.26e+08,3.37e+08,1.188e+09,8.155e+09,1.366e+09,0.2436,0.10346,0.09271,0.07326,0.02185,1.58469,1.32545,2.35217,0.20674,1.06166,1.04992,11.45163,14.36319,1.6824,0.32761,0.04049,0.04903,0.30858,3.59428,4.43867
"8","2012_Q1",45.218064516129,"Up",9.473e+09,-8.435e+09,1.038e+09,-1.616e+09,-1.616e+09,-5.78e+08,-7.9e+07,-9.1e+07,1.2e+07,-6.57e+08,-6.57e+08,3.5e+08,-3.07e+08,-3.07e+08,-3e+06,-3.1e+08,-3.1e+08,3.698e+09,3.698e+09,7.228e+09,4.264e+09,9.44e+08,4.84e+08,1.6134e+10,4.804e+09,4.94e+08,1.8376e+10,1.1858e+10,2.477e+09,2.132e+09,1.909e+09,2.3674e+10,3.9808e+10,1.1601e+10,4.738e+09,6.863e+09,6.74e+08,1.2275e+10,6.881e+09,9.75e+09,1.417e+09,1.417e+09,6.76e+08,7.657e+09,1.6631e+10,2.8906e+10,5.115e+09,-8.948e+09,1.6083e+10,-1.444e+09,1.0806e+10,9.6e+07,1.0902e+10,3.9808e+10,-3.1e+08,2.53e+08,1.229e+09,2.8e+07,-5.28e+08,1.729e+09,3.05e+08,1.17e+08,1.3e+08,1.62e+08,-1.04e+08,1.477e+09,-3.29e+08,3e+06,3e+06,-3.32e+08,-3.32e+08,8000000.00000001,6.6e+07,-5.8e+07,-4.3e+07,-7.24e+08,-2.95e+08,-6.31e+08,-9.9e+07,-5.32e+08,-5.33e+08,1e+06,-4e+06,7.2e+07,-7.6e+07,1.1e+07,-9.19e+08,-1.66e+08,-1.66e+08,-2.1e+07,-1.87e+08,-3.25e+08,7.555e+09,-6.99e+08,0.10957,-0.06102,-0.03272,-0.02844,-0.00779,2.25484,1.31438,2.65144,0.18979,-0.37874,-0.37874,11.57347,13.20204,-0.85399,0.36041,-0.00053,-0.02478,-0.95161,-11.86769,-6.67301
"9","2012_Q2",44.2830158730159,"Down",9.307e+09,-6.88e+09,2.427e+09,-1.231e+09,-1.231e+09,1.196e+09,-7.4e+07,-8.9e+07,1.5e+07,1.122e+09,1.122e+09,-2.97e+08,8.25e+08,8.25e+08,-2e+06,8.23e+08,8.23e+08,3.988e+09,3.988e+09,7.268e+09,4.368e+09,9.29e+08,5.01e+08,1.6553e+10,4.814e+09,5.33e+08,1.847e+10,1.191e+10,2.42e+09,2.061e+09,2.079e+09,2.3817e+10,4.037e+10,1.1034e+10,4.535e+09,6.499e+09,1.632e+09,1.2666e+10,6.269e+09,9.593e+09,1.4e+09,1.4e+09,7.07e+08,7.486e+09,1.5862e+10,2.8528e+10,5.114e+09,-8.802e+09,1.6613e+10,-1.182e+09,1.1743e+10,9.9e+07,1.1842e+10,4.037e+10,8.23e+08,2.3e+08,-7.1e+07,3.9e+07,1.32e+08,-2.42e+08,-7.86e+08,-4e+07,-1.08e+08,-2.03e+08,-4.35e+08,1.96e+08,-1.51e+08,1e+06,1e+06,-1.52e+08,-1.52e+08,8e+06,9.2e+07,-8.4e+07,2.2e+07,-1.22e+08,-2.91e+08,3.58e+08,3.56e+08,2e+06,0,2e+06,9e+07,9e+07,0,1.2e+07,1.69e+08,2.43e+08,2.43e+08,4.7e+07,2.9e+08,1.426e+09,7.901e+09,7.86e+08,0.26077,0.12851,0.08843,0.0695,0.02039,0.95504,1.30688,2.40905,0.19571,1.0148,1.00089,11.47599,14.4797,0.96918,0.35882,0.03797,0.02679,0.35358,2.74404,3.27174
"10","2012_Q3",45.2461904761905,"Up",9.435e+09,-6.922e+09,2.513e+09,-1.226e+09,-1.226e+09,1.287e+09,-6.4e+07,-8.7e+07,2.3e+07,1.223e+09,1.223e+09,-3.18e+08,9.05e+08,9.05e+08,-3e+06,9.02e+08,9.02e+08,4.221e+09,4.221e+09,7.25e+09,4.342e+09,8.31e+08,5.62e+08,1.6644e+10,4.735e+09,5.66e+08,1.8229e+10,1.1837e+10,2.325e+09,2.164e+09,1.903e+09,2.353e+10,4.0174e+10,1.1179e+10,4.547e+09,6.632e+09,1.633e+09,1.2812e+10,6.342e+09,8.937e+09,1.365e+09,1.365e+09,6.81e+08,6.891e+09,1.5279e+10,2.8091e+10,5.159e+09,-8.751e+09,1.7222e+10,-1.637e+09,1.1993e+10,9e+07,1.2083e+10,4.0174e+10,9.02e+08,2.25e+08,-2.81e+08,3.6e+07,5.7e+07,-3.74e+08,1.27e+08,2e+07,3e+07,12000000.0000001,64999999.9999999,9.73e+08,-2e+08,-4.65661287307739e-10,-4.65661287307739e-10,-2e+08,-2e+08,-9.5e+07,6.6e+07,-1.61e+08,-8.1e+07,-4.21e+08,-2.91e+08,44000000.0000001,3999999.99999988,40000000.0000001,0,4e+07,2.6e+07,2.6e+07,0,4e+06,-2.17e+08,3.35e+08,3.35e+08,-1.02e+08,2.33e+08,1.512e+09,7.975e+09,1.757e+09,0.26635,0.13641,0.0956,0.07465,0.02245,1.94789,1.29909,2.32484,0.19851,1.10637,1.09364,11.57278,14.71037,2.1551,0.35693,0.04115,0.0606,0.32262,2.4828,2.91686
