"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",54.44234375,"Up",170085000,-100253000,69832000,-112583000,-112583000,-42751000,-301000,-371000,-380000,9000,70000,-43052000,-43052000,13777000,-29275000,-29275000,-29275000,-29275000,-535634032.634718,-535634032.634718,531569086.198186,531569086.198186,1738051215.31284,1188202332.49184,40050861.8907298,877239499.049389,2922188601.36814,48592532.7634607,228900245.407994,56830293.2193435,135977321.094402,6235764.03878146,29856867.0554671,277492778.171455,3199681379.5396,3704907739.28836,2474841445.43908,512258012.262188,717808281.587091,2944287305.40309,56044817.5610704,56044817.5610704,-99616123.2108696,2844671182.19222,137889844.689728,209276042.758079,7844309.89956865,355010197.347375,355010197.347375,3199681379.5396,-29275000,8879000,4010000,3197000,-13189000,-17561000,-17561000,-17561000,-11369000,14631000,-16119000,-16119000,654000,-15465000,-33872000,0,-62013000,0.41057,-0.25135,-0.17212,4.18410631077636,3.39527403766957,2.11829,-44.3343458781487,3.42808461488679,-0.669908103195142,-0.84973,-0.84973,4.93687,8.9144793997862,-1.79998,3.95058274555537,9.86731973121653,27.5726103557305,37.2221435181034
"2","2013_Q3",58.20953125,"Up",386725000,-219833000,166892000,-120395000,-120395000,46497000,-795000,-1060000,-1067000,7000,265000,45702000,45702000,-12642000,33060000,33060000,33060000,33060000,22921655.7884273,22921655.7884273,328280028.732729,328280028.732729,698795071.770945,480059444.163947,23616953.9635766,369446833.016463,1530056200.45605,135076510.921154,249437748.469331,84588431.0731145,131142440.364801,12410588.0129272,21296289.018489,384514259.390485,1914570459.84653,1351636579.76279,830825815.14636,202653004.087396,318157760.52903,1157337101.80103,51415272.5203568,51415272.5203568,10664292.2630435,1168001394.06407,141241948.229909,605710014.252693,-382896.700143782,746569065.782458,746569065.782458,1914570459.84653,33060000,9560000,3997000,-204659000,-158042000,-26796000,-26796000,-26796000,-31908999.9999999,218549000,33711000,33711000,1270000,34981000,56057000,0,-162756000,0.43155,0.12023,0.08549,1.44842877025879,1.15539801255652,-4.92305,-11.7022519593829,1.3747315382956,-0.172036034398381,0.95837,0.94081,11.21072,21.2204364665954,-4.71810999999999,1.36487424851846,3.54246657707218,5.58151345191016,9.76826117270113
"3","2013_Q4",73.9978125,"Up",736048000,-359848000,376200000,-174701000,-174701000,201499000,-1102000,-1275000,-1293000,18000,173000,200397000,200397000,-59500000,140897000,140897000,140897000,140897000,237125000,237125000,184013000,184013000,260791000,147375000,14980000,112514000,829304000,174066000,256359000,93278000,128725000,15751000,18605000,430425000,1259729000,310790000,151037000,49453000,110300000,320518000,51092000,51092000,51092000,371610000,144262000,746500000,-2643000,888119000,888119000,1259729000,140897000,14030000,1325000,261337000,417589000,-28736000,-28736000,-28736000,-270801000,-236531000,152322000,152322000,696000,153018000,215529000,9728000,507630000,0.51111,0.27376,0.19142,0.15865,0.11185,3.60284,2.58739,0.41842,0.00772,4.07924,4.02874,21.31002,25.71277,14.69687,0.14848,0.53494,-1.05506,-1.12853
"4","2014_Q1",79.3273770491803,"Up",-998142000,529478000,-468664000,263011000,263011000,-205653000,1864000,2255000,2224000,31000,-391000,-203789000,-203789000,56422000,-147367000,-147367000,-147367000,-147367000,245088000,245088000,106199000,106199000,211519000,61056000,12067000,27118000,623862000,184570000,255772000,91411000,127934000,17062000,19365000,440342000,1064204000,115513000,76139000,2908000.00000001,36466000,122215000,53140000,53140000,53140000,175355000,147077000,743815000,-2043000,888849000,888849000,1064204000,-147367000,-21900000,-8556000,-20625999.9999999,-198449000,55460000,55460000,55460000,294475000,-19253000,-162242000,-162242000,-2329000,-164571000,-227553000,6702000,-249141000,0.46954,0.20604,0.14764,-0.1658,-0.13848,1.69062,5.10463,0.19728,0.00630000000000001,-4.272,-4.228,-28.93501,25.76673,-7.22232,-0.15534,-0.26262,1.04761,1.15917
"5","2014_Q2",79.6880952380952,"Up",211469000,-124697000,86772000,-137254000,-137254000,-50482000,-288000,-384000,-438000,54000,96000,-50770000,-50770000,13708000,-37062000,-37062000,-37062000,-37062000,158226000,158226000,130691000,130691000,355979000,80682000,13319000,27872000,725578000,187804000,255231000,89487000,127934000,17062000,20748000,443035000,1168613000,256344000,217257000,3928000,35159000,259592000,53939000,53939000,53939000,313531000,150156000,706753000,-1827000,855082000,855082000,1168613000,-37062000,11131000,6035000,-45063000,-64959000,-18734000,-18734000,-18734000,-174000,-3632000,-87325000,-87325000,463000,-86862000,-39351000,3248000,-116856000,0.41033,-0.23872,-0.17526,-0.04334,-0.03171,3.15299,2.79507,0.36667,0.00278,-1.07035,-1.07035,6.10723,24.6948,-3.37481,-0.04063,-0.12809,3.93835,3.06997
"6","2014_Q3",91.66140625,"Up",480273000,-256400000,223873000,-164290000,-164290000,59583000,-1941000,-1970000,-2e+06,30000,29000,57642000,57642000,-16912000,40730000,40730000,40730000,40730000,114651000,114651000,264920000,264920000,481651000,77160000,16663000,35453000,938382000,202777000,260844000,96018000,127934000,16556000,20336000,463621000,1402003000,266428000,215055000,2763000,48610000,421034000,51554000,51554000,84962000,505996000,153626000,747483000,-5102000,896007000,896007000,1402003000,40730000,13642000,3827000,-252610000,-194411000,-29245000,-29245000,-29245000,-661000,184017000,-39639000,-39639000,-3936000,-43575000,73225000,188014000,-191718000,0.46614,0.12406,0.08481,0.04546,0.02905,-4.70705,2.22876,0.56472,0.1341,1.17608,1.15526,13.8679,25.87223,-5.53586,0.03587,-0.16883,1.00188,1.23127
"7","2014_Q4",91.3934375,"Down",784678000,-369539000,415139000,-200558000,-200558000,214581000,-1265000,-1270000,-1308000,38000,5000,213316000,213316000,-56610000,156706000,156706000,156706000,156706000,369442000,369442000,189548000,189548000,293905000,90267000,14934000,54366000,943162000,216055000,257624000,92033000,127934000,16556000,21101000,473679000,1416841000,289864000,171167000,46419000,72278000,295231000,55100000,55100000,88382000,383613000,154775000,890884000,-12431000,1033228000,1033228000,1416841000,156706000,13035000,3193000,279981000,452915000,-28173000,-28173000,-28173000,-2778000,-165452000,259290000,259290000,-4499000,254791000,227616000,38649000,536034000,0.52906,0.27346,0.19971,0.15167,0.1106,3.42063,3.19466,0.37128,0.02728,4.53747,4.49607,22.72058,29.91742,15.52102,0.13905,0.47564,-1.45329,-1.54158
"8","2015_Q1",77.1029508196721,"Down",340637000,-188313000,152324000,-151587000,-151587000,737000.00000003,214000,-389000,-474000,85000,603000,951000,951000,455000,1406000,1406000,1406000,1406000,225143000,225143000,143105000,143105000,238911000,79434000,15141000,35057000,686593000,232317000,251023000,87743000,127934000,15017000,20329000,483340000,1169933000,162159000,85714000,6858000,69587000,167542000,32225000,32225000,65379000,232921000,159110000,798370000,-20468000,937012000,937012000,1169933000,1406000,11485000,10941000,-47722999.9999999,-23891000,-24484000,-24484000,-24484000,864999.999999996,-93193000,-141568000,-141568000,-2731000,-144299000,12222000,38537000,-60439999.9999999,0.44717,0.00216,0.00413,0.0015,0.00120000000000001,-42.9872,4.09804,0.24858,0.03294,0.0414300000000001,0.0411200000000003,10.03704,27.60952,-1.78089,0.00140000000000001,-0.0599700000000002,-15.26804,-253.19674
"9","2015_Q2",73.6920634920635,"Down",213805000,-127209000,86596000,-150304000,-150304000,-63708000,-974000,-919000,-1035000,116000,-55000,-64682000,-64682000,17355000,-47327000,-47327000,-47327000,-47327000,168744000,168744000,117399000,117399000,373622000,101150000,18579000,32218000,760915000,239381000,253202000,90141000,127934000,15391000,19736000,492583000,1253498000,294844000,227850000,4969000,62025000,338238000,34303000,34303000,67332000,405570000,161451000,705642000,-19165000,847928000,847928000,1253498000,-47327000,11905000,4685000,3717000,-27020000,-23455000,-23455000,-23455000,-189000,-7715000,-58190000,-58190000,1791000,-56399000,-51803000,76423000,-88896000,0.40502,-0.29797,-0.22136,-0.05581,-0.03776,1.87834,2.24964,0.47831,0.06097,-1.42908,-1.42908,6.45605,25.60401,-2.6843,-0.04937,-0.09273,1.78216,1.44913
"10","2015_Q3",66.92375,"Down",486855000,-272742000,214113000,-162900000,-162900000,51213000,-1371000,-1467000,-1532000,65000,96000,49842000,49842000,-13465000,36377000,36377000,36377000,36377000,99775000,99775000,285528000,285528000,595006000,94873000,18110000,39768000,1075182000,245649000,251835000,87968000,127934000,15391000,20542000,497484000,1572666000,322333000,246333000,3153000,72847000,639174000,36099000,36099000,69002000,708176000,165489000,718230000,-19229000,864490000,864490000,1572666000,36377000,13158000,5012000,-355914000,-301367000,-15294000,-17729000,-15294000,-326000,249199000,-67462000,-67462000,-1507000,-68969000,64371000,349744000,-293372000,0.43979,0.10519,0.07472,0.04208,0.02313,-8.06476999999999,1.68214,0.81918,0.22239,1.11905,1.11905,14.97693,26.59396,-9.02489,0.02909,-0.23464,3.88325,4.88096999999997
