"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",18.5842857142857,"Up",2.631e+09,-2.483e+09,1.48e+08,-4.9e+07,-4.9e+07,9.9e+07,-6e+06,-4e+06,9.3e+07,-11833341.7258702,9.3e+07,-3.4e+07,5.9e+07,5.9e+07,-1.3e+07,4.6e+07,4.6e+07,9.08e+08,9.08e+08,1.693e+09,1.693e+09,1.19e+09,9.94e+08,3.791e+09,3.21e+08,1.477e+09,7.5e+07,6.91e+08,1.27e+08,5.84e+08,1.798e+09,5.589e+09,1.273e+09,1.009e+09,2.64e+08,1.15e+09,1.148e+09,2.431e+09,9.7e+07,7.07e+08,1.25e+08,5.82e+08,8.04e+08,3.235e+09,2.107e+09,-2.24e+08,9e+08,-4.36e+08,2.347e+09,7e+06,2.354e+09,5.589e+09,5.9e+07,1.5e+07,2.3e+08,-3.09e+08,-5e+06,-1.4e+07,-1.4e+07,-1.4e+07,-3.8e+07,-8e+06,1.7e+07,-8e+06,1e+06,-4.2e+07,-4.2e+07,-1.3e+07,-5.5e+07,1.14e+08,1.05e+08,-1.75e+08,0.05625,0.03763,0.01748,0.01954,0.00823,-3.80435,1.55944,1.37426,0.01879,0.2875,0.28571,16.44375,14.66875,-1.09375,0.05,3,0.01706,-0.05527,0.17391,-7.04386,-8.11111
"2","2010_Q3",19.40859375,"Up",2.671e+09,-2.415e+09,2.56e+08,-5.5e+07,-5.5e+07,2.01e+08,-8e+06,-5e+06,1.93e+08,-2e+06,1.91e+08,-6.9e+07,1.22e+08,1.22e+08,-1.6e+07,1.06e+08,1.06e+08,1.235e+09,1.235e+09,1.419e+09,1.419e+09,1.149e+09,9.33e+08,3.803e+09,3.35e+08,1.509e+09,7.7e+07,6.96e+08,1.03e+08,6.33e+08,1.844e+09,5.647e+09,1.216e+09,9.77e+08,2.39e+08,1.195e+09,1.193e+09,2.419e+09,9.3e+07,7.51e+08,1.16e+08,6.35e+08,8.44e+08,3.263e+09,2.104e+09,-2.81e+08,9.98e+08,-4.39e+08,2.382e+09,2e+06,2.384e+09,5.647e+09,1.22e+08,1.4e+07,9.3e+07,2.08e+08,4.37e+08,-5e+06,-5e+06,-5e+06,-1.8e+07,-8e+06,3e+06,-8e+07,-8.4e+07,3.35e+08,3.35e+08,-8000000.00000001,3.27e+08,2.15e+08,1.01e+08,4.87e+08,0.09584,0.07525,0.03969,0.04446,0.01877,4.59434,1.57214,1.36871,0.01789,0.6625,0.65839,16.69375,14.8875,3.04375,0.05,6,0.03523,0.15049,0.07547,-5.27442,-5.64179
"3","2010_Q4",23.07859375,"Up",2.455e+09,-2.238e+09,2.17e+08,-5.3e+07,-5.3e+07,1.64e+08,-3e+06,-4e+06,1.61e+08,-1e+06,1.6e+08,-4.3e+07,1.17e+08,1.17e+08,-2e+07,9.7e+07,9.7e+07,1.175e+09,1.175e+09,1.383e+09,1.383e+09,1.049e+09,8.55e+08,3.607e+09,3.48e+08,1.511e+09,7.5e+07,6.97e+08,1.17e+08,6.22e+08,1.859e+09,5.466e+09,1.186e+09,9.38e+08,2.48e+08,1.036e+09,1.036e+09,2.231e+09,9.8e+07,7.89e+08,1.19e+08,6.7e+08,8.87e+08,3.118e+09,2.111e+09,-4.39e+08,1.087e+09,-4.28e+08,2.331e+09,1.7e+07,2.348e+09,5.466e+09,1.17e+08,1.6e+07,-1.12e+08,8.8e+07,1.09e+08,-2e+07,-2e+07,-2e+07,-2.7e+07,-8e+06,-3e+06,-1.66e+08,-1.75e+08,-9.3e+07,-9.3e+07,3.3e+07,-6e+07,1.8e+08,1.07e+08,2.91e+08,0.08839,0.0668,0.03951,0.04131,0.01775,3,1.61676,1.32794,0.01958,0.62987,0.62581,15.94156,15.13636,1.88961,0.05195,7,0.03237,0.0897,0.08247,-5.93333,-6.5122
"4","2011_Q1",28.2445161290323,"Up",2.342e+09,-2.137e+09,2.05e+08,-5.5e+07,-5.5e+07,1.5e+08,-6e+06,-6e+06,1.44e+08,-2e+06,1.42e+08,-4.5e+07,9.7e+07,9.7e+07,-1.9e+07,7.8e+07,7.8e+07,7.86e+08,7.86e+08,1.455e+09,1.455e+09,1.021e+09,8.22e+08,3.262e+09,3.55e+08,1.8e+09,1.27e+08,9.47e+08,1.03e+08,6.23e+08,2.155e+09,5.417e+09,1.121e+09,9.21e+08,2e+08,1.209e+09,1.209e+09,2.339e+09,1e+08,7.74e+08,1.17e+08,6.57e+08,8.74e+08,3.213e+09,1.981e+09,-4.54e+08,1.157e+09,-4.38e+08,2.246e+09,-4.2e+07,2.204e+09,5.417e+09,9.7e+07,1.7e+07,-6.3e+07,-4.3e+07,8e+06,-2.7e+07,-2.7e+07,-2.7e+07,-3.14e+08,-8e+06,-2e+06,-7e+07,-7.8e+07,-3.84e+08,-3.84e+08,-5e+06,-3.89e+08,1.67e+08,1.09e+08,1.42e+08,0.08753,0.06405,0.0333,0.03539,0.0144,1.82051,1.39461,1.4578,0.02012,0.52,0.51656,15.61333,14.97333,0.94667,0.05333,5,0.02786,0.046,0.10256,-4.05389,-4.51333
"5","2011_Q2",30.9401587301587,"Up",2.321e+09,-2.134e+09,1.87e+08,-4.4e+07,-4.4e+07,1.43e+08,-5e+06,-6e+06,1.38e+08,1e+06,1.39e+08,-2.2e+07,1.17e+08,1.17e+08,-1.2e+07,1.05e+08,1.05e+08,7.88e+08,7.88e+08,1.398e+09,1.398e+09,1.043e+09,8.53e+08,3.229e+09,3.74e+08,1.864e+09,1.25e+08,9.51e+08,1.01e+08,6.87e+08,2.238e+09,5.467e+09,1.142e+09,9.05e+08,2.37e+08,1.195e+09,1.195e+09,2.346e+09,9.7e+07,7.35e+08,1.19e+08,6.16e+08,8.32e+08,3.178e+09,1.989e+09,-4.55e+08,1.254e+09,-4.32e+08,2.356e+09,-6.7e+07,2.289e+09,5.467e+09,1.17e+08,1.7e+07,5.6e+07,3.5e+07,2.25e+08,-2.6e+07,-2.6e+07,-2.6e+07,-3.4e+07,-8e+06,5e+06,-2.02e+08,-2.02e+08,-1.1e+07,-1.1e+07,1.3e+07,2e+06,1.6e+08,1.06e+08,1.91e+08,0.08057,0.06161,0.04524,0.04587,0.01921,1.81905,1.37639,1.38838,0.01939,0.69536,0.69079,15.37086,15.60265,1.2649,0.05298,6,0.0361,0.06102,0.07619,-4.2625,-4.76923
"6","2011_Q3",26.46203125,"Down",2.457e+09,-2.231e+09,2.26e+08,-5.8e+07,-5.8e+07,1.68e+08,-3e+06,-5e+06,1.65e+08,1e+06,1.66e+08,-3.9e+07,1.27e+08,1.27e+08,-2.7e+07,1e+08,1e+08,7.12e+08,7.12e+08,1.516e+09,1.516e+09,1.021e+09,8.27e+08,3.249e+09,3.81e+08,1.847e+09,1.21e+08,9.52e+08,1e+08,6.74e+08,2.228e+09,5.477e+09,1.092e+09,8.56e+08,2.36e+08,1.186e+09,1.186e+09,2.288e+09,9.2e+07,7.26e+08,1.03e+08,6.23e+08,8.18e+08,3.106e+09,1.998e+09,-4.89e+08,1.347e+09,-4.36e+08,2.42e+09,-4.9e+07,2.371e+09,5.477e+09,1.27e+08,1.8e+07,-1.09e+08,-3.8e+07,-2000000.00000006,-2.1e+07,-2.1e+07,-2.1e+07,-2.4e+07,-7e+06,1e+06,-4.2e+07,-4.6e+07,-7.2e+07,-7.2e+07,-4e+06,-7.6e+07,1.86e+08,1.02e+08,1.66e+08,0.09198,0.06838,0.0407,0.04218,0.01826,1.66,1.42002,1.31,0.01862,0.66225,0.65789,16.27152,16.02649,1.09934,0.04636,2,0.03345,0.05189,0.07,-3.27957,-3.63095
"7","2011_Q4",23.1073015873016,"Down",2.387e+09,-2.188e+09,1.99e+08,-6.1e+07,-6.1e+07,1.38e+08,-1e+06,-2e+06,1.37e+08,0,1.37e+08,5.4e+07,1.91e+08,1.91e+08,-6e+06,1.85e+08,1.85e+08,6.9e+08,6.9e+08,1.352e+09,1.352e+09,1.324e+09,1.056e+09,3.366e+09,3.79e+08,1.824e+09,1.16e+08,9.49e+08,9e+07,6.69e+08,2.203e+09,5.569e+09,1.037e+09,8.52e+08,1.85e+08,1.249e+09,1.249e+09,2.295e+09,9e+07,7.09e+08,7.8e+07,6.31e+08,7.99e+08,3.094e+09,1.999e+09,-5.47e+08,1.524e+09,-4.48e+08,2.528e+09,-5.3e+07,2.475e+09,5.569e+09,1.91e+08,1.9e+07,-1.56e+08,3.5e+07,8.9e+07,-1.9e+07,-1.9e+07,-1.9e+07,-1.9e+07,-8e+06,0,-7e+07,-7.6e+07,-6e+06,-6e+06,-1.6e+07,-2.2e+07,1.57e+08,9.9e+07,1.19e+08,0.08337,0.05781,0.0775,0.07475,0.03322,0.64324,1.46667,1.2501,0.01778,1.22517,1.21711,15.80795,16.74172,0.78808,0.05298,5,0.05879,0.03625,0.04324,-3.76433,-4.28261
"8","2012_Q1",28.9029032258065,"Up",2.096e+09,-1.91e+09,1.86e+08,-5.1e+07,-5.1e+07,1.35e+08,-6e+06,-5e+06,1.29e+08,1e+06,1.3e+08,-2.5e+07,1.05e+08,1.05e+08,-1.5e+07,9e+07,9e+07,9.66e+08,9.66e+08,1.2e+09,1.2e+09,1.269e+09,9.72e+08,3.435e+09,3.84e+08,1.847e+09,1.13e+08,9.51e+08,1.28e+08,6.55e+08,2.231e+09,5.666e+09,9.87e+08,7.61e+08,2.26e+08,1.28e+09,1.28e+09,2.277e+09,8.8e+07,8.59e+08,7.1e+07,7.88e+08,9.47e+08,3.224e+09,2.005e+09,-5.69e+08,1.607e+09,-5.48e+08,2.495e+09,-5.3e+07,2.442e+09,5.666e+09,1.05e+08,1.7e+07,-6.5e+07,2.81e+08,3.38e+08,-1.7e+07,-1.7e+07,-1.7e+07,-1.1e+07,-7e+06,-4e+06,-4.2e+07,-5.3e+07,2.74e+08,2.74e+08,2e+06,2.76e+08,1.52e+08,9.8e+07,4.41e+08,0.08874,0.06441,0.04294,0.03686,0.01588,4.9,1.50856,1.32023,0.0173,0.64748,0.64286,15.07914,17.94964,3.17266,0.05036,8,0.02854,0.12974,0.07778,-5.71053,-6.42963
"9","2012_Q2",24.8319047619048,"Down",2.001e+09,-1.838e+09,1.63e+08,-5.5e+07,-5.5e+07,1.08e+08,-5e+06,-4e+06,1.03e+08,4e+06,1.07e+08,-9e+06,9.8e+07,9.8e+07,-7e+06,9.1e+07,9.1e+07,8.37e+08,8.37e+08,1.101e+09,1.101e+09,1.333e+09,1.05e+09,3.271e+09,3.89e+08,1.876e+09,1.09e+08,9.57e+08,1.21e+08,6.89e+08,2.265e+09,5.536e+09,9.62e+08,7.65e+08,1.97e+08,1.114e+09,1.114e+09,2.086e+09,9e+07,8.22e+08,7.4e+07,7.48e+08,9.12e+08,2.998e+09,2.014e+09,-5.76e+08,1.691e+09,-5.41e+08,2.588e+09,-5e+07,2.538e+09,5.536e+09,9.8e+07,1.6e+07,-2.09e+08,-1.2e+07,-1.07e+08,-1.6e+07,-1.6e+07,-1.6e+07,-1.5e+07,-7e+06,-10629355.7806981,-1e+07,-1.5e+07,-1.37e+08,-1.37e+08,8e+06,-1.29e+08,1.24e+08,1e+08,1.05e+08,0.08146,0.05397,0.04548,0.03586,0.01644,1.15385,1.56807,1.18125,0.01806,0.61486,0.61074,13.52027,17.48649,0.70946,0.0473,5,0.02832,0.03035,0.07692,-5.94355,-6.82407
"10","2012_Q3",23.1933333333333,"Down",2.062e+09,-1.879e+09,1.83e+08,-5.2e+07,-5.2e+07,1.31e+08,2e+06,-1e+06,1.33e+08,-2e+06,1.31e+08,-1.9e+07,1.12e+08,1.12e+08,-8e+06,1.04e+08,1.04e+08,8.24e+08,8.24e+08,1.155e+09,1.155e+09,1.467e+09,1.19e+09,3.446e+09,3.68e+08,1.881e+09,1.05e+08,9.55e+08,1.23e+08,6.98e+08,2.249e+09,5.695e+09,1.002e+09,8.06e+08,1.96e+08,1.166e+09,1.166e+09,2.178e+09,8.3e+07,8.13e+08,9.2e+07,7.21e+08,8.96e+08,3.074e+09,2.021e+09,-5.93e+08,1.787e+09,-5.5e+08,2.665e+09,-4.4e+07,2.621e+09,5.695e+09,1.12e+08,1.7e+07,6.1e+07,-1.38e+08,5.2e+07,-1.7e+07,-1.7e+07,-1.7e+07,-1.6e+07,-8e+06,-1e+07,-1.7e+07,-3.4e+07,1999999.99999994,1999999.99999994,-1.5e+07,-1.3e+07,1.48e+08,9.3e+07,1.2e+07,0.08875,0.06353,0.05044,0.03968,0.01826,0.11538,1.58219,1.17283,0.01633,0.7027,0.69799,13.93243,18.00676,0.0810800000000003,0.05405,6,0.03176,0.00340000000000001,0.07692,-4.93919,-5.58015
