"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",41.4866666666667,"Up",350040000,-197460000,152580000,-90492000,-84401000,-6091000,62088000,-8964000,-8964000,-11318000,2354000,53124000,22879000,-8694000,14185000,14185000,14185000,14185000,80878000,80878000,339989000,315228000,57643000,32199000,478510000,79645000,1408060000,168012000,1185552000,54496000,1567112000,2045622000,175632000,74468000,101164000,31743000,31743000,350988000,417260000,158722000,99954000,58768000,575982000,926970000,552668000,629714000,-63730000,1118652000,1118652000,2045622000,14185000,7703000,17065000,-66216000,-27263000,-5168000,-5168000,-5168000,-10688000,-527000,832000,1196000,1501000,-36450000,-36450000,-1544000,-37994000,69791000,560873000,7101000,0.43589,0.17737,0.04052,0.01268,0.00693,0.5006,1.36332,0.82865,0.27418,0.30972,0.29386,7.64296,24.42525,0.15505,2,0.00772,0.00386,6.87761,7.73088
"2","2010_Q3",34.48125,"Down",349033000,-209031000,140002000,-88054000,-82202000,-5852000,51948000,-11519000,-11519000,-11378000,-140999.999999999,40429000,40429000,-15363000,25066000,25066000,25066000,25066000,123254000,123254000,340591000,315646000,68826000,33158000,532671000,77744000,1412656000,161254000,1197763000,53639000,1572069000,2104740000,187719000,71239000,116480000,33995000,33995000,366419000,417124000,173278000,112261000,61017000,590402000,956821000,559716000,654780000,-66577000,1147919000,1147919000,2104740000,25066000,7658000,16806000,-311999.999999993,49218000,-6464000,-6464000,-6464000,-9253000,61999.9999999404,3403000.00000001,-129000,3336000,43301000,43301000,-925000,42376000,59606000,561829000,68193000,0.40111,0.14883,0.07182,0.02184,0.01191,2.72054,1.45372,0.83353,0.26694,0.54661,0.52184,7.61134,25.03258,1.48708,4,0.01331,0.03621,7.3579,8.44258
"3","2010_Q4",35.5765625,"Up",346140000,-211149000,134991000,-92879000,-86593000,-6286000,42112000,-9377000,-9377000,-11904000,2527000,32735000,28463000,-10585000,17878000,17878000,17878000,17878000,331182000,331182000,373583000,346316000,62406000,27979000,767171000,74020000,1477526000,164896000,1253798000,58832000,1636372000,2403543000,198003000,69423000,128580000,29907000,29907000,394219000,644376000,196659000,117328000,79331000,841035000,1235254000,540095000,676743000,-48549000,1168289000,1168289000,2403543000,17878000,8956000,26567000,20510000,73911000,-3201000,-3201000,-3201000,-40632000,201660000,-25769000,-2707000,173184000,206463000,206463000,1465000,207928000,51068000,810685000,78962000,0.38999,0.12166,0.05165,0.0153,0.00744,4.41671,1.94605,1.05732,0.33729,0.3932,0.37746,7.61283,25.69475,1.73665,5,0.00822,0.03629,9.3895,11.38637
"4","2011_Q1",36.3803225806452,"Up",356248000,-207959000,148289000,-93724000,-88043000,-5681000,54565000,-15980000,-15980000,-15663000,-317000,38585000,15620000,-6765000,8855000,8855000,8855000,8855000,384570000,384570000,354474000,326077000,51938000,28174000,790982000,73238000,1464729000,134970000,1269447000,60312000,1614506000,2405488000,249835000,105864000,143971000,28908000,27836000,286302000,785563000,166017000,85956000,80061000,951580000,1237882000,546798000,674298000,-53490000,1167606000,1167606000,2405488000,8855000,7017000,47332000,35984000,99188000,-7767000,-7767000,-7767000,-10513000,-20497000,-12904000,-768000,-34169000,54506000,54506000,-1118000,53388000,61582000,793122000,96564000,0.41625,0.15317,0.02486,0.00758,0.00368,10.90503,2.76275,1.06019,0.32971,0.19632,0.18846,7.89837,25.88697,2.14092,5,0.00416,0.0454,6.63428,7.48744
"5","2011_Q2",37.8520634920635,"Up",361816000,-223084000,138732000,-93757000,-88303000,-5454000,44975000,-13310000,-13310000,-15310000,2e+06,31665000,30869000,-11611000,19258000,19258000,19258000,19258000,112367000,112367000,425473000,396311000,55352000,32170000,593192000,70834000,1484276000,131050000,1295559000,57667000,1654072000,2247264000,213003000,102570000,110433000,33630000,29578000,278316000,784093000,179809000,94548000,85261000,963902000,1242218000,334500000,709217000,-38671000,1005046000,1005046000,2247264000,19258000,6945000,21639000,-87039000,-39197000,-4953000,-4953000,-4953000,-47278000,24128000,-210399000,204000,-186067000,-272542000,-272542000,339000,-272203000,51920000,815776000,-28461000,0.38343,0.1243,0.05323,0.01916,0.00857,-1.47788,2.13136,1.23598,0.36301,0.43891,0.41921,8.24614,22.90599,-0.64865,4,0.00963,-0.01423,13.54794,15.64
"6","2011_Q3",36.12609375,"Down",400437000,-250844000,149593000,-99940000,-94442000,-5498000,49653000,-11577000,-11577000,-14500000,2923000,38076000,22065000,-6740000,15325000,15325000,15325000,15325000,98744999.9999999,98744999.9999999,471946000,446175000,61405000,32137000,632096000,71983000,1501510000,132035000,1305170000,64305000,1667599000,2299695000,247561000,105589000,141972000,39726000,35674000,293903000,790321000,186972000,99520000,87452000,977293000,1271196000,339205000,726129000,-36835000,1028499000,1028499000,2299695000,15325000,7143000,23161000,-19256000,26373000,-7752000,-7752000,-7752000,-16720000,-25065000,1683999.99999997,-29000,-23410000,-13756999.9999999,-13756999.9999999,135000,-13622000.0000001,56796000,796937000,36528000,0.37357,0.124,0.03827,0.0149,0.00666,2.38356,2.1507,1.23597,0.34654,0.37775,0.36314,9.87052,25.35185,0.900390000000001,6,0.00762,0.01815,12.29298,14.06143
"7","2011_Q4",41.02,"Up",413802000,-249975000,163827000,-103462000,-97619000,-5843000,60365000,-13833000,-13833000,-14319000,486000,46532000,45589000,-16150000,29439000,29439000,29439000,29439000,128230000,128230000,495594000,469036000,53679000,30784000,677503000,75027000,1490619000,124623000,1295679000,70317000,1649016000,2326519000,266313000,108050000,158263000,27726000,27726000,446086000,645488000,183176000,96801000,86375000,828664000,1274750000,366156000,738321000,-52708000,1051769000,1051769000,2326519000,29439000,7420000,18624000,4189000,59672000,-11890000,-11890000,-11890000,-23070000,-6030000,112000,22000,-5896000,30706000,30706000,-1221000,29485000,67785000,797535000,76234000,0.39591,0.14588,0.07114,0.02799,0.01265,2.58956,1.51877,1.21201,0.3428,0.73306,0.68666,10.30409,26.19012,1.8983,7,0.01448,0.03751,9.87394,11.08763
"8","2012_Q1",41.2025806451613,"Up",390713000,-233005000,157708000,-98507000,-92931000,-5576000,59201000,-13600000,-13600000,-14495000,895000,45601000,54604000,-14723000,39881000,39881000,39881000,39881000,264423000,264423000,455789000,429102000,50742000,40529000,770954000,74448000,1483934000,118889000,1309358000,55687000,1640130000,2411084000,313139000,132773000,180366000,31317000,19063000,497837000,643579000,163466000,88071000,75395000,807045000,1304882000,384393000,778201000,-56392000,1106202000,1106202000,2411084000,39881000,7074000,8791000,71234000,126980000,-6496000,-6496000,-6496000,-6580000,-27000,10312000,6359000,16644000,137044000,137044000,-851000,136193000,66275000,796960000,145736000,0.40364,0.15152,0.10207,0.03605,0.01654,3.65427,1.54861,1.17961,0.33054,0.99905,0.93008,9.78764,27.71117,3.65079,7,0.0193,0.07052,8.03526,8.99541
"9","2012_Q2",32.8419047619048,"Down",395228000,-245618000,149610000,-108106000,-102589000,-5517000,41504000,-11922000,-11922000,-15204000,3282000,29582000,29025000,-10594000,18431000,18431000,18431000,18431000,182438000,182438000,479709000,448975000,57033000,38466000,719180000,71807000,1487323000,114666000,1320002000,52655000,1651917000,2371097000,230276000,120024000,110252000,23619000,21622000,408553000,643330000,169631000,92665000,76966000,812961000,1221514000,396494000,796632000,-43543000,1149583000,1149583000,2371097000,18431000,7496000,23147000,-106895000,-57821000,-4756000,-4756000,-4756000,-23335000,-156000,-647000,-315000,-1118000,-82274000,-82274000,289000,-81985000,4.9e+07,797988000,-52057000,0.37854,0.10501,0.04663,0.01603,0.00777,-2.82443,1.76031,1.06257,0.33655,0.45669,0.42679,9.79305,28.48464,-1.28988,4,0.00871,-0.02459,12.56224,14.8311
"10","2012_Q3",26.3874603174603,"Down",396243000,-248220000,148023000,-97950000,-92460000,-5490000,50073000,-15558000,-15558000,-15195000,-363000,34515000,11274000,-3527000,7747000,7747000,7747000,7747000,165981000,165981000,506113000,472659000,52342000,35400000,724436000,68807000,1481647000,107782000,1313382000,60483000,1649645000,2374081000,233799000,96421000,137378000,27333000,19958000,415437000,643078000,165243000,94376000,70867000,808321000,1223758000,400447000,804379000,-54503000,1150323000,1150323000,2374081000,7747000,10953000,13844000,-32011000,532999.99999997,-8972000,-8972000,-8972000,-11850000,-1818000,-192999.999999996,-1009000,-3020000,-14337000,-14337000,-2120000,-16457000,61026000,797383000,23570000,0.37357,0.12637,0.01955,0.00673,0.00326,3.04247,1.74379,1.06384,0.33587,0.19085,0.18376,9.7616,28.33866,0.580660000000001,4,0.00367,0.01116,10.34644,12.60963
