"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",22.08640625,"Up",19232000,-5516000,13716000,-11310000,-10665000,-645000,2406000,-1434000,-1177000,972000,972000,-388000,584000,584000,584000,584000,4875000,4875000,2577000,2577000,8793000,4988000,3805000,16245000,3328000,97806000,51682000,45128000,996000,101134000,117379000,1193000,1193000,9025000,9025000,10218000,100500000,24108000,14804000,9304000,124608000,134826000,36350000,-53797000,-17447000,-17447000,117379000,584000,645000,-661000,-2225000,-1657000,-234000,-234000,-234000,-234000,-3.2e+07,-3.2e+07,35136000,35136000,3864000,1973000,1973000,1973000,3051000,100500000,980000,0.71319,0.1251,0.03037,-0.03347,0.00498,1.67808,1.58984,-7.72775,0.8562,0.02201,0.02178,0.72481,-0.65753,0.03693,0.00545,0.00915,31.34218,39.74439
"2","2015_Q4",17.731875,"Down",19134000,-5328000,13806000,-7953000,-7317000,-636000,5853000,-896000,-8e+05,4957000,4957000,-1784000,3173000,3173000,3173000,3173000,5717000,5717000,2404000,2404000,7229000,3819000,3410000,15350000,4510000,97326000,51339000,45128000,859000,101836000,117186000,1331000,1331000,10467000,10467000,11798000,95500000,24192000,14657000,9535000,119692000,131490000,36320000,-50624000,-14304000,-14304000,117186000,3173000,636000,21000,3188000,7018000,-996000,-996000,-996000,-996000,-5e+06,-5e+06,-115000,-115000,-5180000,842000.000000002,842000.000000002,842000.000000002,6489000,95500000,10465000,0.72154,0.3059,0.16583,-0.22183,0.02708,3.29814,1.30107,-9.19253,0.81494,0.11102,0.10982,0.66947,-0.50047,0.36615,0.03011,0.0993,13.83618,15.33965
"3","2016_Q1",17.7198360655738,"Down",20577000,-5639000,14938000,-8430000,-7692000,-738000,6508000,-727000,-713000,5781000,5781000,-1986000,3795000,3795000,3795000,3795000,10690000,10690000,3404000,3404000,5526000,1752000,3774000,19620000,4593000,96437000,50996000,45128000,313000,101030000,120650000,1252000,1252000,11318000,11318000,12570000,95008000,22745000,13018000,9727000,117753000,130323000,37156000,-46829000,-9673000,-9673000,120650000,3795000,738000,1065000,381000,5979000,-586000,-586000,-586000,-586000,0,0,337000,337000,-420000,4973000,4973000,4973000,7246000,95008000,9027000,0.72596,0.31628,0.18443,-0.39233,0.03145,2.37866,1.56086,-13.47286,0.78747,0.13277,0.13109,0.7199,-0.33842,0.31582,0.03511,0.08352,11.63649,12.95605
"4","2016_Q2",19.680625,"Up",22074000,-6077000,15997000,-8369000,-7655000,-714000,7628000,-789000,-761000,6839000,6839000,-2549000,4290000,4290000,4290000,4290000,8316000,8316000,2556000,2556000,5176000,1662000,3514000,16048000,4519000,96040000,50657000,45128000,255000,100559000,116607000,1353000,1353000,12727000,12727000,14080000,85042000,22259000,13025000,9234000,107301000,121381000,37765000,-42539000,-4774000,-4774000,116607000,4290000,714000,198000,2669000,7871000,-309000,-309000,-309000,-309000,-1e+07,-1e+07,63999.9999999995,63999.9999999995,-9936000,-2374000,-2374000,-2374000,8342000,85042000,13251000,0.7247,0.34556,0.19435,-0.898619999999998,0.03679,3.08881,1.13977,-25.42543,0.7293,0.15007,0.1481,0.7722,-0.167,0.46355,0.04184,0.12924,9.19755,10.05847
"5","2016_Q3",24.21078125,"Up",22723000,-6184000,16539000,-9299000,-8572000,-727000,7240000,-717000,-707000,6523000,6523000,-2444000,4079000,4079000,4079000,4079000,10014000,10014000,2581000,2581000,3674000,2063000,1611000,16269000,4805000,95684000,50318000,45128000,238000,100489000,116758000,1616000,1616000,7947000,7947000,9563000,85069000,22225000,12887000,9338000,107294000,116857000,38361000,-38460000,-99000,-99000,116758000,4079000,727000,-7000,-2656000,2143000,-666000,-666000,-666000,-666000,0,0,221000,221000,221000,1698000,1698000,1698000,7967000,85069000,7089000,0.72785,0.31862,0.17951,-41.20202,0.03494,1.73793,1.70124,-1180.37374,0.72859,0.14239,0.1407,0.79323,-0.00346,0.24747,0.03805,0.06613,9.42074,10.36671
"6","2016_Q4",24.7377777777778,"Up",21810000,-6091000,15719000,-9639000,-8893000,-746000,6080000,-1606000,-1390000,4474000,4474000,-1721000,2753000,2753000,2753000,2753000,3828000,3828000,2529000,2529000,5013000,2899000,2114000,11370000,4871000,96098000,49979000,45128000,991000,100969000,112339000,1693000,1693000,10667000,10667000,15860000,153933000,22495000,12950000,9545000,176428000,192288000,472000,-80421000,-79949000,-79949000,112339000,2753000,746000,490000,2095000,6084000,-496000,-496000,-496000,-496000,72500000,72500000,174000,174000,-11774000,-6186000,-6186000,-6186000,6826000,157433000,10146000,0.72072,0.27877,0.12623,-0.0344300000000004,0.02451,3.68543,0.7169,-2.4051300000001,1.40141,0.09584,0.09488,0.7593,-2.78335,0.35322,0.86039,0.10148,22.50293,25.26398
"7","2017_Q1",23.3288709677419,"Down",36717000,-6956000,29761000,-24102000,-23281000,-821000,5659000,-1538000,-1538000,4121000,4121000,-1474000,2647000,2647000,2647000,2647000,3750000,3750000,3199000,3199000,4167000,1634000,2533000,11116000,4999000,95685000,49614000,45128000,943000,100684000,111800000,1458000,1458000,11774000,11774000,16732000,147217000,22479000,12304000,10175000,169696000,186428000,1481000,-76109000,-74628000,-74628000,111800000,2647000,821000,-658000,2971000,5781000,-585000,-585000,-585000,-585000,-6750000,-6750000,26000,26000,-6724000,-1528000,-1528000,-1528000,6480000,150717000,10340000,0.81055,0.15412,0.07209,-0.03547,0.02368,3.90631,0.66436,-2.4981,1.34809,0.09258,0.09141,1.28417,-2.6101,0.36164,0.02685,0.1049,22.68009,25.97049
"8","2017_Q2",25.0261904761905,"Up",33410000,-6600000,26810000,-18285000,-17530000,-755000,8525000,-1299000,-1299000,7226000,7226000,-969000,6257000,6257000,6257000,6257000,3436000,3436000,3259000,3259000,6162000,1566000,4596000,12857000,4993000,95305000,49277000,45128000,9e+05,100298000,113155000,1797000,1797000,11064000,11064000,16361000,141373000,22682000,12373000,10309000,164055000,180416000,2318000,-69579000,-67261000,-67261000,113155000,6257000,755000,243000,109000,7364000,-419000,-419000,-419000,-419000,-5874999.99999999,-5875000,582000,582000,-5293000,1652000,1652000,1652000,9280000,144873000,9939000,0.80245,0.25516,0.18728,-0.0930300000000005,0.0553,1.58846,0.78583,-2.68233000000001,1.28031,0.21654,0.21329,1.15626,-2.32777,0.34397,0.0623899999999999,0.0991,15.24106,16.59085
"9","2017_Q3",27.3919047619048,"Up",31578000,-6867000,24711000,-16525000,-15754000,-771000,8186000,-1307000,-1307000,6879000,6879000,-1972000,4907000,4907000,4907000,4907000,4447000,4447000,3818000,3818000,5950000,3505000,2445000,14215000,5441000,94925000,48940000,45128000,857000,100366000,114581000,1778000,1778000,10601000,10601000,15879000,137529000,22403000,12155000,10248000,159932000,175811000,3084000,-64314000,-61230000,-61230000,114581000,4907000,771000,-62000,-2415000,3201000,-882000,-882000,-882000,-882000,-3875000,-3875000,480000,480000,-3395000,-1076000,-1076000,-1076000,8957000,141029000,7632000,0.78254,0.25923,0.15539,-0.08014,0.04283,1.55533,0.89521,-2.87132,1.23082,0.16901,0.16698,1.08766,-2.10898,0.26287,0.04801,0.07468,15.24863,16.68483
"10","2017_Q4",31.1361904761905,"Up",33123000,-7823000,25300000,-16604000,-15723000,-881000,8696000,-1302000,-1302000,7394000,7394000,-2690000,4704000,4704000,4704000,4704000,4589000,4589000,4641000,4641000,7979000,3305000,4674000,17209000,5681000,98234000,48604000,46557000,3073000,103915000,121124000,2149000,2149000,13698000,13698000,19347000,136685000,22766000,12039000,10727000,159451000,178798000,1628000,-59302000,-57674000,-57674000,121124000,4704000,881000,135000,3582000,9302000,-533000,-533000,-533000,-4482000,-875000,-875000,239000,239000,-2670000,2150000,2150000,2150000,9577000,140185000,15316000,0.76382,0.26254,0.14202,-0.0815600000000001,0.03884,3.25595,0.88949,-3.10015,1.15737,0.16176,0.1602,1.13899,-1.98322,0.52667,0.064,0.14548,14.1585,15.59292
