"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q4",13.1541935483871,"Down",23382000,-4634000,18748000,-17027000,-11951000,-8797000,-3154000,-5076000,1721000,23000,-37000,1000,60000,1744000,1744000,-77000,1667000,1667000,1667000,826000,25804000,25804000,148995661.71058,23452000,23452000,6502000,6502000,55758000,16896000,5182000,2869000,317000,1996000,22078000,77836000,10800000,1715000,9085000,51693000,51693000,64049000,7845000,6152000,1189000,8919000,72968000,17263000,-75267000,-1001000,4868000,4868000,77836000,1667000,1851000,1144000,-4016000,646000,-2115000,-2115000,-2115000,-250280739.749215,-2115000,798000,798000,-1264000,-2733000,-2733000,-2655000,3572000,2630000,-2482000,0.80181,0.0736,0.03533,0.16968,0.01061,-3.00484,0.87055,14.98932,0.03379,0.14154,0.0123,4.00651,-10.11052,-0.42529,0.05384,-0.16177,-6.48768,-13.46543
"2","2013_Q1",13.3091666666667,"Up",24657000,-4981000,19676000,-18049000,-13179000,-9911000,-3268000,-4870000,1627000,-230000,-27000,12000,-203000,1397000,1397000,-281000,1116000,1116000,1116000,785000,118432000,34885000,83547000,24545000,24545000,4377000,4377000,147354000,18148000,4816000,2811000,317000,1688000,22964000,170318000,9834000,2031000,7803000,56497000,56497000,67514000,10441000,8616000,1231000,11249000,78763000,166682000,-74092000,-1035000,91555000,91555000,170318000,1116000,1944000,946000,7249000,11255000,-3145000,-3145000,-3096000,-83547000,-86692000,84605000,84605000,84527000,9090000,9090000,9081000,3571000,1991000,7956000,0.79799,0.06599,0.03184,0.00857000000000002,0.00461,10.13503,2.18257,0.86028,0.01169,0.02537,0.02212,0.79683,2.95873,0.25711,0.00755,0.07651,-32.60739,-71.56792
"3","2013_Q2",12.98328125,"Down",24883000,-5795000,19088000,-19361000,-14064000,-10168000,-3896000,-5297000,-273000,-260000,59000,77000,-319000,-533000,-533000,-70000,-603000,-603000,-603000,-603000,92646000,47105000,45541000,19032000,19032000,4328000,4328000,116006000,19787000,4373000,2704000,317000,1352000,56717000,172723000,10510000,1761000,8749000,58356000,58356000,69988000,9450000,7847000,990000,9992000,79980000,168489000,-74695000,-1051000,92743000,92743000,172723000,-603000,2119000,1044000,7499000,10059000,-3650000,-3650000,-3650000,5393000,1743000,818000,818000,490000,12292000,12292000,12220000,1846000,1664000,5765000,0.76711,-0.01097,-0.02423,-0.0065,-0.00349,-9.56053,1.65751,0.86238,0.00963,-0.01915,-0.01915,0.79009,2.94478,0.18305,-0.00581,0.05551,-49.28602,333.2674
"4","2013_Q3",18.7565625,"Up",26291000,-5924000,20367000,-19504000,-14213000,-10160000,-4053000,-5291000,863000,102000,69000,81000,33000,965000,965000,-92000,873000,873000,873000,873000,106377000,68619000,37758000,22928000,22928000,4883000,4883000,134188000,22526000,3510000,2597000,317000,596000,46111000,180299000,13912000,2502000,11410000,58835000,58835000,73805000,9981000,8823000,523000,10259000,84064000,171176000,-73822000,-1119000,96235000,96235000,180299000,873000,2374000,1335000,-1771000,2811000,-2474000,-2474000,-2588000,20183000,17709000,1344999.99999999,1344999.99999999,1018000,21538000,21538000,21514000,3237000,1336000,-916000,0.77468,0.03282,0.03321,0.00907,0.00484,-1.04926,1.81814,0.87353,0.00741,0.02747,0.02226,0.82733,3.02835,-0.02882,0.00812,-0.00852000000000001,-32.45011,-121.71611
"5","2013_Q4",22.2240625,"Up",27749000,-6415000,21334000,-19839000,-14688000,-10411000,-4277000,-5151000,1495000,24000,108000,115000,-84000,1519000,1519000,-210000,1309000,1309000,1309000,1309000,100866000,42118000,58748000,25022000,25022000,5116000,5116000,131004000,22493000,3373000,2492000,317000,564000,50671000,181675000,9047000,1097000,7950000,61389000,61389000,71507000,9673000,8456000,533000,9673000,81180000,174088000,-72513000,-1080000,100495000,100495000,181675000,1309000,2557000,1781000,-3326000,2321000,-4126000,-4126000,-4126000,-25741000,-29867000,1211000,1211000,1005000,-26541000,-26541000,-26501000,4052000,1071000,-3190000,0.76882,0.05388,0.04717,0.01303,0.00721,-2.43697,1.83204,0.8078,0.0059,0.04079,0.03596,0.86459,3.13117,-0.09939,0.01177,-0.02868,-24.62858,-66.75251
"6","2014_Q1",26.9824590163934,"Up",29039000,-6526000,22513000,-22289000,-16350000,-11784000,-4566000,-5939000,224000,-134000,96000,102000,-230000,90000,90000,-128000,-38000,-38000,-38000,-38000,97196000,42369000,54827000,28581000,28581000,4679000,4565000,130456000,23075000,3464000,2394000,317000,681000,62147000,192603000,10967000,1930000,9037000,67505000,67505000,79277000,10209000,8889000,1320000,10209000,89486000,176673000,-73594000,38000,103117000,103117000,192603000,-38000,2562000,1731000,5635000,9890000,-3286000,-3286000,-3286000,-6974000,-10260000,739000,739000,564000,193999.999999993,193999.999999993,251000,2786000,805000,5263000,0.77527,0.00771,-0.00131,-0.000370000000000002,-2e-04,-138.5,1.64557,0.86781,0.00418,-0.00118000000000001,-0.00103,0.89935,3.19356,0.163,-0.00033,0.04611,-34.59835,-430.31696
"7","2014_Q2",22.7401587301587,"Down",30356000,-6846000,23510000,-23771000,-17367000,-12492000,-4875000,-6404000,-261000,12000,104000,108000,-92000,-249000,-249000,-182000,-431000,-431000,-431000,-431000,105608000,48296000,57312000,21887000,21887000,4389000,4389000,131884000,24169000,3397000,2296000,317000,784000,66953000,198837000,10462000,2018000,8444000,71410000,71410000,82410000,10300000,8908000,1392000,10300000,92710000,180102000,-72908000,-1067000,106127000,106127000,198837000,-431000,2805000,2251000,10481000,15106000,-3802000,-3802000,-3802000,-6389000,-10191000,1256000,1256000,1006000,5921000,5921000,5927000,2544000,538000,9405000,0.77448,-0.0086,-0.0142,-0.00406,-0.00217,-21.82135,1.60034,0.87358,0.00271,-0.01326,-0.01326,0.93357,3.26384,0.28924,-0.00368,0.08041,-41.3011,402.56705
"8","2014_Q3",25.21125,"Up",32302000,-7175000,25127000,-23337000,-16926000,-11845000,-5081000,-6411000,1790000,41000,127000,130000,-86000,1831000,1831000,-174000,1657000,1657000,1657000,1657000,109345000,41672000,67673000,28062000,28062000,5502000,5502000,142909000,24012000,3236000,2198000,317000,721000,61663000,204572000,10124000,1735000,8389000,71853000,71853000,82247000,10204000,8781000,1423000,10204000,92451000,184420000,-71202000,-1097000,112121000,112121000,204572000,1657000,2977000,2761000,-7307000,88000.0000000019,-2722000,-2722000,-2722000,-5558000,-8280000,1797000,1797000,1565000,-6627000,-6627000,-6624000,4767000,270000,-5088000,0.77788,0.05541,0.0513,0.01478,0.0081,-3.07061000000001,1.73756,0.82456,0.00132,0.05049,0.04001,0.98422,3.41624,-0.15503,0.01352,-0.0415,-22.88127,-60.9357499999998
"9","2014_Q4",33.365,"Up",34348000,-7421000,26927000,-23420000,-16930000,-11774000,-5156000,-6490000,3507000,-119000,125000,127000,-244000,3388000,3388000,-283000,3105000,3105000,3105000,3105000,113418000,88285000,25133000,30278000,30278000,5901000,5901000,149597000,24776000,3142000,2099000,317000,726000,65814000,215411000,10999000,1898000,9101000,74337000,74337000,85336000,10382000,8965000,1417000,10382000,95718000,188956000,-67994000,-1269000,119693000,119693000,215411000,3105000,3044000,2684000,835000,9668000,-3672000,-3672000,-3672000,38886000,35214000,1959000,1959000,1767000,46649000,46649000,46613000,6551000,0,3997000,0.78395,0.1021,0.0904,0.02594,0.01441,1.28728,1.75304,0.7997,0,0.09374,0.08372,1.03695,3.61348,0.12067,0.02387,0.03073,-17.31308,-32.34046
"10","2015_Q1",42.7962295081967,"Up",36573000,-7521000,29052000,-24841000,-17826000,-11938000,-5888000,-7015000,4211000,-568000,87000,87000,-655000,3643000,3643000,22270000,25913000,25913000,25913000,25913000,127218000,76504000,50714000,32993000,32993000,6528000,6528000,166739000,26618000,27219000,2001000,317000,2262000,93285000,260024000,16014000,5661000,10353000,81147000,81147000,97161000,11036000,10064000,972000,11036000,108197000,195167000,-43350000,10000,151827000,151827000,260024000,25913000,3071000,-18646000,6223000,16561000,-3718000,-3718000,-3718000,-27260000,-31076000,2627000,2627000,2755000,-11760000,-11760000,-11781000,7282000,2.91038304567337e-11,-12483000,0.79436,0.11514,0.70853,0.17067,0.09966,-0.48173,1.71611,0.71263,0,0.77454,0.68804,1.09317,4.53811,-0.37312,0.15911,-0.07665,-17.4702,-30.21088
"11","2015_Q2",44.8738095238095,"Up",37493000,-7964000,29529000,-24609000,-17459000,-11443000,-6016000,-7150000,4920000,-77000,101000,101000,-178000,4843000,4843000,-1841000,3002000,3002000,3002000,3002000,142950000,78018000,64932000,38732000,38732000,14167000,7305000,195849000,28279000,18889000,1903000,317000,2254000,78059000,273908000,12599000,2052000,10547000,87929000,87929000,100528000,11106000,10064000,1042000,11106000,111634000,202587000,-40348000,35000,162274000,162274000,273908000,3002000,3182000,5493000,-1651000,10026000,-6148000,-6148000,-6148000,-5804000,-12051000,3448000,3448000,3539000,1514000,1514000,1514000,8102000,0,2144000,0.78759,0.13122,0.08007,0.0185,0.01096,0.71419,1.9482,0.68794,0,0.08888,0.07851,1.11008,4.80456,0.06348,0.01731,0.01237,-17.64379,-29.05488
"12","2015_Q3",33.54453125,"Down",39877000,-8157000,31720000,-26408000,-19203000,-12776000,-6427000,-7205000,5312000,128000,128000,132000,0,5440000,5440000,-2124000,3316000,3316000,3316000,3316000,158110000,84058000,74052000,34552000,34552000,12851000,7311000,205513000,29238000,18263000,1805000,317000,2106000,76532000,282045000,11640000,1042000,10598000,87411000,87411000,99051000,10826000,9711000,1115000,10826000,109877000,209173000,-37032000,27000,172168000,172168000,282045000,3316000,3404000,6298000,2506000,15524000,-4259000,-4259000,-4259000,-7424000,-11683000,2099000,2099000,2199000,6040000,6040000,6040000,8716000,0,9087000,0.79545,0.13321,0.0831600000000002,0.01926,0.01176,2.74035,2.07482,0.6382,0,0.09752,0.0861500000000001,1.17275,5.06332,0.26724,0.01812,0.04966,-18.1402,-29.76468
"13","2015_Q4",35.26671875,"Up",42469000,-8762000,33707000,-26829000,-19265000,-12282000,-6983000,-7564000,6878000,-154000,153000,153000,-307000,6724000,6724000,-2601000,4123000,4123000,4123000,4123000,174145000,94763000,79382000,37876000,37876000,13300000,8947000,225321000,29965000,17270000,1708000,317000,2065000,72967000,298288000,13413000,2055000,11358000,91939000,91939000,105352000,11038000,9884000,1154000,11038000,116390000,214770000,-32909000,37000,181898000,181898000,298288000,4123000,3838000,6744000,1413000,16118000,-4458000,-4458000,-4458000,-2126000,-6584000,1047000,1047000,1171000,10705000,10705000,10705000,10716000,0,10272000,0.79368,0.16195,0.09708,0.02267,0.01382,2.49139,2.13874,0.63986,0,0.12083,0.10884,1.24459,5.33066,0.30103,0.02137,0.05324,-16.25093,-25.31913
"14","2016_Q1",25.9314754098361,"Down",44445000,-9444000,35001000,-27305000,-18786000,-13896000,-4890000,-8519000,7696000,-183000,182000,184000,-365000,7513000,7513000,-2089000,5424000,5424000,5424000,5424000,178966000,91698000,87268000,42325000,42325000,7945000,7945000,229236000,31329000,19672000,1360000,317000,1916000,94278000,323514000,14154000,2368000,11786000,98025000,98025000,112179000,15769000,14564000,1205000,15769000,127948000,223262000,-27485000,-211000,195566000,195566000,323514000,5424000,3936000,6741000,8191000,24292000,-5186000,-5186000,-5186000,-25844000,-31030000,3501000,3501000,3673000,-3065000,-3065000,-3065000,11632000,0,16726000,0.78751,0.17316,0.12204,0.02773,0.01677,3.0837,2.04348,0.65424,4.2351647362715e-22,0.15814,0.14225,1.29581,5.7018,0.48765,0.02567,0.07914,-15.38566,-23.25442
"15","2016_Q2",28.08484375,"Up",46248000,-9551000,36697000,-29100000,-20991000,-14167000,-6824000,-8109000,7597000,168000,237000,250000,-69000,7765000,7765000,-2982000,4783000,4783000,4783000,4783000,205709000,112471000,93238000,42414000,42414000,7448000,7448000,255571000,31786000,20691000,1267000,317000,1942000,87091000,342662000,15906000,4393000,11513000,101557000,101557000,117463000,14703000,13092000,1611000,14703000,132166000,233168000,-22702000,30000,210496000,210496000,342662000,4783000,3834000,804000,7717000,17138000,-4181000,-4181000,-4181000,2726000.00000001,-1573000,2113000,2113000,5208000,20773000,20773000,20773000,11431000,0,17949000,0.79348,0.16427,0.10342,0.02272,0.01396,3.75267,2.17576,0.62788,0,0.13816,0.12641,1.33591,6.08036,0.51847,0.02124,0.0797,-17.99571,-27.07766
"16","2016_Q3",33.48625,"Up",48466000,-10260000,38206000,-32494000,-23006000,-14728000,-8278000,-9488000,5712000,40000,289000,290000,-249000,5752000,5752000,-2214000,3538000,3538000,3538000,3538000,214380000,118194000,96186000,40387000,40387000,7635000,7635000,262402000,40025000,19890000,1174000,317000,2276000,106449000,368851000,22704000,5853000,16851000,103753000,103753000,126457000,14957000,13073000,1884000,14957000,141414000,246489000,-19164000,112000,227437000,227437000,368851000,3538000,3994000,5952000,3839000,17323000,-4785000,-4785000,-4785000,-14934000,-19601000,7383000,7383000,8001000,5723000,5723000,5723000,9706000,7.105427357601e-15,10974000,0.78831,0.11786,0.073,0.01556,0.00959,3.10175,2.07503,0.62177,-5.29395592033938e-23,0.10074,0.09277,1.38005,6.47618,0.31248,0.0146,0.04527,-22.08737,-37.53151
"17","2016_Q4",35.2001587301587,"Up",50987000,-11465000,39522000,-31535000,-21779000,-14498000,-7281000,-9756000,7987000,230000,354000,363000,-124000,8217000,8217000,-3221000,4996000,4996000,4996000,4996000,209977000,98299000,111678000,41910000,41910000,9072000,9072000,260959000,40670000,18477000,1080000,317000,1939000,124077000,385036000,17815000,1491000,16324000,109026000,109026000,126841000,16802000,14416000,2386000,16802000,143643000,255545000,-14168000,16000,241393000,241393000,385036000,4996000,4536000,5273000,5438000,20243000,-9843000,-9843000,-9843000,-34245000,-44088000,3033000,3033000,3950000,-19895000,-19895000,-19895000,12523000,0,11339000,0.77514,0.15665,0.09799,0.0207,0.01298,2.26962,2.05737,0.59506,0,0.1408,0.1293,1.4369,6.80287,0.31955,0.01935,0.04392,-16.76731,-26.28985
