"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","income_loss_from_affiliates","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2014_Q2",30.6984126984127,"Up",181215000,161132000,13582000,6501000,6501000,-55051000,-14731000,40417000,1574000,3425000,-1851000,41991000,41991000,-13022000,28969000,28969000,28969000,28969000,1527846501.11852,39391392.1175971,1016410720.73093,472044388.269992,-130679790.026478,1127133257.45519,52668896.0905308,224707956.944652,590842551.911527,3392519373.49394,1759340553.62055,1197161823.98341,148814535.814591,-168990166.897438,2936326746.52111,255188717.012959,63851370.6045559,191337346.408403,-460049738.667505,771442690.565805,-110389041.938432,456192626.972827,456192626.972827,3392519373.49394,-2007000,-2933000,-7815000,-10748000,-7305000,1123000,1123000,-6096000,-18851000,-18851000,-18851000,0,0.22303,0.15986,0.440804212726276,0.127810246261086,4.47019389315969,0.042240479972322,0.67393,0.6633,4.21577,11.0472468027607,0.16994,2.08331697590096,0.25217,-11.7921756264718
"2","2014_Q3",31.11,"Up",193017000,168604000,13982000,10431000,10431000,-55156000,-16083000,48433000,3990000,5864000,-1874000,52423000,52423000,-16698000,35725000,35725000,35725000,35725000,1778081750.55926,832298196.058799,682953860.365465,262829694.134996,-39627895.0132392,575626628.727595,47296448.0452654,133046478.472326,537080275.955763,3031503686.74697,991992276.810275,1264346911.9917,149214267.907295,-36590583.4487191,2368962873.26056,268327358.506479,65053185.3022779,203274173.204201,-428605369.333753,760310345.282903,62508479.030784,662540813.486413,662540813.486413,3031503686.74697,40535000,-1988000,-26091000,-28079000,-7741000,1637000,1637000,-5839999.99999999,6616000.00000001,6616000.00000001,6616000.00000001,-7.45058059692383e-09,0.25093,0.18509,0.221292106363138,0.0644651231305428,3.27212194657984,0.049055239986161,0.83079,0.81818,4.48866,15.5958534013804,0.18002,1.04575848795048,0.21668,-3.9147178132359
"3","2014_Q4",33.8421875,"Up",197655000,177747000,14200000,5708000,5708000,-58180000,-15920000,47536000,1058000,2915000,-1857000,48594000,48594000,-15340000,33254000,33254000,33254000,33254000,1924267250.18642,1287430398.68627,494384953.455155,142451898.044999,10522368.3289203,274619542.909198,44042482.6817551,83787159.4907753,505277758.651921,2842516562.24899,570916758.936759,1296838970.6639,149484422.635765,39905805.5170936,2057145957.75352,275955786.168826,65728728.4340926,210227057.734734,-412416456.444584,767948448.427634,153882826.343595,785370604.495471,785370604.495471,2842516562.24899,47366000,-622000,9842000,9220000,-7745000,912000,912000,-6783000,49803000,49803000,49803000,0,0.2405,0.16824,0.0977240354543793,0.0288483743768476,2.58837398219328,0.052635079995387,0.77288,0.7603,4.59385,18.3069344671268,0.18001,0.42475616265016,0.2329,0.534710728921367
"4","2015_Q1",36.9837704918033,"Up",203278000,179892000,13844000,9542000,9542000,-60896000,-17952000,48201000,-1722000,134000,-1856000,46479000,46479000,-8982000,37497000,37497000,37497000,37497000,1993711000,1495087000,410642000,87982000,30620000,154573000,42549000,65123000,488966000,2775542000,401412000,1304486000,149625000,74957000,1930480000,279770000,66033000,213737000,-406768000,786908000,185152000,845062000,845062000,2775542000,37191000,-1302000,59214000,52378000,-137066000,-286000,-286000,-135986000,-46417000,-46417000,-46417000,149625000,0.23712,0.18446,0.04437,0.01351,2.28442,0.05391,0.87065,0.84835,4.71993,19.62158,3.18255,0.11867,3.65539,2.46893
"5","2015_Q2",37.86,"Up",195784000,169003000,13495000,13286000,13286000,-58973000,-13775000,42175000,2338000,4194000,-1856000,44513000,44513000,-13915000,30598000,30598000,30598000,30598000,2013721000,1545567000,391663000,76491000,31514000,145948000,42458000,65247000,481676000,2780564000,388776000,1297136000,149636000,83021000,1918569000,281466000,66121000,215345000,-406945000,809740000,177734000,861995000,861995000,2780564000,23407000,-1062000,-15381000,-16443000,-7766000,330000,330000,-6070000,894000,894000,894000,149636000,0.21542,0.15628,0.0355,0.011,2.22573,0.05381,0.70926,0.69554,4.53824,19.98088,0.18001,0.02586,0.25381,2.80076
"6","2015_Q3",40.88015625,"Up",190572000,172339000,13431000,4802000,4802000,-59487000,-16215000,50321000,4329000,6186000,-1857000,54650000,54650000,-17465000,37185000,37185000,37185000,37185000,2020934000,1547534000,391152000,82248000,27087000,174584000,43407000,71575000,477598000,2815185000,430632000,1288276000,149647000,78732000,1947287000,283328000,66163000,217165000,-407041000,838713000,152898000,867898000,867898000,2815185000,47714000,-2227000,-43564000,-45791000,-8212000,1449000,1449000,-6350000.00000001,-4427000.00000001,-4427000.00000001,-4427000.00000001,149647000,0.26405,0.19512,0.04284,0.01321,2.24368,0.05316,0.86054,0.84465,4.41027,20.08512,0.19004,0.02973,0.22084,2.43556
"7","2015_Q4",45.730625,"Up",200946000,179448000,13964000,7534000,7534000,-60505000,-14257000,53133000,-1196000,661000,-1857000,51937000,51937000,-16029000,35908000,35908000,35908000,35908000,2042658000,1591287000,369047000,82324000,28188000,170942000,45038000,72300000,470263000,2829389000,432278000,1287754000,149658000,76548000,1946238000,287052000,66314000,220738000,-402341000,866378000,132062000,883151000,883151000,2829389000,50246000,-3116000,-41509000,-44625000,-8243000,-1740000,-1740000,-4520000,1101000,1101000,1101000,149658000,0.26441,0.17869,0.04066,0.01269,2.20374,0.05289,0.82844,0.81467,4.63607,20.37539,0.19018,0.02864,0.22956,2.28615
"8","2016_Q1",49.3013114754098,"Up",207332000,179371000,13754000,14207000,14207000,-62113000,-17070000,47565000,-1983000,-127000.000000001,-1856000,45582000,45582000,-11729000,33853000,33853000,33853000,33853000,2011246000,1538110000,375424000,97712000,11081000,143662000,47102000,69829000,452545000,2735465000,422094000,1261076000,148554000,80272000,1911996000,287819000,66474000,221345000,-403646000,804875000,134421000,823469000,823469000,2735465000,31219000,-3554000,46823000,46262000,-95356000,-3403000,-3403000,-94588000,-17107000,-17107000,-17107000,148554000,0.22941,0.16328,0.04111,0.01238,2.32188,0.05431,0.77823,0.76192,4.76625,18.93032,2.19209,0.08764,2.81677,2.89021
"9","2016_Q2",51.19359375,"Up",201688000,176918000,13370000,11400000,11400000,-62243000,-14575000,43699000,1894000,3751000,-1857000,45593000,45593000,-14200000,31393000,31393000,31393000,31393000,2065751000,1556968000,389551000,119232000,14569000,115183000,49658000,69489000,445204000,2759854000,407606000,1246695000,148601000,84758000,1887660000,291674000,66602000,225072000,-403584000,827982000,156122000,872194000,872194000,2759854000,21266000,-4088000,-8409000,-13347000,-8286000,1480000,1480000,-4431000,3488000,3488000,3488000,148601000,0.21667,0.15565,0.03599,0.01137,2.16427,0.05384,0.72007,0.70767,4.62619,20.00583,0.19006,0.02622,0.26394,3.06716
"10","2016_Q3",54.23859375,"Up",195984000,180226000,13048000,2710000,2710000,-60521000,-16180000,39006000,3335000,5191000,-1856000,42341000,42341000,-13264000,29077000,29077000,29077000,29077000,2149304000,1631953000,398825000,118526000,29639000,148894000,52605000,75416000,436355000,2892213000,445620000,1267433000,148648000,116978000,1978679000,293618000,66705000,226913000,-403466000,848312000,175070000,913534000,913534000,2892213000,48305000,-4486000,-21946000,-26432000,-8747000,-673000,-672999.999999999,-6803000,15070000,15070000,15070000,148648000,0.19903,0.14836,0.03183,0.01005,2.16596,0.0514,0.66506,0.65487,4.48261,20.89463,0.20006,0.02328,0.30082,3.05104
"11","2016_Q4",49.6009523809524,"Down",206351000,183595000,13504000,9252000,9252000,-61761000,-15580000,31118000,24000,1881000,-1857000,31142000,31142000,-8879000,22263000,22263000,22263000,22263000,2185057000,1687605000,382282000,115170000,13970000,136214000,53643000,75805000,448845000,2913534000,449051000,1293544000,148694000,99831000,1991120000,295944000,66837000,229107000,-403394000,861797000,168067000,922414000,922414000,2913534000,53429000,-3278000,-60218000,-62646000,-8778000,-1164000,-1164000,-6452000,-15669000,-15669000,-15669000,148694000,0.1508,0.10789,0.02414,0.00764,2.1586,0.05104,0.50777,0.50045,4.70637,21.03807,0.20021,0.01916,0.39429,4.32946
"12","2017_Q1",48.5508064516129,"Down",212305000,187869000,13153000,11283000,11283000,-65087000,-16928000,39852000,-1846000,10000,-1856000,38006000,38006000,-5819000,32187000,32187000,32187000,32187000,2075798000,1605209000,369219000,101370000,18269000,126387000,54606000,73147000,429426000,2777633000,433777000,1273751000,148741000,97792000,1954061000,296654000,66875000,229779000,-404495000,797307000,134106000,823572000,823572000,2777633000,51463000,-2615000,59990000,48803000,-96677000,-384000,-384000,-95967000,4299000,4299000,4299000,148741000,0.18771,0.15161,0.03908,0.01159,2.37267,0.05355,0.73277,0.72363,4.83335,18.7495,2.20096,0.08569,3.0036,3.27391
"13","2017_Q2",46.2320634920635,"Down",196914000,183285000,13005000,624000,624000,-63503000,-16660000,23361000,3082000,4938000,-1856000,26443000,26443000,-6615000,19828000,19828000,19828000,19828000,2088362000,1590399000,383929000,114034000,28144000,121863000,56173000,71995000,410981000,2777518000,412862000,1268622000,148788000,99371000,1929643000,298153000,66900000,231253000,-404264000,808342000,145644000,847875000,847875000,2777518000,11265000,-3298000,9202000,5904000,-8793000,1499000,1499000,-7294000,9875000,9875000,9875000,148788000,0.11864,0.10069,0.02339,0.00714,2.27586,0.05357,0.45104,0.44555,4.47929,19.28698,0.20002,0.01897,0.44346,5.16433
"14","2017_Q3",45.385873015873,"Down",196210000,184331000,13238000,-1359000,-1359000,-60695000,-16081000,29087000,4949000,6806000,-1857000,34036000,34036000,-7828000,26208000,26208000,26208000,26208000,2166858000,1651657000,387802000,127399000,21355000,133171000,56547000,76276000,427375000,2881582000,436477000,1320399000,148835000,98137000,2003848000,300448000,66977000,233471000,-400641000,825307000,152620000,877734000,877734000,2881582000,63305000,-2074000,-60980000,-63146000,-9243000,2295000,2295000,-6948000,-6789000,-6789000,-6789000,148835000,0.14824,0.13357,0.02986,0.0091,2.28298,0.05165,0.59557,0.58852,4.45881,19.94623,0.21004,0.02271,0.35268,4.38271
"15","2017_Q4",49.134126984127,"Up",196247000,182025000,14187000,35000,35000,-62066000,-13657000,-2666000,1804000,3660000,-1856000,-862000,-862000,2596000,1734000,1734000,1734000,1734000,2233068000,1713558000,393213000,126297000,26877000,127388000,55770000,77782000,435635000,2956520000,443110000,1395399000,148881000,89974000,2077364000,300944000,66990000,233954000,-400665000,817789000,161088000,879156000,879156000,2956520000,71363000,-1890000,-55695000,-57085000,-9252000,496000,496000,-8756000,5522000,5522000,5522000,148881000,-0.01358,0.00884,0.00196999999999999,0.00059,2.36291,0.05036,0.03936,0.03895,4.45429,19.95451,0.21,0.00704,5.33564,-45.76294
