"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",19.1188888888889,"Down",4.99e+08,-3e+08,1.99e+08,-9.3e+07,-9.3e+07,1.06e+08,7e+06,2383087.74443698,5e+06,2e+06,1.13e+08,0,1.13e+08,-3.8e+07,7.5e+07,7.5e+07,7.5e+07,7.5e+07,-330893252.929848,-330893252.929848,558594701.086782,558594701.086782,149816398.962908,165362426.615095,542880273.734937,338342738.82768,888581877.864022,408672563.68252,79720111.0324601,1226924617.3724,1769804891.10734,174883789.686173,318090809.692795,-143207020.006622,-16506957.4324068,982974847.307114,1057399206.54789,889881766.080239,165748295.085836,2040374053.855,2023867096.4226,3521809126.01489,-4518828378.46179,-3986896648.68152,-254062205.315259,-254062205.315259,1769804891.10734,7.5e+07,1e+07,1e+06,9e+06,9.5e+07,-1.7e+07,-1.8e+07,-1.8e+07,-3e+06,8971301.61711114,-2e+07,-11757237.5196685,-7.5e+07,-7.5e+07,0,0,-29668372.2897329,0,1.16e+08,0,1.46e+08,0.3988,0.21242,0.1503,-0.429882257650339,0.0378803251872188,1.94667,2.9022078137625,-10.4713934056974,0.444116057641017,0.75,0.75,4.99,-2.56416698737447,1.46,0.0681830230457766,0.0198667513429519,-0.14437024939561,0.232667959634227,9.40322030655601,9.93837124561648
"2","2017_Q1",20.7067741935484,"Up",4.94e+08,-3.13e+08,1.81e+08,-9.2e+07,-9.2e+07,8.9e+07,2.6e+07,-9e+06,3e+06,3.2e+07,1.15e+08,-6e+06,1.09e+08,-4.4e+07,6.5e+07,6.5e+07,6.5e+07,6.5e+07,1.72e+08,1.72e+08,3.63e+08,3.63e+08,1.39e+08,5.6e+07,7.3e+08,3.24e+08,7.71e+08,3.89e+08,8.9e+07,1.095e+09,1.825e+09,3.81e+08,1.77e+08,2.04e+08,4e+08,7.24e+08,1.031e+09,8.86e+08,1.43e+08,1.755e+09,2.155e+09,7.12e+08,-1231609459.48726,-1.042e+09,-3.3e+08,-3.3e+08,1.825e+09,6.5e+07,9e+06,-2.3e+07,7.4e+07,1.25e+08,-3.5e+07,-3.4e+07,-3.4e+07,-1.3e+07,1e+06,-4.7e+07,-10585745.8398895,-1.359e+09,9.5e+07,1.73e+08,1.73e+08,-1e+06,1.72e+08,9.8e+07,7.43e+08,1.81e+08,0.3664,0.18016,0.13158,-0.19697,0.03562,2.78462,1.825,-6.5303,0.40712,0.38235,0.38235,2.90588,-1.94118,1.06471,0.0546076743485922,0.04501,0.12535,0.117225986544742,5.82653,6.41573
"3","2017_Q2",21.0007936507936,"Up",4.89e+08,-3.04e+08,1.85e+08,-9.5e+07,-9.5e+07,9e+07,2.6e+07,-1e+07,1e+07,2.6e+07,1.16e+08,-6e+06,1.1e+08,-3.8e+07,7.2e+07,7.2e+07,7.2e+07,7.2e+07,2.36e+08,2.36e+08,3.53e+08,3.53e+08,1.41e+08,2.9e+07,7.59e+08,3.31e+08,7.75e+08,3.86e+08,8.9e+07,1.106e+09,1.865e+09,4.03e+08,1.46e+08,2.57e+08,4.93e+08,6.5e+08,1.008e+09,8.54e+08,1.52e+08,1.658e+09,2.151e+09,-3.4e+08,6.2e+07,-8e+06,-2.86e+08,-2.86e+08,1.865e+09,7.2e+07,9e+06,-1.3e+07,2e+07,8.8e+07,-9e+06,-9e+06,-9e+06,-39109387.94701,-1e+06,-1e+07,-1e+07,-2e+06,-1.6e+07,6.2e+07,6.2e+07,2e+06,6.4e+07,9.9e+07,7.4e+08,1.48e+08,0.37832,0.18405,0.14724,-0.25175,0.03861,2.05556,1.53955,-7.52098,0.39678,0.35122,0.35122,2.38537,-1.39512,0.72195,0.04878,0.05609,0.10123,0.13889,5.09091,5.6
"4","2017_Q3",20.3920634920635,"Down",5.14e+08,-3.16e+08,1.98e+08,-9.7e+07,-9.7e+07,1.01e+08,1.4e+07,-8e+06,5e+06,1.7e+07,1.15e+08,-6e+06,1.09e+08,-3.8e+07,7.1e+07,7.1e+07,7.1e+07,7.1e+07,1.35e+08,1.35e+08,4.05e+08,4.05e+08,1.56e+08,3.6e+07,7.32e+08,3.49e+08,8.26e+08,3.93e+08,8.6e+07,1.175e+09,1.907e+09,3.8e+08,1.7e+08,2.1e+08,4.71e+08,6.46e+08,1.008e+09,8.33e+08,1.73e+08,1.654e+09,2.125e+09,-3.37e+08,1.23e+08,-4e+06,-2.18e+08,-2.18e+08,1.907e+09,7.1e+07,9e+06,-4e+06,-9.4e+07,-1.8e+07,-1.8e+07,-1.8e+07,-1.8e+07,-4.8e+07,0,-6.6e+07,-1e+07,0,-1.4e+07,-9.8e+07,-9.8e+07,-3e+06,-1.01e+08,1.1e+08,7.37e+08,3.6e+07,0.38521,0.1965,0.13813,-0.32569,0.03723,0.50704,1.55414,-9.74771,0.38647,0.34634,0.34634,2.50732,-1.06341,0.17561,0.04878,0.05305,0.02358,0.14085,5.47273,5.9604
"5","2017_Q4",22.0071428571429,"Up",5.34e+08,-3.37e+08,1.97e+08,-1.02e+08,-1.02e+08,9.5e+07,1.2e+07,-1e+07,5e+06,1.7e+07,1.07e+08,-1.3e+07,9.4e+07,-3.8e+07,5.6e+07,5.6e+07,5.6e+07,5.6e+07,1.32e+08,1.32e+08,4.03e+08,4.03e+08,1.81e+08,3.2e+07,7.48e+08,3.69e+08,8.43e+08,3.94e+08,8.6e+07,1.212e+09,1.96e+09,4.31e+08,1.96e+08,2.35e+08,5.21e+08,6.43e+08,9.99e+08,8.11e+08,1.86e+08,1.642e+09,2.163e+09,4e+06,-2.07e+08,-13464209.381389,-2.03e+08,-2.03e+08,1.96e+09,5.6e+07,1.2e+07,-2e+06,2.1e+07,8.7e+07,-1.6e+07,-1.6e+07,-1.6e+07,-1.8e+07,1e+06,-3.3e+07,-1e+07,7e+06,-5.7e+07,-3e+06,-3e+06,4.65661287307739e-10,-3e+06,1.07e+08,7.33e+08,1.5e+08,0.36891,0.1779,0.10487,-0.27586,0.02857,2.67857,1.4357,-10.65517,0.37398,0.27723,0.27723,2.64356,-1.00495,0.74257,0.0495,0.04317,0.0981,0.17857,5.61682,6.32632
"6","2018_Q1",21.7388524590164,"Down",5.47e+08,-3.51e+08,1.96e+08,-1.02e+08,-1.02e+08,9.4e+07,6.9e+07,-1.4e+07,5e+06,7.8e+07,1.63e+08,1.4e+07,1.77e+08,-7.2e+07,1.05e+08,1.05e+08,1.05e+08,1.05e+08,2.01e+08,2.01e+08,3.85e+08,3.85e+08,1.75e+08,2.9e+07,7.9e+08,3.91e+08,7.34e+08,2.81e+08,8.8e+07,1.125e+09,1.915e+09,3.88e+08,1.92e+08,1.96e+08,4.78e+08,1.034e+09,5.2e+08,3.42e+08,1.78e+08,1.554e+09,2.032e+09,7e+06,-1.67e+08,4.3e+07,-1.17e+08,-1.17e+08,1.915e+09,1.05e+08,1.2e+07,-3.36e+08,-6.8e+07,-2.87e+08,-2.5e+07,-2.5e+07,-2.5e+07,-2e+06,1e+06,-2.6e+07,-1e+07,0,3.82e+08,6.9e+07,6.9e+07,0,6.9e+07,1.06e+08,1.124e+09,8.5e+07,0.35832,0.17185,0.19196,-0.89744,0.05483,0.80952,1.65272,-17.36752,0.58695,0.51471,0.51471,2.68137,-0.57353,0.41667,0.04902,0.07531,0.05566,0.09524,8.70755,9.81915
"7","2018_Q2",19.38203125,"Down",5.45e+08,-3.5e+08,1.95e+08,-1.07e+08,-1.07e+08,8.8e+07,5e+06,-1.4e+07,9e+06,1e+07,9.3e+07,-9e+06,8.4e+07,-9.4e+07,-1e+07,-1e+07,-1e+07,-1e+07,1.15e+08,1.15e+08,4.18e+08,4.18e+08,1.7e+08,3.2e+07,7.35e+08,3.84e+08,7.08e+08,1.96e+08,8.6e+07,1.092e+09,1.827e+09,3.49e+08,1.41e+08,2.08e+08,3.68e+08,1.147e+09,5.06e+08,3.31e+08,1.75e+08,1.653e+09,2.021e+09,2e+06,-2.38e+08,4.2e+07,-1.94e+08,-1.94e+08,1.827e+09,-1e+07,1.1e+07,8.5e+07,-6.6e+07,2e+07,-1.4e+07,-1.4e+07,-1.4e+07,-6e+07,5200633.93319343,-7.4e+07,-1.5e+07,-1.9e+07,-3.1e+07,-8.5e+07,-8.5e+07,-1e+06,-8.6e+07,9.9e+07,1.166e+09,1.13e+08,0.3578,0.16147,-0.01835,0.05155,-0.00547,-11.3,1.99728,-10.41753,0.6382,-0.0495,-0.0495,2.69802,-0.9604,0.55941,0.07426,0.00337999999999998,0.07645,-1.5,10.61616,11.94318
"8","2018_Q3",19.9830158730159,"Up",5.69e+08,-3.62e+08,2.07e+08,-1.11e+08,-1.11e+08,9.6e+07,6e+06,-1.6e+07,1.2e+07,1e+07,1.02e+08,-8e+06,9.4e+07,-2.7e+07,6.7e+07,6.7e+07,6.7e+07,6.7e+07,1.27e+08,1.27e+08,4.35e+08,4.35e+08,1.94e+08,3.9e+07,7.95e+08,3.9e+08,6.84e+08,1.71e+08,8.3e+07,1.074e+09,1.869e+09,3.92e+08,1.94e+08,1.98e+08,4.15e+08,1.183e+09,4.97e+08,3.16e+08,1.81e+08,1.68e+09,2.095e+09,5e+06,-2.74e+08,4.3e+07,-2.26e+08,-2.26e+08,1.869e+09,6.7e+07,1.4e+07,-2.8e+07,3.5e+07,8.8e+07,-1.6e+07,-1.6e+07,-1.6e+07,-7000000.00000001,6e+06,-1.7e+07,-1.5e+07,-1e+06,-6.2e+07,9000000.00000003,9000000.00000003,3e+06,1.2e+07,1.1e+08,1.206e+09,1.56e+08,0.3638,0.16872,0.11775,-0.29646,0.03585,2.32836,1.91566,-9.26991,0.64526,0.335,0.33168,2.845,-1.13,0.78,0.075,0.05552,0.10562,0.22388,9.80909,11.23958
"9","2018_Q4",18.4619047619048,"Down",5.77e+08,-3.76e+08,2.01e+08,-1.1e+08,-1.1e+08,9.1e+07,3e+06,-1.5e+07,8e+06,1e+07,9.4e+07,3e+06,9.7e+07,-3.3e+07,6.4e+07,6.4e+07,6.4e+07,6.4e+07,1.07e+08,1.07e+08,4.61e+08,4.61e+08,1.96e+08,2.6e+07,7.9e+08,3.99e+08,6.6e+08,1.47e+08,8.2e+07,1.059e+09,1.849e+09,3.99e+08,1.76e+08,2.23e+08,4.25e+08,1.231e+09,4.81e+08,3.03e+08,1.78e+08,1.712e+09,2.137e+09,8e+06,-3.23e+08,2.7e+07,-2.88e+08,-2.88e+08,1.849e+09,6.4e+07,1.4e+07,8e+06,-1.3e+07,7.3e+07,-2.1e+07,-2.1e+07,-2.1e+07,-4e+06,-1e+06,-2.6e+07,-1.5e+07,-1e+06,-6.2e+07,-1.5e+07,-1.5e+07,-5e+06,-2e+07,1.05e+08,1.257e+09,1.04e+08,0.34835,0.15771,0.11092,-0.22222,0.03461,1.625,1.85882,-7.42014,0.67983,0.32821,0.32653,2.95897,-1.47692,0.53333,0.07692,0.05448,0.07172,0.23438,10.95238,12.63736
"10","2019_Q1",18.392131147541,"Down",5.94e+08,-3.91e+08,2.03e+08,-1.02e+08,-1.02e+08,1.01e+08,-4.4e+07,-1.8e+07,4e+06,-3e+07,5.7e+07,0,5.7e+07,-1.2e+07,4.5e+07,4.5e+07,4.5e+07,4.5e+07,9.6e+07,9.6e+07,4.09e+08,4.09e+08,1.76e+08,4.4e+07,7.25e+08,4.2e+08,7.09e+08,1.38e+08,9.2e+07,1.129e+09,1.854e+09,3.81e+08,1.78e+08,2.03e+08,4.11e+08,1.292e+09,5.09e+08,3.33e+08,1.76e+08,1.801e+09,2.212e+09,9e+06,-3.99e+08,3.2e+07,-3.58e+08,-3.58e+08,1.854e+09,4.5e+07,1.5e+07,1.14e+08,-3.5e+07,1.39e+08,-4.2e+07,-4.2e+07,-4.2e+07,-5.4e+07,0,-9.6e+07,-1.3e+07,-2e+06,-5.4e+07,-1.1e+07,-1.1e+07,0,-1.1e+07,1.16e+08,1.322e+09,5.1e+07,0.34175,0.17003,0.07576,-0.1257,0.02427,1.13333,1.76399,-6.17877,0.71305,0.2356,0.23936,3.10995,-1.87435,0.26702,0.06806,0.03938,0.03462,0.28889,10.56897,12.13861
