"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.9998412698413,"Down",48203000,-31531000,16672000,-25202000,-13170000,-8422000,-4748000,-11847000,-8530000,-388000,-399000,11000,-8918000,-9091000,-171000,-9262000,-9262000,-9262000,-10162000,117803000,80963000,25178000,25178000,26267000,17406000,3560000,186654000,11591000,71589000,65576000,863000,83180000,269834000,36294000,7486000,28808000,25030000,25030000,66324000,1089000,1089000,23017000,89341000,582835000,-402344000,2000,180493000,180493000,269834000,-9262000,1183000,5287000,7850000,5058000,-1481000,-1481000,-1481000,-2207000,46291000,46291000,46291000,49142000,49142000,-4515655.09703913,49142000,-7347000,26928000,-807000,0.34587,-0.17696,-0.21082,-0.0563,-0.03766,0.07941,2.81428,0.49498,0.09979,-0.34126,-0.34126,1.61875,6.06129,-0.0271,-0.04874,-0.00387,12.36899,10.65358
"2","2010_Q3",11.503125,"Down",71653000,-43215000,28438000,-30878000,-17607000,-10184000,-7423000,-13086000,-2440000,-519000,-517000,-2000,-2959000,-2959000,-243000,-3202000,-3202000,-3202000,-3202000,101887000,24721000,35540000,35540000,24943000,19430000,3584000,181800000,11818000,71597000,65576000,2416000,83415000,265215000,30819000,4309000,26510000,29263000,29263000,60082000,1040000,1040000,9612000,69694000,601090000,-405546000,-23000,195521000,195521000,265215000,-3202000,1198000,9008000,-12262000,-5258000,-1425000,-1425000,-1425000,-42058000,11074000,11074000,-8926000,-56242000,-56242000,-2661103.39802608,-56242000,-1242000,8572000,-14686000,0.39688,-0.03405,-0.04469,-0.01638,-0.01207,4.58651,3.02586,0.35645,0.03232,-0.10753,-0.10753,2.40624,6.56595,-0.49318,-0.01561,-0.07159,75.13285,38.24385
"3","2010_Q4",13.93109375,"Up",75492000,-46528000,28964000,-32236000,-17752000,-10408000,-7344000,-14299000,-3272000,79000,75000,4000,-3193000,-5330000,-21000,-5351000,-5351000,-5351000,-5351000,109243000,35141000,32881000,32881000,24920000,13471000,3044000,180515000,11524000,70027000,65576000,2391000,81551000,262066000,34751000,8785000,25966000,18662000,18662000,53413000,992000,992000,10868000,64281000,608602000,-410897000,80000,197785000,197785000,262066000,-5351000,1311000,9364000,3253000,8577000,-1017000,-1017000,-1017000,1825000,18000,18000,18000,10420000,10420000,-1381862.03881565,10420000,-1961000,9876000,296000,0.38367,-0.04334,-0.07088,-0.02705,-0.02042,-0.05532,3.37961,0.325,0.03769,-0.1797,-0.1797,2.53516,6.64198,0.00994,-0.02565,0.00142,50.6716,30.36889
"4","2011_Q1",17.9540322580645,"Up",91695000,-53039000,38656000,-37955000,-21590000,-13107000,-8483000,-16180000,701000.000000001,12000,36999.9999999999,-25000,713000,-1092000,354000,-738000,-738000,-738000,-738000,98324000,66304000,43377000,43377000,24557000,11016000,3245000,177274000,11815000,68467000,65576000,2376000,80282000,257556000,36255000,10268000,25987000,14062000,14062000,50317000,951000,951000,11936000,62253000,606907000,-411635000,31000,195303000,195303000,257556000,-738000,1323000,9905000,-9691000,799000,-1691000,-1691000,-1691000,40152000,216000,216000,-9788000,31163000,31163000,-574931.019407826,31163000,2024000,10985000,-9712000,0.42157,0.00764000000000001,-0.00805000000000003,-0.00378000000000001,-0.00287,13.15989,3.52314,0.31875,0.04265,-0.0247799999999999,-0.0247799999999999,3.07929,6.55863,-0.32615,-0.00356,-0.04686,-43.15168,-124.59201
"5","2011_Q2",20.6265079365079,"Up",71470000,-51081000,20389000,-37082000,-21374000,-12066000,-9308000,-15039000,-16693000,2000,-3000,5000,-16691000,-22732000,-24000,-22756000,-22756000,-22756000,-22756000,38546000,29547000,54342000,54342000,49380000,13746000,2838000,156014000,19283000,217027000,118552000,2491000,236310000,392324000,60668000,1.6e+07,44668000,18076000,18076000,78744000,1833000,1833000,13442000,92186000,734493000,-434391000,36000,300138000,300138000,392324000,-22756000,1617000,10410000,13423000,2694000,-1722000,-1722000,-1722000,-39605000,154000,154000,154000,-36757000,-36757000,-137310.339802608,-36757000,-15076000,11609000,-3351000,0.28528,-0.23357,-0.3184,-0.07582,-0.058,0.14726,1.98128,0.30715,0.02959,-0.76419,-0.76419,2.40009,10.07919,-0.11253,-0.07257,-0.01069,1.78675,1.61367
"6","2011_Q3",15.43234375,"Down",97959000,-67796000,30163000,-42218000,-20839000,-14172000,-6667000,-18584000,-12055000,5000,-19000,24000,-12050000,-17532000,-114000,-17646000,-17646000,-17646000,-17646000,27571000,18660000,57940000,57940000,38489000,17229000,5340000,141229000,18206000,208557000,116175000,2381000,226763000,367992000,50561000,10932000,39629000,23081000,23081000,73642000,1588000,1588000,13558000,87200000,732784000,-452037000,45000,280792000,280792000,367992000,-17646000,2242000,13004000,631999.999999996,-1768000,-2786000,-2786000,-2786000,-2807000,2575000,2575000,-6346000,-10921000,-10921000,34000,-10887000,-9813000,11970000,-11853000,0.30791,-0.12306,-0.18014,-0.06284,-0.04795,0.671709999999998,1.91778,0.31055,0.03253,-0.40383,-0.40383,2.24178,6.42589,-0.27125,-0.05995,-0.04027,1.58983000000002,1.29415
"7","2011_Q4",7.84444444444444,"Down",83655000,-51808000,31847000,-37337000,-18068000,-12593000,-5475000,-16717000,-5490000,-2000,-37000,35000,-5492000,-6896000,-38000,-6934000,-6934000,-6934000,-6934000,32263000,30249000,47901000,47901000,44152000,16479000,6493000,140795000,17222000,203091000,116175000,2273000,220313000,361108000,51392000,11942000,39450000,19448000,19448000,70840000,1662000,1662000,13927000,84767000,735227000,-458971000,85000,276341000,276341000,361108000,-6934000,2090000,9856000,2801000,7813000,-1763000,-1763000,-1763000,5087000,99000,99000,-1353000,11547000,11547000,42000,11589000,-3400000,12265000,-2324000,0.38069,-0.06563,-0.08289,-0.02509,-0.0192,0.33516,1.98751,0.30675,0.03396,-0.14689,-0.14689,1.7722,5.85419,-0.04923,-0.02389,-0.00801,5.88176,3.64262
"8","2012_Q1",8.93370967741935,"Up",91585000,-54531000,37054000,-42210000,-22272000,-16720000,-5552000,-17385000,-5156000,-10000,-38000,28000,-5166000,-5166000,-48000,-5214000,-5214000,-5214000,-5214000,38938000,38938000,46508000,46508000,45229000,12881000,4429000,143556000,16130000,198417000,116175000,2194000,214547000,358103000,50464000,14250000,36214000,15347000,15347000,65811000,1528000,1528000,14875000,80686000,741504000,-464185000,98000,277417000,277417000,358103000,-5214000,2005000,9447000,-388000,5850000,-1084000,-1084000,-1084000,916000,1914000,1914000,1911000,8677000,8677000,12000,8689000,-3151000,13347000,-4575000,0.40459,-0.0563,-0.05693,-0.01879,-0.01456,0.87745,2.18134,0.29085,0.03727,-0.10957,-0.10957,1.92462,5.8298,-0.09614,-0.01784,-0.01565,8.12155,4.96334
"9","2012_Q2",7.83793650793651,"Down",78565000,-44746000,33819000,-41188000,-21670000,-14890000,-6780000,-16966000,-7369000,-57000,-35000,-22000,-7426000,-7426000,-95000,-7521000,-7521000,-7521000,-7521000,49562000,49562000,48140000,48140000,37157000,13350000,3950000,148209000,17182000,194446000,116175000,2050000,211628000,359837000,50054000,14133000,35921000,19685000,19685000,69739000,1198000,1198000,15768000,85507000,745891000,-471706000,145000,274330000,274330000,359837000,-7521000,1960000,8896000,10182000,13517000,-3012000,-3012000,-3012000,-3012000,72000,72000,72000,10577000,10577000,47000,10624000,-5409000,14570000,1856000,0.43046,-0.09379,-0.09573,-0.02742,-0.0209,-0.24678,2.1252,0.31169,0.04049,-0.15718,-0.15718,1.6419,5.73312,0.03879,-0.02593,0.0064,6.46922,4.74854
"10","2012_Q3",5.61031746031746,"Down",78928000,-45707000,33221000,-40051000,-21026000,-14897000,-6129000,-16473000,-6830000,-120000,-53000,-67000,-6950000,-6950000,-141000,-7091000,-7091000,-7091000,-7091000,53085000,53085000,56391000,56391000,33243000,17270000,4597000,159989000,18195000,189648000,116175000,1892000,207843000,367832000,53953000,20247000,33706000,24152000,24152000,78105000,1014000,1014000,15950000,94055000,752465000,-478797000,109000,273777000,273777000,367832000,-7091000,2169000,9063000,448999.999999998,4590000,-3284000,-3284000,-3284000,-3284000,2289000,2289000,2235000,3541000,3541000,-18000,3523000,-4661000,14936000,-7355000,0.4209,-0.08653,-0.08984,-0.0259,-0.01928,1.03723,2.04838,0.34355,0.04061,-0.14782,-0.14782,1.64529,5.70702,-0.15332,-0.02447,-0.02539,8.18472,5.58551
