"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.64888888888889,"Up",383457000,-244773000,138684000,-128141000,-62785000,-37279000,-28077000,10543000,-22439000,-26383000,-31410000,5027000,8296000,-11896000,1743000,-10153000,4939000,-5214000,-5214000,-3103000,-8317000,-132000,-8449000,28986000,28986000,180803000,50532000,392475000,127597000,264878000,652796000,3349178000,3349178000,481267000,977149000,321310000,629314000,4807594000,5460390000,170071000,103354000,66717000,290098000,213759000,153815000,673928000,1565366000,1388030000,275681000,275681000,548684000,563665000,2953396000,3627324000,1290248000,386003000,-32515000,1743736000,89330000,1833066000,5460390000,-5214000,44318000,24318000,-76678000,-13256000,-67542000,-67542000,-67542000,-915000,14381000,-54076000,-11564000,89973000,483000,483000,2785000,81677000,14345000,14345000,14345000,54861000,1855464000,-94298000,0.36167,0.02749,-0.02203,-0.00461,-0.00155,11.16085,0.96864,1.97883,0.3398,-0.0924,-0.09217,4.19377,17.9771,-1.03131,0.12647,0.00061,-0.01858,-1.36868,33.29283,173.24082
"2","2010_Q3",8.0821875,"Down",405755000,-202992000,202763000,-129150000,-62420000,-37376000,-29354000,73613000,-32476000,-26678000,-31761000,5083000,-1940000,41137000,-1343000,39794000,-13491000,26303000,26303000,-3293000,23010000,-132000,22878000,19097000,19097000,171316000,52246000,324031000,72637000,251394000,566690000,3384530000,3384530000,479107000,973195000,321310000,625403000,4836832000,5403522000,153189000,110956000,42233000,287125000,150829000,113723000,591143000,1565527000,1402586000,275519000,275519000,563034000,564033000,2968113000,3559256000,1290247000,408882000,-43599000,1755530000,88736000,1844266000,5403522000,26303000,45290000,12322000,5543000,89458000,-68754000,-68754000,-68754000,-650000,-15156000,-84560000,-11563000,-2973000,295000,295000,-546000,-14787000,-9889000.00000001,-9889000.00000001,-9889000.00000001,118903000,1852652000,69183000,0.49972,0.18142,0.05638,0.0124,0.00423,3.024,0.95863,1.9299,0.34286,0.24988,0.24918,4.43177,18.08216,0.75564,0.12629,0.00675,0.01357,0.50542,15.42059,24.90803
"3","2010_Q4",8.6703125,"Up",503653000,-257475000,246178000,-140771000,-71193000,-38979000,-30599000,105407000,-26207000,-26819000,-31317000,4498000,-1884000,79200000,2206000,81406000,-28813000,52593000,52593000,-3909000,48684000,-132000,48552000,25097000,25097000,200233000,53187000,267067000,15864000,251203000,545584000,3391283000,3391283000,471389000,972553000,321310000,624804000,4835225000,5380809000,175563000,102052000,73511000,194125000,167994000,117064000,537682000,1565687000,1409480000,264598000,264598000,569177000,575705000,2975167000,3512849000,1290464000,434570000,-45589000,1779445000,88515000,1867960000,5380809000,52593000,48405000,15226000,24132000,140356000,-45044000,-45044000,-45044000,-732000,13652000,-32124000,-11564000,-9.3e+07,339000,339000,1993000,-102232000,6e+06,6e+06,6e+06,153812000,1759812000,161713000,0.48878,0.20928,0.0964,0.02599,0.00902,3.33072,1.0147,1.88058,0.32705,0.5303,0.52881,5.50104,18.34336,1.76627,0.12631,0.01193,0.0321,0.23818,11.27815,16.4573
"4","2011_Q1",9.8258064516129,"Up",380652000,-191406000,189246000,-139357000,-68158000,-38070000,-33129000,49889000,-38401000,-26597000,-30885000,4288000,-2295000,11488000,-185914000,-174426000,69620000,-104806000,-104806000,-3258000,-108064000,-132000,-108196000,15404000,15404000,157807000,52479000,318190000,97450000,220740000,543880000,3444444000,3444444000,279584000,957175000,321310000,609440000,4681203000,5225083000,143752000,95969000,47783000,224252000,152120000,120713000,520124000,1563595000,1407916000,270172000,270172000,558195000,579549000,2971511000,3491635000,1290465000,314943000,-57137000,1648271000,85177000,1733448000,5225083000,-104806000,48054000,182094000,-54548000,70794000,-100148000,-100148000,-100148000,-3697000,-1301000,-105146000,-11563000,27875000,130000,130000,8217000,24659000,-9693000,-9693000,-9693000,97943000,1787847000,-126373000,0.49716,0.13106,-0.28424,-0.06242,-0.02071,1.168,1.04567,2.01427,0.34217,-1.1817,-1.19177,4.1574,16.90991,-1.38022,0.12629,-0.0196,-0.02564,-0.10687,18.09668,35.52773
"5","2011_Q2",11.2328571428571,"Up",387663000,-207159000,180504000,-128284000,-58465000,-38473000,-31346000,52220000,-28664000,-26587000,-30615000,4028000,-2077000,23556000,5902000,29458000,-9506000,19952000,19952000,-3183000,16769000,-132000,16637000,12940000,12940000,151798000,51788000,303842000,97201000,206641000,520368000,3466282000,3466282000,275959000,951117000,321310000,603444000,4693358000,5213726000,158635000,88132000,70503000,226252000,119307000,93787000,504194000,1563756000,1407738000,261698000,261698000,553047000,592993000,2971494000,3475688000,1289923000,320150000,-56463000,1653610000,84428000,1738038000,5213726000,19952000,48458000,-2640000,-7032000,58738000,-63129000,-63129000,-63129000,-818000,15009000,-48938000,-11563000,2e+06,1265000,1265000,-3966000,-12264000,-2464000,-2464000,-2464000,100678000,1790008000,40023000,0.46562,0.1347,0.04292,0.00957,0.00319,2.40566,1.03208,1.99978,0.34333,0.18156,0.18062,4.2306,16.9547,0.43677,0.12619,0.00571,0.00811,0.69502,17.65101,34.03041
"6","2011_Q3",11.09734375,"Down",415586000,-220581000,195005000,-140744000,-68795000,-38272000,-33677000,54261000,-29351000,-26279000,-30512000,4233000,-3072000,24910000,-15507000,9403000,-1735000,7667999.99999999,7667999.99999999,-3469000,4199000,-132000,4067000,14023000,14023000,150420000,51370000,351475000,102317000,249158000,567288000,3512515000,3512515000,274713000,947117000,321310000,599478000,4734345000,5301633000,157312000,111460000,45852000,306252000,125883000,98598000,589447000,1563916000,1407649000,250671000,250671000,559974000,597004000,2971565000,3561012000,1290969000,324217000,-59162000,1656024000,84597000,1740621000,5301633000,7667999.99999999,48946000,37397000,-68009000,26002000,-90039000,-90039000,-90039000,-702000,1125000,-89616000,-11564000,8e+07,907000,907000,-4646000,64697000,1083000,1083000,1083000,103207000,1870168000,-53106000,0.46923,0.13057,0.00979000000000006,0.00234,0.000770000000000002,-13.05778,0.96241,2.04583,0.35275,0.0444199999999997,0.0441600000000002,4.5386,16.99328,-0.57997,0.12629,0.00311,-0.01058,2.84337,17.98468,34.20772
"7","2011_Q4",13.0368253968254,"Up",549498000,-290584000,258914000,-150629000,-69756000,-42370000,-38503000,108285000,-30305000,-27375000,-31124000,3749000,-2930000,77980000,-4109000,73871000,-25965000,47906000,47906000,-4112000,43794000,-132000,43662000,22298000,22298000,154592000,53092000,395756000,99506000,130131000,625738000,3549850000,3549850000,251030000,946022000,278297000,667725000,4746902000,5372640000,154585000,71949000,82636000,291252000,193504000,191591000,639341000,1564077000,1482484000,227401000,227401000,598835000,656248000,3046561000,3685902000,1318539000,345614000,-61384000,1602769000,83969000,1686738000,5372640000,47906000,54580000,41668000,-30397000,113757000,-83107000,-83107000,-83107000,548000,16285000,-66274000,-11563000,-1.5e+07,398000,398000,-9581000,-35746000,11737000,11737000,11737000,162865000,1855329000,75326000,0.47118,0.19706,0.07946,0.02589,0.00813,1.72521,0.97872,2.18522,0.34533,0.47878,0.47594,6.02553,17.57519,0.82599,0.12679,0.01099,0.01499,0.26483,11.25491,16.92784
"8","2012_Q1",13.2845161290323,"Up",347872000,-155448000,192424000,-128489000,-60758000,-37932000,-29799000,63935000,-40420000,-29093000,-32598000,3505000,-11327000,23515000,176222000,199737000,-84329000,115408000,115408000,-3283000,112125000,-132000,111993000,15091000,15091000,158863000,54231000,234634000,95130000,139504000,462819000,3627134000,3627134000,260107000,854553000,278297000,576256000,4741794000,5204613000,156253000,103139000,53114000,85087000,131928000,121216000,373268000,1671626000,1491782000,224766000,224766000,660870000,606146000,3163408000,3536676000,1193191000,447650000,-55327000,1585514000,82423000,1667937000,5204613000,115408000,43382000,-86838000,21791000,93743000,-90656000,-90656000,-90656000,-2927000,-11092000,224606000,-10966000,-107052000,3052000,3052000,-214052000,-329018000,-10669000,-10669000,-10669000,107317000,1756713000,122781000,0.55315,0.18379,0.32194,0.06714,0.02152,1.09633,1.23991,2.12039,0.33753,1.35899,1.34793,4.22129,19.23957,1.4899,0.13307,0.02501,0.02497,0.0979200000000001,16.22876,27.24051
"9","2012_Q2",13.7273015873016,"Up",305374000,-136975000,168399000,-114670000,-44800000,-38414000,-31456000,53729000,-28180000,-26274000,-29566000,3292000,-1906000,25549000,4454000,30003000,-9526000,20477000,20477000,-3265000,17212000,-132000,17080000,6976000,6976000,126894000,57289000,236788000,96877000,139911000,427947000,3656224000,3656224000,262065000,851660000,278297000,573363000,4769949000,5197896000,165602000,89992000,75610000,152187000,111477000,100228000,429266000,1671792000,1422780000,136792000,136792000,675341000,610647000,3094572000,3523838000,1187975000,453180000,-48776000,1592379000,81679000,1674058000,5197896000,20477000,48777000,2410000,-58061000,13603000,-84018000,-84018000,-84018000,-635000,15063000,-69590000,-10089000,67100000,5005000,5005000,-14144000,47872000,-8115000,-8115000,-8115000,102506000,1823979000,-30047000,0.55145,0.17594,0.05593,0.0102,0.00329,-1.75919,0.99693,2.10497,0.35091,0.21389,0.21224,3.82415,19.94113,-0.37627,0.12634,0.00552,-0.00611,0.59069,17.72582,33.81792
"10","2012_Q3",15.3212698412698,"Up",323860000,-140772000,183088000,-117982000,-45289000,-41054000,-31639000,65106000,-27668000,-26813000,-30199000,3386000,-855000,37438000,-794000,36644000,-11545000,25099000,25099000,-3455000,21644000,-132000,21512000,3184000,3184000,138556000,59481000,269570000,100715000,168855000,470791000,3677258000,3677258000,254684000,849856000,278297000,571559000,4781798000,5252589000,122982000,74227000,48755000,209387000,118830000,108008000,451199000,1671958000,1437160000,133490000,133490000,685266000,618404000,3109118000,3560317000,1186985000,474692000,-51099000,1610578000,81694000,1692272000,5252589000,25099000,51194000,17877000,-66477000,27693000,-72778000,-72778000,-72778000,-891000,1256000,-72413000,-11681000,57200000,404999.999999999,404999.999999999,-4996000,40928000,-3792000,-3792000,-3792000,116300000,1881345000,-11410000,0.56533,0.20103,0.06642,0.01271,0.0041,-0.5304,1.04342,2.10387,0.35817,0.26955,0.26767,4.05799,20.18066,-0.14297,0.14636,0.00662,-0.00228,0.543,16.14928,28.84774
