"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",3.20587301587302,"Down",15474000,-12272000,3202000,-4135000,-4135000,-933000,2000,2000,-931000,-931000,-473000,-1404000,-1404000,-8438506.89601641,-1404000,-1404000,25830000,25830000,10441000,10441000,6240000,4455000,42511000,5617000,4092000,675000,950000,2467000,9709000,52220000,9291000,1038000,1506000,6747000,721000,10643000,1286000,387000,87000,1673000,12316000,20550000,-2189000,19755000,1788000,39904000,5743490.51322709,39904000,52220000,-1404000,956000,91000,768000,411000,-873000,-873000,-873000,-873000,-188000,-188000,-650000,-650000,-650000,23000,2007000,391000,0.20693,-0.06029,-0.09073,-0.03518,-0.02689,-0.27849,3.99427,0.30864,0.03843,-0.05704,-0.05449,0.62869,1.62126,0.01589,4,-0.03319,0.00924,-1035.78261,25.53376
"2","2010_Q3",2.789375,"Down",15386000,-12107000,3279000,-3770000,-3770000,-491000,33000,33000,-458000,-458000,-416000,-874000,-874000,-5088004.59734427,-874000,-874000,25005000,19448000,10140000,10140000,4231000,2554000,39376000,5130000,3887000,675000,909000,2303000,11017000,50393000,9801000,1045000,1354000,7402000,572000,10415000,1325000,447000,87000,1772000,12187000,20784000,-2189000,18881000,730000,38206000,3373993.67548473,38206000,50393000,-874000,958000,160000,1321000,1565000,-334000,-334000,-334000,-7891000,-219000,-56000,-6382000,-6382000,-6382000,467000,1897000,1870000,0.21312,-0.03191,-0.0568,-0.02288,-0.01734,-2.13959,3.7807,0.31898,0.03764,-0.03441,-0.03441,0.60575,1.50417,0.07362,4,-0.02155,0.04612,-49.4818000000001,47.06314
"3","2010_Q4",2.98359375,"Up",15763000,-11272000,4491000,-4018000,-4018000,473000,49000,49000,522000,522000,-209000,313000,313000,-2749002.75840656,313000,313000,24085000,16917000,9676000,9676000,5359000,3674000,39120000,4583000,4207000,675000,987000,2545000,13290000,52410000,10633000,743000,1384000,8506000,471000,11520000,1416000,507000,87000,1923000,13443000,21016000,-2582000,19194000,1339000,38967000,1779996.20529084,38967000,52410000,313000,918000,-18000,975000,2188000,-232000,-232000,-232000,-4343000,-132000,-376000,-2531000,-2531000,-2531000,1391000,1887000,2343000,0.28491,0.03001,0.01986,0.00803,0.00597,7.48562,3.39583,0.34498,0.036,0.01232,0.01232,0.62059,1.53413,0.09224,4,0.00757,0.05665,-15.9583,-46.93023
"4","2011_Q1",2.73983870967742,"Down",14890000,-11633000,3257000,-3736000,-3736000,-479000,131000,131000,-348000,-348000,1566000,1218000,1218000,-1236501.37920328,1218000,1218000,22995000,14120000,8389000,8389000,5423000,3842000,36807000,4284000,6156000,675000,2797000,2684000,15440000,52247000,9769000,855000,1852000,7062000,458000,10719000,1604000,486000,137000,2090000,12809000,20785000,-2961000,20412000,1202000,39438000,791498.102645418,39438000,52247000,1218000,871000,-1553000,158000,694000,-433000,-433000,-433000,-2640000,-160000,-851000,-2797000,-2797000,-2797000,392000,2062000,-1449000,0.21874,-0.03217,0.0818,0.03088,0.02331,-1.18966,3.43381,0.32479,0.03947,0.04826,0.04826,0.58994,1.56252,-0.05741,5,0.02901,-0.03451,-53.40051,43.7014599999999
"5","2011_Q2",2.56507936507936,"Down",14701000,-10673000,4028000,-4053000,-4053000,-25000,109000,109000,84000,84000,-69000,15000,15000,-365500.459734427,15000,15000,22926000,14379000,8004000,8004000,4829000,3350000,35759000,4120000,6610000,675000,3333000,2602000,16404000,52163000,9639000,987000,1908000,6744000,215000,10286000,1914000,513000,153000,2427000,12713000,20859000,-2961000,20427000,1125000,39450000,238499.367548473,39450000,52163000,15000,8e+05,-228000,587000,1174000,-519000,-519000,-519000,-865000,-50000,-50000,259000,259000,259000,775000,2129000,912000,0.27399,-0.0017,0.00102,0.00038,0.00029,60.8,3.47647,0.32226,0.04081,6e-04,0.00059,0.58442,1.56828,0.03626,6,0.00036,0.02167,-26.83484,831.88
"6","2011_Q3",2.86984375,"Up",16257000,-11370000,4887000,-4071000,-4071000,816000,170000,170000,986000,986000,-228000,758000,758000,49000,807000,807000,20880000,11690000,9621000,9621000,4881000,3455000,35382000,4165000,7541000,675000,3392000,3474000,17744000,53126000,9835000,758000,1793000,7284000,658000,10753000,2643000,521000,153000,3164000,13917000,21047000,-3842000,21234000,819000,39258000,-49000,39209000,53126000,758000,842000,318000,-1770000,148000,-674000,-674000,-674000,-1681000,-275000,-1156000,-2689000,-2689000,-2689000,1658000,3301000,-558000,0.30061,0.05019,0.04964,0.02058,0.01519,-0.691450000000003,3.29043,0.35494,0.06214,0.0322,0.03214,0.64875,1.56662,-0.02227,6,0.01875,-0.01297,-10.60253,-21.5428899999999
"7","2011_Q4",3.4968253968254,"Up",19245000,-12831000,6414000,-4639000,-4639000,1775000,175000,175000,1950000,1950000,-766000,1184000,1184000,192000,1376000,1376000,20929000,12757000,12621000,12621000,5432000,3888000,38982000,5108000,7482000,675000,3355000,3452000,15878000,54860000,12249000,1012000,2210000,9027000,632000,12890000,2829000,153000,153000,2982000,15872000,21319000,-4288000,22610000,-412000,39229000,-241000,38988000,54860000,1184000,692000,363000,-2678000,-439000,-1635000,-1635000,-1635000,2133000,-181000,-627000,1067000,1067000,1067000,2467000,3461000,-1080000,0.33328,0.09223,0.0715,0.03529,0.02508,-0.78488,3.0242,0.4071,0.06309,0.05598,0.05526,0.78289,1.59584,-0.04393,5,0.0323,-0.02535,-7.08066,-9.84113
"8","2012_Q1",4.845,"Up",23739000,-15302000,8437000,-6319000,-6319000,2118000,133000,133000,2251000,2251000,-298000,1953000,1953000,320000,2273000,2273000,17217000,11389000,21706000,21706000,4918000,2984000,43841000,7430000,8126000,675000,3886000,3565000,15556000,59397000,15045000,1528000,2576000,10941000,639000,15693000,2944000,153000,153000,3097000,18790000,21600000,-4288000,24883000,-1027000,41168000,-561000,40607000,59397000,1953000,1080000,-327000,-6569000,-3863000,-3058000,-3058000,-3058000,2574000,-79000,-79000,-1368000,-1368000,-1368000,3198000,3583000,-6131000,0.35541,0.08922,0.09575,0.05598,0.03827,-2.69732,2.79367,0.46273,0.06032,0.0914,0.09096,0.9546,1.65546,-0.24654,5,0.05126,-0.13826,-4.26329,-6.43719999999997
"9","2012_Q2",5.86746031746032,"Up",25136000,-16105000,9031000,-5400000,-5400000,3631000,91000,91000,3722000,3722000,-908000,2814000,2814000,618000,3432000,3432000,23029000,18224000,19083000,19083000,3993000,2521000,46105000,8793000,8222000,675000,3685000,3862000,17015000,63120000,14633000,1693000,2848000,10092000,587000,15230000,3076000,153000,153000,3229000,18459000,22139000,-4288000,28315000,-326000,45840000,-1179000,44661000,63120000,2814000,925000,694000,3293000,7726000,-2104000,-2104000,-2104000,-1081000,-70000,190000,6835000,6835000,6835000,4556000,3663000,6653000,0.35929,0.14445,0.13654,0.07685,0.05437,1.93852,3.02725,0.41331,0.05803,0.14032,0.13213,1.02768,1.87416,0.27201,6,0.0708,0.13724,-4.25066,-5.33352
"10","2012_Q3",4.66746031746032,"Down",22768000,-14654000,8114000,-6186000,-6186000,1928000,90000,90000,2018000,2018000,-365000,1653000,1653000,435000,2088000,2088000,23336000,20732000,18920000,18920000,3844000,2361000,46100000,10410000,7870000,675000,3607000,3588000,18280000,64380000,13522000,1703000,2184000,9635000,586000,14117000,3206000,153000,153000,3359000,17476000,22652000,-4288000,30403000,-249000,48518000,-1614000,46904000,64380000,1653000,958000,432000,-582000,2461000,-2399000,-2399000,-2399000,-198000,35000,245000,2508000,2508000,2508000,2886000,3792000,270000.000000002,0.35638,0.08468,0.09171,0.04452,0.03243,0.12931,3.26557,0.37259,0.0589,0.08324,0.07749,0.90771,1.9343,0.01076,6,0.04106,0.00531000000000001,-6.772,-10.13693
