"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","net_income_from_discontinued_operations","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.3147619047619,"Up",1.734e+09,-1335700000,398300000,-244300000,-171400000,-171400000,-72900000,1.54e+08,-23700000,-23700000,130300000,130300000,-35300000,9.5e+07,-7e+05,-7e+05,94300000,94300000,94300000,-1484194280.58957,-1484194280.58957,-154248478.28872,-154248478.28872,-207449742.551373,243793996.605992,78844296.6211448,-383306.574085693,-1602098504.82367,3225634198.76073,778947201.135913,453871883.854418,527325991.412841,-202250674.131346,4004581399.89664,2402482895.07298,1432292373.5218,528147738.967525,1159003778.76634,-254859144.212063,2007088905.28649,25883742.8090778,1981205162.47741,441862864.606217,2260158584.75526,2200237710.90472,-1387007249.66894,154304767.27369,-1541312016.94263,873151335.086318,1315014199.69253,1716722825.15803,2487373662.62364,-64065644.4250137,1087468695.38044,1087468695.38044,2402482895.07298,9.5e+07,94300000,7e+05,72900000,7900000,9800000,8e+05,-2700000,2100000,2100000,177900000,-90300000,5400000,5400000,-95700000,-95700000,-1900000,-92200000,-34700000,-36800000,-36500000,2e+06,4e+06,-2e+06,7e+05,-68800000,16900000,-4e+05,16500000,16500000,226900000,0,1.74e+08,0.2297,0.08881,0.05438,0.285701903285655,0.104179648342901,1.84517,-1.08873436164695,1.45840542561288,0.0261836542003104,0.67988,0.66737,12.5018,9.87478156230325,1.25451,0.25018,0.194883607870506,1.43533086062715,0.36797,-9.90178937637985,-23.2742157954828
"2","2010_Q3",25.31953125,"Down",1641300000,-1292400000,348900000,-243700000,-169900000,-169900000,-73800000,105200000,-24600000,-24600000,80600000,80600000,-19500000,61100000,-8e+05,-8e+05,60300000,60300000,60300000,-215198093.529855,-215198093.529855,-2816159.42957322,-2816159.42957322,104750085.816209,189197998.868664,64381432.2070483,-744435.524695231,75933831.7254446,3323411399.58691,1054682400.37864,453957294.618139,521308663.80428,79416441.9562182,4378093799.96555,4454027631.69099,784597457.8406,333415912.989175,408934592.922113,42246951.9293123,1022429635.0955,156161247.603026,866268387.49247,1057787621.53541,1780986194.91842,1722279236.96824,5097583.44368613,251101589.09123,-246004005.647544,1786083778.36211,2843871399.89751,2071240941.71934,2487857887.54121,-51755214.8083379,1610156231.79348,1610156231.79348,4454027631.69099,61100000,60300000,8e+05,73800000,18900000,13200000,3700000.00000001,2e+06,-21200000,-21200000,132600000,-115300000,3400000,3400000,-118700000,-118700000,-8e+05,-114400000,-35200000,-10900000,-10300000,4400000,4600000,-2e+05,6e+05,-41100000,-22900000,4e+05,-22500000,-22500000,1.79e+08,0,62000000.0000001,0.21258,0.0641,0.03674,0.137230634428552,0.049009882780967,1.02819,0.100768546117683,1.77207514187096,0.243187884733437,0.43413,0.42495,11.81641,12.1714905207677,0.44636,0.25342,0.085971202623502,0.512140286875717,0.58375,0.954323541206718,-1.25882859849426
"3","2010_Q4",28.65578125,"Up",1.874e+09,-1430300000,443700000,-247500000,-169400000,-169400000,-78100000,196200000,-20700000,-20700000,175500000,175500000,-40600000,134900000,-6e+05,-6e+05,134300000,134300000,134300000,260300000,260300000,5.6e+07,5.6e+07,218100000,164400000,58200000,0,698800000,3374600000,1.169e+09,4.54e+08,518300000,196700000,4543600000,5242400000,511700000,253700000,100400000,157600000,588800000,1.9e+08,398800000,1250400000,1542900000,1484900000,605300000,278100000,327200000,2148200000,3398600000,2242400000,2541600000,-62700000,1843800000,1843800000,5242400000,134900000,134300000,6e+05,78100000,-4900000,14700000,-19200000,-4e+05,2.34e+08,2.34e+08,442100000,-107200000,2500000,2500000,-109700000,-109700000,-2500000,-114100000,-34800000,-102300000,-1.02e+08,5700000,2e+07,-14300000,6300000,-125100000,202900000,5e+05,203400000,203400000,274300000,1692800000,441700000,0.23677,0.1047,0.07166,0.07284,0.02562,3.28891,0.55886,1.84326,0.32291,0.96341,0.94444,13.44333,13.22669,3.16858,0.24964,0.04083,0.10664,0.25912,5.22238,7.30122
"4","2011_Q1",28.831935483871,"Up",1863800000,-1425600000,438200000,-256100000,-1.8e+08,-1.8e+08,-76100000,182100000,-24900000,-24900000,157200000,157200000,-41200000,1.16e+08,-4e+05,-4e+05,115600000,115600000,115600000,248800000,248800000,59400000,59400000,220800000,161200000,57900000,1500000,690200000,3403700000,1182200000,4.54e+08,517300000,210900000,4585900000,5276100000,471200000,246400000,6.3e+07,161800000,513600000,172700000,340900000,1209800000,1466300000,1408700000,7.06e+08,268600000,437400000,2172300000,3382100000,2297900000,2621900000,-82300000,1.894e+09,1.894e+09,5276100000,1.16e+08,115600000,4e+05,76100000,28300000,15800000,4500000,8e+06,-69600000,-69600000,150800000,-106800000,1200000,1200000,-1.08e+08,-1.08e+08,-1200000,-1.08e+08,-35300000,-2.98023223876953e-08,6e+05,-30900000,37700000,-68600000,11200000,-5.5e+07,-12200000,7e+05,-11500000,-11500000,258200000,1691300000,1.23e+08,0.23511,0.0977,0.06202,0.06103,0.02191,1.06401,0.57051,1.78569,0.32056,0.82454,0.80166,13.29387,13.50927,0.87732,0.25178,0.03516,0.02866,0.30536,5.58675,7.92147
"5","2011_Q2",29.8280952380952,"Up",1806700000,-1365400000,441300000,-257600000,-180900000,-180900000,-76700000,183700000,-24600000,-24600000,159100000,159100000,-45800000,113300000,-2e+05,-2e+05,113100000,113100000,113100000,77500000,77500000,4.7e+07,4.7e+07,2.1e+08,169200000,57900000,3197227.79706548,503700000,3444200000,1.162e+09,4.54e+08,517300000,190700000,4606200000,5109900000,493400000,261200000,103800000,128400000,573700000,146500000,427200000,1148100000,1467100000,1409800000,624300000,2.57e+08,367300000,2091400000,3239500000,2311500000,2690600000,-93200000,1870400000,1870400000,5109900000,113300000,113100000,2e+05,76700000,4400000,13200000,-13500000,4700000,20500000,20500000,214900000,-108900000,4300000,4300000,-113200000,-113200000,-2900000,-109700000,-44400000,-1.44e+08,6300000,-89900000,5700000,-95600000,4e+05,-277900000,-172700000,1400000,-171300000,-171300000,260400000,1548100000,217800000,0.24426,0.10168,0.0626,0.06047,0.02213,1.92573,0.43872,1.73198,0.30296,0.81602,0.79817,13.03535,13.49495,1.57143,0.32035,0.03896,0.05387,0.39257,5.64747,8.00544
"6","2011_Q3",29.903125,"Up",1726200000,-1341500000,384700000,-2.58e+08,-1.8e+08,-1.8e+08,-7.8e+07,126700000,-23500000,-23500000,103200000,103200000,-27500000,75700000,-1200000,-1200000,74500000,74500000,74500000,52900000,52900000,5.6e+07,5.6e+07,273900000,180200000,55800000,3700000,5.63e+08,3520600000,1168700000,4.54e+08,517300000,197400000,4689300000,5252300000,435900000,255500000,52400000,1.28e+08,576500000,156700000,419800000,1255400000,1465700000,1408800000,652600000,276600000,3.76e+08,2118300000,3373700000,2350900000,2.721e+09,-80800000,1878600000,1878600000,5252300000,75700000,74500000,1200000,7.8e+07,16200000,17900000,6700000,-8400000,-102700000,-102700000,67200000,-1.63e+08,0,0,-1.63e+08,-1.63e+08,-3200000,-166200000,-43900000,1.62e+08,162500000,-50100000,2.5e+07,-75100000,6300000,74300000,-24700000,1e+05,-24600000,-24600000,204700000,1708700000,-33500000,0.22286,0.0734,0.04316,0.03966,0.01418,-0.44966,0.44846,1.79586,0.32532,0.54142,0.52725,12.54506,13.65262,-0.24346,0.31904,0.02793,-0.00790000000000001,0.58926,8.08891,13.06867
"7","2011_Q4",28.6157142857143,"Down",1976900000,-1478400000,498500000,-275500000,-1.95e+08,-1.95e+08,-80500000,2.23e+08,-2.4e+07,-2.4e+07,1.99e+08,1.99e+08,-47200000,151800000,-6e+05,-6e+05,151200000,151200000,151200000,89700000,89700000,72300000,72300000,326900000,209800000,78300000,3700000,698700000,3553500000,1162600000,4.54e+08,517200000,191400000,4716100000,5414800000,502500000,274700000,66500000,161300000,689900000,229600000,460300000,1331400000,1.464e+09,1407600000,695900000,323900000,3.72e+08,2159900000,3491300000,2383100000,2828200000,-71100000,1923500000,1923500000,5414800000,151800000,151200000,6e+05,80500000,45900000,17600000,3.5e+07,-6700000,102400000,102400000,380600000,-112400000,1500000,1500000,-113900000,-113900000,-2400000,-114600000,-43700000,-1.04e+08,-103300000,-8.6e+07,19200000,-105200000,5e+06,-228700000,37300000,-5e+05,36800000,36800000,303500000,1.603e+09,340700000,0.25216,0.1128,0.07648,0.07861,0.02792,2.25331,0.52479,1.81508,0.29604,1.10932,1.08,14.50404,14.11225,2.49963,0.32062,0.04616,0.08069,0.28902,4.98616,6.7861
"8","2012_Q1",30.8638709677419,"Up",1990400000,-1514200000,476200000,-268400000,-186800000,-186800000,-81600000,207800000,-21500000,-21500000,186300000,186300000,-48400000,137900000,-4e+05,-4e+05,137500000,137500000,137500000,70500000,70500000,65400000,65400000,300100000,227800000,7.7e+07,5200000,663800000,3.622e+09,1180800000,4.54e+08,517100000,209700000,4802800000,5466600000,4.92e+08,251300000,73600000,167100000,609300000,2e+08,409300000,1286800000,1463300000,1407300000,780300000,345400000,434900000,2243600000,3530400000,2408800000,2921900000,-69200000,1936200000,1936200000,5466600000,137900000,137500000,4e+05,81600000,18800000,17900000,6e+05,3e+05,-6300000,-6300000,2.32e+08,-156400000,1200000,1200000,-157600000,-157600000,-2100000,-162200000,-43500000,46500000.0000001,121800000,-96500000,13100000,-109600000,4800000,-88700000,-18900000,-3e+05,-19200000,-19200000,289400000,1648800000,175100000,0.23925,0.1044,0.06908,0.07102,0.02515,1.27345,0.51585,1.82337,0.30161,1.02079,0.99493,14.77654,14.37416,1.29993,0.32294,0.04146,0.04011,0.31636,5.4537,7.59528
"9","2012_Q2",32.2619047619048,"Up",1.942e+09,-1506400000,435600000,-266900000,-182800000,-182800000,-84100000,168700000,-21700000,-21700000,1.47e+08,1.47e+08,-40200000,106800000,-2e+05,-2e+05,106600000,106600000,106600000,74200000,74200000,64400000,64400000,3.43e+08,250400000,81700000,5200000,7.32e+08,3690200000,1.172e+09,4.54e+08,516900000,201100000,4862200000,5594200000,504500000,2.89e+08,85800000,129700000,617200000,177800000,439400000,1452200000,1461500000,1405900000,777200000,352700000,424500000,2238700000,3690900000,2444400000,2970700000,-96700000,1903300000,1903300000,5594200000,106800000,106600000,2e+05,84100000,9900000,11500000,5e+05,-2100000,-82500000,-82500000,118300000,-136600000,1600000,1600000,-138200000,-138200000,-4e+05,-140100000,-57700000,1.45e+08,145800000,-68600000,22700000,-91300000,7e+06,25700000,3900000,-2e+05,3700000,3700000,252800000,1.792e+09,73900000,0.2243,0.08687,0.05489,0.05601,0.01906,0.69325,0.50406,1.93921,0.32033,0.79671,0.77697,14.5142,14.22496,0.55232,0.43124,0.03674,0.01652,0.54128,6.79509,10.18257
"10","2012_Q3",33.8942857142857,"Up",1831400000,-1460600000,370800000,-273100000,-187400000,-187400000,-85700000,97700000,-25200000,-25200000,72500000,72500000,-18500000,5.4e+07,-299999.999999998,-299999.999999998,53700000,53700000,53700000,50200000,50200000,75800000,75800000,396600000,275400000,6.9e+07,36700000,7.98e+08,3838500000,1228100000,4.71e+08,533600000,223500000,5066600000,5864600000,456200000,271600000,57100000,127500000,603700000,190500000,413200000,1864800000,1508500000,1453300000,777400000,363900000,413500000,2285900000,4150700000,2457900000,2968500000,-110100000,1713900000,1713900000,5864600000,5.4e+07,53700000,299999.999999998,85700000,3.4e+07,13200000,13500000,7300000,-211700000,-211700000,-3.8e+07,-199700000,5e+05,5e+05,-200200000,-200200000,-5500000,-2.68e+08,-55900000,524500000,124900000,-182200000,5600000,-187800000,-4300000,282100000,-23900000,-1e+05,-2.4e+07,-2.4e+07,183400000,2313400000,-209500000,0.20247,0.05335,0.02932,0.03133,0.00916,-3.9013,0.42793,2.42179,0.39447,0.41244,0.40315,14.06605,13.16359,-1.60906,0.42934,0.02281,-0.0436,1.04097,12.34024,23.16479
