"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",137.559375,"Up",69890000,-36208000,33682000,-31810000,-28389000,-3421000,1872000,-775000,49000,1097000,-1813000,-716000,74902859.9476294,-716000,-965000,-965000,-1931000,82231443.6573242,82231443.6573242,-118533252.727442,-118533252.727442,219379102.329013,68703630.332053,-52814565.4075553,251780923.590948,-19376319.80755,-4817857046.33857,489661853.565835,-4837233366.14612,-4585452442.55517,-17290102.0124414,36669474.915012,-53878940.2822776,167129921.758266,-1640328227.82509,-1583245364.14409,-3929763426.71045,-3762633504.95218,-742265202.642902,-3141053.99553316,-168667049.59735,24279848.1477578,-822818937.602989,-822818937.602989,-4585452442.55517,-965000,3584000,2815000,-6883000,-1449000,-2448000,-2448000,-2118000,-330000,-23448000,14875000,1394000,1394000,899632.704250908,16269000,-8628000,-8628000,59000,-8569000,5456000,0,-282687454.291621,0.48193,0.02678,-0.02763,-0.0734385646214666,0.309892816925923,-1551.30041904202,5.27479876600544,-9.98034804239414,-2.59315208928817,-0.91826,-0.91826,33.23513,-717.14639357039,-133.984338515669,-0.787703096089884,-2.68641151447437,-360.321372270455,303.94894499635
"2","2018_Q3",137.847619047619,"Up",70685000,-40645000,30040000,-32536000,-29266000,-3270000,-2496000.00000001,-842000,-71000,-3338000,-4824000,-8162000,2453000,-5709000,-5460000,-5460000,-6441000,45619221.8286621,45619221.8286621,-32024626.3637208,-32024626.3637208,142797051.164506,41433815.1660265,-19325282.7037777,197825461.795474,30532340.096225,-2238271023.16929,206280926.782917,-2207738683.07306,-2009913221.27759,24687448.9937793,32124237.457506,-7396470.14113878,117475960.879133,-795412113.912543,-770867182.072046,-1857198213.35522,-1739722252.47609,-125207601.321451,-4018026.99776658,-213939024.798675,6396424.0738789,-270190968.801494,-270190968.801494,-2009913221.27759,-5460000,3484000,10652000,2151000,10827000,-2136000,-2136000,-1738000,-398000,-2136000,-7199999.99999999,34999.9999999995,35000,27204.1089338177,-8191000,499999.999999998,499999.999999998,-66000,434000.000000002,988000,0,-1450000,0.42498,-0.03531,-0.09112,-0.133009282310733,0.107831408462961,0.22512,3.44551438300272,-4.48833902119707,-1.14886104464409,-3.03879,-3.03879,33.34837,-281.418746785195,-0.68409,-0.444996548044942,-1.47947075723719,-184.763341135227,-0.512387501825088
"3","2018_Q4",130.266666666667,"Down",69064000,-31409000,37655000,-33277000,-29671000,-3606000,4378000,-598000,-1000,3780000,131000,3911000,-806999.999999996,3104000,3104000,3104000,2931000,22999740.609554,22999740.609554,21191457.8787597,21191457.8787597,111344017.054835,20137271.7220088,-115760.901259221,175672487.265158,62347780.032075,-677551341.056428,57259308.9276392,-615203561.024354,-439531073.759195,46011482.9979264,28898079.152502,17126843.2862871,79601653.6263777,-270071704.637514,-263462394.024015,-590910404.451742,-511308750.825364,246487466.226183,-4568008.99925553,-233117674.932892,-3351858.64204037,71777677.0661685,71777677.0661685,-439531073.759195,3104000,3726000,816000,-6017000,1629000,-5320000,-5320000,-3250000,-2070000,-2320000,-4421000,905000,905000,-389923.459149818,-3525000,-4216000,-4216000,-8000,-4224000,8104000,0,-2425999.99999999,0.54522,0.06339,0.04244,-0.0707464274369111,0.0231038028209871,-0.827699999999997,2.88301146100091,-1.20339300706569,-0.278810348214696,1.38062,1.38062,32.53201,-28.8816622617317,-1.14275,-0.162245516014981,-0.686680252412396,-68.2917270450758,-70.357549167275
"4","2019_Q1",144.673770491803,"Up",-117527000,74669000,-42858000,-14939000,-10826000,-4113000,-57797000,2221000,-6000,-55576000,-4265000,-59841000,13513000,-46328000,198000.000000001,197999.999999999,198000,10949000,10949000,48096000,48096000,107655000,8413000,8413000,175113000,77954000,107118000,4003000,185072000,360185000,52084000,26219000,25865000,56992000,6363000,5619000,55436000,112428000,433207000,-4869000,-239537000,-7270000,247757000,247757000,360185000,197999.999999999,3785000,-275000.000000001,2537000,6245000,-4833000,-4833000,-3936000,-897000,-4833000,0,-456000,22000.0000000001,-478000,-459999.999999993,952000,952000,-25000,927000.000000001,-54012000,53981000,-69821000,0.36467,0.49178,-0.00168,8e-04,0.00055,-352.63131,3.07259,0.45378,0.14987,0.0935900000000003,0.0935900000000003,-55.55133,85.80402,-33.0022,0.00064,-0.22662,-0.79671,-0.74454
"5","2019_Q2",144.009523809524,"Down",70021000,-32134000,37887000,-36452000,-32116000,-4336000,1435000,-1504000,-31000,-69000,-8972000,-9041000,-309999.999999998,-9351000,-9351000,-9351000,-9351000,6043000,6043000,55670000,55670000,114365000,9860000,9860000,185938000,79235000,358553000,7918000,437788000,623726000,48307000,23315000,24992000,53132000,104562000,103027000,268177000,321309000,495338000,-4999000,-246531000,-7663000,302417000,302417000,623726000,-9351000,4400000,2018000,-12624000,-15557000,-3805000,-3805000,-3477000,-328000,-103726000,1.15e+08,284000,284000,-363275.513616727,114427000,-4856000,-4856000,-50000,-4906000,5835000,168440000,-10284000,0.54108,0.02049,-0.13355,-0.03092,-0.01499,1.09978000000001,3.49955,1.06247,0.27005,-4.27575,-4.27575,32.01715,107.97746,-4.70237000000001,-0.01625,-0.01787,27.83153,113.16864
"6","2019_Q3",106.771875,"Down",81554000,-35430000,46124000,-44976000,-41108000,-3868000,1148000,-3628000,-19000,-2480000.00000001,-362999.999999998,-2843000,3031000,188000.000000007,188000,188000,188000,4518000,4518000,56163000,56163000,127906000,8733000,8733000,197320000,79691000,344400000,27987000,424091000,621411000,45434000,20766000,24668000,50178000,101259000,100934000,266340000,316518000,496671000,-5041000,-245787000,-7268000,304893000,304893000,621411000,188000,5908000,-725000.000000002,-2753000,2618000,-4233000,-4233000,-3435000,-798000,-4233000,0,-61000,111000,-172000,67000,-1548000,-1548000,23000,-1525000,7056000,169825000,-2961000,0.56556,0.01408,0.00230999999999998,0.00062,3e-04,-15.75,3.9324,1.03813,0.27329,0.0751299999999997,0.0751299999999997,32.59147,95.34187,-1.18331,0.00033,-0.00514,23.42786,143.99564
"7","2019_Q4",70.10625,"Down",-65726000,42853000,-22873000,-26501000,-22230000,-4271000,-49374000,5205000,-38000,-44169000,-3089000,-47258000,7234000,-40024000,-5138000,-5138000,-5138000,2950000,2950000,56556000,56556000,130913000,8631000,8631000,199050000,81206000,307475000,25616000,388681000,587731000,48867000,17800000,31067000,51615000,67124000,65990000,236261000,287876000,497593000,-5073000,-250639000,-8390000,299855000,299855000,587731000,-5138000,6034000,1997000,-2458000,435000,-4630000,-4630000,-3970000,-660000,-4401000,2500000,-32000,0,-32000,2468000,-1498000,-1498000,-69000,-1567000,-43340000,171885000,-57662000,0.34801,0.75121,0.07817,-0.0171299999999999,-0.00873999999999996,11.22265,3.85644,0.96005,0.29246,-2.05168,-2.05168,-26.24536,93.23641,-23.02529,-0.00953000000000003,-0.10701,-3.8979,-3.42153999999996
"8","2020_Q1",104.520967741935,"Up",31574000,-8065999.99999999,23508000,-44303000,-39942000,-4361000,-20795000,-34000.0000000019,-34000,-20829000,-162886000,-183715000,-15876000,-199591000,-197341000,-197341000,-197341000,5608000,5608000,23216000,23216000,24574000,142416000,4034000,195814000,789000,147906000,12055000,148695000,344509000,25759000,10236000,15099000,240388000,3147000,2862000,3147000,243535000,498513000,-5141000,-451179000,-7629000,100974000,100974000,344509000,-197341000,6333000,192059000,1997000,3048000,-3765000,-3765000,-3544000,-221000,-3765000,3500000,-69000,3.63797880709171e-12,-69000,3334000,2617000,2617000,40000,2657000,-14462000,0,-354000,0.74454,-0.65861,-6.25011,-1.95437,-0.57282,0.00179,0.81457,2.41186,0,-78.72816,-78.72816,12.59628,13.78913,-0.14123,-1.8953,-0.0034,0.38777,0.26968
"9","2020_Q2",74.4904761904762,"Down",27102000,-9224000,17878000,-41475000,-37193000,-4282000,-23597000,-194000,-244000,-23791000,-4288000,-28079000,3539000,-24540000,-17863000,-17863000,-17863000,6557000,6557000,54921000,54921000,126760000,8422000.00000003,8422000,196660000,70716000,77694000,12287000,148410000,345070000,76164000,38520000,37644000,257557000,3633000,3633000,3632999.99999997,261190000,499799000,-5334000,-469042000,-7999000,83880000,83880000,345070000,-17863000,2239000,4233000,17907000,6516000,-5370000,-5370000,-5084000,-286000,-5370000,81386721.6547626,-173000,20000,-193000,-173000,973000,973000,-24000,949000,-21358000,181393000,-12360000,0.65966,-0.87067,-0.6591,-0.21296,-0.05177,0.69193,0.76356,3.11385,0.52567,-7.07248,-7.07248,10.73046,6.89866000000001,-4.89368,-0.0664300000000004,-0.04596,-8.18597,-7.40925
"10","2020_Q3",76.4859375,"Up",20534000,-9469000,11065000,-35422000,-32148000,-3274000,-24357000,216000,195000,-24141000,-758000,-24899000,-47000,-24946000,-38564000,-38564000,-38564000,2229000,2229000,46865000,46865000,122596000,9493000,9493000,181183000,70131000,80499000,11201000,150630000,331813000,67410000,37490000,29920000,282879000,2316000,2316000,2316000,285195000,500776000,-5353000,-507606000,-7701000,46618000,46618000,331813000,-38564000,2448000,4462999.99999997,10548000,-21105000,-2364000,-2364000,-2231000,-133000,-2363999.99999999,20867000,-19000,-3.63797880709171e-12,-19000,19108000,-4361000.00000001,-4361000.00000001,33000,-4328000,-21909000,192449000,-13678000,0.53886,-1.18618,-1.87806,-0.82723,-0.11622,0.35468,0.6405,6.1177,0.57999,-15.20913,-15.20913,8.09834,-7.84199,-5.39442,-0.15976,-0.05667,-8.68228,-7.80966
"11","2020_Q4",65.1984375,"Down",27926000,-11892000,16034000,-29709000,-27501000,-2208000,-13675000,42000,21000,-13633000,-12767000,-26400000,0,-26400000,122685000,122685000,122685000,95790000,95790000,24485000,24485000,28195000,4278000,4278000,152748000,617000,14979000,14979000,15596000,168344000,53586000,10760000,13720000,53586000,3882000,1323000,3882000,57468000,503976000,-5559000,-384922000,-2619000,110876000,110876000,168344000,122685000,1316000,-175660000,-6421000,-58080000,-2423000,-2423000,-2423000,0,434674000,-215153000,-206000,0,-206000,-281840000,94754000,94754000,-1193000,93561000,-12359000,0,-21203000,0.57416,-0.48969,4.39322,1.10651,0.72878,-0.17282,2.85052,0.51831,0,55.14622,55.14622,12.55258,49.83814,-9.53063,1.06908,-0.18476,7.75063,7.00475
"12","2021_Q1",69.7672131147541,"Up",26187000,-13417000,12770000,-124764000,-27582000,-2183000,-111994000,276000,307000,-111718000,-6585000,-118303000,-6000,-118309000,-100041000,-100041000,-100041000,43962000,43962000,27095000,27095000,22841000,10284000,10284000,104182000,521000,18001000,18001000,18522000,122704000,37827000,13418000,12648000,46823000,51711000,51711000,51711000,98534000,517204000,-5656000,-484962000,-2416000,24170000,24170000,122704000,-100041000,578000,6497000,77597000,-15369000,-3881000,-3881000,-377000,-3504000,-35998000.0000001,-5.96046447753906e-08,-95000,2000,-96999.9999999999,-133000,-51500000,-51500000,-328000,-51828000,-111416000,0,-37694000,0.48765,-4.2767,-3.82025,-4.13906,-0.8153,0.37679,2.22502,4.07671,0,-38.11827,-38.11827,9.97794,9.20941,-14.36241,-1.31839,-0.49675,0.39458,0.39254
"13","2021_Q2",51.2119047619048,"Down",23291000,-6238000,17053000,-29036000,-26161000,-2875000,-11983000,-541000,-545000,-12524000,-2447000,-14971000,-219000,-15190000,-15190000,-15190000,-15190000,63763000,63763000,29325000,29325000,22852000,5001000,5001000,120941000,526000.000000002,22776000,22776000,23302000,144243000,56017000,13140000,30816000,56017000,41842000,41842000,41842000,97859000,554647000,-5766000,-500152000,-2345000,46384000,46384000,144243000,-15190000,520000,7851000,-7707000,-14526000,-2482000,-2321000,-2321000,-3546169.42703901,-2482000,36484000,-87000,23000,-110000,36397000,19389000,19389000,412000,19801000,-11463000,0,-21433000,0.73217,-0.51449,-0.65218,-0.32748,-0.10531,1.41099,2.15901,2.10976,0,-4.64944,-4.64944,7.12904,14.19748,-6.56033,-0.17217,-0.24293,5.56251,5.32112
"14","2021_Q3",36.6209375,"Down",24834000,-7229000,17605000,-28724000,-25540000,-3184000,-11119000,196000,95000.0000000002,-10923000,365000,-10558000,-81000,-10639000,-16192000,-16192000,-16192000,69257000,69257000,30503000,30503000,26466000,23422000,23422000,149648000,1045000,19117000,19117000,20162000,169810000,52799000,9577000,42725000,52799000,64199000,39973000,64199000,116998000,577325000,-5789000,-516344000,-2380000,52812000,52812000,169810000,-16192000,633000,5075999.99999999,-21138000,-31621000,-2781000,-2942000,-2631000,-311000,-8541000,45842000,-23000,3.63797880709171e-12,-23000,45819000,5657000,5657000,-163000,5494000,-10486000,1.86264514923096e-09,-34324000,0.70891,-0.44773,-0.65201,-0.3066,-0.09535,2.11981,2.8343,2.21537,0,-4.95614,-4.95614,7.60133,16.16499,-10.50608,-0.13838,-0.29334,6.60471,6.22871
"15","2021_Q4",26.745625,"Down",20545000,-6811000,13734000,-26533000,-27564000,-2901000,-12799000,-354000,-471000,-13153000,3594000,-9559000,1304000,-8255000,-7906000,-7906000,-7906000,68360000,68360000,20652000,20652000,27442000,19625000,19625000,136079000,1028000,19636000,19636000,20664000,156743000,36830000,9482000,26844000,55236000,54396000,54396000,54396000,109632000,579193000,-5814000,-524250000,-2018000,47111000,47111000,156743000,-7907000,703000,1649000,10091000,4536000,-6067000,-2904016.1980403,-2011316.18578126,3451879.91705385,-6065000,0,-25000,0,-25000,-25000,-1554000,-1554000,657000,-897000,-12096000,0,-9376000,0.66848,-0.62297,-0.38481,-0.16782,-0.05044,1.18593000000001,2.46359,2.3271,-3.46944695195361e-18,-2.02686,-2.02686,5.26712,12.07784,-2.40372,-0.0778900000000001,-0.09237,5.65146,5.34104
"16","2022_Q1",15.1972580645161,"Down",21830000,-9497000,12333000,-102418000,-25403000,-4928000,-90085000,-546000,-526000,-90631000,1927000,-88704000,-118000,-88822000,-87260000,-45363000,-45363000,51287000,51287000,19197000,19197000,26204000,9984000,9984000,106672000,945000,16182000,16182000,17127000,123799000,28457000,10204000,17769000,92398000,13182000,13182000,23164000,115562000,585522000,-5852000,-569613000,-1820000,8237000,8237000,123799000,-87259000,623000,2866000,73589000,-10181000,-8172000,-1947473.94420746,-1453583.02731535,5847887.50845275,-7744000,0,-38000,0,-38000,368999.999999993,-17556000,-17556000,483000,-17073000,-89462000,9982000,-23927000,0.56496,-4.12666,-2.07801,-5.50722,-0.36642,0.52746,1.15448,14.02962,0.08063,-6.74834,-6.74834,3.2475,1.22536,-3.55945,-1.44464,-0.76198,0.4617,0.45851
"17","2022_Q2",5.51516129032258,"Down",20605000,-6410000,14195000,-29764000,-25317000,-4447000,-15569000,-633000,-353000,-16202000,16391000,189000,-162000,27000,27000,27000,27000,44677000,44677000,20458000,20458000,22980000,13191000,13191000,101306000,9e+05,19339000,19339000,20239000,121545000,28346000,12089000,15813000,28346000,47479000,47479000,57513000,85859000,603052000,-5857000,-569586000,8077000,35686000,35686000,121545000,27000,562000,-11063000,-8664000,-19138000,-1342000,-1261000,-1261000,5196201.34562528,-1342000,17729000,-5000,44683.6932845185,-5000,13643000,-6837000,-6837000,227000,-6610000,-15007000,10034000,-24851000,0.68891,-0.75559,0.00131,0.00075999999999965,0.000219999999999942,-920.40741,3.57391,2.40596,0.08255,0.00585,0.00585,4.46654,7.73565,-5.38695,0.000289999999999679,-0.26664,2.30846,2.22513
"18","2022_Q3",3.818125,"Down",20623000,-6414000,14209000,-28372000,-24289000,-4083000,-14163000,-1329000,-1056000,-15492000,9896000,-5596000,-92000,-5688000,-5688000,-5688000.00000001,-5688000.00000001,29344000,29344000,20502000,20502000,25334000,11622000,11622000,86802000,1321000,17574000,17574000,18895000,105697000,28205000,10557000,17214000,37247000,27522000,27522000,37609000,74856000,604259000,-5908000,-575274000,7764000,30841000,30841000,105697000,-5688000,618000,-8646000,445000,-13271000,-1876000,-1957000,-1773000,-184000,-1876000,3.72529029846191e-09,135000,186000,-51000,135000,-15012000,-15012000,-321000,-15333000,-13545000,10087000,-14884000,0.68899,-0.686760000000001,-0.27581,-0.18443,-0.05381,2.61674,2.33044,2.42716,0.09543,-1.23299,-1.23299,4.47044,6.6854,-3.2264,-0.0831,-0.21744,1.42171,1.35967
