"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.6050793650794,"Up",319338000,-149461000,169877000,-109979000,-54686000,-47937000,-7356000,59898000,-5065000,-5065000,-5567000,502000,54833000,-904000,53929000,-4830000,49099000,50100000,50100000,50100000,460473000,342012000,118461000,178740000,178740000,84195000,63125000,43893000,786533000,240257000,72188000,162688000,144835000,17853000,475133000,1261666000,185045000,71168000,-17666900.411402,113877000,69050000,69050000,256228000,137426000,107900000,48447923.553507,8041000,21485000,279869000,536097000,1232791000,-371505000,-135717000,725569000,725569000,1261666000,49099000,50100000,25130000,9859000,-59245000,26086000,-17587000,-17587000,-17587000,-88180000,-105767000,6079000,6079000,4956000,-74725000,-74725000,-74725000,85028000,144576000,13026000,0.53197,0.18757,0.15689,0.06905,0.03971,0.26,3.06966,0.73886,0.11459,0.28326,0.22141,1.80553,4.10234,0.07365,6,0.04972,0.01293,-3.71521,-5.27392
"2","2010_Q3",9.425625,"Down",445271000,-194370000,250901000,-114384000,-57731000,-49341000,-7312000,136517000,-4074000,-4074000,-8095000,4021000,132443000,-370000,132073000,-9543000,122530000,122149000,122149000,122149000,565774000,403996000,161778000,248018000,248018000,83820000,67705000,47994000,965317000,235692000,95487000,152829000,137522000,15307000,484008000,1449325000,250601000,96044000,11346000,143211000,41451000,41451000,294343000,100729000,69757000,76064307.851169,10136000,20836000,246226000,540569000,1275743000,-249356000,-117631000,908756000,908756000,1449325000,122530000,122149000,24378000,8395000,-48019000,107891000,-18119000,-18119000,-18119000,-64673000,-81701000,35794000,35794000,35794000,61984000,61984000,61984000,160895000,147788000,104300000,0.56348,0.30659,0.27433,0.13441,0.08428,0.85388,3.27956,0.59485,0.10197,0.67864,0.52755,2.47385,5.0489,0.57947,7,0.10555,0.09013,-2.59788,-3.06179
"3","2010_Q4",11.45984375,"Up",491391000,-219592000,271799000,-116899000,-60560000,-49048000,-7291000,154900000,-4567000,-4567000,-6033000,1466000,150333000,1977000,152310000,-6536000,145774000,147340000,147340000,147340000,697796000,433915000,263881000,306522000,306522000,102848000,80937000,60920000,1188103000,232348000,201486000,169674000,130231000,39443000,603508000,1791611000,297301000,133330000,14625000,149346000,101584000,101584000,401282000,175706000,68663000,80818000,10271000,15954000,322993000,724275000,1283577000,-102016000,-114225000,1067336000,1067336000,1791611000,145774000,147340000,24571000,11537000,72024000,255813000,-18253000,-18253000,-18253000,-206811000,-225064000,352000,352000,-830000,29919000,29919000,29919000,179471000,149684000,239778000,0.55312,0.31523,0.29984,0.13804,0.08224,1.62738,2.96077,0.67858,0.08355,0.81297,0.64232,2.71132,5.88917,1.32301,8,0.10579,0.17216,-3.05404,-3.53849
"4","2011_Q1",15.5851612903226,"Up",310162000,-145156000,165006000,-105184000,-52356000,-45537000,-7291000,59822000,-4884000,-4884000,-4756000,-128000,54938000,3097000,58035000,4254000,62289000,65231000,65231000,65231000,806798000,397737000,409061000,168756000,168756000,116841000,84223000,52780000,1176618000,231108000,248696000,153933000,122941000,30523000,633737000,1810355000,252126000,81142000,8465000,162519000,109128000,105568000,363704000,174281000,72071000,71558000,9849000,20803000,324463000,688167000,1292280000,-41876000,-128216000,1122188000,1122188000,1810355000,62289000,65231000,19437000,5615000,87955000,176496000,-22085000,-22085000,-22085000,-193043000,-215128000,2454000,2454000,2454000,-36178000,-36178000,-36178000,79259000,152632000,140875000,0.532,0.19287,0.21031,0.05813,0.03603,2.15963,3.2351,0.61324,0.08431,0.3592,0.29648,1.70793,6.17942,0.77574,8,0.04501,0.09722,-8.25352,-10.93521
"5","2011_Q2",14.7971428571429,"Down",377161000,-184269000,192892000,-112166000,-57731000,-47144000,-7291000,80726000,-4889000,-4889000,-6176000,1287000,75837000,-413000,75424000,-5486000,69938000,96844000,96844000,96844000,855842000,420267000,435575000,186254000,186254000,129692000,79009000,56375000,1250797000,232969000,244466000,146466000,115649000,30817000,623901000,1874698000,236836000,109988000,8199000,118649000,94216000,94216000,333469000,162049000,74435000,58357000,9756000,19501000,313797000,647266000,1298278000,52996000,-123842000,1227432000,1227432000,1874698000,69938000,96844000,23412000,12709000,-82216000,19618000,-22131000,-22131000,-22131000,-22841000,-5942000,10076000,10076000,8854000,22530000,22530000,22530000,104138000,154165000,5277000,0.51143,0.21404,0.25677,0.0789,0.05166,0.05449,3.75086,0.52733,0.08223,0.52427,0.41729,2.0418,6.64482,0.02857,5,0.06274,0.00342,-6.73795,-8.69208
"6","2011_Q3",11.71,"Down",410519000,-195841000,214678000,-113563000,-57880000,-48392000,-7291000,101115000,-3913000,-3913000,-5316000,1403000,97202000,-1279000,95923000,-7839000,88084000,87252000,87252000,87252000,909340000,455398000,453942000,207823000,207823000,141518000,84747000,61946000,1343428000,233432000,281978000,139457000,108357000,31100000,654867000,1998295000,251788000,106993000,9888000,134907000,98723000,98723000,352986000,156550000,77154000,50064000,9973000,19359000,311371000,664357000,1315977000,142055000,-124094000,1333938000,1333938000,1998295000,88084000,87252000,23049000,14203000,-23371000,101965000,-22336000,-22336000,-22336000,-55223000,-77527000,6976000,6976000,10693000,35131000,35131000,35131000,124164000,157296000,86296000,0.52294,0.24631,0.21254,0.06541,0.04366,0.98904,3.8059,0.49804,0.07872,0.4707,0.37861,2.21462,7.19616,0.46554,6,0.05295,0.05237,-6.05686,-7.43751
"7","2011_Q4",12.3773015873016,"Up",344389000,-174015000,170374000,-107425000,-54775000,-45896000,-6754000,62949000,-3019000,-3019000,-6068000,3049000,59930000,-1465000,58465000,-1759000,56706000,56706000,56706000,56706000,1191699000,1095163000,96536000,143523000,143523000,133339000,87263000,64087000,1555824000,232576000,40712000,133565000,101604000,31961000,406853000,1962677000,210952000,77768000,5135000,128049000,79464000,79464000,293021000,142930000,74718000,39358000,9946000,18908000,299769000,592790000,1306281000,186531000,-122925000,1369887000,1369887000,1962677000,56706000,56706000,22803000,12477000,989000,92975000,-22156000,-22156000,-22156000,597658000,575502000,-23699000,164000,-28712000,639765000,639765000,639765000,85752000,159444000,66344000,0.49471,0.18278,0.16466,0.04139,0.02889,1.16996,5.3096,0.43273,0.08124,0.30635,0.25556,1.86055,7.40075,0.35842,6,0.03391,0.03967,-12.03768,-16.39827
"8","2012_Q1",15.1222580645161,"Up",296992000,-163113000,133879000,-140428000,-61707000,-59592000,-19129000,-6549000,-5256000,-5256000,-6134000,878000,-11805000,-3586000,-15391000,144620000,129229000,129071000,129071000,129071000,670238000,573736000,96502000,129330000,129330000,160063000,140256000,86308000,1099887000,232207000,84407000,772138000,392975000,26385000,1088752000,2188639000,223549000,69842000,860000,152847000,147562000,78670000,373684000,149939000,76638000,33541000,16049000,23711000,309895000,683579000,1316078000,184236000,4745999.99999999,1505060000,1505060000,2188639000,129229000,129071000,37417000,-129630000,23860000,60297000,-19474000,-19474000,-19474000,-16527000,-574581000,-7143000,169000,-7143000,-521427000,-521427000,-521427000,30868000,162529000,-109366000,0.45078,-0.02205,0.43459,0.08576,0.05897,-0.84733,2.94336,0.45419,0.07426,0.70322,0.57917,1.61811,8.20004,-0.59586,4,0.07101,-0.06017,-16.44775,77.52466
"9","2012_Q2",14.2696825396825,"Down",396668000,-205742000,190926000,-146341000,-66633000,-61279000,-18429000,44585000,-5166000,-5166000,-6059000,893000,39419000,1825000,41244000,-7680000,33564000,33564000,33564000,33564000,620619000,533396000,87223000,221547000,221547000,138230000,140595000,83994000,1120991000,238617000,121512000,757028000,374546000,29704000,1117157000,2238148000,225559000,106381000,4448427.31058748,119178000,147832000,86622000,375822000,151830000,78251000,23885000,29395000,20299000,313633000,689455000,1325962000,217798000,4933000,1548693000,1548693000,2238148000,33564000,33564000,34103000,17727000,-74225000,11169000,-27074000,-27074000,-27074000,-27290000,-54364000,9925000,9925000,2855000,-40340000,-40340000,-40340000,78688000,164234000,-14931000,0.48132,0.1124,0.08461,0.02167,0.015,-0.44485,2.98277,0.44519,0.07338,0.18061,0.1452,2.13448,8.33356,-0.08034,4,0.018,-0.00801,-5.79993,-10.23629
"10","2012_Q3",13.8114285714286,"Down",548284000,-238778000,309506000,-158327000,-72064000,-67834000,-18429000,151179000,-5449000,-5449000,-6323000,874000,145730000,6262000,151992000,-40605000,111387000,111387000,111387000,111387000,695003000,589056000,105947000,346124000,346124000,137898000,137783000,80895000,1316808000,2.48e+08,133750000,736112000,356117000,27217000,1117862000,2434670000,284977000,117343000,23218000,144416000,138372000,83710000,425871000,158086000,77295000,22303000,37915000,20573000,323369000,749240000,1350976000,329187000,5267000,1685430000,1685430000,2434670000,111387000,111387000,35219000,24743000,-69257000,102092000,-30730000,-30730000,-30730000,-30361000,-61091000,7059000,7059000,14659000,55660000.0000001,55660000.0000001,55660000,186398000,167805000,127016000,0.5645,0.27573,0.20316,0.06609,0.04575,1.14031,3.09203,0.44454,0.06892,0.59702,0.48504,2.93873,9.03367,0.68079,7,0.05538,0.06315,-2.82835,-3.48724
