"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",35.279375,"Down",2.258e+09,-6.51e+08,1.607e+09,-1.076e+09,-4.42e+08,-2.26e+08,-2.16e+08,-1.97e+08,-2.84e+08,5.31e+08,2e+07,2e+07,5.51e+08,-2.01e+08,3.5e+08,-4.9e+07,3.01e+08,3.01e+08,3.01e+08,3.01e+08,4.299e+09,1.88e+09,2.419e+09,1.1975e+10,1.73e+08,1.1802e+10,4.28e+09,6.78e+08,3.602e+09,2.0554e+10,1.298e+09,2.392e+09,3.652e+09,1.74e+08,3.415e+09,6.3e+07,7.342e+09,2.7896e+10,1.3072e+10,1.14e+08,1.2958e+10,1.3072e+10,1.61e+09,1.61e+09,1.61e+09,1.4682e+10,1.291e+10,3.01e+08,3e+06,1.3214e+10,1.3214e+10,2.7896e+10,3.01e+08,1.53e+08,2.77e+08,-7.9e+07,6.52e+08,-1.18e+08,-6.39e+08,-1.029e+09,-1.796e+09,-4e+06,3.6e+07,4.46e+08,4.78e+08,-6.66e+08,-6.66e+08,-1.6e+07,-6.82e+08,6.84e+08,0,5.36e+08,0.71169,0.23516,0.1333,0.02278,0.01079,1.78073,1.57237,1.11109,0,0.24652,0.24531,1.8493,10.82228,0.43898,0.0203,0.03616,-6.28509,-8.09605
"2","2016_Q1",36.1340983606557,"Up",2.556e+09,-7.5e+08,1.806e+09,-1.151e+09,-4.8e+08,-2.55e+08,-2.25e+08,-2.08e+08,-2.99e+08,6.55e+08,7e+06,7e+06,6.62e+08,-2.44e+08,4.18e+08,-5.1e+07,3.67e+08,3.67e+08,3.67e+08,3.67e+08,3.411e+09,1.393e+09,2.018e+09,1.2398e+10,1.37e+08,1.2261e+10,4.839e+09,6.55e+08,4.184e+09,2.0648e+10,1.344e+09,2.348e+09,4.541e+09,3.58e+08,4.069e+09,1.14e+08,8.233e+09,2.8881e+10,1.3617e+10,1.45e+08,1.3472e+10,1.3617e+10,1.505e+09,1.505e+09,1.505e+09,1.5122e+10,1.31e+10,6.68e+08,-9e+06,1.3759e+10,1.3759e+10,2.8881e+10,3.67e+08,1.64e+08,-1.25e+08,3.22e+08,7.28e+08,-1.64e+08,7.72e+08,-1.382e+09,-1.716e+09,1.5e+07,3.9e+07,4.5e+08,5.04e+08,-4.84e+08,-4.84e+08,-3e+06,-4.87e+08,8.19e+08,0,1.028e+09,0.70657,0.25626,0.14358,0.02667,0.01271,2.80109,1.51634,1.09906,0,0.29813,0.29573,2.07636,11.17709,0.83509,0.02404,0.06735,-4.16484,-5.20763
"3","2016_Q2",38.22953125,"Up",2.544e+09,-7.52e+08,1.792e+09,-1.13e+09,-4.64e+08,-2.33e+08,-2.31e+08,-1.95e+08,-2.96e+08,6.62e+08,1.5e+07,1.5e+07,6.77e+08,-2.55e+08,4.22e+08,-5.7e+07,3.65e+08,3.65e+08,3.65e+08,3.65e+08,4.767e+09,2.583e+09,2.184e+09,1.2391e+10,1.59e+08,1.2232e+10,4.81e+09,5.86e+08,4.224e+09,2.1968e+10,1.345e+09,1.661e+09,4.496e+09,3.2e+08,4.071e+09,1.05e+08,7.502e+09,2.947e+10,1.4362e+10,1.58e+08,1.4204e+10,1.4362e+10,1.51e+09,1.51e+09,1.51e+09,1.5872e+10,1.3188e+10,1.033e+09,-2.7e+07,1.3598e+10,1.3598e+10,2.947e+10,3.65e+08,1.74e+08,3.65e+08,-1.66e+08,7.38e+08,-1.33e+08,1.05e+08,3.72e+08,3.25e+08,-2.1e+07,-5.9e+08,7.24e+08,1.13e+08,1.176e+09,1.176e+09,1.4e+07,1.19e+09,8.36e+08,0,5.94e+08,0.7044,0.26022,0.14347,0.02684,0.01239,1.6274,1.52959,1.16723,0,0.30016,0.29796,2.09211,11.18257,0.48849,0.02416,0.03932,-5.70215,-7.20091
"4","2016_Q3",38.433125,"Up",2.65e+09,-8.1e+08,1.84e+09,-1.214e+09,-5.11e+08,-2.5e+08,-2.61e+08,-2.09e+08,-3.18e+08,6.26e+08,9e+06,9e+06,6.35e+08,-2.55e+08,3.8e+08,-5.7e+07,3.23e+08,3.23e+08,3.23e+08,3.23e+08,4.957e+09,2.018e+09,2.939e+09,1.3201e+10,1.67e+08,1.3034e+10,5.299e+09,7.92e+08,4.507e+09,2.3457e+10,1.412e+09,1.315e+09,4.447e+09,2.81e+08,4.069e+09,9.7e+07,7.174e+09,3.0631e+10,1.5223e+10,1.69e+08,1.5054e+10,1.5223e+10,1.591e+09,1.591e+09,1.591e+09,1.6814e+10,1.3305e+10,1.356e+09,5.2e+07,1.3817e+10,1.3817e+10,3.0631e+10,3.23e+08,1.76e+08,3.95e+08,-1.98e+08,6.96e+08,-2.01e+08,-9.79e+08,-6.26e+08,-1.806e+09,-3.72529029846191e-09,-2.49e+08,7.93e+08,5.44e+08,-5.66e+08,-5.66e+08,1e+06,-5.65e+08,8.02e+08,0,4.6e+08,0.69434,0.23623,0.12189,0.02338,0.01054,1.42415,1.54089,1.21691,-4.13590306276514e-25,0.26694,0.26584,2.19008,11.41901,0.38017,0.02096,0.02985,-6.1808,-7.91853
"5","2016_Q4",40.1947619047619,"Up",2.667e+09,-8.3e+08,1.837e+09,-1.218e+09,-4.94e+08,-2.33e+08,-2.61e+08,-2.15e+08,-3.25e+08,6.19e+08,1.2e+07,1.2e+07,6.31e+08,-2.71e+08,3.6e+08,-3.7e+07,3.23e+08,3.23e+08,3.23e+08,3.23e+08,5.088e+09,1.369e+09,3.719e+09,1.3507e+10,1.87e+08,1.332e+10,5.566e+09,7.51e+08,4.815e+09,2.4161e+10,1.451e+09,1.339e+09,4.405e+09,2.45e+08,4.068e+09,9.2e+07,7.195e+09,3.1356e+10,1.5616e+10,1.74e+08,1.5442e+10,1.5616e+10,1.548e+09,1.548e+09,1.548e+09,1.7164e+10,1.3419e+10,1.679e+09,3.9e+07,1.4192e+10,1.4192e+10,3.1356e+10,3.23e+08,1.85e+08,3.52e+08,-5.9e+07,8.01e+08,-1.83e+08,-1.496e+09,-1e+07,-1.689e+09,0,-4.8e+07,2.86e+08,2.38e+08,-6.5e+08,-6.5e+08,1e+06,-6.49e+08,8.04e+08,0,5.99e+08,0.68879,0.2321,0.12111,0.02276,0.0103,1.85449,1.5472,1.20941,0,0.26761,0.26606,2.20961,11.75808,0.49627,0.02052,0.03806,-6.32836,-8.21971
"6","2017_Q1",41.836935483871,"Up",2.981e+09,-9.54e+08,2.027e+09,-1.26e+09,-5.28e+08,-2.53e+08,-2.75e+08,-2.15e+08,-3.28e+08,7.67e+08,9e+06,9e+06,7.76e+08,-3.07e+08,4.69e+08,-7.9e+07,3.9e+08,3.9e+08,3.9e+08,3.9e+08,4.975e+09,1.59e+09,3.385e+09,1.4577e+10,2.14e+08,1.4363e+10,6.181e+09,8.33e+08,5.348e+09,2.5733e+10,1.482e+09,1.539e+09,4.349e+09,2.11e+08,4.059e+09,7.9e+07,7.37e+09,3.3103e+10,1.6878e+10,1.92e+08,1.6686e+10,1.6878e+10,1.513e+09,1.513e+09,1.513e+09,1.8391e+10,1.3579e+10,2.069e+09,5.9e+07,1.4712e+10,1.4712e+10,3.3103e+10,3.9e+08,1.89e+08,-2.41e+08,5.85e+08,9.23e+08,-1.52e+08,-2.42e+08,-2.34e+09,-2.734e+09,0,999999.99999997,1.142e+09,1.143e+09,-6.68e+08,-6.68e+08,-1.6e+07,-6.84e+08,9.56e+08,0,1.468e+09,0.67997,0.2573,0.13083,0.02651,0.01178,3.7641,1.52465,1.25007,0,0.32312,0.3202,2.46976,12.1889,1.21624,0.02404,0.09048,-5.20397,-6.48631
"7","2017_Q2",49.145873015873,"Up",2.975e+09,-9.87e+08,1.988e+09,-1.217e+09,-5.03e+08,-2.38e+08,-2.65e+08,-2.14e+08,-3.17e+08,7.71e+08,7e+06,7e+06,7.78e+08,-3.4e+08,4.38e+08,-5.4e+07,3.84e+08,3.84e+08,3.84e+08,3.84e+08,4.055e+09,1.24e+09,2.815e+09,1.5119e+10,1.78e+08,1.4941e+10,6.251e+09,8.97e+08,5.354e+09,2.5425e+10,1.448e+09,2.325e+09,4.295e+09,1.84e+08,4.06e+09,5.1e+07,8.068e+09,3.3493e+10,1.7286e+10,1.64e+08,1.7122e+10,1.7286e+10,1.581e+09,1.581e+09,1.581e+09,1.8867e+10,1.3724e+10,2.412e+09,2e+06,1.4626e+10,1.4626e+10,3.3493e+10,3.84e+08,1.83e+08,4.92e+08,-3.08e+08,7.51e+08,-1.48e+08,-1.526e+09,4.31e+08,-1.243e+09,0,-5.05e+08,4.51e+08,-5.4e+07,-5.46e+08,-5.46e+08,1.1e+07,-5.35e+08,9.54e+08,0,5.52e+08,0.66824,0.25916,0.12908,0.02625,0.01147,1.4375,1.47084,1.28996,0,0.3192,0.31579,2.47298,12.15794,0.45885,0.02369,0.03406,-4.25052,-5.2594
"8","2017_Q3",59.9049206349206,"Up",3.136e+09,-1.064e+09,2.072e+09,-1.334e+09,-5.66e+08,-2.84e+08,-2.82e+08,-2.32e+08,-3.35e+08,7.38e+08,1.7e+07,1.7e+07,7.55e+08,-3.08e+08,4.47e+08,-3.6e+07,4.11e+08,4.11e+08,4.11e+08,4.11e+08,4.091e+09,1.271e+09,2.82e+09,1.6354e+10,1.76e+08,1.6178e+10,6.59e+09,8.38e+08,5.752e+09,2.7035e+10,1.479e+09,2.511e+09,4.265e+09,1.43e+08,4.062e+09,6e+07,8.255e+09,3.529e+10,1.8641e+10,1.71e+08,1.847e+10,1.8641e+10,1.651e+09,1.651e+09,1.651e+09,2.0292e+10,1.3873e+10,2.824e+09,-9.8e+07,1.4998e+10,1.4998e+10,3.529e+10,4.11e+08,2.01e+08,5.27e+08,-2.18e+08,9.21e+08,-1.74e+08,-8.94e+08,-6.61e+08,-1.729e+09,-6000000.00000001,-1.5e+07,1.063e+09,1.042e+09,2.34e+08,2.34e+08,1.2e+07,2.46e+08,9.39e+08,7.27595761418343e-12,5.83e+08,0.66071,0.23533,0.13106,0.0274,0.01165,1.41849,1.4503,1.35298,1.05879118406788e-22,0.34193,0.33827,2.60899,12.47754,0.48502,0.02469,0.03502,-4.35676,-5.54336
"9","2017_Q4",72.3101587301587,"Up",3.239e+09,-1.102e+09,2.137e+09,-1.351e+09,-5.71e+08,-2.78e+08,-2.93e+08,-2.4e+08,-3.46e+08,7.86e+08,2.8e+07,2.8e+07,8.14e+08,-3.63e+08,4.51e+08,-7.1e+07,3.8e+08,3.8e+08,3.8e+08,3.8e+08,4.921e+09,2.33e+09,2.591e+09,1.7476e+10,3.01e+08,1.7175e+10,7.04e+09,7.19e+08,6.321e+09,2.9437e+10,1.485e+09,2.217e+09,4.622e+09,2.26e+08,4.326e+09,7e+07,8.324e+09,3.7761e+10,2.0703e+10,9.74e+08,1.9729e+10,2.0703e+10,1.626e+09,1.626e+09,1.626e+09,2.2329e+10,1.4071e+10,3.204e+09,-1.42e+08,1.5432e+10,1.5432e+10,3.7761e+10,3.8e+08,1.94e+08,4.63e+08,-3.1e+07,1.006e+09,-1.65e+08,1.222e+09,-1.385e+09,-6.51e+08,-1.74e+08,-8.6e+07,1.699e+09,1.439e+09,1.794e+09,1.794e+09,1.2e+07,1.806e+09,9.8e+08,0,8.55e+08,0.65977,0.24267,0.11732,0.02462,0.01006,2.25,1.42187,1.44693,0,0.31614,0.31071,2.69468,12.8386,0.71131,0.02228,0.05012,-5.02143,-6.26081
"10","2018_Q1",79.3149180327869,"Up",3.744e+09,-1.266e+09,2.478e+09,-1.503e+09,-6.43e+08,-3.28e+08,-3.15e+08,-2.67e+08,-3.66e+08,9.75e+08,2.1e+07,2.1e+07,9.96e+08,-1.32e+08,8.64e+08,-2.44e+08,6.2e+08,6.2e+08,6.2e+08,6.2e+08,5.695e+09,2.883e+09,2.812e+09,2.4923e+10,2.83e+08,2.464e+10,2.027e+09,7.13e+08,1.314e+09,3.2645e+10,1.528e+09,1.961e+09,4.64e+09,1.68e+08,4.339e+09,1.33e+08,8.129e+09,4.0774e+10,2.1863e+10,2.57e+08,2.1606e+10,2.2863e+10,1.917e+09,1.917e+09,1.917e+09,2.478e+10,1.4314e+10,3.823e+09,-1.42e+08,1.5994e+10,1.5994e+10,4.0774e+10,6.2e+08,2.27e+08,-1.787e+09,7.93e+08,-1.47e+08,-1.8e+08,2.28e+08,-9.1e+08,-8.62e+08,1e+09,-2.56e+08,9.13e+08,1.657e+09,6.48e+08,6.48e+08,1e+06,6.49e+08,1.202e+09,0,2.059e+09,0.66186,0.26042,0.1656,0.03876,0.01521,3.32097,1.42785,1.54933,-1.6940658945086e-21,0.51452,0.50407,3.10705,13.27303,1.70871,0.03462,0.11496,-4.73794,-5.84103
