"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.831746031746,"Up",127805000,-108074000,19731000,-4293000,-4293000,15438000,1755000,-5633000,7301000,17193000,17193000,-5273000,11920000,11920000,11920000,11920000,149837138.064794,149837138.064794,148092036.331713,-91121253.0079195,101684887.78485,3470190.56511607,308492809.173438,598742865.152389,85966771.4232153,152651072.820713,-40896742.63166,-25787558.765838,684709636.575604,993202445.749042,328650510.850275,177495530.041977,475533062.593989,248358400.289316,590287812.940017,-594896219.124819,128426160.994469,-723322380.119288,-4608406.18480182,243749994.104514,18081040.5532075,734466046.987107,-3094635.89578641,749452451.644528,749452451.644528,993202445.749042,11920000,12819000,-645000,-4330000,19764000,-2548000,-2548000,-4354000,-3e+07,250000,250000,129000,-33975000,-16759000,-16759000,-16759000,28257000,0,26652000,0.15438,0.12079,0.09327,-0.359811067133668,-0.152265964749005,2.23591,-0.741292972090762,-0.218246504298135,0.509905389763992,0.27351,0.27093,2.93254,17.3051674963037,0.61154,0.0999,-0.154242538374505,-1.83273921728427,0.36527,296.998997045728,-40617.2116115686
"2","2010_Q3",22.18078125,"Down",138185000,-117772000,20413000,-4851000,-4851000,15562000,-620000,-5601000,5065000,14942000,14942000,-4520000,10422000,10422000,10422000,10422000,62461069.0323971,62461069.0323971,86003018.1658565,22857873.4960402,46680443.892425,4695095.28255803,218002404.586719,625356432.576195,164302885.711608,152492536.410357,3022628.68417003,8787720.61708099,789659318.287802,1007661722.87452,182412755.425137,91802265.0209887,235344531.296995,137266700.144658,442643906.470009,-149565109.56241,120493080.497234,-270058190.059644,293078796.907599,430345497.052257,15393520.2766038,565229023.493554,-3306317.94789321,577316225.822264,577316225.822264,1007661722.87452,10422000,12634000,3850000,12375000,39281000,-7316000,-7316000,-4361000,-2.5e+07,7e+05,7e+05,68000,-28593000,3372000,3372000,3372000,28196000,0,37775000,0.14772,0.11262,0.07542,-0.172060533566834,-0.0733679823745026,3.62454,1.17420351395462,0.633381747850933,0.394232694881996,0.23887,0.2368,3.16718,13.2777587481518,0.8658,0.09995,-0.0721962691872527,-0.845524608642134,0.41844,155.333593522864,-20272.1568457843
"3","2010_Q4",23.6184375,"Up",104529000,-96217000,8312000,-3170000,-3170000,5142000,325000,-5695000,5910000,5467000,5467000,-783000,4684000,4684000,4684000,4684000,17112356.3441324,17112356.3441324,56871672.7219522,83255291.1653467,16432147.9641417,4811031.76085268,173671468.195573,634856810.858732,205414961.903869,152333845.470119,25918209.56139,27162906.8723603,840271772.762601,1013943240.95817,103150585.141712,45615421.6736629,101125177.098998,84768566.7148859,351214635.490003,92410963.4791968,118053026.832411,-25642063.3532146,443625598.9692,528394165.684086,14557173.4255346,474439341.164518,-3447439.3159644,485549075.274088,485549075.274088,1013943240.95817,4684000,12801000,-367000,5536000,22654000,-2337000,-2337000,-4375000,0,520000,520000,1569000,-2286000,18031000,18031000,18031000,17943000,0,21925000,0.07952,0.04919,0.04481,-0.0557701778556113,-0.0240059941248342,4.68083,2.05338783798487,1.08394058261698,0.328357564960665,0.10705,0.10623,2.38904,11.1231829160506,0.5011,0.09999,-0.0206087563957509,-0.281268202880711,0.93403,68.3738578409547,-8046.19507859476
"4","2011_Q1",27.6870967741935,"Up",97386000,-93969000,3417000,-3572000,-3572000,-154999.999999999,4398000,-4531000,5881000,4243000,1695000,229000,1924000,1924000,1924000,1924000,1416000,1416000,49721000,105871000,4266000,4266000,161274000,632469000,220033000,152175000,33928000,33930000,852502000,1013776000,71884000,27840000,44044000,71884000,3.03e+08,187245000,119299000,67946000,490245000,562129000,15161000,440004000,-3518000,451647000,451647000,1013776000,1924000,12527000,6058000,-37642000,-17133000,-1578000,-1578000,-4381000,3e+06,71000,71000,-1005000,-2315000,-21026000,-21026000,-21026000,12372000,3.03e+08,-27077000,0.03509,-0.00159,0.01976,0.00426,0.0019,-14.07328,2.24353,1.24462,0.29888,0.04395,0.04368,2.22473,10.31762,-0.61856,0.10008,0.00669,-0.02875,2.27703,24.37633,-1945.70323
"5","2011_Q2",26.2285714285714,"Down",130794000,-114363000,16431000,-3703000,-3703000,12728000,1939000,-5290000,6512000,14667000,14667000,-4140000,10527000,10527000,10527000,10527000,2997000,2997000,53574000,106505000,3508000,3508000,166584000,623418000,218887000,152016000,33190000,33681000,842305000,1008889000,69633000,27381000,35270000,79633000,2.85e+08,191150000,122424000,68726000,476150000,555783000,16794000,439830000,-3518000,453106000,453106000,1008889000,10527000,12450000,-2517000,-4842000,15618000,-2640000,-2640000,-4381000,-8e+06,725000,725000,259000,-11397000,1581000,1581000,1581000,25178000,2.95e+08,21836000,0.12563,0.09731,0.08049,0.02323,0.01043,2.07429,2.0919,1.22661,0.2924,0.24016,0.23804,2.98396,10.33725,0.49817,0.09995,0.01587,0.02325,0.41617,11.59755,22.9417800000006
"6","2011_Q3",19.39953125,"Down",132135000,-118586000,13549000,-4415000,-4415000,9134000,1187000,-3148000,4160000,10321000,10321000,-691000,9630000,9630000,9630000,9630000,8001000,8001000,54744000,102952000,5132000,2758000,170829000,613428000,216278000,151857000,30350000,34071000,829706000,1000535000,74126000,31954000,42172000,84126000,2.85e+08,165091000,124761000,40330000,450091000,534217000,18508000,451328000,-3518000,466318000,466318000,1000535000,9630000,12389000,11453000,-22127000,11345000,-2227000,-2227000,-4416000,-1.86264514923096e-09,186000,186000,116000,-4114000,5004000,5004000,5004000,21523000,2.95e+08,-2140000.00000001,0.10254,0.06913,0.07288,0.02065,0.00962,-0.22222,2.03063,1.14561,0.29484,0.21959,0.21798,3.01297,10.63307,-0.0488,0.10069,0.01516,-0.00231,0.45857,13.33453,31.42095
"7","2011_Q4",19.8503174603175,"Up",103870000,-96030000,7840000,-3942000,-3942000,3898000,2722000,-4666000,7196000,6620000,6620000,-1124000,5496000,5496000,5496000,5496000,4053000,4053000,42254000,111012000,2464000,2464000,159783000,607724000,222936000,151698000,31546000,39692000,830660000,990443000,66383000,30464000,35919000,66383000,2.9e+08,165281000,124503000,40778000,455281000,521664000,19892000,452405000,-3518000,468779000,468779000,990443000,5496000,12127000,-947000,-5527000,11149000,-6276000,-6276000,-4417000,-5e+06,319000,319000,277000,-8821000,-3948000,-3948000,-3948000,16025000,2.9e+08,5346000,0.07548,0.03753,0.05291,0.01172,0.00555,0.97271,2.40699,1.11281,0.2928,0.12523,0.12434,2.36671,10.68126,0.12181,0.10064,0.01073,0.00579,0.80368,17.84381,73.35736
"8","2012_Q1",29.9287096774194,"Up",95381000,-97624000,-2243000,-4607000,-4607000,-6850000,2705000,-3416000,6365000,-4145000,-14846000,4042000,-10804000,-10804000,-10804000,-10804000,1874000,1874000,43855000,115237000,13660000,4572000,174626000,602830000,208354000,151539000,33661000,23154000,811184000,985810000,69526000,30339000,39187000,69526000,2.87e+08,167770000,129139000,38631000,454770000,524296000,25303000,439104000,-2893000,461514000,461514000,985810000,-10804000,12246000,12794000,-8265000,5971000,-5481000,-5481000,-4420000,-3e+06,3619000,3619000,1132000,-2669000,-2179000,-2179000,-2179000,5396000,2.87e+08,-12392000,-0.02352,-0.07182,-0.11327,-0.02341,-0.01096,1.14698,2.51166,1.13603,0.29113,-0.24559,-0.24331,2.16817,10.49099,-0.28169,0.10047,-0.00697,-0.01352,-0.40911,52.84025,-41.62423
"9","2012_Q2",31.6365079365079,"Up",119807000,-115434000,4373000,-4118000,-4118000,255000,784000,-4585000,5448000,1039000,1039000,-232000,807000,807000,807000,807000,3478000,3478000,54192000,114124000,9210000,3836000,181004000,595203000,209004000,151380000,34109000,23515000,804207000,985211000,64110000,31472000,32638000,64110000,2.96e+08,166644000,128739000,37905000,462644000,526754000,25888000,435462000,-2893000,458457000,458457000,985211000,807000,12320000,-582000,-11404000,1141000,-3812000,-3812000,-4526000,9e+06,128000,128000,-327000,4275000,1604000,1604000,1604000,12575000,2.96e+08,-2409000,0.0365,0.00213,0.00674,0.00176000000000001,0.000819999999999998,-2.98513,2.82333,1.14897,0.30044,0.01827,0.01805,2.71179,10.37702,-0.05453,0.10244,0.00579,-0.00262,5.60843,23.26219,1147.1451
"10","2012_Q3",38.6785714285714,"Up",134819000,-126102000,8717000,-4472000,-4472000,4245000,3494000,-4557000,7936000,7739000,7739000,-1714000,6025000,6025000,6025000,6025000,10692000,10692000,64447000,108156000,9544000,2856000,192839000,586838000,210456000,151221000,35545000,23690000,797294000,990133000,77474000,35285000,42189000,77474000,2.85e+08,166224000,128127000,38097000,451224000,528698000,27331000,436997000,-2893000,461435000,461435000,990133000,6025000,12363000,-51000.0000000019,8066000,26403000,-3704000,-3704000,-4449000,-1.1e+07,0,4.65661287307739e-10,-36000,-15485000,7214000,7214000,7214000,16608000,2.85e+08,22684000,0.06466,0.03149,0.04469,0.01306,0.00609,3.76498,2.48908,1.14577,0.28784,0.13631,0.13644,3.05018,10.43961,0.51321,0.10066,0.01148,0.02485,0.73842,16.51662,64.61908
