"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",9.20555555555556,"Down",403500000,-332800000,70700000,-40700000,-2.6e+07,-14700000,3e+07,-3300000,-9e+06,26700000,26700000,-5100000,21600000,21600000,-3400000,18200000,18200000,110850000,110850000,52033000,52033000,222436000,552000,385871000,1353499000,98176000,88788000,1493323000,1879194000,248773000,185184000,51996000,251773000,694784000,328142000,223840000,104302000,1022926000,1274699000,556992000,12003000,437000,569432000,35063000,604495000,1879194000,21600000,14700000,1e+07,-4e+06,42300000,-56200000,-56200000,-56200000,-56300000,697800000,-603400000,94400000,80400000,80400000,80400000,44700000,697784000,-10400000,0.17522,0.07435,0.04511,0.03011,0.00969,-0.57143,1.53261,2.1087,0.37132,0.26,0.26,5.76429,8.13474,-0.14857,0.01116,-0.00638,13.13051,19.56447
"2","2012_Q1",11.3933870967742,"Up",424100000,-372500000,51600000,-39900000,-23900000,-1.6e+07,11700000,-7100000,1700000,4600000,4600000.00000001,2900000,7500000,7500000,5e+05,8e+06,8e+06,127500000,127500000,66200000,66200000,219700000,6e+05,4.14e+08,1391800000,9.5e+07,85600000,1527800000,1941800000,278200000,181900000,80400000,281500000,723100000,377300000,261100000,116200000,1100400000,1381900000,5.12e+08,2e+07,-6500000,525500000,34400000,559900000,1941800000,7500000,1.6e+07,1.7e+07,2100000,42600000,-53900000,-53900000,-53900000,-53900000,28500000,-6e+05,27900000,16600000,16600000,16600000,27700000,726400000,-2.7e+07,0.12167,0.02759,0.01886,0.01429,0.00412,-3.375,1.47069,2.46812,0.37409,0.11429,0.11429,6.05857,7.50714,-0.38571,0.00481,-0.01623,21.62094,51.18803
"3","2012_Q2",11.735873015873,"Up",481300000,-408300000,7.3e+07,-39100000,-20700000,-18400000,33900000,-1.2e+07,-1.2e+07,21900000,21900000,-5300000,16600000,16600000,3e+05,16900000,16900000,113600000,113600000,78300000,78300000,200800000,6e+05,393300000,1384200000,100400000,9.1e+07,1525600000,1918900000,231600000,146700000,65100000,234900000,722400000,448300000,329800000,118500000,1170700000,1405600000,450400000,36900000,-6700000,479200000,34100000,513300000,1918900000,16600000,18400000,6700000,-44800000,-3100000,-9500000,-9500000,-9500000,-9500000,-8e+05,232126303.547171,-1300000,-13900000,-13900000,-13900000,52300000,725700000,3300000,0.15167,0.07043,0.03511,0.03292,0.00881,0.19527,1.67433,2.73836,0.37819,0.24108,0.2404,6.86591,6.83595,0.04708,0.01002,0.00196,11.70363,18.05605
"4","2012_Q3",13.3253968253968,"Up",460900000,-377400000,83500000,-40700000,-20500000,-20200000,42800000,-11800000,-11800000,3.1e+07,3.1e+07,-7e+06,2.4e+07,2.4e+07,-1300000,22700000,22700000,1.9e+08,1.9e+08,53500000,53500000,206500000,8e+05,450800000,1379200000,99200000,89800000,1519400000,1970200000,256600000,154600000,7.5e+07,259900000,721600000,453300000,335300000,1.18e+08,1174900000,1434800000,453100000,59600000,-8300000,5e+08,35400000,535400000,1970200000,2.4e+07,20200000,7800000,37800000,89800000,-11200000,-11200000,-11200000,-11200000,-899999.999999993,222878629.579317,-2200000,76400000,76400000,76400000,6.3e+07,724900000,96600000,0.18117,0.09286,0.04925,0.0424,0.01152,4.25551,1.73451,2.67987,0.36793,0.32475,0.3229,6.59371,7.15308,1.38197,0.01325,0.05637,8.49048,12.49766
"5","2012_Q4",13.3229032258065,"Down",480500000,-388900000,91600000,-38900000,-2e+07,-18900000,52700000,-12200000,-12200000,40500000,40500000,-7600000,32900000,32900000,-1300000,31600000,31600000,157800000,157800000,91100000,91100000,189200000,8e+05,438900000,1380400000,100100000,90700000,1521500000,1960400000,216800000,1.21e+08,87700000,220100000,720800000,475900000,359200000,116700000,1196700000,1416800000,433700000,91200000,-8900000,506900000,36700000,543600000,1960400000,32900000,18900000,23600000,-84300000,-8900000,-19900000,-19900000,-19900000,-19900000,-8e+05,101466640.821804,-3400000,-32200000,-32200000,-32200000,71600000,724100000,-2.5e+07,0.19063,0.10968,0.06576,0.05813,0.01612,-0.79114,1.99409,2.60633,0.36936,0.45143,0.4495,6.86429,7.24143,-0.35714,0.01812,-0.01434,7.90922,10.74573
"6","2013_Q1",13.637,"Up",4.42e+08,-398500000,43500000,-25300000,-17800000,-7500000,18200000,-11600000,-11600000,6600000,6600000,1900000,8500000,2.9e+07,-1400000,27600000,27600000,239200000,239200000,7e+07,7e+07,160100000,4100000,473400000,1396600000,1e+08,90600000,1537600000,2.011e+09,243700000,132900000,91200000,2.47e+08,720100000,4.69e+08,361500000,107500000,1189100000,1436100000,437600000,118800000,-7900000,539100000,35800000,574900000,2.011e+09,8500000,7500000,-10600000,60800000,66200000,-13600000,-13600000,-13600000,-13600000,-8e+05,-2300000.00000024,-3400000.00000001,49200000,81400000,81400000,25700000,723400000,7.1e+07,0.09842,0.04118,0.06244,0.04801,0.01372,2.57246,1.9166,2.498,0.35972,0.39429,0.3926,6.31429,7.70143,1.01429,0.01562,0.04017,18.84047,26.6044
"7","2013_Q2",12.589375,"Down",453900000,-382400000,71500000,-44500000,-20600000,-23900000,2.7e+07,-15800000,-15800000,11200000,11200000,-4800000,6400000,6400000,-4300000,2100000,2100000,307100000,307100000,9.7e+07,9.7e+07,141200000,2600000,547900000,1405100000,105700000,96300000,1619500000,2167400000,234700000,151900000,69800000,2.35e+08,648700000,472900000,363800000,109100000,1121600000,1356600000,440100000,120900000,-8300000,540900000,269900000,810800000,2167400000,6400000,23900000,3600000,-21100000,12800000,-30500000,-30500000,-30500000,-98200000,-7.5e+07,-8200000,153300000,67900000,67900000,67900000,50900000,6.49e+08,4100000,0.15752,0.05948,0.00463,0.00259,0.00097,1.95238,2.33149,1.67316,0.29944,0.03,0.02987,6.48429,7.72714,0.05857,0.00109,0.00212,6.71709,12.66296
"8","2013_Q3",13.07734375,"Up",403700000,-332400000,71300000,-45200000,-21800000,-23400000,26100000,-12100000,-12100000,1.4e+07,1.4e+07,-1100000,12700000,12700000,-7e+06,5700000,5700000,348100000,348100000,59500000,59500000,138600000,4800000,5.51e+08,1413600000,103100000,93700000,1622500000,2173500000,232700000,139300000,7.5e+07,233200000,648500000,474400000,364200000,110200000,1122900000,1356100000,442300000,126600000,-12300000,544800000,272600000,817400000,2173500000,12700000,23400000,2700000,37400000,76200000,-30900000,-30900000,-30900000,-30900000,0,-4100000,-4300000,4.1e+07,4.1e+07,4.1e+07,49500000,6.49e+08,57100000,0.17662,0.06465,0.01412,0.00697,0.00262,10.01754,2.36278,1.65904,0.2986,0.08143,0.08131,5.76714,7.78286,0.81571,0.00294,0.02942,6.07879,11.52874
"9","2013_Q4",16.97640625,"Up",339900000,-266200000,73700000,-31700000,-21500000,-10200000,4.2e+07,-12100000,-12100000,29900000,29900000,-4100000,23500000,12300000,-6100000,6200000,6200000,268800000,268800000,65900000,65900000,134500000,6300000,475500000,1451200000,102500000,93100000,1647200000,2122700000,194500000,125800000,60900000,195300000,648300000,4.72e+08,362400000,109600000,1120300000,1315600000,444100000,132800000,-22900000,534100000,2.73e+08,807100000,2122700000,23500000,10200000,5300000,-27200000,11800000,-25800000,-25800000,-25800000,-54400000,0,-6600000,-15100000,-57700000,-79300000,-79300000,52200000,649100000,3300000,0.21683,0.12357,0.01824,0.00768,0.00292,0.53226,2.43472,1.63003,0.30579,0.08895,0.08832,4.87661,7.66284,0.04735,0.00322,0.00171,7.28544,9.05476
"10","2014_Q1",18.117868852459,"Up",450200000,-3.67e+08,83200000,-6.7e+07,-28500000,-38500000,16200000,-12300000,-12300000,3900000,3900000,3300000,7500000,18700000,-7700000,1.1e+07,1.1e+07,233600000,233600000,85300000,85300000,128600000,34400000,481900000,1458900000,205300000,181800000,1.762e+09,2243900000,216100000,138400000,59500000,2.83e+08,648100000,480500000,354700000,125800000,1128600000,1411600000,447600000,143800000,-14100000,557400000,274900000,832300000,2243900000,7500000,38500000,-5600000,10100000,50500000,-58400000,-58400000,-58400000,-143100000,4e+07,-5800000,35800000,-56800000,-35200000,-35200000,54700000,689100000,3099999.99999999,0.18481,0.03598,0.02443,0.01322,0.0049,0.281820000000001,1.70283,1.69602,0.3071,0.15737,0.1567,6.44063,7.97425,0.04435,0.00549,0.00155,8.32724,28.11728
