"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",51.111875,"Up",244605000,-141736000,102869000,-119535000,-84872000,-34663000,-16666000,-1536000,-1536000,-18202000,-18202000,-1639000,-19841000,-19841000,-19841000,-16801000,104879000,104879000,49230000,49230000,80376000,65409000,65409000,299894000,38939000,53367000,36562000,92306000,392200000,133744000,54925000,78819000,8158000,8158000,208208000,18085000,18085000,59518000,267726000,75923000,-28676000,124474000,124474000,392200000,-19841000,4177000,33775000,-32276000,-14165000,-7956000,0,-7956000,-13000,-13000,20767000,15497000,-6624000,-6624000,0,-6624000,-12489000,107739000,-51082000,0.42055,-0.06813,-0.06869,-0.13498,-0.04284,3.04041,1.44036,2.15086,0.2747,-0.20258,-0.20258,2.94932,0.56968,-0.61592,-0.06712,-0.20408,-0.229,-0.17161
"2","2014_Q4",73.699375,"Up",279971000,-155932000,124039000,-110582000,-68206000,-42376000,13457000,-1784000,-1784000,11673000,11673000,2947000,14620000,14620000,14620000,13598000,237749000,237749000,94563000,94563000,117014000,49057000,49057000,498383000,40339000,50336000,33807000,90675000,589058000,212198000,112270000,99928000,7996000,7996000,220194000,18203000,18203000,18203000,238397000,364717000,-14056000,350661000,350661000,589058000,14620000,4781000,-11378000,38960000,46983000,-9909000,-2.98023223876953e-08,-9909000,202719000,202719000,2756000.00000001,96084000,133158000,133158000,2.3283064365387e-10,133158000,18238000,1.49011611938477e-08,44342000,0.44304,0.04807,0.04857,0.03878,0.02308,3.26092,2.26338,0.67985,5.55111512312578e-17,0.10817,0.09366,2.22706,2.78938,0.35272,0.03686,0.12021,-13.03591,-17.66731
"3","2015_Q1",47.1603278688525,"Down",633913000,-330100000,303813000,-130125000,-84051000,-46074000,173688000,-1115000,-1115000,172573000,172573000,-50313000,122260000,122260000,122260000,106770000,422256000,319929000,183992000,183992000,153026000,63769000,63769000,823043000,41556000,53092000,36060000,94648000,917691000,244747000,126240000,118507000,14022000,14022000,258769000,17718000,17718000,17718000,276487000,5.33e+08,108204000,641204000,641204000,917691000,122260000,5176000,-47141000,-37105000,43190000,-4644000,-102744000,-108138000,96869000,96869000,47812000,147128000,82180000,82180000,0,82180000,178864000,0,187428000,0.47927,0.27399,0.16843,0.16651,0.11635,1.75544,3.18061,0.4312,0,0.83688,0.64469,4.96871,5.02586,1.46909,0.16204,0.28445,-2.36077,-2.43112
"4","2015_Q2",51.391746031746,"Up",363109000,-199376000,163733000,-141465000,-92028000,-49437000,22268000,-2244000,-2244000,20024000,20024000,-3272000,16752000,16752000,16752000,16752000,491906000,323165000,105970000,105970000,164044000,60334000,60334000,822254000,43890000,64490000,39616000,108380000,930634000,195269000,91919000,103350000,12327000,12327000,207596000,21318000,21318000,21318000,228914000,576764000,124956000,701720000,701720000,930634000,16752000,5369000,21673000,22473000,66267000,-5207000,-66865000,-77172000,11004000,11004000,5163999.99999999,16168000,5263000,5263000,-2027000,3235999.99999999,27637000,0,48175000,0.45092,0.06133,0.04613,0.02387,0.018,2.87578,3.96084,0.32622,0,0.12664,0.11275,2.74504,5.30489,0.3642,0.02317,0.06663,-17.79882,-22.09026
"5","2015_Q3",49.19328125,"Down",419919000,-225579000,194340000,-148202000,-89749000,-58453000,46138000,122000,122000,46260000,46260000,-11229000,35031000,35031000,35031000,35031000,516984000,338031000,118551000,118551000,219272000,80636000,80636000,935443000,52252000,123837000,45313000,176089000,1111532000,289892000,156450000,133442000,13298000,13298000,303190000,25369000,25369000,25369000,328559000,622986000,159987000,782973000,782973000,1111532000,35031000,6422000,-8822000,33243000,65874000,-16062000,-11015000,-79683000,6135000,6135000,22072000,28207000,14398000,14398000,468000,14866000,52560000,0,80970000,0.4628,0.10987,0.08342,0.04474,0.03152,2.31138,3.08534,0.41963,0,0.26309,0.23866,3.15373,5.88038,0.60811,0.04334,0.10017,-9.83607,-11.20517
"6","2015_Q4",23.21546875,"Down",400340000,-213710000,186630000,-158994000,-91622000,-67372000,27636000,-363000,-363000,27273000,27273000,-8474000,18799000,18799000,18799000,18799000,513102000,279969000,120666000,120666000,289521000,79976000,79976000,1003265000,67644000,138372000,48730000,206016000,1209281000,326017000,159901000,166116000,13095000,13095000,339112000,39479000,39479000,39479000,378591000,651904000,178786000,830690000,830690000,1209281000,18799000,7594000,14704000,-36475000,4622000,-11057000,-54815000,-73571000,6668000,6668000,4411000,11079000,-57870000,-57870000,-192000,-58062000,35230000,1.16415321826935e-10,-3828000,0.46618,0.06903,0.04696,0.02263,0.01555,-0.20363,2.95851,0.45575,2.16840434497101e-19,0.13843,0.12871,2.94801,6.11701,-0.02819,0.0216,-0.0044,-14.56435,-18.56644
"7","2016_Q1",12.4011475409836,"Down",436603000,-308092000,128511000,-169805000,-103373000,-66432000,-41294000,322000,1897000,-40972000,-40972000,6521000,-34451000,-34451000,-34451000,-34451000,474058000,279672000,145692000,145692000,188232000,25261000,25261000,833243000,70050000,199683000,111561000,269733000,1102976000,282435000,89989000,192446000,12742000,12742000,295177000,35766000,35766000,35766000,330943000,663311000,144335000,772033000,772033000,1102976000,-34451000,9596000,17736000,27967000,20848000,-18919000,37368000,18449000,-22645000,12968000,-17144000,-39789000,-492000,-492000,195000,-297000,-31698000,0,-29171000,0.29434,-0.09458,-0.07891,-0.04462,-0.03123,0.84674,2.82286,0.42866,0,-0.25119,-0.23836,3.18335,5.62903,-0.21269,-0.04265,-0.03611,14.95545,11.48007
"8","2016_Q2",11.093125,"Down",183536000,-123822000,59714000,-181149000,-104170000,-76979000,-121435000,-307000,-307000,-121742000,-121742000,14283000,-107459000,-107459000,-107459000,-107459000,388668000,248717000,46519000,46519000,139736000,27452000,27452000,602375000,67725000,258829000,127465000,326554000,928929000,199298000,50989000,148309000,13847000,13847000,213145000,36389000,36389000,36389000,249534000,678132000,36876000,679395000,679395000,928929000,-107459000,8322000,5478000,60394000,-33265000,-8219000,54229000,970000,4645000,4645000,-2937000,1352000,-30943000,-30943000,-12000,-30955000,-113113000,5.82076609134674e-11,-75221000,0.32535,-0.66164,-0.58549,-0.15817,-0.11568,0.7,2.82613,0.36729,0,-0.78128,-0.78128,1.33439,4.93951,-0.54689,-0.15013,-0.10509,3.4361,3.20063
"9","2016_Q3",13.72953125,"Up",220755000,-127753000,93002000,-202379000,-109330000,-93049000,-109377000,660000,1319000,-108717000,-108717000,16950000,-91767000,-91767000,-91767000,-91767000,279200000,163512000,65016000,65016000,89889000,38057000,38057000,472162000,66525000,325693000,133161000,392218000,864380000,214744000,63642000,151102000,11605000,11605000,226349000,40641000,40641000,40641000,266990000,687894000,-54891000,597390000,597390000,864380000,-91767000,9482000,14408000,22417000,-45460000,-3973000,23864000,-39422000,620000,620000,-227000,-201000,-85083000,-85083000,-122000,-85205000,-99895000,0,-98401000,0.42129,-0.49547,-0.4157,-0.15361,-0.10617,1.07229,2.08599,0.44693,0,-0.66047,-0.66047,1.58883,4.29956,-0.70822,-0.14383,-0.15423,2.79493,2.55264
"10","2016_Q4",11.4733333333333,"Down",240569000,-143500000,97069000,-212658000,-116512000,-96146000,-115589000,-808000,348000,-116397000,-116397000,12329000,-104068000,-104068000,-104068000,-104068000,224892000,131577000,92351000,92351000,145231000,40566000,40566000,503040000,77577000,320668000,136713000,398245000,901285000,342672000,158767000,183905000,11499000,11499000,354171000,39496000,39496000,39496000,393667000,702190000,-158959000,507618000,507618000,901285000,-104068000,12736000,19139000,30469000,-41724000,-14324000,21922000,7598000,937000,937000,1391000,2328000,-31798000,-31798000,-137000,-31935000,-102853000,0,-99037000,0.4035,-0.48048,-0.43259,-0.20501,-0.11547,0.95166,1.42033,0.77552,-4.33680868994202e-19,-0.74269,-0.74269,1.71683,3.62263,-0.70678,-0.19021,-0.18102,2.18654,1.94562
