"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.88,"Up",8.86e+08,-4.41e+08,4.45e+08,-3.15e+08,-2.71e+08,-4.4e+07,1.3e+08,-4.8e+07,-4.9e+07,1e+06,8.2e+07,394107764.887817,8.2e+07,-3.2e+07,5e+07,5e+07,5e+07,5e+07,400737031.082076,400737031.082076,344882154.943997,344882154.943997,406467471.030728,1141127633.71348,155355831.160388,647718160.024546,2293214290.77028,999756359.30985,6534697124.66454,1408416677.02799,4472354742.40596,7534453483.97439,9827667774.74467,603152397.194773,603152397.194773,1681567728.18905,524532794.70838,1157034933.48067,2795341606.19099,2327012069.20877,2340594963.93267,1804705824.14771,4667607033.14145,7462948639.33244,3409552029.48084,-525065439.167552,-490272666.106846,-29497094.0032351,2364716830.20321,2364719135.41223,9827667774.74467,5e+07,4.4e+07,1.21e+08,-1e+07,2.05e+08,-3.3e+07,-2.8e+07,-1.23e+08,-2.2e+07,-1.8e+07,-9e+06,-9e+06,-2.4e+07,-7.3e+07,9e+06,9e+06,-1e+06,8e+06,1.74e+08,0,1.63e+08,0.50226,0.14673,0.05643,-0.102573484059596,-0.0353148377464651,3.26,0.736978217671042,3.00878723896532,0.281646736936313,0.26882,0.26882,4.76344,10.4792451321642,0.87634,0.11828,-0.0372451626243404,0.128447410649487,0.44,54.3477295761996,77.9623046043912
"2","2010_Q3",7.94328125,"Up",9.63e+08,-4.67e+08,4.96e+08,-3.24e+08,-2.83e+08,-4.1e+07,1.72e+08,-3.1e+07,-3.5e+07,4e+06,1.41e+08,125702588.295939,1.41e+08,-4.6e+07,9.5e+07,9.5e+07,9.5e+07,9.5e+07,2.39e+08,2.39e+08,3.53e+08,3.53e+08,3.43e+08,7.93e+08,1.17e+08,5.2e+08,1.728e+09,8.87e+08,6.604e+09,1.392e+09,4.513e+09,7.491e+09,9.219e+09,3.32e+08,3.32e+08,1.243e+09,4.22e+08,8.21e+08,1.852e+09,3.061e+09,1.596e+09,1.127e+09,4.657e+09,6.509e+09,3.761e+09,-9.41e+08,-2.15e+08,1.05e+08,2.71e+09,2.71e+09,9.219e+09,9.5e+07,4.1e+07,1.4e+08,75999999.9999999,3.52e+08,-1.4e+07,5e+06,-6e+07,-2.2e+07,-1.34e+08,-4.4e+07,-4.4e+07,-1e+07,-2.1e+08,8.2e+07,8.2e+07,-6e+06,7.6e+07,2.13e+08,3.338e+09,3.21e+08,0.51506,0.17861,0.09865,0.03506,0.0103,3.37895,0.93305,2.40185,0.36208,0.50802,0.50802,5.14973,14.49198,1.71658,0.11765,0.01531,0.04199,0.23158,14.5493,18.01744
"3","2010_Q4",9.5525,"Up",1.065e+09,-4.89e+08,5.76e+08,-2.93e+08,-2.5e+08,-4.3e+07,2.83e+08,-4.5e+07,-4.6e+07,1e+06,2.38e+08,-4e+06,2.34e+08,-7.9e+07,1.55e+08,1.55e+08,1.55e+08,1.55e+08,1.7e+08,1.7e+08,3.49e+08,3.49e+08,3.36e+08,7.47e+08,1.02e+08,5.01e+08,1.602e+09,9.42e+08,6.669e+09,1.432e+09,4.515e+09,7.611e+09,9.213e+09,2.15e+08,2.15e+08,1.087e+09,3.8e+08,7.07e+08,1.521e+09,3.397e+09,1.384e+09,9.64e+08,4.781e+09,6.302e+09,3.905e+09,-1.061e+09,-8.2e+07,1.49e+08,2.911e+09,2.911e+09,9.213e+09,1.55e+08,4.3e+07,1.31e+08,-3.58e+08,-2.9e+07,-3.3e+07,1.1e+07,-7.7e+07,-2.1e+07,1.22e+08,-9.9e+07,-9.9e+07,2.6e+07,2.8e+07,-7.8e+07,-7.8e+07,9e+06,-6.9e+07,3.26e+08,3.616e+09,1.4e+07,0.54085,0.26573,0.14554,0.05325,0.01682,0.09032,1.05325,2.16489,0.39249,0.87571,0.84239,6.01695,16.44633,0.0791,0.11864,0.02225,0.00176999999999999,0.13548,10.57055,12.17668
"4","2011_Q1",9.90290322580645,"Up",9.37e+08,-4.79e+08,4.58e+08,-3.12e+08,-2.67e+08,-4.5e+07,1.46e+08,-1e+06,-2e+06,1e+06,1.45e+08,-3.9e+07,1.06e+08,-2.7e+07,7.9e+07,7.9e+07,7.9e+07,7.9e+07,1.56e+08,1.56e+08,4.25e+08,4.25e+08,3.48e+08,8.23e+08,1.04e+08,5.4e+08,1.752e+09,1.041e+09,6.623e+09,1.481e+09,4.411e+09,7.664e+09,9.416e+09,2.74e+08,2.74e+08,1.067e+09,4.01e+08,6.66e+08,1.575e+09,3.51e+09,1.414e+09,1.021e+09,4.924e+09,6.499e+09,3.894e+09,-1.107e+09,-2.5e+07,1.55e+08,2.917e+09,2.917e+09,9.416e+09,7.9e+07,4.5e+07,1.27e+08,-1.44e+08,1.07e+08,-7.7e+07,-1.3e+07,-1.58e+08,-2.1e+07,1.05e+08,-4.3e+07,-4.3e+07,-5000000.00000001,3.6e+07,-1.5e+07,-1.5e+07,1e+06,-1.4e+07,1.91e+08,3.744e+09,-2999999.99999997,0.48879,0.15582,0.08431,0.02708,0.00839,-0.0379699999999998,1.11238,2.22797,0.39762,0.45143,0.43169,5.35429,16.66857,-0.0171399999999999,0.12,0.01238,-0.00037,0.26582,18.78534,24.57534
"5","2011_Q2",10.7892063492063,"Up",9.52e+08,-4.66e+08,4.86e+08,-3.21e+08,-2.76e+08,-4.5e+07,1.65e+08,-2.4e+07,-3e+07,6e+06,1.41e+08,-2.5e+07,1.16e+08,-4.4e+07,7.2e+07,7.2e+07,7.2e+07,7.2e+07,1.74e+08,1.74e+08,6.19e+08,6.19e+08,3.45e+08,8.55e+08,1.16e+08,5.86e+08,1.993e+09,1.073e+09,6.391e+09,1.496e+09,4.161e+09,7.464e+09,9.457e+09,4.93e+08,4.93e+08,1.054e+09,4.8e+08,5.74e+08,1.775e+09,3.557e+09,1.418e+09,1.028e+09,4.975e+09,6.75e+09,3.793e+09,-1.28e+09,2.1e+07,1.73e+08,2.707e+09,2.707e+09,9.457e+09,7.2e+07,4.5e+07,1.22e+08,-1e+07,2.29e+08,-2.3e+07,-3.1e+07,-5.7e+07,-2.7e+07,1e+07,-1.64e+08,-1.64e+08,2.4e+07,-1.57e+08,1.5e+07,1.5e+07,3e+06,1.8e+07,2.1e+08,3.785e+09,2.21e+08,0.5105,0.17332,0.07563,0.0266,0.00761,3.06944,1.12282,2.49354,0.40023,0.41618,0.40223,5.50289,15.6474,1.27746,0.15607,0.01252,0.02794,0.375,17.19524,21.88485
"6","2011_Q3",10.3596875,"Down",1.089e+09,-5.27e+08,5.62e+08,-3.25e+08,-2.8e+08,-4.5e+07,2.37e+08,-3.5e+07,-3.6e+07,999999.999999999,2.02e+08,-6e+06,1.96e+08,-8.2e+07,1.14e+08,1.14e+08,1.14e+08,1.14e+08,2.96e+08,2.96e+08,3.9e+08,3.9e+08,3.44e+08,8.73e+08,1.18e+08,5.83e+08,1.903e+09,1.106e+09,6.32e+09,1.5e+09,4.085e+09,7.426e+09,9.329e+09,3.85e+08,3.85e+08,1.132e+09,4.86e+08,6.46e+08,1.75e+09,3.499e+09,1.466e+09,1.083e+09,4.965e+09,6.715e+09,3.8e+09,-1.48e+09,1.09e+08,1.85e+08,2.614e+09,2.614e+09,9.329e+09,1.14e+08,4.5e+07,1.33e+08,1.75e+08,4.67e+08,-5.5e+07,1e+07,-4.7e+07,-2.6e+07,-7.5e+07,-1.96e+08,-1.96e+08,-3e+06,-3e+08,1.2e+08,1.2e+08,2e+06,1.22e+08,2.82e+08,3.732e+09,4.84e+08,0.51607,0.21763,0.10468,0.04361,0.01222,4.24561,1.08743,2.56886,0.40004,0.68263,0.67059,6.52096,15.65269,2.8982,0.15569,0.01792,0.06196,0.22807,12.1844,14.49789
"7","2011_Q4",11.1104761904762,"Up",1.212e+09,-5.47e+08,6.65e+08,-3.81e+08,-3.38e+08,-4.3e+07,2.84e+08,-1.3e+07,-1.5e+07,2e+06,2.71e+08,0,2.71e+08,-9.6e+07,1.75e+08,1.75e+08,1.75e+08,1.75e+08,1.75e+08,1.75e+08,3.66e+08,3.66e+08,3.37e+08,7.96e+08,1.04e+08,5.24e+08,1.674e+09,1.088e+09,6.26e+09,1.483e+09,4.046e+09,7.348e+09,9.022e+09,2.21e+08,2.21e+08,1.099e+09,3.9e+08,7.09e+08,1.536e+09,3.613e+09,1.454e+09,1.076e+09,5.067e+09,6.603e+09,3.81e+09,-1.784e+09,2.6e+08,1.33e+08,2.419e+09,2.419e+09,9.022e+09,1.75e+08,4.3e+07,1.23e+08,-1.77e+08,1.64e+08,-5.3e+07,3.1e+07,-5.5e+07,-2.3e+07,1.21e+08,-3.02e+08,-3.02e+08,-1.3e+07,-2.17e+08,-1.08e+08,-1.08e+08,-1.3e+07,-1.21e+08,3.27e+08,3.829e+09,1.93e+08,0.54868,0.23432,0.14439,0.07234,0.0194,1.10286,1.08984,2.72964,0.42441,1.10759,1.08025,7.67089,15.31013,1.22152,0.14557,0.02571,0.02506,0.13143,11.17431,12.8662
"8","2012_Q1",14.1022580645161,"Up",1.001e+09,-4.85e+08,5.16e+08,-3.72e+08,-3.27e+08,-4.5e+07,1.44e+08,-3.3e+07,-3.5e+07,2e+06,1.11e+08,-4.4e+07,6.7e+07,-1.1e+07,5.6e+07,5.6e+07,5.6e+07,5.6e+07,1.42e+08,1.42e+08,4.09e+08,4.09e+08,3.51e+08,8.28e+08,1.21e+08,5.54e+08,1.73e+09,1.117e+09,6.176e+09,1.479e+09,3.967e+09,7.293e+09,9.023e+09,2.78e+08,2.78e+08,1.043e+09,4.02e+08,6.41e+08,1.563e+09,3.773e+09,1.455e+09,1.065e+09,5.228e+09,6.791e+09,3.82e+09,-2.009e+09,2.93e+08,1.28e+08,2.232e+09,2.232e+09,9.023e+09,5.6e+07,4.5e+07,1.51e+08,-1.09e+08,1.43e+08,-8.2e+07,-1.4e+07,-9.7e+07,-2.3e+07,1.69e+08,-2.2e+08,-2.2e+08,-5e+06,-7.9e+07,-3.3e+07,-3.3e+07,-1.86264514923096e-09,-3.3e+07,1.89e+08,4.015e+09,9e+06,0.51548,0.14386,0.05594,0.02509,0.00621,0.16071,1.10685,3.04256,0.44497,0.37333,0.36601,6.67333,14.88,0.0600000000000003,0.15333,0.01026,0.00117,0.41071,20.49206,26.89583
"9","2012_Q2",16.5228571428571,"Up",1.036e+09,-4.93e+08,5.43e+08,-3.65e+08,-3.2e+08,-4.5e+07,1.78e+08,-2.8e+07,-3.1e+07,3e+06,1.5e+08,-1.06e+08,4.4e+07,-1.3e+07,3.1e+07,3.1e+07,3e+07,3e+07,2.39e+08,2.39e+08,5.84e+08,5.84e+08,3.62e+08,9.3e+08,1.33e+08,6.38e+08,2.115e+09,1.128e+09,6.129e+09,1.493e+09,3.903e+09,7.257e+09,9.372e+09,4.6e+08,4.6e+08,1.045e+09,4.71e+08,5.74e+08,1.765e+09,4.02e+09,1.463e+09,1.078e+09,5.483e+09,7.248e+09,3.827e+09,-2.16e+09,2.9e+08,1.68e+08,2.125e+09,2.124e+09,9.372e+09,3.1e+07,4.5e+07,2.06e+08,-5.4e+07,2.28e+08,-3.5e+07,-4e+07,-7.6e+07,-3.7e+07,1.46e+08,-1.44e+08,-1.44e+08,-2.3e+07,-5.8e+07,9.4e+07,9.4e+07,3e+06,9.7e+07,2.23e+08,4.28e+09,1.47e+08,0.52413,0.17181,0.02896,0.01412,0.0032,4.9,1.1983,3.41243,0.45668,0.20548,0.20134,7.09589,14.55479,1.00685,0.25342,0.00852,0.01869,1.23333,18.12108,22.70225
"10","2012_Q3",17.4420634920635,"Up",1.139e+09,-5.18e+08,6.21e+08,-3.92e+08,-3.46e+08,-4.6e+07,2.29e+08,-2.3e+07,-2.9e+07,6e+06,2.06e+08,1.49011611938477e-08,2.06e+08,-7.8e+07,1.28e+08,1.28e+08,1.28e+08,1.28e+08,2.86e+08,2.86e+08,3.93e+08,3.93e+08,3.63e+08,8.93e+08,1.16e+08,6.01e+08,1.935e+09,1.121e+09,6.058e+09,1.478e+09,3.85e+09,7.179e+09,9.114e+09,4.16e+08,4.16e+08,1.084e+09,4.52e+08,6.32e+08,1.702e+09,3.918e+09,1.498e+09,1.112e+09,5.416e+09,7.118e+09,3.838e+09,-2.349e+09,3.84e+08,1.24e+08,1.997e+09,1.996e+09,9.114e+09,1.28e+08,4.6e+07,1.23e+08,1.22e+08,4.19e+08,-4.5e+07,2.5e+07,-2e+07,-3.3e+07,-1.59e+08,-1.85e+08,-1.85e+08,3.1e+07,-3.46e+08,5.3e+07,5.3e+07,-6e+06,4.7e+07,2.75e+08,4.12e+09,4.3e+08,0.54522,0.20105,0.11238,0.06413,0.01404,3.35938,1.1369,3.56613,0.45205,0.88889,0.87075,7.90972,13.86806,2.98611,0.22917,0.02115,0.05647,0.25781,13.94182,16.74236
