"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2011_Q2",8.35555555555556,"Up",12124000,-7378000,4746000,-3957000,-2795000,-1162000,789000,68000,-35000,80000,23000,857000,857000,-350000,507000,507000,507000,507000,-122190117.707033,-236635110.40443,114444992.697396,21001120.453229,21001120.453229,-11411000.1817902,103136569.365583,-12157361.263472,95036817.4043939,-9463428.07001123,3466441.58566673,14002949.1371368,7396982.44175282,11845588.7968768,2382160.72686562,-31761511.0625914,-38794650.9921805,7042016.02160248,-54796521.4960934,12788696.5446313,11486103.6494474,1302592.89518385,12982303.6938593,-41814217.8022341,52943154.2652422,-2997500.49328346,-5749275.24285892,44196378.5290998,44196378.5290998,2382160.72686562,507000,507000,1043000,-1058000,492000,-1e+06,-1243000,-70000,-821000,-821000,-509000,0,0.39145,0.06508,0.04182,0.752965490027893,0.602609170775881,81.6869881347452,-0.467924773517454,-0.243889886045313,0.06158,0.06123,1.47251,5.44033732285425,0.650859512744832,-104.800098403681
"2","2011_Q3",8.30671875,"Down",12528000,-7724000,4804000,-3992000,-2765000,-1227000,812000,-14000,-29000,99000,-84000,798000,798000,-470000,328000,328000,328000,328000,-41675058.8535167,-99554055.2022149,57878996.3486982,18623560.2266145,18623560.2266145,9642999.9091049,47296784.6827917,-5129180.63173599,41032908.7021969,33888285.9649944,5575220.79283337,12567474.5685684,8671491.22087641,17648794.3984384,51537080.3634328,-9680255.5312957,-16313325.4960902,6637508.01080124,-18754760.7480467,11534348.2723156,10485551.8247237,1048796.44759192,11778651.8469296,-6976108.90111708,53968577.1326211,4338249.75335827,206362.378570541,58513189.2645499,58513189.2645499,51537080.3634328,328000,328000,945000,-3607000,-2334000,0,-451000,-50000,-2835000,-2835000,-2061000,2.91038304567337e-11,0.38346,0.06481,0.02618,0.405162745013946,0.323719585387941,39.7640090673726,-0.0435773867587268,-0.0945049430226567,0.03975,0.0394,1.51829,7.11756366142712,0.350004756372416,-60.7521492018405
"3","2011_Q4",6.78095238095238,"Down",12635000,-7786000,4849000,-4053000,-2820000,-1233000,796000,53000,-27000,90000,-10000,849000,849000,-340000,509000,509000,509000,509000,2559980.38216111,-24690018.4007383,27249998.7828994,15234520.0755382,15234520.0755382,22070666.6363683,17840594.8942639,-814393.543911997,12569302.9007323,57705761.9883315,6711406.93094445,11604824.8561895,9588163.74029214,20789931.4661461,78495693.4544776,2322248.15623477,-3722108.49869674,6045836.00360041,249079.750651094,10910449.4241052,9977850.60824124,932598.815863974,11142883.9489765,11391963.6996276,54636859.044207,8810749.91778609,3656120.79285685,67103729.75485,67103729.75485,78495693.4544776,509000,509000,1009000,2348000,3866000,-2147000,-2567000,-46000,1253000,1253000,1027000,0,0.38378,0.063,0.04028,0.185094248337982,0.147613195129314,17.5240163557909,0.176870871080424,-0.0196716476742189,0.0616,0.0608,1.52916,8.11964788714237,0.159858252124139,-33.2605064006135
"4","2012_Q1",6.91338709677419,"Up",15936000,-10366000,5570000,-4477000,-3018000,-1459000,1093000,-2000.00000000001,-27000,126000,-101000,1091000,1091000,3580000,4671000,4671000,4671000,4671000,20632000,5275000,15357000,11663000,11663000,28172000,7269000,1398000,2409000,67736000,7163000,11194000,10226000,22095000,89831000,7111000,1654000,5457000,7386000,10729000,9827000,902000,10910000,18296000,55057000,11286000,5192000,71535000,71535000,89831000,4671000,4671000,-3775000,-2978000,-145000,-1624000,-2463000,17000,-2591000,-2591000,-3136000,456000,0.34952,0.06859,0.29311,0.0653,0.052,9.17086,0.25576,0.00508,0.56357,0.55114,1.92271,8.63086,0.05647,-18.45929
"5","2012_Q2",6.59142857142857,"Down",15939000,-9795000,6144000,-4360000,-3162000,-1198000,1784000,2e+05,-24000,125000,99000,1984000,1984000,-640000,1344000,1344000,1344000,1344000,22658000,7659000,14999000,8738000,8738000,30247000,8083000,2119000,3315000,69726000,7218000,11414000,10664000,22390000,92116000,7551000,2490000,5061000,7827000,10802000,9897000,905000,10915000,18742000,55338000,12630000,5406000,73374000,73374000,92116000,1344000,1344000,1052000,266000,2662000,187000,-333000,-53000,2276000,2276000,2384000,389000,0.38547,0.11193,0.08432,0.01832,0.01459,8.90839,0.25543,0.00422,0.16184,0.15806,1.91932,8.83547,0.01589,-12.48262
"6","2012_Q3",7.2547619047619,"Up",15055000,-8943000,6112000,-4337000,-3464000,-873000,1775000,-19000.0000000001,-26000,135000,-128000,1756000,1406000,-630000,775999.999999999,776000,776000,776000,19950000,1644000,18306000,7128000,7128000,30447000,11978000,1932000,7402000,69503000,6942000,11549000,10799000,21854000,91357000,6343000,1437000,4906000,6619000,10901000,10042000,859000,10946000,17565000,55605000,13406000,4781000,73792000,73792000,91357000,776000,775999.999999999,1921000,-4947000,-2250000,-3298000,-3725000,-72000,-6047000,-6047000,-6015000,321000,0.40598,0.1179,0.05154,0.01052,0.00849,10.50053,0.23803,0.00351,0.09328,0.0904700000000001,1.80974,8.87043,0.00913,-11.05859
"7","2012_Q4",7.13887096774194,"Down",15448000,-9232000,6216000,-4274000,-3391000,-883000,1942000,-368000,-27000,213000,-554000,1574000,1574000,-5e+05,1074000,1074000,1074000,1074000,22625000,4548000,18077000,7662000,7662000,31072000,11455000,1448000,7433000,72814000,6623000,11678000,10710000,21313000,94127000,6352000,1170000,5182000,8933000,10838000,10126000,712000,10838000,19771000,55967000,14480000,3909000,74356000,74356000,94127000,1074000,1074000,1913000,-2123000,864000,465000,196000,2285000,3345000,3345000,2904000,2581000,0.40238,0.12571,0.06952,0.01444,0.01141,8.15113,0.2659,0.02742,0.12884,0.12587,1.8532,8.92001,0.01224,-10.32132
"8","2013_Q1",8.18866666666667,"Up",17153000,-11007000,6146000,-4944000,-4038000,-906000,1202000,-82000.0000000001,-44000,173000,-211000,1120000,1850000,2330000,4180000,4180000,4180000,4180000,22440000,4782000,17658000,10866000,10866000,34299000,11757000,1398000,7207000,79362000,8374000,18491000,11926000,26865000,106227000,9726000,2644000,6986000,16109000,10971000,10179000,792000,10986000,27095000,56302000,18660000,4170000,79132000,79132000,106227000,4180000,4180000,-4382000,-1171000,868000,5e+05,-4139000,3546000,275000,275000,234000.000000001,6398000,0.3583,0.07008,0.24369,0.05282,0.03935,4.92656,0.3424,0.06023,0.50017,0.48883,2.05251,9.46883,0.04332,-13.34609
"9","2013_Q2",8.57359375,"Up",16685000,-10704000,5981000,-4900000,-3485000,-1415000,1081000,117000,-56000,167000,6000,1198000,1198000,-430000,768000,768000,768000,768000,22139000,5461000,16678000,9699000,9699000,34532000,12988000,1306000,8649000,79358000,8126000,17799000,11257000,26732000,106090000,8809000,1643000,6770000,15126000,11090000,10225000,865000,11090000,26216000,56662000,19428000,3784000,79874000,79874000,106090000,768000,768000,1250000,-2420000,-402000,1283000,951000,-87000,462000,462000,679000,6317000,0.35847,0.06479,0.04603,0.00962,0.00724,5.24646,0.32822,0.05954,0.09167,0.08989,1.99147,9.5335,0.00789,-14.63645
"10","2013_Q3",9.32921875,"Up",17569000,-10837000,6732000,-4714000,-3511000,-1203000,2018000,93000,-47000,152000,-12000,2111000,2111000,-670000,1441000,1441000,1441000,1441000,23909000,6978000,16931000,9918000,9918000,35347000,14727000,1322000,10587000,83901000,7893000,18117000,11398000,26817000,110718000,8695000,2203000,6492000,17417000,11173000,10310000,863000,11173000,28590000,56999000,20869000,4260000,82128000,82128000,110718000,1441000,1441000,1361000,-3381000,-579000,-224000,-504000.000000001,2376000,1293000,1293000,1517000,8722000,0.38317,0.11486,0.08202,0.01755,0.01302,4.81719,0.34812,0.07878,0.17151,0.1675,2.09114,9.77524,0.01412,-7.52577
