"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",71.3107936507937,"Up",580662000,-387381000,193281000,-174166000,-156453000,-17713000,19115000,-17457000,-11330000,-6127000,1658000,-1120000,538000,-124000,414000,414000,-168000,246000,246000,762533050.751919,762533050.751919,720335554.539913,872487726.80315,233364577.363459,69386314.6194726,39855262.7782378,1716233182.65529,210662926.482557,1695221789.18849,25469240.3083433,1296135996.0011,188246565.635965,91430609.4234429,1905884715.67104,3622117898.32633,1356491975.22585,1356491975.22585,151183531.121529,-125705115.659949,-128111373.832939,1381970390.68743,53023527.3615645,875585269.429389,27713370.5133761,14636756.0039224,830710083.343803,928608796.790953,2310579187.47838,912107299.413235,702851077.903538,-306677880.360547,1308280496.95623,3258213.89172385,1311538710.84795,3622117898.32633,414000,32236000,-196695000,-146332000,-4478000,-8769000,-23784000,183270000,-22869000,160573000,-9543000,-9543000,-9543000,0,0.33286,0.03292,0.00042,0.175705991675922,0.0797162170965056,1.38950676542064,1.68915639697748,0.0623491730482359,0.00587,0.0056,13.85395,32.3317483208874,0.145321832560195,-27.5393972029197
"2","2010_Q3",72.98953125,"Up",680319000,-438408000,241911000,-180575000,-163042000,-17533000,61336000,-15715000,-12918000,-2797000,45621000,-3996000,41625000,-9574000,32051000,32051000,-78000,31973000,31755000,54994000,54994000,621523000,621523000,218192000,41729000,96478000,894709000,192498000,1879931000,30856000,1399668000,139283000,148018000,2072429000,2967138000,603244000,603244000,63737000,235401000,197462000,902382000,2.68e+08,420444000,21013000,7797000,385055000,688444000,1590826000,865786000,559188000,-51532000,1373442000,2870000,1376312000,2967138000,32051000,26811000,-10426000,65969000,-9180000,1265000,-11323000,-49932000,-5649000,-59372000,-4726000,-4726000,-4726000,331737000,0.35558,0.09016,0.04668,0.02307,0.0107,0.9915,1.15586,0.1118,0.7554,0.71763,16.18377,32.67213,0.01703,4.51192
"3","2010_Q4",79.41765625,"Up",708380000,-463065000,245315000,-183078000,-165335000,-17743000,62237000,-13503000,-11490000,-2013000,48734000,-385000,48349000,-11119000,37230000,37230000,-101000,37129000,37129000,71717000,71717000,638111000,638111000,217725000,37665000,104886000,927553000,192405000,1944106000,31306000,1438038000,137431000,158764000,2136511000,3064064000,715757000,715757000,29182000,307627000,257902000,1052566000,2.53e+08,279040000,18035000,10091000,244380000,532040000,1584606000,863198000,596314000,17069000,1476581000,2877000,1479458000,3064064000,37230000,21300000,112162000,188435000,-9139000,-348000,-24230000,-49551000,-98139000,-147482000,16723000,16723000,16723000,282182000,0.3463,0.08786,0.05241,0.0251,0.01212,0.88123,1.07107,0.09209,0.87221,0.84214,16.64084,34.68696,0.0182,3.38167
"4","2011_Q1",90.9666129032258,"Up",956252000,-610327000,345925000,-221569000,-202985000,-18584000,124356000,-10506000,-10064000,-442000,113850000,-885000,112965000,-28221000,84744000,84744000,-190000,84554000,84394000,251897000,251897000,721486000,721486000,221458000,41195000,97523000,1194841000,198685000,1956335000,29025000,1444708000,149020000,159004000,2155020000,3349861000,955522000,955522000,28700000,312090000,263002000,1296312000,197500000,284114000,15130000,15450000,248503000,481614000,1777926000,877210000,676397000,15324000,1568931000,3004000,1571935000,3349861000,84744000,9448000,163422000,276198000,22797000,-49171000,-31539000,-55985000,-4349999.99999999,-64479000,180180000,180180000,180180000,226200000,0.36175,0.13005,0.08825,0.05369,0.02519,0.92172,1.13104,0.06753,1.97815,1.91595,22.41402,36.77487,0.04268,-0.20664
"5","2011_Q2",93.3360317460318,"Up",687864000,-461357000,226507000,-214441000,-196126000,-18315000,12066000,-9934000,-7963000,-1971000,2132000,0,2132000,-533000,1599000,1599000,-109000,1490000,1490000,100951000,100951000,811549000,698292000,222528000,38577000,105592000,1135028000,202774000,2009828000,29189000,1479418000,144081000,178982000,2212602000,3347630000,690126000,690126000,42517000,432712000,384264000,1165355000,2.78e+08,289248000,9963000,18103000,256441000,567248000,1732603000,883277000,677887000,50709000,1611873000,3154000,1615027000,3347630000,1599000,29279000,-246372000,-197179000,37654000.1277227,-23722000,-31587000,94317000,-16577000,77820000,-150946000,-150946000,-150946000,320517000,0.32929,0.01754,0.00217,0.000919999999999997,0.000449999999999996,0.97398,1.0728,0.09574,0.03478,0.03359,16.05403,37.61945,0.000669999999999997,18.19708
"6","2011_Q3",69.32203125,"Down",845293000,-544221000,301072000,-229393000,-210043000,-19350000,71679000,-5450000,-9589000,4139000,66229000,-6112000,60117000,-15029000,45088000,45088000,-992000,44096000,43860000,95615000,95615000,774825000,749395000,251793000,48647000,124435000,1122233000,226231000,2336485000,59263000,1775713000,141934000,177218000,2562716000,3684949000,749390000,749390000,45201000,366829000,303818000,1161420000,4.44e+08,402686000,10771000,20051000,367116000,846686000,2008106000,891680000,715229000,65448000,1672357000,4486000,1676843000,3684949000,45088000,19794000,-23365000.0000001,60867000.0000001,30588660.5887385,-222248000,-226340000,168685000,-2627000.00000001,160137000,-5336000.00000006,-5336000.00000006,-5336000,489201000,0.35617,0.0848,0.05189,0.02616,0.0119,0.96626,1.19755,0.13276,1.02157,0.98621,19.68823,38.95188,0.0197,5.49095
"7","2011_Q4",57.4630158730159,"Down",903211000,-602473000,300738000,-230353000,-207518000,-22835000,70385000,-9152000,-9666000,514000,61233000,-16032000,45201000,-11301000,33900000,33900000,-20000,33880000,33880000,85671000,85671000,858919000,739469000,247383000,56772000,115740000,1191973000,225149000,2342316000,58428000,1752094000,135001000,174599000,2567465000,3759438000,761818000,761818000,53853000,326520000,263631000,1142191000,5.67e+08,408493000,11720000,22694000,372862000,975493000,2117684000,887126000,749110000,2116000,1638352000,3402000,1641754000,3759438000,33900000,12809000,25593000,95137000,13928240.755385,-24509000,-78236000,131651000,-158735000,-26845000,-9944000,-9944000,-9944000,620853000,0.33297,0.07793,0.03751,0.02064,0.00901,1.04358,1.28989,0.16515,0.78026,0.76383,20.80093,37.73121,0.01268,7.60364
"8","2012_Q1",75.5154838709677,"Up",1148176000,-722469000,425707000,-272505000,-250173000,-22332000,153202000,-4670000,-8373000,3703000,148532000,-33983000,114549000,-29524000,85025000,85025000,-107000,84918000,84767000,184454000,184454000,907772000,907772000,208658000,45274000,109831000,1300884000,241415000,2390337000,52590000,1751207000,186605000,175081000,2631752000,3932636000,1091703000,1091703000,65091000,191823000,126805000,1348617000,4.63e+08,426639000,57118000,7646000,344642000,889639000,2238256000,897589000,827297000,-33757000,1691129000,3251000,1694380000,3932636000,85025000,-26781000,171937000,252513000,-2.98023223876953e-08,-47810000,-53153000,-92763000,-1142000,-100577000,98783000,98783000,98783000,528091000,0.37077,0.13343,0.07383,0.05003,0.02155,0.96461,1.32099,0.13428,1.9496,1.91427,26.40751,38.89517,0.03454,2.24303
"9","2012_Q2",72.2679365079365,"Down",813294000,-537516000,275778000,-252255000,-232596000,-19659000,23523000,4422000,-7426000,11848000,27945000,-8952000,18993000,-4824000,14169000,14169000,-145000,14024000,14024000,101846000,101846000,807650000,807650000,222084000,52484000,120522000,1131580000,244672000,2452675000,49241000,1784275000,199205000,183656000,2697347000,3828927000,785571000,785571000,28599000,179403000,123194000,993573000,6.32e+08,448636000,10305000,7646000,413660000,1080636000,2074209000,908635000,841321000,1917000.00000001,1751873000,2845000,1754718000,3828927000,14169000,3622000,-233572000,-196122000,-2574938.95663952,-9267000,-16149000,132508000,-2940000,129663000,-82608000,-82608000,-82608000,660599000,0.33909,0.02892,0.01724,0.00799,0.00366,1.1389,1.18208,0.17253,0.32161,0.31384,18.65128,40.17571,0.0049,23.75348
"10","2012_Q3",69.2939682539683,"Down",921341000,-592928000,328413000,-253727000,-233765000,-19962000,74686000,-7505000,-7459000,-46000.0000000019,67181000,-16604000,50577000,-12847000,37730000,37730000,-290000,37440000,37187000,115499000,115499000,819946000,819946000,220021000,54752000,116744000,1155466000,239202000,2399403000,45762000,1766978000,197718000,178146000,2638605000,3794071000,758598000,758598000,19598000,213056000,123829000,991252000,6.19e+08,429108000,15262000,7646000,390852000,1048108000,2039360000,920307000,869670000,-40090000,1749887000,4824000,1754711000,3794071000,37730000,18140000,-2328000,73503999.9999999,-3.72529029846191e-09,-5043000,-9749000,-22001000,-22018000,-50101999.9999999,13653000,13653000,13652999.9999999,638598000,0.35645,0.08106,0.04036,0.02119,0.0098,1.16566,1.16222,0.16831,0.8506,0.82919,21.07431,40.02607,0.0164,7.00398
