"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.85875,"Up",445300000,-241600000,203700000,-132600000,-90400000,-42200000,71100000,-34400000,-35500000,1100000,36700000,36700000,-11100000,25600000,25600000,25600000,25600000,191324615.768718,191324615.768718,138610677.090702,138610677.090702,749137298.728426,703023389.726472,1079072591.58785,640719648.027367,2206707459.02698,594495421.507004,1341119864.42624,203926392.416328,67165780.6774054,2847427107.05435,3926499698.6422,113631669.590332,5149280.50902218,-19491166.5601632,20790765.4781871,107182790.163286,2663340377.83975,400031474.783348,400031474.783348,364358515.84784,1945018244.50596,536069794.502799,365189884.272203,170879910.230596,2481088039.00876,2845446554.8566,2.48774941775096e-11,1303711519.93868,-108819744.311287,-113838631.841801,1081053143.78559,1081053143.78559,3926499698.6422,25600000,42200000,19700000,2600000,90100000,-20200000,-19500000,2200000,-37600000,-1100000,2200000,2200000,36400000,37500000,9e+07,9e+07,4e+05,90400000,113300000,0,106800000,0.45744,0.15967,0.05749,0.183781898862244,0.0521529363292584,4.17188,1.82242177301985,2.6291483337828,0.44937192360792,0.07183,0.0713,1.24942,3.0359284639547,0.29966,0.067836209297264,0.00215194363144823,18.9088664230852,36.199751006526
"2","2011_Q1",4.39903225806452,"Up",448900000,-2.58e+08,190900000,-1.43e+08,-9.9e+07,-4.4e+07,47900000,-35700000,-35100000,-6e+05,12200000,4800000.00000001,2500000,7300000,7300000,7300000,7300000,119100000,119100000,271900000,271900000,863700000,822900000,1254700000,680500000,2589800000,712600000,1554100000,269800000,53300000,3270300000,4.525e+09,446700000,287700000,2900000,10100000,1.46e+08,1133470188.91987,520100000,520100000,966800000,1875700000,437900000,326300000,111600000,2313600000,3280400000,0,1.383e+09,-164900000,26500000,1244600000,1244600000,4.525e+09,7300000,4.4e+07,21100000,-22800000,49600000,-36500000,-59600000,-2500000,-144600000,-150400000,1200000,1200000,-16700000,-165900000,-260900000,-260900000,2e+05,-260700000,91900000,1875700000,30100000,0.42526,0.10671,0.01626,0.00587,0.00161,4.12329,1.29779,2.63571,0.41452,0.0204800000000001,0.02033,1.25952,3.49209,0.08445,0.00205,0.00846,19.11425,36.67223
"3","2011_Q2",5.53984126984127,"Up",484700000,-264500000,220200000,-146800000,-102700000,-44100000,73400000,-32600000,-33200000,6e+05,40800000,40800000,-1e+06,39800000,39800000,39800000,39800000,143250128.077094,143250128.077094,329454774.303099,329454774.303099,888179233.757191,849075536.757843,1360884136.13738,689193450.657544,2647947513.65767,722401526.164332,1594543378.52459,284766202.52789,46236406.4408649,3337140964.31522,4698025100.4526,572131110.136556,404458573.163659,12813722.1867211,4153078.17393763,150705736.612238,320256729.639958,549922841.738884,549922841.738884,1158847161.38405,1839193918.49801,391785068.499067,311120038.575932,80665029.9231345,2230978986.99708,3389826148.38113,-8.29249805916986e-12,1410246160.02044,-167426751.896238,65379543.947267,1308198952.07147,1308198952.07147,4698025100.4526,39800000,44100000,14300000,-16900000,81300000,-16100000,24600000,2800000,7e+06,-1100000,1100000,1100000,34100000,34100000,122400000,122400000,8e+05,123200000,117500000,0,85500000,0.4543,0.15143,0.08211,-0.0394364662874148,-0.0112309787764195,2.14824,1.17322107566005,2.59209638873907,0.39939185879736,0.11167,0.11085,1.35997,3.65700134534843,0.2399,-0.0146587364324213,0.0149585187895173,16.7334486923049,29.9503571644913
"4","2011_Q3",4.67265625,"Down",472700000,-254400000,218300000,-1.43e+08,-99400000,-43600000,75300000,-4.3e+07,-49700000,6700000,32300000,-21200000,6900000,-14300000,-14300000,-14300000,-14300000,200300000,200300000,339300000,339300000,873100000,833800000,1412700000,681800000,2554600000,679900000,1556100000,275200000,43400000,3236400000,4649100000,572700000,420100000,13800000,1700000,137100000,1.7e+07,536400000,536400000,1126100000,1824700000,382900000,311200000,71700000,2207600000,3333700000,0,1407700000,-139400000,47100000,1315400000,1315400000,4649100000,-14300000,43600000,61400000,-14500000,76200000,-23200000,-4.3e+07,-1e+06,-67100000,-5.5e+07,4400000,4400000,-999999.999999993,-51600000,-42500000.0000001,-42500000.0000001,5e+05,-4.2e+07,118900000,1841700000,74300000,0.46182,0.1593,-0.03025,-0.01087,-0.00308,-5.1958,1.25451,2.53436,0.39614,-0.0398,-0.0398,1.31557,3.66089,0.20678,-0.00404,0.02099,13.80488,21.79814
"5","2011_Q4",3.89920634920635,"Down",449100000,-247300000,201800000,-124200000,-80400000,-43800000,77600000,-30700000,-29400000,-1300000,46900000,46900000,-14700000,32200000,32200000,32200000,32200000,203600000,203600000,3.18e+08,3.18e+08,888500000,849200000,1410100000,676300000,2525200000,653100000,1555800000,274200000,42100000,3201500000,4611600000,519800000,384700000,8400000,1500000,125200000,1.7e+07,542700000,542700000,1079500000,1820800000,398400000,318300000,80100000,2219200000,3298700000,0,1399700000,-107200000,20400000,1312900000,1312900000,4611600000,32200000,43800000,-8300000,-19700000,4.8e+07,-24700000,-21700000,1e+05,-46600000,-8e+06,5e+05,5e+05,13800000,6300000,7700000,7700000,-4400000,3300000,121400000,1837800000,91700000,0.44934,0.17279,0.0717,0.02453,0.00698,2.84783,1.30625,2.51253,0.39852,0.08942,0.08825,1.24714,3.64589,0.25465,0.00907,0.02584,13.46129,21.05928
"6","2012_Q1",4.62983870967742,"Up",479800000,-2.69e+08,210800000,-155200000,-106900000,-48300000,55600000,-32100000,-30800000,-1300000,23500000,23500000,-9e+06,14500000,14500000,14500000,14500000,97400000,97400000,297400000,297400000,978400000,940900000,1373200000,686700000,2719200000,6.94e+08,1679500000,305900000,39800000,3405900000,4779100000,5e+08,367800000,500000.000000001,2300000,129400000,85900000,610300000,610300000,1196200000,1816900000,422800000,323900000,98900000,2239700000,3435900000,-1.29246970711411e-26,1407800000,-92700000,28100000,1343200000,1343200000,4779100000,14500000,48300000,2.3e+07,14500000,100300000,-21500000,-8e+07,-1500000,-313100000,62200000,0,-4.65661287307739e-10,4.2e+07,104200000,-108600000,-108600000,2400000,-106200000,103900000,1902800000,105900000,0.43935,0.11588,0.03022,0.0108,0.00303,7.30345,1.14797,2.558,0.39815,0.04035,0.03983,1.33533,3.73826,0.29473,0.00395,0.02887,17.37632,32.47122
"7","2012_Q2",4.91206349206349,"Up",506900000,-269400000,237500000,-162700000,-114100000,-48600000,74800000,-30400000,-30300000,-1e+05,44400000,44400000,-18400000,2.6e+07,2.6e+07,2.6e+07,2.6e+07,125200000,125200000,391200000,391200000,959600000,922100000,1.476e+09,6.84e+08,2694600000,678300000,1679500000,3e+08,36800000,3378600000,4854600000,635600000,515200000,5400000,2600000,112400000,1.7e+07,5.86e+08,5.86e+08,1238600000,1.813e+09,419800000,319700000,100100000,2232800000,3471400000,0,1416400000,-66700000,33500000,1383200000,1383200000,4854600000,2.6e+07,48600000,11600000,-11700000,74500000,-13200000,14800000,1100000,2700000,-76400000,3e+05,3e+05,26500000,-49600000,27600000,27600000,2e+05,27800000,123400000,1.83e+09,116900000,0.46853,0.14756,0.05129,0.0188,0.00536,4.49615,1.19167,2.50969,0.37696,0.0722,0.07105,1.40765,3.84111,0.32463,0.00716,0.03218,13.81524,22.79144
"8","2012_Q3",5.22174603174603,"Up",487900000,-263200000,224700000,-151500000,-103500000,-4.8e+07,73200000,-29100000,-29600000,5e+05,44100000,44100000,-20200000,23900000,23900000,23900000,23900000,117100000,117100000,358400000,358400000,1039400000,1001900000,1514900000,684200000,2669500000,658300000,1679500000,297200000,34500000,3353700000,4868600000,588900000,452700000,13800000,2300000,120100000,1.7e+07,634100000,634100000,1.24e+09,1809100000,411200000,311500000,99700000,2220300000,3460300000,0,1422300000,-42800000,28800000,1408300000,1408300000,4868600000,23900000,4.8e+07,2900000,2.1e+07,95800000,-2.4e+07,-71100000,-2200000,-97800000,-7800000,9e+05,9e+05,1400000,-5500000,-7499999.99999999,-7499999.99999999,-6e+05,-8099999.99999999,121200000,1826100000,138400000,0.46055,0.15003,0.04899,0.01697,0.00491,5.79079,1.22169,2.45708,0.37508,0.06637,0.06513,1.35488,3.91081,0.38433,0.00656,0.03796,14.10066,23.34699
"9","2012_Q4",5.69354838709677,"Up",474900000,-264100000,210800000,-149100000,-102300000,-46800000,61700000,-28700000,-29900000,1200000,3.3e+07,3.3e+07,-13800000,19200000,19200000,19200000,19200000,163700000,163700000,385300000,385300000,1038700000,1001100000,1587700000,688800000,2649500000,639100000,1679700000,298600000,32100000,3338300000,4.926e+09,617800000,465300000,20100000,2500000,129900000,1.7e+07,633500000,633500000,1268300000,1805200000,407100000,306100000,1.01e+08,2212300000,3480600000,0,1431500000,-23600000,37500000,1445400000,1445400000,4.926e+09,19200000,46800000,6700000,-5e+06,67700000,-17900000,-1100000,1600000,-17400000,-8100000,1600000,1600000,-7e+05,-7200000,43100000,43100000,3500000,46600000,108500000,1822200000,99400000,0.44388,0.12992,0.04043,0.01328,0.0039,5.17708,1.25183,2.40805,0.36991,0.0532,0.05228,1.31589,4.00502,0.27542,0.00522,0.02705,15.28571,26.88006
"10","2013_Q1",6.31683333333333,"Up",493700000,-290400000,203300000,-1.46e+08,-99200000,-46800000,57300000,-27200000,-29600000,2400000,30100000,30100000,-7200000,22900000,22900000,22900000,22900000,108700000,108700000,342400000,342400000,1130300000,1094900000,1581400000,700700000,2640200000,618900000,1679600000,305200000,36500000,3340900000,4922300000,529900000,388400000,6e+05,1600000,139300000,43700000,713300000,713300000,1286900000,1774600000,417100000,318600000,98500000,2191700000,3478600000,1.65436122510606e-24,1435300000,-26700000,35100000,1443700000,1443700000,4922300000,22900000,46800000,26700000,-44200000,52200000,-41200000,-69100000,-4200000,-115100000,-7500000.00000001,5e+05,5e+05,41800000,8799999.99999999,-54100000,-54100000,-900000.000000001,-5.5e+07,104100000,1818300000,25900000,0.41179,0.11606,0.04638,0.01586,0.00465,1.131,1.22884,2.4095,0.3694,0.06336,0.06209,1.36598,3.99446,0.07166,0.01329,0.00704,16.42267,29.83595
