"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.3190476190476,"Up",409395000,-291594000,117801000,-119502000,-3340000,-116162000,-1701000,-3419000,-6371000,2952000,-5120000,-12950000,5129000,-7821000,-9188000,-629000,-9817000,-9817000,105099000,105099000,286040000,286040000,371969000,121298000,68520000,884406000,716821000,1704230000,-987409000,756405000,506930000,161955724.250513,24570000,49774000,1473226000,2357632000,181533000,90840000,12273000,78420000,42381000,162807000,162807000,386721000,324978000,245174000,136750000,136750000,71449000,36975000,570152000,956873000,575956000,766747000,36999000,1379702000,21057000,1400759000,2357632000,-9188000,23490000,5326000,-1410000,6736000,-2338000,2228000,-4566000,17290000,-7928000,386000,19458000,-9781000,-117208000,-72000,-1370232.0016869,120516000,-6545000,30203000,30203000,5073000,35276000,21789000,367359000,6394000,0.28774,-0.00415,-0.02398,-0.00701,-0.00416,-0.65132,2.28694,0.68311,0.15582,-0.12125,-0.12017,5.05638,17.04051,0.07897,0.1208,3,-2e-05,0.00318,-0.99633,12.03635,-154.17989
"2","2010_Q3",20.84296875,"Down",442865000,-302777000,140088000,-121269000,-3367000,-117902000,18819000,-4088000,-5954000,1866000,14731000,11383000,-5090000,6293000,6237000,-270000,5967000,5967000,95835000,95835000,274632000,274632000,378167000,115251000,62390000,863885000,705138000,1702352000,-997214000,751466000,506349000,169071000,23433000,50373000,1456604000,2320489000,182405000,96420000,10343000,75642000,19696000,151507000,151507000,353608000,319085000,247551000,137269000,137269000,71816000,38466000,566636000,920244000,580787000,762923000,35270000,1378980000,21265000,1400245000,2320489000,6237000,23987000,2790000,533000,2257000,3127000,9757000,-6630000,36141000,-9679000,-43000,-8933999.99999999,-9791000,-27922000,120622000,-146000,-119208000,-36299000,-9092000,-9092000,-172000,-9263999.99999999,42806000,338781000,41344000,0.31632,0.04249,0.01347,0.00426,0.00257,6.92877,2.44306,0.6572,0.146,0.0737,0.07304,5.46977,17.03159,0.51063,0.12093,6,0.00793,0.02081,1.64086,5.67551,12.90961
"3","2010_Q4",26.77640625,"Up",493165000,-322841000,170324000,-123301000,-3239000,-120062000,47023000,-5035000,-6531000,1496000,41988000,21268000,-11065000,10203000,10203000,-518000,9685000,9685000,110893000,110893000,317136000,317136000,372594000,93716000,41369000,894339000,681594000,1665197000,-983603000,735376000,499318000,162686000,22206000,48913000,1416970000,2311309000,191569000,94256000,10930000,86383000,18689000,167001000,167001000,377259000,317486000,242243000,132014000,132014000,73954000,36275000,559729000,936988000,586966000,762751000,3215000,1352932000,21389000,1374321000,2311309000,10203000,23792000,1643000,1183000,460000,3568000,-46735000,50303000,39206000,-8744000,-57000,-8801000,-9857000,-1171000,-81000,-78000,4199000,-6910000,23495000,23495000,-8437000,15058000,70815000,336175000,76704000,0.34537,0.09535,0.01964,0.00705,0.00419,7.91988,2.37062,0.68178,0.14545,0.11962,0.11856,6.09101,16.70988,0.94736,0.12174,8,0.01001,0.03928,1.01776,3.18128,4.79089
"4","2011_Q1",30.6162903225806,"Up",538642000,-339127000,199515000,-126505000,-3144000,-123361000,73010000,-4084000,-6347000,2263000,68926000,56901000,-15951000,40950000,40950000,-366000,40584000,40584000,118129000,118129000,326699000,326699000,364268000,106835000,44752000,915931000,664535000,1623620000,-959085000,687357000,489443000,155306000,11827000,28530000,1351892000,2267823000,217206000,125360000,17857000,73989000,22993000,152806000,152806000,393005000,314675000,226700000,129701000,17894000,63266000,33733000,541375000,934380000,594833000,793448000,-72781000,1315500000,17943000,1333443000,2267823000,40950000,25160000,3987000,-76000,4063000,2094000,-23495000,25589000,72191000,-25187000,-10000,-42143000,-9887000,3309000,-79000,-82000,-1756000,-8413000,21635000,21635000,-14399000,7236000,98170000,337668000,91028000,0.3704,0.13554,0.07535,0.03044,0.0179,2.24295,2.33058,0.70073,0.1489,0.50125,0.4968,6.65269,16.24756,1.12427,0.12211,8,0.02659,0.04796,0.24362,2.23631,3.00697
"5","2011_Q2",30.6546031746032,"Up",529158000,-340418000,188740000,-127968000,-2948000,-125020000,60772000,-7874000,-5963000,-1911000,52898000,49638000,-13682000,35956000,35956000,-1035000,34921000,34921000,124249000,124249000,342830000,342830000,418048000,113219000,48827000,998346000,677380000,1695256000,-1017876000,705005000,502744000,157531000,12459000,30448000,1382385000,2380731000,237191000,129865000,25990000,81336000,5064000,147143000,147143000,389398000,313755000,239962000,140831000,140831000,59846000,39285000,553717000,943115000,602635000,818405000,-3911000,1417129000,20487000,1437616000,2380731000,35956000,22773000,9989000,-10000,9999000,-42290000,787000,-43077000,26428000,-9972000,1251000,-8721000,-9964000,-17176000,-73000,-73000,905000,-26308000,-8601000,-8601000,14721000,6120000,83545000,318819000,44965000,0.35668,0.11485,0.06599,0.02429,0.01467,1.28762,2.56382,0.65603,0.13392,0.4313,0.42748,6.53556,17.50277,0.55536,0.12306,7,0.02248,0.02252,0.28533,2.32892,3.20164
"6","2011_Q3",28.495625,"Down",565768000,-365743000,200025000,-135017000,-2912000,-132105000,65008000,-5311000,-5564000,253000,59697000,56306000,-12016000,44290000,44290000,-821000,43469000,43469000,147157000,147157000,340531000,340531000,425957000,111488000,47625000,1025133000,665779000,1688570000,-1022791000,704081000,500790000,153917000,11815000,35733000,1369860000,2394993000,211248000,116849000,13265000,81134000,4236000,154435000,154435000,369919000,312143000,236504000,139679000,139679000,64933000,31892000,548647000,918566000,606166000,851909000,-2607000,1455468000,20959000,1476427000,2394993000,44290000,22970000,5500000,515000,4985000,-31787000,813000,-32600000,40973000,-3727000,-113000,-3840000,-9965000,-472000.000000004,-10202000,-10202000,7792000,-12847000,24286000,24286000,-1378000,22908000,87978000,316379000,64480000,0.35355,0.1149,0.07683,0.02944,0.01815,1.48336,2.77124,0.62215,0.1321,0.52918,0.52269,6.88751,17.71849,0.78496,0.12131,7,0.02633,0.03177,0.22924,1.92346,2.6031
"7","2011_Q4",28.4663492063492,"Down",614830000,-384849000,229981000,-141158000,-2836000,-138322000,88823000,-7180000,-5767000,-1413000,81643000,80597000,-15394000,65203000,65203000,-520000,64683000,64683000,184192000,184192000,418546000,418546000,466125000,123934000,52510000,1192797000,664856000,1712453000,-1047597000,711569000,507969000,153858000,12310000,36599000,1376425000,2569222000,287617000,166085000,23109000,98423000,6176000,156333000,156333000,450126000,310667000,246042000,146382000,146382000,67650000,32010000,556709000,1006835000,597407000,906648000,36115000,1540170000,22217000,1562387000,2569222000,65203000,23118000,4606000,-3383000,7989000,-35303000,-73292000,37989000,57624000,-11586000,1211000,-10375000,-9944000,2233000,-16182000,-16182000,5339000,-18554000,28695000,28695000,8340000,37035000,111941000,316843000,80446000,0.37406,0.14447,0.1052,0.0414,0.02518,1.2437,2.64992,0.64442,0.12332,0.78743,0.77778,7.48478,18.74963,0.97933,0.12106,7,0.03511,0.03785,0.15373,1.18501,1.49343
"8","2012_Q1",34.2103225806452,"Up",693737000,-428092000,265645000,-145989000,-2906000,-143083000,119656000,-5175000,-5466000,291000,114481000,109592000,-22764000,86828000,86828000,-174000,86654000,86654000,204565000,204565000,447835000,447835000,519973000,115212000,54955000,1287585000,697062000,1770277000,-1073215000,769822000,511328000,152279000,29876000,75510000,1466884000,2754469000,363352000,222678000,38098000,102576000,310963000,167206000,167206000,841521000,1919000,252388000,134919000,17853000,83310000,34159000,254307000,1095828000,572169000,983374000,82529000,1638072000,20569000,1658641000,2754469000,86828000,24610000,-16082000,-5003000,-11079000,10416000,-17461000,27877000,105772000,-48402000,-2210000,-48889000,-9928000,-2216000,-31452000,-31452000,5280000,-38316000,18567000,18567000,1806000,20373000,144266000,312882000,129044000,0.38292,0.17248,0.12491,0.05224,0.03146,1.48919,1.53007,0.66068,0.11359,1.05908,1.04151,8.47882,20.02044,1.57717,0.12134,7,0.04343,0.05803,0.11457,0.75081,0.90524
"9","2012_Q2",29.681746031746,"Down",658877000,-407817000,251060000,-149450000,-3461000,-145989000,101610000,-6061000,-5487000,-574000,95549000,95549000,-21976000,73573000,73573000,-1587000,71986000,71986000,102547000,102547000,420704000,420704000,559525000,107859000,48591000,1190635000,668403000,1721975000,-1053572000,752480000,500323000,145366000,28012000,78026000,1420883000,2611518000,310955000,186805000,37018000,87132000,310987000,138955000,138955000,760897000,1734000,260142000,128056000,128056000,79093000,52993000,261876000,1022773000,516727000,1045511000,6052000,1568290000,20455000,1588745000,2611518000,73573000,24160000,9142000,4344000,4798000,-114113000,12303000,-126416000,-7238000,-11062000,107000,-10955000,-9849000,2087000,-66650000,-66650000,1825000,-72587000,-90780000,-90780000,-11238000,-102018000,125770000,312721000,22571000,0.38104,0.15422,0.10926,0.04531,0.02756,0.31355,1.56478,0.64376,0.11975,0.89247,0.87994,8.16867,19.44346,0.27983,0.12211,5,0.03786,0.01044,0.13682,1.6711,2.06844
"10","2012_Q3",28.438253968254,"Down",641741000,-409855000,231886000,-137838000,-3272000,-134566000,94048000,-3998000,-5256000,1258000,90050000,90050000,-15579000,74471000,74471000,-774000,73697000,73697000,128537000,128537000,404945000,404945000,571063000,115268000,56240000,1219813000,657297000,1704119000,-1046822000,767628000,494757000,155571000,32053000,84513000,1424925000,2644738000,316786000,196086000,42300000,78400000,306339000,122714000,122714000,745839000,1598999.99999999,267126000,125405000,125405000,82064000,59657000,268725000,1014564000,525414000,1107983000,-23152000,1610245000,19929000,1630174000,2644738000,74471000,23834000,-10945000,-6488000,-4457000,-9022999.99999999,10937000,-19960000,78337000,-21974000,-11019000,-32993000,-11225000,-2877000.00000001,-71000,-71000,1954000,-12219000,33125000,33125000,-7135000,25990000,117882000,307938000,102464000,0.36134,0.14655,0.11484,0.04521,0.02787,1.39034,1.63549,0.62237,0.11643,0.92393,0.9109,8.0454,20.18736,1.28457,0.14073,8,0.03851,0.04646,0.15231,1.52187,1.90755
