"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.73539682539683,"Up",70432000,-29264000,41168000,-30100000,-15418000,-14682000,11068000,302000,302000,11370000,-82000,11288000,-199000,11089000,11089000,11089000,11089000,183525000,156120000,48303000,48303000,24680000,13602000,8348000,270110000,35863000,2779000,2779000,51464000,321574000,34717000,26731000,7986000,51452000,4645000,4645000,4645000,56097000,624902000,-359123000,24000,265477000,265477000,321574000,11089000,3508000,1195000,5102000,20894000,-1954000,-1954000,-9497609.65787483,-20810000,63000,63000,-96000,-33000,51000,51000,51000,14576000,0,17923000,0.58451,0.15714,0.15744,0.04177,0.03448,1.61629,5.24975,0.21131,0,0.09611,0.09611,0.61041,2.30081,0.15533,6,0.04105,0.06635,-12.5909,-16.58159
"2","2010_Q3",4.83234375,"Up",77119000,-29889000,47230000,-31543000,-16385000,-15158000,15687000,945000,945000,16632000,120000,16752000,-16000,16736000,16736000,16736000,16736000,211992000,164609000,47293000,47293000,26828000,10006000,9303000,296119000,35892000,3445000,3445000,52061000,348180000,38674000,29408000,9266000,56777000,5705000,5705000,5705000,62482000,628009000,-342387000,76000,285698000,285698000,348180000,16736000,3460000,502000,7345000,28043000,-2778000,-2778000,871000,-21710000,2278000,2278000,-122000,2156000,8489000,8489000,8489000,19147000,0,23730000,0.61243,0.20341,0.21702,0.05858,0.04807,1.4179,5.21547,0.2187,0,0.14386,0.14096,0.66292,2.45588,0.20399,6,0.05743,0.08143,-11.07181,-13.51386
"3","2010_Q4",5.01796875,"Up",77137000,-31551000,45586000,-30632000,-15818000,-14814000,14954000,669000,669000,15623000,-79000,15544000,-176000,15368000,15368000,15368000,15368000,229082000,166634000,49217000,49217000,31681000,9550000,9521000,319530000,36883000,2785000,2785000,49387000,368917000,41231000,29370000,11861000,59408000,5185000,5185000,5185000,64593000,631190000,-327019000,153000,304324000,304324000,368917000,15368000,3674000,672000,-4363000,15351000,-3799000,-3799000,2999.99999999907,-15474000,2585000,2585000,-437000,2148000,2025000,2025000,2025000,18628000,0,10642000,0.59097,0.19386,0.19923,0.0505,0.04166,0.69248,5.37857,0.21225,0,0.12657,0.12657,0.6353,2.50642,0.08765,5,0.04965,0.03438,-12.29772,-15.31911
"4","2011_Q1",6.20306451612903,"Up",73080000,-27239000,45841000,-32410000,-16738000,-15672000,13431000,558000,558000,13989000,30000,14019000,-140000,13879000,13879000,13879000,13879000,238220000,174384000,41188000,41188000,37333000,8648000,8648000,325389000,39322000,2744000,2744000,52298000,377687000,38648000,26994000,11654000,54340000,4625000,4625000,4625000,58965000,631363000,-313140000,499000,318722000,318722000,377687000,13879000,3850000,315000,-230000.000000002,17814000,-4454000,-5325000,-3665000,-9191000,-720000,1250000,-153000,-873000,7750000,7750000,7750000,17281000,-6.93889390390723e-18,12737000,0.62727,0.18378,0.18992,0.04355,0.03675,0.91772,5.98802,0.185,0,0.11771,0.11404,0.61981,2.70314,0.10802,6,0.04292,0.03939,-13.78508,-17.73658
"5","2011_Q2",6.39047619047619,"Up",82615000,-33006000,49609000,-37310000,-17170000,-20140000,12299000,663000,663000,12962000,-1835000,11127000,-208000,10919000,10919000,10919000,10919000,235669000,182450000,49904000,49904000,38069000,8502000,8502000,332144000,40385000,2534000,2534000,50308000,382452000,34541000,26281000,8260000,50466000,3867000,3867000,3867000,54333000,629890000,-302221000,450000,328119000,328119000,382452000,10919000,4083000,754000,-12431000,3325000,-4065000,-4065000,-2303000,7558000,-2594000,1736000,-223000,-2817000,8066000,8066000,8066000,16382000,0,94000,0.60048,0.14887,0.13217,0.03328,0.02855,0.00861,6.58154,0.16559,0,0.09254,0.0896,0.70015,2.78076,8e-04,5,0.03289,0.00028,-14.38585,-19.16164
"6","2011_Q3",5.71546875,"Down",83861000,-33190000,50671000,-36369000,-17738000,-18631000,14302000,268000,268000,14570000,-1387000,13183000,-152000,13031000,13031000,13031000,13031000,247537000,191035000,56373000,56373000,35069000,8424000,8424000,347403000,40459000,6255000,6255000,54103000,401506000,36070000,27777000,8293000,52651000,7496000,7496000,7496000,60147000,630245000,-289190000,304000,341359000,341359000,401506000,13031000,4426000,1873000,-3428000,15902000,-3242000,-3242000,743000,-5935000,-1170000,2477000,-212000,-1382000,8585000,8585000,8585000,18728000,0,12210000,0.60423,0.17054,0.15539,0.03817,0.03246,0.937,6.59822,0.1762,-1.03397576569128e-25,0.11039,0.10723,0.71041,2.89175,0.10343,4,0.03735,0.035,-13.21748,-17.30786
"7","2011_Q4",6.20015873015873,"Up",81720000,-33866000,47854000,-33808000,-16809000,-16999000,14046000,248000,248000,14294000,-1760000,12534000,803000,13337000,13337000,13337000,13337000,267236000,204920000,53482000,53482000,35121000,10659000,10659000,366498000,38735000,12687000,11790000,58811000,425309000,45763000,35498000,10265000,64844000,8492000,8492000,8492000,73336000,627529000,-275853000,297000,351973000,351973000,425309000,13337000,4089000,1756000,7330000,26512000,-1383000,-1383000,-60000,-8224000,-4241000,571000,-162000,-4403000,13885000,13885000,13885000,18135000,0,23279000,0.58558,0.17188,0.1632,0.03789,0.03136,1.74545,5.652,0.20836,0,0.11309,0.11055,0.69297,2.98464,0.1974,5,0.037,0.06458,-14.73593,-19.02577
"8","2012_Q1",6.5141935483871,"Up",70170000,-29707000,40463000,-33206000,-17121000,-16085000,7257000,255000,255000,7512000,-1633000,5879000,35066000,40945000,40945000,40945000,40945000,210134000,141423000,36993000,36993000,37278000,16200000,16200000,300605000,40430000,119943000,11628000,167319000,467924000,41215000,31842000,9373000,51976000,22387000,22387000,22387000,74363000,628814000,-234908000,-345000,393561000,393561000,467924000,40945000,4068000,-47706000,19315000,16622000,-22811000,-22811000,-5520000,-79631000,-258000,1389000,-45000,-303000,-63312000,-63312000,-63497000,11325000,-1.77635683940025e-15,-27237000,0.57664,0.10342,0.58351,0.10404,0.0875,-0.66521,5.78353,0.18895,3.30872245021211e-24,0.34838,0.33972,0.59704,3.3486,-0.23175,4,0.09844,-0.06548,-18.55488,-28.95604
"9","2012_Q2",4.94222222222222,"Down",71700000,-32215000,39485000,-37069000,-17923000,-19146000,2416000,64000,64000,2480000,-2263000,217000,-7931000,-7714000,-7714000,-7714000,-7714000,196159000,136507000,52813000,52813000,36845000,19915000,19915000,305732000,40724000,110602000,9923000,158272000,464004000,40595000,33221000,7374000,54576000,21310000,21310000,21310000,75886000,630995000,-242622000,-255000,388118000,388118000,464004000,-7714000,5027000,9144000,-16400000,-9943000,-3442000,-3442000,-1082000,4470000,933000,2491000,-376000,557000,-4916000,-4916000,-4916000,7443000,0,-4468000,0.5507,0.0337,-0.10759,-0.01988,-0.01662,0.57921,5.60195,0.19552,0,-0.06528,-0.06528,0.60673,3.28429,-0.03781,1,-0.01884,-0.01091,-26.35483,-81.19164
"10","2012_Q3",3.85952380952381,"Down",70792000,-33741000,37051000.0000001,-38768000,-19405000,-19363000,-1717000,694000,694000,-1023000,-1069000,-2092000,-10450000,-12542000,-12542000,-12542000,-12542000,184480000,132468000,60380000,60380000,37116000,16005000,16005000,297981000,42064000,99309000,8510000,146034000,444015000,38963000,31719000,7244000,51319000,20497000,20497000,20497000,71816000,627549000,-255164000,-186000,372199000,372199000,444015000,-12542000,5244000.00000001,11891000,-7783000,-3190000.00000001,-4633000,-4632999.99999999,-1258000,4390000.00000001,-5235000,176999.999999999,-265000,-5500000,-4300000,-4300000,-4038999.99999997,3527000.00000001,1.4210854715202e-14,1561000.00000001,0.52338,-0.02425,-0.17717,-0.0337,-0.02825,-0.12446,5.80645,0.19295,2.64697796016969e-23,-0.1064,-0.1064,0.60057,3.1576,0.0132400000000002,2,-0.03194,0.00398000000000001,-52.30508,107.44321
