"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.31571428571429,"Up",349335000,294584000,482378000,-187794000,54751000,13965000,41509000,-2e+07,329335000,-136747000,-136747000,192588000,192588000,192881000,-68732000,124149000,124149000,124149000,124149000,2547889000,5549476000,23280313000,-137443000,23417756000,202514000,2436401000,8313036000,42430737000,22731221000,22731221000,4.125e+09,9750850000,410205000,37017276000,5276844000,4354000,5272490000,191185000,-54568000,5413461000,5413461000,42430737000,124149000,12827000,2e+07,346000,-362314000,-204992000,-2284000,187528000,86544000,468894000,-108157000,-333340000,24168000,-386870000,-122968000,-122968000,-122968000,205415000,13875850000,-90451000,0.5513,0.35539,0.02293,0.00293,-0.72857,6.83801,0.32702,0.28623,0.28593,0.8054,12.48087,-0.20854,0.24936,0.00547,-0.00213,0.87119,55.14671,58.81966
"2","2010_Q3",7.50578125,"Up",363834000,294201000,483187000,-188986000,69633000,14088000,55967000,-2.2e+07,341834000,-141371000,-141371000,200463000,200463000,203346000,-71919000,131427000,131427000,131427000,131427000,2614325000,4697247000,23452343000,-140583000,23592926000,200233000,2436327000,8517046000,42010747000,22443668000,22443668000,4.125e+09,9541484000,454161000,36564313000,5280990000,4355000,5276635000,218730000,-53286000,5446434000,5446434000,42010747000,131427000,12700000,2.2e+07,-4865000,-236043000,-74781000,-2536000,851304000,-96486000,749555000,-108713000,-209366000,-287553000,-605272000,69502000,69502000,69502000,213163000,13666484000,46503000,0.55097,0.36123,0.02413,0.00313,0.35383,6.71344,0.32531,0.30301,0.3027,0.83883,12.55689,0.10721,0.25064,0.00572,0.00111,0.82717,51.84839,55.13316
"3","2010_Q4",7.97859375,"Up",390850000,286188000,467430000,-181242000,104662000,13403000,92085000,-3.2e+07,358850000,-151089000,-151089000,207761000,207761000,210202000,-74593000,135609000,135609000,135609000,135609000,2235091000,4725959000,23448686000,-155866000,23604552000,199817000,2436325000,8575153000,41706438000,22227391000,22227391000,4.125e+09,9470178000,388571000,36211140000,5285557000,4356000,5281201000,245597000,-35856000,5495298000,5495298000,41706438000,135609000,12748000,3.2e+07,-75216000,-226512000,-121371000,-4514000,-2775000,145110000,137481000,-108742000,-71306000,-216277000,-395344000,-379234000,-379234000,-379234000,220509000,13595178000,64076000,0.53156,0.34696,0.02468,0.00325,0.47251,6.58948,0.32597,0.31265,0.31233,0.90111,12.66955,0.14773,0.25071,0.00586,0.00154,0.80188,51.51757,54.67863
"4","2011_Q1",8.54870967741935,"Up",410984000,304990000,480799000,-175809000,105994000,13128000,92866000,-28903000,382081000,-148305000,-148305000,233776000,233776000,231042000,-81210000,149832000,149832000,149832000,149832000,1927542000,4788891000,24755629000,-158942000,24914571000,233694000,2436159000,6971040000,41190689000,21809051000,21809051000,4.125e+09,9411116000,319302000,35664469000,5290071000,4356000,5285715000,281844000,-45695000,5526220000,5526220000,41190689000,149832000,13103000,28903000,-25166000,164793000,331465000,-39307000,-56946000,38291000,-56791000,-108754000,-59062000,-418339000,-585289000,-310615000,-310615000,-310615000,246879000,13536116000,453575000,0.56882,0.36457,0.02711,0.00364,3.02722,6.45368,0.32862,0.34544,0.34509,0.94753,12.74084,1.04573,0.25074,0.00628,0.01101,0.72584,47.02131,49.65683
"5","2011_Q2",7.71079365079365,"Down",361862000,303252000,470923000,-167671000,58610000,11899000,46711000,-2.6e+07,335862000,-146702000,-146702000,189160000,189160000,189160000,-65984000,123176000,123176000,123176000,123176000,2351729000,4794997000,24385888000,-146306000,24532194000,246975000,2436159000,6760847000,41046944000,22198147000,22198147000,4.125e+09,8894562000,288649000,35506358000,5295241000,4373000,5290868000,295866000,-50521000,5540586000,5540586000,41046944000,123176000,13276000,2.6e+07,-5379000,697691000,854764000,-19172000,-5667000,-170683000,-195522000,-109154000,-516554000,389095000,-235055000,424187000,424187000,424187000,202436000,13019562000,946939000,0.52274,0.34039,0.02223,0.003,7.68769,6.40841,0.31719,0.28399,0.28369,0.83428,12.77396,2.18319,0.25166,0.00566,0.02307,0.88616,52.69731,56.39582
"6","2011_Q3",6.38703125,"Down",351009000,301944000,469008000,-167064000,49065000,12143000,55046000,-23708000,327301000,-155044000,-155044000,172257000,172257000,182080000,-62621000,119459000,119459000,119459000,119459000,710113000,5668915000,24851191000,-134471000,24985662000,245799000,2436131000,6627271000,40602625000,21797711000,21797711000,4.125e+09,8892284000,227527000,35042522000,5304573000,4374000,5300199000,306082000,-50402000,5560103000,5560103000,40602625000,119459000,13129000,23708000,5159000,-53705000,107750000,-4855000,-872673000,-482722000,-1238946000,-109243000,-2278000.00000012,-400435000,-510420000,-1641616000,-1641616000,-1641616000,185386000,13017284000,189447000,0.49075,0.34033,0.02149,0.00294,1.58587,6.3025,0.3206,0.274,0.27377,0.8051,12.7531,0.43453,0.25057,0.00563,0.00467,0.91448,66.38673,71.44657
"7","2011_Q4",6.04126984126984,"Down",353036000,294967000,461891000,-166924000,58069000,11544000,46525000,-1.8e+07,335036000,-152616000,-152616000,182420000,182420000,182420000,-62670000,119750000,119750000,119750000,119750000,1596680000,5147616000,25997821000,-139379000,26137200000,245497000,2436131000,6488167000,41969028000,22752647000,22752647000,4.125e+09,9290077000,227733000,36395457000,5308843000,4374000,5304469000,316572000,-51775000,5573571000,5573571000,41969028000,119750000,11855000,1.8e+07,-20171000,-450423000,-320989000,-5464000,525485000,-538255000,-36087000,-109260000,397793000,954936000,1243643000,886567000,886567000,886567000,194275000,13415077000,-198942000,0.51672,0.3392,0.02149,0.00285,-1.66131,6.53001,0.31964,0.27467,0.27443,0.80975,12.78399,-0.45631,0.25061,0.00546,-0.00474,0.9124,60.83334,64.78674
"8","2012_Q1",6.57935483870968,"Up",360016000,300258000,464842000,-164584000,59758000,9288000,50470000,-32712000,327304000,-146387000,-146387000,180917000,180917000,180917000,-63265000,117652000,117652000,117652000,117652000,2001737000,4540516000,26432446000,-137290000,26569736000,250859000,2436131000,6310945000,42024302000,22325654000,22325654000,4.125e+09,9835413000,172531000,36458598000,5313643000,4374000,5309269000,324967000,-71910000,5565704000,5565704000,42024302000,117652000,11341000,32712000,-44552000,71529000,188682000,-11255000,614837000,-340579000,259579000,-109257000,545336000,-478517000,-43204000,405057000,405057000,405057000,192258000,13960413000,315797000,0.50252,0.3268,0.02114,0.0028,2.68416,6.55058,0.3322,0.26976,0.27014,0.82547,12.76144,0.72408,0.25051,0.0054,0.00751,0.92865,62.20119,66.10034
"9","2012_Q2",6.55904761904762,"Down",350410000,288414000,446638000,-158224000,61996000,9758000,52238000,-1.5e+07,335410000,-150177000,-150177000,185233000,185233000,185233000,-66980000,118253000,118253000,118253000,118253000,2355784000,4877809000,26927183000,-136767000,27063950000,250656000,2436131000,6144080000,43038151000,22940793000,22940793000,4.125e+09,10151124000,241293000,37458210000,5314982000,4391000,5310591000,333666000,-68702000,5579941000,5579941000,43038151000,118253000,11164000,1.5e+07,-26479000,623938000,741876000,-5802000,-333534000,-904364000,-1257870000,-109554000,315711000,666663000,870041000,354047000,354047000,354047000,196397000,14276124000,881513000,0.52862,0.33747,0.02119,0.00275,7.45447,6.71301,0.33171,0.27031,0.27031,0.801,12.75509,2.01503,0.25043,0.00529,0.02048,0.92644,60.69512,64.35322
"10","2012_Q3",6.87714285714286,"Up",394861000,296656000,454980000,-158324000,98205000,9433000,88772000,-33448000,361413000,-155429000,-155429000,205984000,205984000,205984000,-74772000,131212000,131212000,131212000,131212000,3160673000,4265090000,27414181000,-137914000,27552095000,250675000,2436131000,5919008000,43487347000,24996649000,24996649000,4.31e+09,8278612000,290567000,37875828000,5320567000,4391000,5316176000,355215000,-64129000,5611519000,5611519000,43487347000,131212000,11054000,33448000,-44211000,-477674000,-346171000,-6153000,618488000,265684000,892189000,-109663000,-1687512000,2055856000,258871000,804889000,804889000,804889000,217038000,12588612000,-192017000,0.52166,0.3323,0.02338,0.00302,-1.46341,6.74966,0.28948,0.29969,0.29969,0.90188,12.81694,-0.438569999999999,0.25047,0.00554,-0.00442,0.83577,43.43912,45.77025
