"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.05936507936508,"Up",10758000,-5533000,5225000,-4622000,-3595000,-2338000,-1257000,-1027000,603000,-62000,-62000,541000,541000,-56000,485000,485000,485000,485000,6365000,6365000,7651000,7651000,9034000,546000,546000,23596000,433000,1399000,471144.280588566,301000,1832000,25428000,7176000,2226000,4950000,2421000,2421000,9597000,182000,556255.070933574,182000,9779000,40056000,-23761000,15649000,15649000,25428000,485000,152000,198000,-281000,554000,-43000,-43000,-3506000,-2995000,-2995000,-3013000,755000,0,487000,0.48569,0.05605,0.04508,0.03099,0.01907,1.00412,2.45869,0.6249,0,0.05486,0.04879,1.21697,1.77025,0.05509,7,0.03064,0.03076,-8.43046,-10.55556
"2","2010_Q3",3.34078125,"Down",9890000,-5354000,4536000,-4401000,-3435000,-2327000,-1108000,-966000,135000,-50000,-50000,85000,885000,-71000,814000,814000,814000,814000,7e+06,7e+06,6616000,6616000,9479000,552000,552000,23647000,386000,2615000,473000,250000,3001000,26648000,6438000,2013000,4425000,2266000,2266000,8704000,573000,573000,573000,9277000,40953000,-22947000,17371000,17371000,26648000,814000,124000,221000,-339000,820000,-33000,-258000,48000,610000,609999.999999999,634999.999999999,259000,0,-42000,0.45865,0.01365,0.08231,0.04686,0.03055,-0.0516000000000001,2.7168,0.53405,0,0.09139,0.08064,1.11036,1.95026,-0.00472,5,0.04536,-0.00234000000000001,-27.02703,-51.85185
"3","2010_Q4",3.6615625,"Up",10818000,-5569000,5249000,-4364000,-3444000,-2319000,-1125000,-920000,885000,63000,63000,948000,948000,-38000,910000,910000,910000,910000,7092000,7092000,7954000,7954000,9782000,424000,424000,25252000,395000,2553000,473000,234000,2948000,28200000,6956000,2381000,4575000,2239000,2239000,9195000,585000,585000,585000,9780000,41099000,-22037000,18420000,18420000,28200000,910000,130000,167000,-1016000,191000,-92000,-92000,0,99000,99000,92000,1015000,0,-55000,0.48521,0.08181,0.08412,0.0494,0.03227,-0.06044,2.74628,0.53094,0,0.10138,0.08967,1.20521,2.05214,-0.00613,5,0.04788,-0.00289,-6.98719,-8.01356
"4","2011_Q1",3.87661290322581,"Up",842000,350000,1192000,-1624000,-784000,-111000,-673000,-840000,-432000,19000,49000,-413000,-413000,-143000,-556000,837000,837000,837000,8347000,8347000,5457000,5457000,5632000,6936000,389000,26372000,336000,2512000,473000,206000,2848000,29220000,4948000,1514000,3434000,4249000,1002000,9197000,596000,596000,596000,9793000,41262000,-21200000,19427000,19427000,29220000,837000,109000,-37000,1005000,1914000,-25000,-25000,26000,1915000,1915000,1922000,-323000,4.93038065763132e-32,8e+05,1.41568,-0.51306,0.99406,0.04308,0.02864,0.95579,2.86746,0.50409,2.93873587705572e-39,0.09319,0.08206,0.0937400000000002,2.16288,0.08907,7,0.0418,0.03995,25.84211,19.32176
"5","2011_Q2",3.95888888888889,"Up",8196000,-4112000,4084000,-3824000,-2861000,-1778000,-1083000,-963000,260000,4000,4000,264000,264000,-79000,185000,566000,566000,566000,8569000,8569000,8119000,8119000,9197000,601000,601000,26486000,325000,2493000,473000,271000,2818000,29304000,6568000,2007000,4561000,2222000,2222000,8790000,605000,605000,605000,9395000,41504000,-20634000,19909000,19909000,29304000,185000,73000,99000,-1084000,-727000,-36000,-36000,-190000,-953000,-117000,-117000,333000,0,-708000,0.49829,0.03172,0.06906,0.02843,0.01931,-1.25088,3.0132,0.4719,0,0.06329,0.05585,0.91647,2.22621,-0.07917,4,0.02759,-0.03451,-25.73273,-32.95769
"6","2011_Q3",3.82890625,"Down",8085000,-4147000,3938000,-3698000,-2808000,-1786000,-1022000,-890000,240000,3000,3000,243000,1043000,-144000,899000,909000,909000,909000,8875000,8875000,7468000,7468000,10169000,642000.000000001,642000,27154000,299000,2423000,473000,249000,2722000,29876000,5919000,2099000,3820000,2175000,2175000,8094000,610000,610000,610000,8704000,41796000,-19725000,21172000,21172000,29876000,899000,24000,48000,-744000,227000,0,-1.45519152283669e-11,104000,331000,67000,67000.0000000005,264000,-7.88860905221012e-31,-336000,0.48707,0.02968,0.11243,0.04293,0.03043,-0.36964,3.35483,0.41111,-2.35098870164458e-38,0.10143,0.08892,0.90214,2.36242,-0.03749,4,0.04173,-0.01543,-33.61742,-36.97917
"7","2011_Q4",3.51174603174603,"Down",8258000,-4268000,3990000,-3729000,-2835000,-1747000,-1088000,-894000,261000,-53000,-7000,208000,208000,48000,256000,349000,349000,349000,9535000,9535000,7738000,7738000,10176000,571000,571000,28020000,316000,2530000,533000,225000,2846000,30866000,6375000,2222000,4153000,2132000,2132000,8507000,776000,776000,776000,9283000,41958000,-19376000,21583000,21583000,30866000,256000,90000,252000,627000,1225000,-104000,-179000,-64000,982000,1030000,1030000,351000,0,826000,0.48317,0.03161,0.04226,0.01617,0.01131,2.36676,3.29376,0.43011,0,0.03893,0.03404,0.92114,2.40747,0.09214,4,0.01561,0.03694,-27.16524,-36.53257
"8","2012_Q1",4.03435483870968,"Up",8620000,-4342000,4278000,-3105000,-3213000,-2147000,-1066000,-1166000,1173000,-250000,-25717.9597416045,923000,923000,-122000,801000,786000,786000,786000,10789000,10789000,5551000,5551000,6659000,6507000,464000,29506000,325000,2318000,533000,199000,2643000,32149000,5236000,1580000,3656000,3677000,1014000,8913000,810000,810000,810000,9723000,42129000,-18590000,22426000,22426000,32149000,801000,223000,349000,153000,1526000,-63000,-63000,-177000,1286000,1462000,1462000,1396000,-1.26217744835362e-29,1608000,0.49629,0.13608,0.09118,0.03505,0.02445,2.0458,3.31045,0.43356,3.76158192263132e-37,0.08789,0.07705,0.96388,2.50766,0.17981,5,0.03383,0.0692,-7.72851,-9.19778
"9","2012_Q2",3.9068253968254,"Down",8305000,-4319000,3986000,-4222000,-3040000,-1864000,-1176000,-1182000,-236000,-27000,-27000,-263000,-263000,-2000,-265000,1605000,1605000,1605000,13856000,13856000,5142000,5142000,7038000,2570000,1172000,28606000,378000,1935000,533000,693000,2313000,30919000,4773000,1544000,3229000,1166000,907000,5939000,719000,719000,719000,6658000,42512000,-16985000,24261000,24261000,30919000,-265000,113000,152000,-1242000,-1242000,-121000,-207000,48000,-1401000,3067000,3067000,-123000,0,-1484000,0.47995,-0.02842,0.19326,0.06616,0.05191,-0.92461,4.81664,0.27443,0,0.17967,0.17967,0.9297,2.71588,-0.16613,4,0.06425,-0.05941,112.65041,58.71186
"10","2012_Q3",3.53571428571429,"Down",8445000,-4334000,4111000,-4461000,-3355000,-2122000,-1233000,-1106000,-350000,-48000,-48000,-398000,402000,-5000.00000000001,397000,336000,336000,336000,13785000,13785000,5924000,5924000,7539000,1786000,1228000,29034000,388000,1870000,533000,680000,2258000,31292000,4997000,2139000,2858000,879000,8e+05,5876000,649000,649000,649000,6525000,42790000,-16649000,24767000,24767000,31292000,397000,90000,2e+05,-1253000,-566000,-53000,-129000,20000,-675000,-71000,-71000,-260000,-1.0097419586829e-28,-1561000,0.4868,-0.04144,0.03979,0.01357,0.01074,-4.64583,4.94112,0.26346,6.01853107621011e-36,0.03761,0.03761,0.94537,2.77253,-0.17475,3,0.01322,-0.06142,53.01923,39.38571
