"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",202.0571875,"Up",12409000,-9116000,3293000,-6691000,-5877000,-2364000,-3513000,-588000,-226000,-3398000,-172000,-171000,-172000,-1000,-3570000,154000,-3416000,-11000,-3427000,-3427000,-3427000,-3427000,4423366851.01877,4423366851.01877,-101391863.931836,-101391863.931836,176665138.092315,139068283.922197,13198771.0203829,4498640125.17925,-1986239.82098579,-4243248312.00527,-1267008290.39373,-2985103511.53242,8863489.92088382,-4245234551.82625,253405573.352992,-66986707.6467026,-67784618.3781087,-1415254.64327082,4657154.94574358,-186780644.391134,-209569962.355323,-252979397.191744,-726245143.428388,18639079.3731274,17162581.6387751,-707606064.055261,-960585461.247005,-981601542.563296,2195592577.16329,1213991034.6,1213991034.6,253405573.352992,-3427000,226000,1480000,670000,-1051000,-505000,-11000,-48696824.9002006,-516000,1410000,7675033.58768914,7675033.58768914,2790753230.09499,1410000,-157000,-157000,-157000,-3172000,0,-2996000,0.26537,-0.27383,-0.27617,52.4034378590636,10.3950132445835,0.87423,319.166118152467,-8.94761611184434,-2.72376163326117,-6.81978,-6.81978,24.69409,849.971298185949,-5.96208,13.2255684860799,0.118993404787807,271.399882835253,227.774025355188
"2","2018_Q3",203.969206349206,"Up",16160000,-11918000,4242000,-11532000,-10647000,-2805000,-7842000,-609000,-276000,-7290000,-251000,-290000,-290000,39000,-7541000,165000,-7376000,-23000,-7399000,-7399000,-7399000,-7399000,2154437925.50938,2154437925.50938,-45731431.9659181,-45731431.9659181,77759569.0461573,61356641.9610983,6459385.51019145,2186466062.58962,1630380.0895071,-2140590656.00263,-644970645.196866,-1499163255.76621,3543244.96044191,-2138960275.91313,47505786.676496,-29537853.8233513,-28208809.1890544,-656127.321635411,353077.472871791,-90395822.1955672,-101246481.177661,-119539698.595872,-298405571.714194,10424539.6865637,9180790.81938755,-287981032.02763,-407520730.623502,-424529771.281648,879556288.581646,455026517.299998,455026517.299998,47505786.676496,-7399000,276000,1712000,2064000,-3347000,-608000,0,-25374094.9401203,-608000,1957000,10000,10000,1402630115.04749,1967000,-1987999.99999999,-1987999.99999999,-1987999.99999999,-7014000,0,-5535000,0.2625,-0.45111,-0.45786,21.2217339295318,4.14038662229177,0.74807,158.530939076233,-0.99653805592217,-0.851220816630584,-14.80166,-14.80166,32.328,402.452964092974,-11.07274,5.30870424303997,0.0364817023939037,129.715921417626,108.809162677594
"3","2018_Q4",227.649206349206,"Up",19431000,-14022000,5409000,-11450000,-10259000,-3947000,-6312000,-791000,-4e+05,-6041000,-479000,-440000,-441000,-39000,-6520000,9000,-6511000,-4000,-6515000,-6515000,-6515000,-6515000,831354975.169795,831354975.169795,-12514143.9886394,-12514143.9886394,25488523.0153858,19933880.6536994,2991961.83673048,844329354.196541,3673126.69650237,-772878218.667545,-235484548.398955,-538619085.255404,1225414.98681397,-769205091.971043,75124262.2254986,-6783951.27445044,-6745603.06301812,-199375.77387847,437692.490957264,-27531940.7318557,-32569827.0592204,-34184566.1986239,-43834523.9047314,5107846.56218789,3849930.27312918,-38726677.3425435,-72911243.5411674,-41062590.427216,189098096.193882,148035505.766666,148035505.766666,75124262.2254986,-6515000,4e+05,2113000,2411000,-1591000,-723000,0,-10770547.4700602,-723000,3353000,1000,1000,563926371.682498,3354000,1040000,1040000,1040000,-5641000,0,-3949000,0.27837,-0.31089,-0.33529,5.2539179765106,0.936828874097257,0.60614,62.9672163587445,1.21623398135928,0.0739663944564721,-12.84253,-12.84253,38.30288,167.115654697658,-7.78437,1.23847808101332,-0.00672943253536543,46.9075771392088,40.0333875591979
"4","2019_Q1",239.091803278689,"Up",21273000,-16372000,4901000,-22306000,-20060000,-6579000,-13481000,-1925000,-321000,-17405000,-18021000,-515000,-919000,-17506000,-35426000,486000,-34940000,465000,-34475000,-34475000,-34475000,-34475000,209340000,209340000,3687000,3687000,6417000,4548000,1869000,219444000,4551000,2557000,261000,1408000,888000,7108000,226552000,4907000,1827000,25000,3055000,8688000,5374000,13595000,80985000,2481000,1125000,83466000,97061000,200422000,-70931000,129491000,129491000,226552000,-34475000,321000,10674000,13627000,-9853000,-1914000,0,-2965182.49002006,-1913999.99999999,77581000,86000,86000,140598000,218265000,206498000,206498000,206498000,-17084000,80985000,-5836000,0.23039,-0.81817,-1.6206,-0.26623,-0.15217,0.16928,16.14152,0.74956,0.35747,-21.02995,-21.02995,12.97665,78.99025,-3.55999,-0.16189,-0.0274,7.51317,7.3746
"5","2019_Q2",170.647619047619,"Down",48032000,-36183000,11849000,-35297000,-29241000,-10323000,-18918000,-1940000,-4116000,-23448000,-1216000,-1266000,-1605000,50000,-24664000,-23000,-24687000,-62000,-24749000,-24749000,-24749000,-24749000,43615000,43615000,8299000,8299000,7110000,4947000,2163000,59024000,4673000,328383000,101077000,225797000,1509000,333056000,392080000,9167000,2731000,87000,6349000,25141000,21499000,34308000,119570000,2336000,961000,121906000,156214000,331546000,-95680000,235866000,235866000,392080000,-24749000,4116000,3199000,4747000,-12687000,-606000,-192419000,-37000,-193062000,41422000,1000,1000,-1399000,40024000,-165725000,-165725000,-165725000,-19332000,119570000,-15129000,0.24669,-0.48817,-0.51526,-0.10493,-0.0631199999999999,0.6113,1.72042,0.6623,0.30496,-7.67105,-7.67105,14.88772,73.10763,-4.6893,-0.0691799999999999,-0.04229,-3.92898,-3.2393
"6","2019_Q3",64.1828125,"Down",51342000,-39698000,11644000,-34692000,-27719000,-15339000,-12380000,-2149000,-4824000,-23048000,-1826000,-1949000,-2190000,123000,-24874000,-10000.0000000075,-24884000,32000,-24852000,-24852000,-24852000,-24852000,72827000,72827000,7149000,7149000,12274000,9673000,2601000,92250000,4511000,324539000,96863000,225946000,1730000,329050000,421300000,10482000,2188000,59890.141325956,8294000,28638000,25166000,39120000,118364000,1938000,890000,120302000,159422000,382410000,-120532000,261878000,261878000,421300000,-24852000,4824000,4085000,-5721000,-21664000,-361000,-149000.00000003,-65000,-575000,5032000,50004000,50004000,-3585000,51451000,29211999.9999999,29211999.9999999,29211999.9999999,-18224000,118364000,-24338000,0.22679,-0.44891,-0.48405,-0.0949,-0.05899,0.97932,2.35813,0.60876,0.28095,-6.8595,-6.8595,14.1711,72.28195,-6.71762,-0.06503,-0.06368,-2.49874,-1.97575
"7","2019_Q4",11.0775,"Down",49201000,-37289000,11912000,-35541000,-28770000,-15953000,-12817000,-1920000,-4851000,-23629000,-4305000,-2478000,-2775000,-1827000,-27934000,-192140000,-220074000,-30000,-220104000,-220104000,-220104000,-220104000,52198000,52198000,5664000,5664000,8474000,8474000,1435028.1377651,66336000,4474000,133693000,26430000,106734000,529000,138167000,204503000,12484000,5420000,30000,7034000,26056000,25289000,38540000,120884000,1079000,867000,121963000,160503000,384636000,-340636000,4.4e+07,4.4e+07,204503000,-220104000,4851000,197026000,1267000,-16960000,-498000,-395000,-922000,-1815000,-1851000,1000.00000000745,1000.00000000745,-4000,-1854000,-20629000,-20629000,-20629000,-18778000,120884000,-17979000,0.24211,-0.48025,-4.47357,-5.00236,-1.07629,0.08168,1.72122,3.6478,0.59111,-57.74772,-57.74772,12.90865,11.54409,-4.71707,-1.32622,-0.10833,-3.65779,-2.90685
"8","2020_Q1",11.2948387096774,"Up",43100000,-34589000,8511000,-27194000,-23502000,-10755000,-12747000,-1709000,-1983000,-18683000,-2571000,-2678000,-2838000,107000,-21254000,-326000,-21580000,-21000,-21601000,-21601000,-21601000,-21601000,29317000,29317000,3272000,3272000,8528000,8329000,199000,41117000,4072000,133784000,25761000,106734000,1289000,137856000,178973000,9720000,4384000,51000,5285000,22931000,22517000,32651000,123244000,17675000,17630000,140919000,173570000,385145000,-379742000,5403000,5403000,178973000,-21601000,1983000,3187000,-5735000,-22166000,-137000,-3e+05,-687000,-1124000,421000,-4179000,-4179000,4167000,409000,-22881000,-22881000,-22881000,-16700000,123244000,-22551000,0.19747,-0.43348,-0.501180000000001,-3.99796,-0.12069,1.04398,1.25929,32.12475,0.68862,-5.65465999999999,-5.65465999999999,11.28261,1.41438,-5.90335,-0.14763,-0.15412,-5.62437,-5.0274
"9","2020_Q2",38.3819047619048,"Up",44243000,-26365000,17878000,-17138000,-13604000,-2826000,-10778000,-1470000,-2064000,740000,-2817000,-2854000,-2914000,37000,-2077000,-8000,-2085000,-17000,-2102000,-2102000,-2102000,-2102000,39376000,39376000,3362000,3362000,5492000,5083000,409000,48230000,3608000,133630000,24869000,106734000,2027000,137238000,185468000,12564000,5082000,68000,7414000,18804000,18724000,31368000,125707000,719999.999999996,718000.000000004,126427000,157795000,392012000,-364339000,27673000,27673000,185468000,-2102000,2064000,3308000,3757000,7027000,-67000,-242000,-650000,-959000,-2028000,6592000,6592000,-572999.999999999,3991000,10059000,10059000,10059000,2804000,125707000,6511000,0.40409,0.01673,-0.04751,-0.0759599999999998,-0.0113300000000001,-3.09753,1.53755,5.70213,0.67778,-0.54679,-0.54679,11.50892,7.19857,1.6937,-0.01364,0.04225,30.78852,116.66351
"10","2020_Q3",83.1296875,"Up",60506000,-30547000,29959000,-16076000,-12834000,-2740000,-10094000,-1167000,-2075000,13883000,-3181000,-2469000,-2490000,-712000,10702000,-32000.0000000075,10670000,-17000,10653000,10653000,10653000,10653000,66702000,66702000,6121000,6121000,6052000,5506000,546000,78875000,3398000,133107000,23941000,106734000,2432000,136505000,215380000,10440000,5335000,85000,5020000,21592000,21545000,44532000,103311000,845000,845000,104156000,148688000,420378000,-353686000,66692000,66692000,215380000,10653000,2075000,2796000,-3590000,11934000,-307000,-48000.0000000005,-649000,-1004000,518999.999999998,16391000,16391000,-514000,16396000,27326000,27326000,27326000,15958000,115811000,12078000,0.49514,0.22945,0.17607,0.15973,0.04946,1.13377,1.7712,2.22947,0.53771,2.24148,1.99767,12.73097,14.03256,2.54131,0.0581,0.06587,3.07739,3.53735
