"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","underwriting_expense_acquisition_cost","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital"
"1","2014_Q2",10.9560317460317,"Down",3393000,1904000,1489000,211810.687417018,241128.170609604,-1406340.00499126,-19283000,-15909000,48952155.1685081,48952155.1685081,-15909000,854000,-15055000,-15055000,-15055000,-15055000,-15055000,410876000,129000,977000,16410000,471184000,4721000,13010000,17731000,556544000,581000,555963000,-99079000,-4012000,453453000,453453000,471184000,-15055000,1952000,4753000,-3641000,-11991000,-1056000,-1056000,1043263.56161587,-90000,-90000,-13137000,-13137000,-13137000,-13957000,0,-4.68877,-4.43708,-0.0332,-0.03195,0.0391,0,-0.25929,-0.25929,0.05844,7.8099,-0.03286
"2","2015_Q2",7.9115873015873,"Up",9145000,6936000,1596000,613000,613000,-712004.002994759,-18350000,-9309000,26591493.1011048,26591493.1011048,-9309000,1248000,-8061000,-7820000,-7820000,-7820000,-7820000,367947000,1663000,5283000,20426000,461739000,28241000,10296000,38537000,565500000,585000,564915000,-140750000,-1548000,423202000,423202000,461739000,-7820000,1099000,5888000,-6709000,-7542000,-29058000,-29058000,333000,-334000,-1000,-36601000,-36601000,-36601000,-8210000,0,-1.01793,-0.855109999999999,-0.01848,-0.01694,0.09106,0,-0.13371,-0.13371,0.15636,7.23597,-0.01732
"3","2015_Q3",8.195625,"Up",10897000,8856000,1687000,354000,354000,-284002.001497379,-20909000,-10006000,11603746.5505524,11603746.5505524,-10006000,-106000,-10112000,-10353000,-10353000,-10353000,-10353000,370042000,2758000,8218000,20770000,466089000,39726000,14676000,54402000,566897000,587000,566310000,-151103000,-4107000,411687000,411687000,466089000,-10353000,593000,14176000,1759000,6175000,-7617000,-7617000,69000,-746000,-677000,-2119000,-2119000,-2119000,-9413000,0,-0.91823,-0.95008,-0.02515,-0.02221,0.13214,0,-0.17631,-0.17631,0.18557,7.01085,-0.02293
"4","2015_Q4",7.3359375,"Down",14704000,12834000,1885000,-15000,-15000,-59334.0004991265,-19653000,-5130000,2537915.51685081,2537915.51685081,-5130000,331000,-4799000,-4799000,-4799000,-4799000,-4799000,314455000,3986000,12181000,23484000,486897000,62430000,16266000,78696000,568677000,587000,568090000,-155902000,-4574000,408201000,408201000,486897000,-4799000,1954000,23437000,-3054000,17538000,50953000,50953000,13000,-13999.9999999998,-1000.00000000745,68490000,68490000,68490000,-3176000,-3.72529029846191e-09,-0.34888,-0.32637,-0.01176,-0.00986,0.19279,0,-0.0817,-0.0817,0.25031,6.94895,-0.0102
"5","2016_Q1",5.21409836065574,"Down",18862000,16880000,2078000,-96000,-121000,25000,-21687000,-3196000,-2057000,-2057000,-5253000,432000,-4821000,-4821000,-4821000,-4821000,-4821000,559235000,5143000,17530000,23226000,662451000,91452000,24329000,259720000,570928000,588000,570340000,-160723000,-7474000,402731000,402731000,662451000,-4821000,1215000,30892000,-1994000,25292000,-244443000,-244443000,-1.45519152283669e-11,-4448000,143677000,-75474000,-75474000,-75474000,-1981000,143939000,-0.16944,-0.25559,-0.01197,-0.00728,0.6449,0.21728,-0.08201,-0.08201,0.32088,6.85119,-0.00755
"6","2016_Q2",5.67359375,"Up",22185000,19807000,3231000,-853000,-885000,32000,-22672000,-945000,-3632000,-3632000,-4577000,670000,-3907000,-3907000,-3907000,-3907000,-3907000,556683000,6578000,20948000,26803000,684314000,110232000,20042000,274256000,572176000,591000,571585000,-164630000,2512000,410058000,410058000,684314000,-3907000,990000,20420000,-16768000,735000.000000004,15784000,15784000.0000001,449000,-608000,-534000,15985000,15985000,15985000,45000,143982000,-0.0426,-0.17611,-0.00953,-0.00571,0.66882,0.2104,-0.06629,-0.06629,0.37642,6.9576,-0.00588
"7","2016_Q3",6.9984375,"Up",29481000,26041000,3342000,98000.0000000001,61000,37000,-23234000,5777000,-3707000,-3707000,2070000,-59000,2011000,2011000,2011000,2011000,2011000,607318000,8868000,25128000,28287000,716428000,133391000,16495000,293993000,573933000,591000,573342000,-162619000,11121000,422435000,422435000,716428000,2011000,1305000,25464000,-1953000,26827000,-52926000,-52926000,55000.0000000001,-56000,-376000,-26475000,-26475000,-26475000,7082000,144107000,0.19596,0.06821,0.00476,0.00281,0.69595,0.20115,0.03404,0.03404,0.49904,7.15079,0.00287
"8","2016_Q4",8.84349206349206,"Up",35521000,31808000,3544000,169000,66000,103000,-24037000,10820000,-3733000,-3733000,7087000,-798000,6289000,6175000,6175000,6175000,6175000,641572000,11378000,28911000,65783000,792166000,147534000,70133000,361897000,575739000,591000,575148000,-156444000,10974000,430269000,430269000,792166000,6175000,2005000,17046000,-576000,24650000,-26574000,-26574000,22000,-30000.0000000001,-383000,-2306999.99999999,-2306999.99999999,-2306999.99999999,12825000,144230000,0.30461,0.17384,0.01435,0.0078,0.84109,0.18207,0.10443,0.10029,0.60071,7.2765,0.00855
"9","2017_Q1",10.966935483871,"Up",36628000,32825000,3634000,169000,65000,104000,-23280000,12548000,-3776000,-3776000,8772000,-1713000,7059000,59722000,59722000,59722000,59722000,628969000,13728000,30109000,119345000,839897000,155907000,64128000,364388000,577518000,591000,576927000,-96722000,-5287000,475509000,475509000,839897000,59722000,1360000,-41086000,-264000,19732000,-16076000,-16076000,6000,-61000,-430000,3226000,3226000,3226000,13908000,144353000,0.34258,1.6305,0.1256,0.07111,0.76631,0.17187,1.00909,0.95802,0.61888,8.03442,0.07698
"10","2017_Q2",11.2357142857143,"Up",37054000,33225000,3807000,22000,-58000,80000,-25989000,10430000,-3494000,-3494000,6936000,-196000,6740000,5492000,5492000,5492000,5492000,658640000,15566000,32165000,121248000,840162000,158472000,53771000,356253000,578679000,598000,578081000,-90716000,-4054000,483909000,483909000,840162000,5491999.99999999,1502000,5876000,-14959000,-2089000,-31258000,-31258000,2392000,-3873000,-1856000,-35203000,-35203000,-35203000,11932000,144010000,0.28148,0.14822,0.01135,0.00654000000000002,0.7362,0.17141,0.0927999999999998,0.0880999999999998,0.62608,8.17635,0.00698000000000001
"11","2017_Q3",11.584126984127,"Up",42198000,37917000,3908000,373000,188000,185000,-28048000,12777000,-3300000,-3300000,9477000,19000,9496000,6012000,6012000,6012000,6012000,673695000,17795000,34206000,117264000,862995000,162200000,61765000,367955000,581097000,598000,580499000,-84703000,-1354000,495040000,495040000,862995000,6012000,1617000,8614000,438000,16681000,-8896000,-8896000,222000,-140000,-293000,7492000,7492000,7492000,14394000,143990000,0.30279,0.14247,0.01214,0.00697,0.74328,0.16685,0.10025,0.09537,0.70365,8.25479,0.0075
"12","2017_Q4",15.6114285714286,"Up",48953000,44519000,4170000,264000,68000,196000,-24645000,23351000,-3352000,-3352000,19999000,-502000,19497000,12312000,12312000,12312000,12312000,692729000,21056000,36101000,116028000,886612000,167468000,64150000,375587000,584046000,599000,583447000,-72391000,-630000,511025000,511025000,886612000,12312000,1752000,15015000,-1893000,27186000,-26399000,-26399000,491000,-240000,-124000,663000,663000,663000,25103000,143969000,0.47701,0.25151,0.02409,0.01389,0.73497,0.16238,0.20559,0.19561,0.81744,8.5333,0.01497
