"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.75460317460317,"Up",68276000,-45145000,23131000,-10231000,-9831000,-5899000,-3932000,12900000,94000,-33000,-301438.637829829,127000,12994000,12994000,-4678000,8316000,8316000,8316000,8316000,58877000,5642000,27615000,27615000,7161000,6891000,1542000,100544000,36293000,139399000,-103106000,11487000,4609000,47780000,148324000,17557000,11824000,14644000,14644000,32201000,13039000,859000,13039000,45240000,1089000,122357000,103084000,103084000,148324000,8316000,2135000,-544000,25000,9932000,-5691000,-8185000,-1146000,33000,-1113000,634000,634000,634000,15035000,0,14047000,0.33879,0.18894,0.1218,0.08067,0.05607,1.68915,3.12239,0.43887,0,0.43694,0.4309,3.58733,5.41619,0.73805,0.06021,0.08148,0.12097,0.13781,-3.916,-4.56411
"2","2010_Q3",8.0403125,"Down",64390000,-42649000,21741000,-9103000,-9105000,-5118000,-3987000,12638000,150000,-24000,-57000,174000,12788000,12788000,-4603000,8185000,8185000,8185000,8185000,58689000,5707000,22383000,22383000,8911000,5931000,1395000,95914000,40886000,145377000,-104491000,9329000,3702000,50215000,146129000,9402000,9018000,14469000,14469000,23871000,12942000,762000,12942000,36813000,929999.999999999,128748000,109316000,109316000,146129000,8185000,2284000,3068000,-4338000,9199000,-6891000,-6638000,-1794000,-702000,-2496000,65000,65000,65000,14922000,0,8296000,0.33765,0.19627,0.12712,0.07487,0.05601,1.01356,4.01801,0.33676,0,0.43005,0.42411,3.38315,5.74363,0.43588,0.09426,0.08162,0.06786,0.21918,-3.93305,-4.64385
"3","2010_Q4",8.88609375,"Up",58401000,-39819000,18582000,-9274000,-9274000,-5194000,-4080000,9308000,130000,-18000,-18000,148000,9438000,9438000,-3398000,6040000,6040000,6040000,6040000,52984000,5492000,25934000,25934000,10515000,6699000,2268000,96132000,42285000,149151000,-106866000,8803000,3167000,51088000,147220000,11586000,11127000,14258000,14258000,25844000,12842000,663000,12842000,38686000,-3983000,132879000,108534000,108534000,147220000,6040000,2444000,-851000,-3266000,4367000,-3813000,1677000,-1909000,-4350000,-6259000,-215000,-215000,-215000,11752000,0,8071000,0.31818,0.15938,0.10342,0.05565,0.04103,1.33626,3.7197,0.35644,0,0.31735,0.31297,3.06848,5.70254,0.42406,0.1003,0.06549,0.0665,0.31606,-4.50851,-5.69231
"4","2011_Q1",9.99145161290323,"Up",64139000,-43611000,20528000,-11981000,-11959000,-7306000,-4653000,8547000,382000,-20000,-68000,402000,8929000,8929000,-3215000,5714000,5714000,5714000,5714000,57625000,5132000,31565000,31565000,9827000,6207000,1427000,105224000,42921000,150379000,-107458000,9616000,4173000,52537000,157761000,17074000,16492000,16265000,16265000,33339000,9942000,573000,9942000,43281000,-2997000,137125000,114480000,114480000,157761000,5714000,2344000,1431000,-496000,8993000,-2993000,-7994000,-1468000,5827000,-1359000,-360000,-360000,-360000,10891000,0,10617000,0.32005,0.13326,0.08909,0.04991,0.03622,1.85807,3.15618,0.37807,0,0.30022,0.29607,3.36996,6.01496,0.55783,0.07713,0.05772,0.08533,0.25691,-5.29107,-6.74213
"5","2011_Q2",12.3103174603175,"Up",75441000,-51446000,23995000,-11537000,-11537000,-6912000,-4625000,12458000,156000,50000,-68645.7351541566,106000,12614000,12614000,-4667000,7947000,7947000,7947000,7947000,72372000,5390000,30430000,30430000,3548000,6269000,957000,112619000,44301000,154519000,-110218000,9594000,5098000,53895000,166514000,23474000,19953000,14038000,14038000,37512000,9801000,445000,9801000,47313000,-5285000,144134000,119201000,119201000,166514000,7947000,2930000,-1229000,11088000,20736000,-4299000,-18788000,-938000,1247000,-1690000,258000,258000,258000,15388000,0,26844000,0.31806,0.16514,0.10534,0.06667,0.04773,3.37788,3.00221,0.39692,0,0.41755,0.41178,3.96379,6.26301,1.41043,0.04928,0.06887,0.20809,0.11803,-4.70315,-5.80928
"6","2011_Q3",16.214375,"Up",79622000,-51158000,28464000,-11403000,-11403000,-6468000,-4935000,17061000,101000,-83000,-33000,184000,17162000,17162000,-6350000,10812000,10812000,10812000,10812000,76531000,12038000,31857000,31857000,4049000,5814000,801000,118251000,44778000,156896000,-112118000,12308000,8209000,57086000,175337000,21047000,18966000,15800000,15800000,36847000,9770000,415000,9770000,46617000,-4741000,153109000,128720000,128720000,175337000,10812000,2930000,3404000,-5508000,11638000,-3404000,-915000,-1837000,-2238000,-4075000,6648000,6648000,6648000,19991000,0,17429000,0.35749,0.21427,0.13579,0.084,0.06166,1.61201,3.20924,0.36216,0,0.56808,0.56023,4.18346,6.76315,0.91575,0.09652,0.09134,0.12585,0.1699,-3.82827,-4.48573
"7","2011_Q4",18.1506349206349,"Up",80512000,-51385000,29127000,-12239000,-12239000,-6581000,-5658000,16888000,155000,-21000,-21000,176000,17043000,17043000,-6306000,10737000,10737000,10737000,10737000,79342000,53344000,33421000,33421000,7755000,6226000,1355000,126744000,46301000,160568000,-114267000,12630000,8654000,58931000,185675000,21519000,19790000,17458000,17458000,38977000,9780000,414000,9780000,48757000,-4581000,161147000,136918000,136918000,185675000,10737000,2932000,1194000,-4270000,10593000,-4379000,34116000,-2699000,-704000,-3403000,41306000,41306000,41306000,19820000,0,17477000,0.36177,0.20976,0.13336,0.07842,0.05783,1.62774,3.25176,0.3561,0,0.56751,0.56061,4.25551,7.23688,0.92376,0.14266,0.09159,0.11914,0.25137,-4.00313,-4.69813
"8","2012_Q1",24.4941935483871,"Up",93241000,-63069000,30172000,-14163000,-14482000,-8730000,-5752000,16009000,688000,-27000,-56000,715000,16697000,16697000,-6178000,10519000,10519000,10519000,10519000,81056000,81056000,42225000,42225000,10217000,12744000,6968000,146242000,52947000,169142000,-116195000,7321000,7289000,60268000,206510000,28809000,28592000,20787000,20787000,49596000,19523000,441000,19523000,69119000,-4047000,168981000,137391000,137391000,206510000,10519000,3356000,7763000,-7196000,14442000,-9734000,16264000,-2685000,-309000,-2994000,27712000,27712000,27712000,19365000,0,8613000,0.32359,0.17169,0.11282,0.07656,0.05094,0.8188,2.94867,0.50308,0,0.55599,0.54923,4.9283,7.26188,0.45524,0.14192,0.08415,0.05489,0.25525,-4.1857,-5.06315
"9","2012_Q2",26.4868253968254,"Up",112337000,-70544000,41793000,-17377000,-17377000,-10999000,-6378000,24416000,155000,-23000,-23000,178000,24571000,24571000,-9091000,15480000,15480000,15480000,15480000,95829000,75835000,49026000,49026000,7621000,7886000,1025000,160362000,52617000,171869000,-119252000,8414000,8102000,61031000,221393000,35480000,31075000,16655000,16655000,52135000,19480000,398000,19480000,71615000,-3081000,180402000,149778000,149778000,221393000,15480000,3388000,-490000,3463000,21841000,-3047000,-23041000,-4059000,38000,-4021000,-5221000,-5221000,-5221000,27804000,0,37311000,0.37203,0.21735,0.1378,0.10335,0.06992,2.41027,3.0759,0.47814,0,0.80976,0.79167,5.87636,7.8349,1.95174,0.21233,0.11544,0.22044,0.26221,-3.44659,-3.92484
"10","2012_Q3",27.0387301587302,"Up",119569000,-74435000,45134000,-16824000,-16634000,-9108000,-7526000,28310000,284000,-21000,-21000,305000,28594000,28594000,-10580000,18014000,18014000,18014000,18014000,95954000,75960000,47332000,47332000,9210000,7612000,858999.999999999,160108000,58532000,181161000,-122629000,11769000,11364000,70301000,230409000,28140000,26946000,20068000,20068000,48208000,19492000,370000,19492000,67700000,-1951000,192203000,162709000,162709000,230409000,18014000,3386000,1167000,-6904000,15663000,-9279000,-9279000,-6213000,-46000,-6259000,125000.000000004,125000.000000004,125000.000000004,31696000,0,26093000,0.37747,0.23677,0.15066,0.11071,0.07818,1.44848,3.32119,0.41608,0,0.94043,0.91442,6.24214,8.49428,1.36219,0.32435,0.13297,0.14321,0.3449,-3.02732,-3.3894
