"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",32.1152380952381,"Down",3.96e+09,-2.754e+09,1.206e+09,-8.07e+08,-7.02e+08,-1.05e+08,3.99e+08,-3.1e+07,-2.8e+07,-3e+06,3.68e+08,3.68e+08,-5.7e+07,3.11e+08,3.11e+08,0,3.11e+08,3.11e+08,-10653210093.7725,-4545858533.36627,-1315145432.86249,1333555000.26717,1333555000.26717,1493099702.58408,-7521712104.5167,-6587419780.68674,-68940428942.3779,196146061.148343,61880727957.0064,9156181173.16281,38924052750.2693,-2910019350.33324,16710513383.9075,62076874018.1548,-339259159963.483,6474315852.6561,2527093048.04816,3947222804.60794,10447921097.3282,14867052335.0042,-4419131237.67607,-20561302161.139,-20561302161.139,-57928757586.1712,4846522082.35863,22270830562.9074,7421106794.2649,6202729469.59702,1218377324.66787,9411019446.34291,5438704322.29964,27117352645.2661,-199510297661.778,-138897376022.212,473470581.677284,-139748862301.705,-339259159963.483,3.11e+08,1.4e+08,-3.3e+08,-2.19e+08,-9.8e+07,-1.05e+08,2.46e+08,1.41e+08,-1.27e+08,-1e+06,4.3e+07,1.6e+07,-6.9e+07,-2.6e+07,-2.6e+07,8e+06,-1.8e+07,5.39e+08,0,2.72e+08,0.30455,0.10076,0.07854,-452431.476927486,734.58594389117,0.8746,-0.10034947431288,-6286.9505349015,-2.86736217372794,0.92725,0.91524,11.8068,-452.087837140329,0.81097,0.37865,-621601.52625219,-790771.998327522,0.40836,-299.712608722574,-525.883776715714
"2","2012_Q3",32.6369841269841,"Up",4.068e+09,-2.815e+09,1.253e+09,-7.96e+08,-6.9e+08,-1.06e+08,4.57e+08,-3.8e+07,-3e+07,-8e+06,4.19e+08,4.19e+08,-3.7e+07,3.82e+08,3.82e+08,0,3.82e+08,3.82e+08,-3519054515.92418,-1560270662.45542,-71072716.4312472,2369277500.13359,2369277500.13359,1919549851.29204,-2591735318.17223,-2749709890.34337,-23163292082.126,2210573030.57417,41242363978.5032,12394590586.5814,21795026375.1347,-1876509675.16662,8929256691.95377,43452937009.0774,-112434535755.828,4144157926.32805,2049546524.02408,2094611402.30397,5450460548.66409,7386526167.50212,-1936065618.83804,-6776577985.04634,-6776577985.04634,-18872396460.0571,7927761041.17931,12396915281.4537,4926553397.13245,3972364734.79851,954188662.333935,4333009723.17146,3137352161.14982,20324676322.633,-65906576485.2595,-46258797177.404,261235290.838642,-46527959270.5682,-112434535755.828,3.82e+08,1.38e+08,-6e+07,9e+06,4.69e+08,-1.26e+08,-2.35e+08,-723000000.000001,-1.28e+08,582999999.999999,1e+06,-4.2e+07,413999999.999999,1.6e+08,1.6e+08,-2e+06,1.58e+08,5.95e+08,0,5.15e+08,0.30801,0.11234,0.0939,-180468.783609162,293.013121297057,1.34817,0.466173508562373,-2506.88611496717,-0.951287391242646,1.13353,1.12518,12.07122,-145.554355713443,1.52819,0.37982,-247948.41792073,-315428.174645841,0.33508,-94.5156262408581,-165.108488905238
"3","2012_Q4",37.1108064516129,"Up",3.95e+09,-2.747e+09,1.203e+09,-7.89e+08,-6.87e+08,-1.02e+08,4.14e+08,-3.8e+07,-4.2e+07,4e+06,3.76e+08,3.76e+08,-2.9e+07,3.47e+08,3.47e+08,-2e+06,3.45e+08,3.45e+08,23273,23273,456975761.189584,3059092500.04453,3059092500.04453,2189183283.76401,4753075,-558236630.114457,4776348,3324857676.85806,29440787992.8344,13986530195.5271,11985342125.0449,-714503225.05554,4183418897.31792,32765645669.6925,4776348,2861719308.77602,1868182174.67469,993537134.101323,2497486849.5547,2937175389.16737,-439688539.612679,4784103,4784103,4784103,9408587013.72644,7219638427.15124,3457184465.71082,2650788244.93284,806396220.777978,2017669907.72382,1744784053.71661,16628225440.8777,4784103,-7755,131411763.612881,-7755,4776348,3.47e+08,1.41e+08,-2.7e+07,1.45e+08,6.06e+08,-1.26e+08,4e+07,-2.75e+08,-1.29e+08,-3.03e+08,1e+07,-1.9e+07,-4.41e+08,-1.1e+08,-1.1e+08,1e+07,-1e+08,5.55e+08,0,6.03e+08,0.30456,0.10481,0.08734,-44487.42747,72.23092,1.74783,0.99838,-616.90561,0,1.02162,1.0153,11.69677,-2e-05,1.78561,0.382,-61121.85687,-77756.28627,0.37391,-4e-05,-6e-05
"4","2013_Q1",44.598,"Up",4.333e+09,-3.132e+09,1.201e+09,-9.41e+08,-8.15e+08,-1.26e+08,2.6e+08,-1.72e+08,-1.08e+08,-6.4e+07,8.8e+07,8.8e+07,9.2e+07,1.8e+08,1.8e+08,-1e+06,1.79e+08,1.79e+08,1.104e+09,5.77e+08,5.27e+08,3.474e+09,3.474e+09,2.336e+09,9.86e+08,4.21e+08,7.9e+09,3.786e+09,2.4124e+10,1.4443e+10,7.58e+09,3.53e+08,1.748e+09,2.791e+10,3.581e+10,2.341e+09,1.879e+09,4.62e+08,1.071e+09,7.57e+08,3.14e+08,2.103e+09,2.103e+09,5.515e+09,9.765e+09,5.348e+09,2.745e+09,2.003e+09,7.42e+08,1.548e+09,1.055e+09,1.5113e+10,2.0628e+10,1.5117e+10,6.5e+07,1.5182e+10,3.581e+10,1.8e+08,1.79e+08,-2.14e+08,5.42e+08,6.87e+08,-2.36e+08,5.03e+08,-6.115e+09,-1.28e+08,5.553e+09,2e+08,-4.9e+07,5.576e+09,1.48e+08,1.48e+08,4e+06,1.52e+08,4.39e+08,1.0836e+10,6.53e+08,0.27718,0.06,0.04131,0.0117900000041118,0.00500000000000966,3.64804,1.43246,1.35871000000009,0.3026,0.46969,0.46554,11.36972,39.66675,1.71346,0.33587,0.00978999998915242,0.0208200000051875,0.71508,22.16856,37.43077
"5","2013_Q2",47.7203125,"Up",5.31e+09,-3.735e+09,1.575e+09,-1.11e+09,-9.58e+08,-1.52e+08,4.65e+08,-6.5e+07,-7.5e+07,1e+07,4e+08,4e+08,-2e+07,3.8e+08,3.8e+08,-2e+06,3.78e+08,3.78e+08,1.036e+09,6.39e+08,3.97e+08,3.685e+09,3.685e+09,2.394e+09,1.081e+09,6.22e+08,8.196e+09,3.841e+09,2.294e+10,1.4275e+10,6.664e+09,1.103e+09,8.98e+08,2.6781e+10,3.4977e+10,2.296e+09,1.978e+09,3.18e+08,6.53e+08,83999999.9999999,5.69e+08,1.954e+09,1.954e+09,4.903e+09,9.473e+09,5.391e+09,2.522e+09,1.794e+09,7.28e+08,2.007e+09,8.62e+08,1.4864e+10,1.9767e+10,1.5167e+10,4.3e+07,1.521e+10,3.4977e+10,3.8e+08,2.45e+08,-1.2e+08,-4.05e+08,1e+08,-1.22e+08,1.34e+08,7.73e+08,-1.94e+08,-6.87e+08,5.6e+07,1.5e+07,-8.1e+08,6.3e+07,6.3e+07,-1e+06,6.2e+07,7.1e+08,1.0126e+10,2.03e+08,0.29661,0.08757,0.07119,0.02485,0.01081,0.53704,1.67163,1.29961,0.2895,0.80102,0.79562,11.25238,32.14028,0.43018,0.4111,0.01862,0.00661,0.51323,12.80282,19.54839
"6","2013_Q3",51.1546875,"Up",5.602e+09,-3.87e+09,1.732e+09,-1.121e+09,-9.6e+08,-1.61e+08,6.11e+08,-7.7e+07,-7.1e+07,-6e+06,5.34e+08,5.34e+08,-3.7e+07,4.97e+08,4.97e+08,-3e+06,4.94e+08,4.94e+08,9.96e+08,6.28e+08,3.68e+08,3.82e+09,3.82e+09,2.405e+09,1.008e+09,5.6e+08,8.229e+09,3.749e+09,2.3279e+10,1.4049e+10,7.186e+09,1.169e+09,8.75e+08,2.7028e+10,3.5257e+10,2.413e+09,2.045e+09,3.68e+08,6.9e+08,1.15e+08,5.75e+08,1.878e+09,1.878e+09,4.981e+09,9.069e+09,5.776e+09,2.541e+09,1.805e+09,7.36e+08,2.301e+09,9.34e+08,1.4845e+10,1.9826e+10,1.5388e+10,4.3e+07,1.5431e+10,3.5257e+10,4.97e+08,2.45e+08,-1.47e+08,1.4e+07,6.09e+08,-1.29e+08,-3.8e+07,-1.67e+08,-2.03e+08,-261999999.999999,2.2e+07,3000000.00000001,-439999999.999999,2e+06,2e+06,-1.3e+07,-1.1e+07,8.56e+08,9.759e+09,7.78e+08,0.30918,0.10907,0.08818,0.0320099999996579,0.0140099999999988,1.5749,1.65208,1.28482,0.2768,1.04374,1.03716,11.83604,32.51215,1.64378,0.4289,0.0225099999990463,0.0251200000007878,0.41093,10.23715,14.34206
"7","2013_Q4",54.52,"Up",5.607e+09,-3.883e+09,1.724e+09,-1.133e+09,-9.67e+08,-1.66e+08,5.91e+08,-7e+07,-6.3e+07,-7e+06,5.21e+08,5.21e+08,-7e+06,5.14e+08,5.14e+08,-4e+06,5.1e+08,5.1e+08,1.34e+09,6.42e+08,6.98e+08,3.95e+09,3.95e+09,2.403e+09,1.073e+09,6.69e+08,8.766e+09,3.757e+09,2.2789e+10,1.4276e+10,7.231e+09,3.28e+08,9.54e+08,2.6546e+10,3.5312e+10,2.406e+09,1.976e+09,4.3e+08,6.64e+08,8.8e+07,5.76e+08,1.984e+09,1.984e+09,5.054e+09,9.029e+09,5.112e+09,2.534e+09,1.801e+09,7.33e+08,1.513e+09,1.065e+09,1.4141e+10,1.9195e+10,1.6071e+10,4.6e+07,1.6117e+10,3.5312e+10,5.14e+08,2.5e+08,-5.9e+07,-1e+06,7.04e+08,-1.21e+08,-3.42e+08,-4.63e+08,-2e+08,-5.7e+07,2e+07,2e+06,-2.35e+08,6e+06,6e+06,8e+06,1.4e+07,8.41e+08,9.693e+09,7.26e+08,0.30747,0.1054,0.09096,0.03164,0.01444,1.42353,1.73447,1.19098,0.2745,1.07572,1.06873,11.82662,33.89791,1.53132,0.42185,0.02296,0.02348,0.39216,9.93222,14.13367
"8","2014_Q1",56.6914754098361,"Up",5.527e+09,-3.881e+09,1.646e+09,-1.166e+09,-1.001e+09,-1.65e+08,4.8e+08,-5.1e+07,-6.2e+07,1.1e+07,4.29e+08,4.29e+08,5.3e+07,4.82e+08,4.82e+08,-3e+06,4.79e+08,4.79e+08,1.709e+09,9.15e+08,7.94e+08,3.648e+09,3.648e+09,2.382e+09,9.92e+08,4.15e+08,8.731e+09,3.833e+09,2.2927e+10,1.4495e+10,7.186e+09,2.4e+08,1.006e+09,2.676e+10,3.5491e+10,2.421e+09,1.96e+09,4.61e+08,5.8e+08,1.3e+07,5.67e+08,1.913e+09,1.913e+09,4.914e+09,8.969e+09,4.742e+09,2.133e+09,1.465e+09,6.68e+08,1.313e+09,1.296e+09,1.3711e+10,1.8625e+10,1.6794e+10,7.2e+07,1.6866e+10,3.5491e+10,4.82e+08,2.57e+08,-4.19e+08,5.52e+08,8.72e+08,-2.42e+08,-1.1e+08,-3.45e+08,-1.99e+08,-8.1e+07,2.3e+07,6e+06,-2.51e+08,2.76e+08,2.76e+08,-3e+06,2.73e+08,7.37e+08,9.549e+09,9.94e+08,0.29781,0.08685,0.08667,0.0283999999999948,0.0135,2.07516,1.77676,1.10429,0.26905,1.00906,1.00167,11.64314,35.37813,2.09395,0.41921,0.0217600000000739,0.0318999999999441,0.41545,10.63772,16.33333
"9","2014_Q2",57.5525396825397,"Up",5.492e+09,-3.858e+09,1.634e+09,-1.124e+09,-9.62e+08,-1.62e+08,5.1e+08,-5.7e+07,-6.2e+07,5e+06,4.53e+08,4.53e+08,-1.2e+07,4.41e+08,4.41e+08,-2e+06,4.39e+08,4.39e+08,1.144e+09,7.84e+08,3.6e+08,3.889e+09,3.889e+09,2.532e+09,1.118e+09,5.64e+08,8.683e+09,3.806e+09,2.2773e+10,1.445e+10,7.078e+09,2.57e+08,9.88e+08,2.6579e+10,3.5262e+10,2.41e+09,2.076e+09,3.34e+08,3.24e+08,7999999.99999999,3.16e+08,2.071e+09,2.071e+09,4.805e+09,8.991e+09,4.355e+09,1.894e+09,1.228e+09,6.66e+08,1.296e+09,1.165e+09,1.3346e+10,1.8151e+10,1.7037e+10,7.4e+07,1.7111e+10,3.5262e+10,4.41e+08,2.49e+08,-3.28e+08,-3.5e+08,1.2e+07,-1.1e+08,4.11e+08,3.04e+08,-2.29e+08,-2.57e+08,2.3e+07,2e+07,-4.43e+08,-1.27e+08,-1.27e+08,-4e+06,-1.31e+08,7.59e+08,9.315e+09,3.11e+08,0.29752,0.09286,0.07993,0.02566,0.01245,0.70843,1.80708,1.06078,0.26417,0.92266,0.91688,11.54266,35.80706,0.65364,0.48129,0.0217,0.0101,0.52164,10.76548,16.02157
"10","2014_Q3",55.45640625,"Down",5.767e+09,-4.025e+09,1.742e+09,-1.152e+09,-9.84e+08,-1.68e+08,5.9e+08,1.11e+08,-5.5e+07,1.66e+08,7.01e+08,5.7e+07,1.15e+08,1.72e+08,1.72e+08,-1e+06,1.71e+08,1.71e+08,1.265e+09,6.31e+08,6.34e+08,4.01e+09,4.01e+09,2.534e+09,1.029e+09,4.77e+08,8.838e+09,3.793e+09,2.2627e+10,1.4377e+10,6.976e+09,2.42e+08,1.032e+09,2.642e+10,3.5258e+10,2.417e+09,2.044e+09,3.73e+08,4.18e+08,2e+06,4.16e+08,2.708e+09,2.708e+09,5.543e+09,8.615e+09,4.058e+09,1.89e+09,1.222e+09,6.68e+08,1.047e+09,1.121e+09,1.2673e+10,1.8216e+10,1.6982e+10,6e+07,1.7042e+10,3.5258e+10,1.72e+08,2.5e+08,-3.45e+08,5.56e+08,6.33e+08,-1.26e+08,-3e+08,-1.56e+08,-2.38e+08,-3.19e+08,-7.8e+07,-3.72529029846191e-09,-6.35e+08,-1.58e+08,-1.58e+08,5e+06,-1.53e+08,8.4e+08,9.033e+09,1.155e+09,0.30206,0.10231,0.02965,0.0100299999999984,0.00485,6.75439,1.59444,1.06889,0.2562,0.35932,0.35737,12.11809,35.68397,2.42698,0.50011,0.0135699999999987,0.0383300000000077,1.39181,9.24762,13.1661
