"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",6.39671875,"Down",159468000,-106641000,52827000,-40484000,-40484000,12343000,-4107000,-4107000,8236000,8236000,-3173000,5063000,5063000,5063000,5063000,1652000,1652000,372000,372000,207381000,19802000,8823000,229207000,47917000,15208000,6632000,63125000,292332000,85817000,49687000,36130000,2482000,2482000,153074000,28672000,28672000,183714000,336788000,75640000,-120096000,-44456000,-44456000,292332000,5063000,2218000,5041000,-11246000,1076000,-10794000,-10794000,7517000,-993000,9618000,-1e+05,-1e+05,-1e+05,14561000,219817000,-4306000,0.33127,0.0774,0.03175,-0.11389,0.01732,-0.85048,1.49736,-7.57576,0.75194,0.12121,0.12001,3.81786,-1.06433,-0.10309,0.02481,-0.0211,14.98283,17.6752
"2","2014_Q4",7.19,"Up",182532000,-121881000,60651000,-42026000,-42026000,18625000,-4122000,-4122000,14503000,14503000,-5587000,8916000,8916000,8916000,8916000,1738000,1738000,470000,470000,230602000,18404000,8944000,251214000,49849000,14603000,6181000,64452000,315666000,100508000,62112000,38396000,2674000,2674000,167936000,28171000,28171000,182748000,350684000,76162000,-111180000,-35018000,-35018000,315666000,8916000,2467000,-206999.999999998,-6811000,4365000,-3948000,-3948000,-331000,0,-331000,86000,86000,86000,21092000,219331000,15920000,0.33228,0.10204,0.04885,-0.25461,0.02825,1.78555,1.49589,-10.01439,0.69482,0.21322,0.21214,4.36512,-0.83743,0.38072,0.04196,0.07492,10.31638,11.68285
"3","2015_Q1",7.37196721311475,"Up",165444000,-103843000,61601000,-47456000,-47456000,14145000,-8993000,-8993000,5152000,5152000,-1979000,3173000,3173000,3173000,3173000,1751000,1751000,425000,425000,185909000,15586000,7468000,203671000,54317000,12735000,5729000,67052000,270723000,71120000,28500000,42620000,2873000,2873000,117225000,28117000,28117000,184830000,302055000,76675000,-108007000,-31332000,-31332000,270723000,3173000,2613000,6022000,22418000,34226000,-6629000,-6629000,-25357000,-2227000,-27584000,13000,13000,13000,16758000,199945000,34526000,0.37234,0.0855,0.01918,-0.10127,0.01172,10.88118,1.73744,-9.64046,0.73856,0.07588,0.07572,3.95629,-0.74925,0.82563,0.01613,0.1755,11.82683,14.01159
"4","2015_Q2",10.005873015873,"Up",139158000,-96007000,43151000,-41903000,-41903000,1248000,-3460000,-3460000,-2212000,-2212000,852000,-1360000,-1360000,-1360000,-1360000,2006000,2006000,554000,554000,216730000,13343000,4063000,232633000,61015000,12201000,5278000,73216000,305849000,97631000,53995000,43636000,3570000,3570000,154790000,27528000,27528000,183907000,338697000,76519000,-109367000,-32848000,-32848000,305849000,-1360000,2622000,887000,-5070000,-2920999.99999999,-8869000,-8869000,12798000,-753000,12045000,255000,255000,255000,3870000,209968000,-10921000,0.31009,0.00897000000000001,-0.00976999999999999,0.0414,-0.00445,8.03015,1.50289,-10.31104,0.68651,-0.0325,-0.0325,3.32508,-0.78488,-0.26095,-0.00665,-0.05336,53.73695,166.63622
"5","2015_Q3",12.46765625,"Up",178320000,-120318000,58002000,-41216000,-41216000,16786000,-3448000,-3448000,13338000,13338000,-5138000,8200000,8200000,8200000,8200000,583000,583000,419000,419000,235446000,10248000,4071000,246696000,69102000,10127000,4827000,79229000,325925000,112660000,60212000,52448000,2966000,2966000,165318000,28729000,28729000,184775000,350093000,76999000,-101167000,-24168000,-24168000,325925000,8200000,2909000,2134000,-11056000,2187000,-10545000,-10545000,6935000,0,6935000,-1423000,-1423000,-1423000,19695000,205738000,3232000,0.32527,0.09413,0.04598,-0.33929,0.02516,0.39415,1.49225,-14.48581,0.63124,0.19522,0.19234,4.24541,-0.57539,0.07695,0.03899,0.01537,10.4166,12.22179
"6","2015_Q4",11.61953125,"Down",180737000,-114172000,66565000,-47396000,-47396000,19169000,-3659000,-3659000,15510000,15510000,-5969000,9541000,9541000,9541000,9541000,1941000,1941000,393000,393000,253882000,8300000,5557000,264516000,69163000,9744000,4375000,78907000,343423000,118331000,61908000,54157000,3337000,3337000,172677000,29066000,29066000,184779000,357456000,77593000,-91626000,-14033000,-14033000,343423000,9541000,3033000,669000,-8653000,4590000,-10406000,-2642000,-589999.999999996,-2.91038304567337e-11,-589999.999999996,1358000,1358000,1358000,22202000,206722000,9112000,0.3683,0.10606,0.05279,-0.6799,0.02778,0.955039999999999,1.53185,-25.47253,0.60195,0.22714,0.22516,4.30275,-0.33408,0.21693,0.04302,0.04109,9.22354,10.68293
"7","2016_Q1",12.7403278688525,"Up",208549000,-137737000,70812000,-48703000,-48703000,22109000,-3589000,-3589000,18520000,18520000,-7130000,11390000,11390000,11390000,11390000,2109000,2109000,469000,469000,217794000,12338000,9337000,232710000,62432000,6186000,3923000,68618000,301328000,90957000,46698000,42480000,3018000,3018000,127921000,29133000,29133000,175466000,303387000,78177000,-80236000,-2059000,-2059000,301328000,11390000,3005000,1350000,15822000,31567000,-4137000,7105000,-38502000,-2000,-38504000,168000,168000,168000,25114000,180279000,43929000,0.33955,0.10601,0.05462,-5.53181,0.0378,3.8568,1.81917,-147.34677,0.59828,0.27116,0.26814,4.96486,-0.04902,1.0458,0.05493,0.21186,7.09445,8.05871
"8","2016_Q2",9.97046875,"Down",151615000,-103143000,48472000,-46116000,-46116000,2356000,-3588000,-3588000,-1232000,-1232000,1543000,310999.999999998,310999.999999998,310999.999999998,310999.999999998,2404000,2404000,446000,446000,250965000,6854000,4799000,260669000,70014000,8103000,3472000,78117000,338786000,108484000,58611000,49873000,3393000,3393000,176199000,30664000,30664000,164938000,341137000,77574000,-79925000,-2351000,-2351000,338786000,310999.999999998,3132000,2894000,-21983000,-15646000,-8720000,-8720000,25889000,-1228000,24661000,295000,295000,295000,5488000,198596000,-26758000,0.3197,0.01554,0.00205,-0.132280000000001,0.00091999999999999,-86.03859,1.4794,-145.10293,0.5862,0.00740000000000002,0.00735000000000002,3.60713,-0.05593,-0.63661,0.00137,-0.11792,35.74927,83.27334
"9","2016_Q3",10.08,"Up",189804000,-123619000,66185000,-49514000,-49514000,16671000,-3141000,-3141000,13530000,13530000,-5226000,8304000,8304000,8304000,8304000,2578000,2578000,309000,309000,265718000,6845000,6845000,275450000,82396000,7997000,3021000,90393000,365843000,121581000,70525000,48889000,2858000,2858000,191493000,33178000,33178000,167206000,358699000,78765000,-71621000,7144000,7144000,365843000,8304000,3335000,1828000,2578000,16045000,-14675000,-14675000,-1454000,0,-1196000,174000,174000,174000,20006000,201082000,13135000,0.3487,0.08783,0.04375,1.16237,0.0227,1.58177,1.43843,50.20983,0.54964,0.19669,0.19549,4.49581,0.16922,0.31112,0.0344,0.05441,9.92222,11.90714
"10","2016_Q4",9.48492063492063,"Down",217161000,-142896000,74265000,-53718000,-53718000,20547000,-3403000,-3403000,17144000,17144000,-6630000,10514000,10514000,10514000,10514000,2691000,2691000,469000,469000,304044000,4725000,4725000,311929000,83446000,7471000,2569000,90917000,402846000,126852000,71408000,54168000,3291000,3291000,216439000,33875000,33875000,167845000,384284000,79671000,-61109000,18562000,18562000,402846000,10514000,3695000,1587000,-31338000,-15542000,-7362000,-4621000,20276000,1.16415321826935e-10,20276000,113000,113000,113000,24242000,220266000,-7828000,0.34198,0.09462,0.04842,0.56643,0.0261,-0.744529999999989,1.44119,20.70273,0.54677,0.24888,0.24691,5.14051,0.43939,-0.1853,0.03855,-0.02871,8.97513000000001,10.58914
