"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",184.000625,"Down",31490000,-22240000,9250000,-71570000,-47248000,-24322000,-62320000,-1835000,-1758000,-77000,-64155000,-4188000,-68343000,14211000,-54132000,-54132000,-54132000,-54132000,95313000,95242000,17165000,17165000,13486000,8708000,4778000,128306000,26413000,274242000,130165000,133426000,10651000,543556000,671862000,35659000,6218000,29441000,19888000,19292000,55547000,112666000,18530000,14725000,622000,3183000,131196000,186743000,863261000,-378448000,306000,485119000,485119000,671862000,-54132000,7666000,32349000,4479000,-9638000,-4061000,-4516000,-152666000,84746000,70592000,70592000,90000,70682000,-54654000,112666000,-68447000,0.29374,-1.97904,-1.71902,-0.11158,-0.08057,1.26445,2.30986,0.38494,0.16769,-8.14413,-8.14413,4.73765,72.98588,-10.29781,-0.08783,-0.11106,-0.31751,-0.27845
"2","2016_Q4",176.932222222222,"Down",25357000,-17236000,8121000,-38570000,-24715000,-13855000,-30449000,-1751000,-1415000,-336000,-32200000,-4418000,-36618000,-256000.000000004,-36874000,-36874000,-36874000,-36874000,75801000,75801000,12928000,12928000,11224000,5803000,5421000,101755000,29412000,268747000,124645000,132729000,11373000,538456000,640211000,37097000,6540000,30557000,17180000,17180000,54277000,112666000,22129000,16750000,780000,4599000,134795000,189072000,865901000,-415322000,560000,451139000,451139000,640211000,-36874000,7515000,8203000.00000001,10145000,-11011000,-4332000,-4261000,-5822000,-4021999.99999994,-19293999.9999999,-19293999.9999999,-147000,-19441000,-22934000,112666000,-16865000,0.32027,-1.20081,-1.45419,-0.08174,-0.0576,0.45737,1.87474,0.4191,0.17598,-4.54565,-4.54565,3.12589,55.61431,-2.07904,-0.06293,-0.02878,-1.60744,-1.21071
"3","2017_Q1",111.321774193548,"Down",4106000,8407000,12513000,-4361000,-5922000,1561000,8152000,1910000,-1758000,3668000,10062000,-31876000,-21814000,5444000,-16370000,-59951000,-59951000,-59951000,157573000,157573000,11673000,11673000,14647000,3356000,1299000,185578000,20129000,271487000,78812000,114625000,7283000,498813000,684391000,34153000,6039000,28114000,23096000,9600000,57249000,191040000,24508000,11127000,1378028.75524733,6432000,215548000,272797000,886346000,-475273000,521000,411594000,411594000,684391000,-59951000,7943000,32345000,1176000,-18487000,-3079000,28000,-16000,103088000,84629000,84629000,-77000,84552000,16095000,191040000,8748000,3.04749,1.98539,-14.60083,-0.14566,-0.0876,-0.14592,3.24159,0.66278,0.27914,-7.39048,-7.39048,0.50617,50.73939,1.07841,-0.09559,0.01395,2.07934,4.10537
"4","2017_Q2",55.4166666666667,"Down",22509000,-19029000,3480000,-34277000,-20878000,-13399000,-30797000,-3696000,-3969000,273000,-34493000,-6340000,-40833000,-282000.000000001,-41115000,-41115000,-41115000,-41115000,124894000,124894000,8924000,8924000,10139000,5760000,4379000,146132000,33072000,257667000,113906000,131068000,12693000,493410000,639542000,34457000,3729000,30728000,16537000,16537000,50994000,192091000,26938000,18279000,986000,7673000,219029000,270023000,885367000,-516388000,540000,369519000,369519000,639542000,-41115000,8331000,6032000,730000.000000001,-26022000,-7370000,-7370000,-2106000,-2106000,-35498000,-35498000,39000,-35459000,-22466000,192091000,-28824000,0.154599999999999,-1.36821,-1.8266,-0.11127,-0.06429,0.70106,2.86567,0.73074,0.30036,-5.06847,-5.06847,2.7748,45.55258,-3.55329,-0.06986,-0.04897,-2.99105,-2.18193
"5","2017_Q3",58.5393650793651,"Up",20109000,-2141000,17968000,-19685000,-15782000,-3903000,-1717000,-4038000,-4013000,-25000,-5755000,-39179000,-44934000,227000,-44707000,-70064000,-70064000,-70064000,92669000,92669000,11345000,11345000,10571000,5228000,5343000,116750000,31773000,253139000,109287000,131068000,12784000,448698000,565448000,31249000,1195000,30054000,18699000,18699000,49948000,193179000,22506000,12244000,1122000,9140000,215685000,265633000,885666000,-586452000,601000,299815000,299815000,565448000,-70064000,8104000,40739000,-7495000,-28716000,-2946000,-2946000,-605000,-605000,-32267000,-32267000,42000,-32225000,6387000,193179000,-4281000,0.89353,-0.08538,-3.48421,-0.23369,-0.12391,0.0611,2.33743,0.88599,0.34164,-8.63716,-8.63716,2.47894,36.95979,-0.52774,-0.13591,-0.0083,15.73665,-58.53815
"6","2017_Q4",53.0214285714286,"Down",21760000,-11473000,10287000,-25270000,-17521000,-7749000,-14983000,-4007000,-4067000,60000,-18990000,-3996999.99999999,-22987000,-30000,-23017000,-42398000,-42398000,-42398000,73493000,73493000,12037000,12037000,5845000,4224000,1621000,92349000,19984000,194252000,71621000,114625000,8006000,374778000,467127000,29569000,4099000,25470000,9200000,9200000,38769000,194300000,25313000,6807000,7776000,10730000,219613000,258382000,880812000,-671599000,-468000,208745000,208745000,467127000,-42398000,6853000,16337000,476999.999999998,-18731000,-2240000,-519000,-29000,-29000,-19279000,-19279000,103000,-19176000,-8130000.00000001,194300000,-9863000,0.47275,-0.68856,-1.94844,-0.20311,-0.09076,0.23263,2.38203,1.23779,0.41595,-5.44512,-5.44512,2.79461,26.80887,-1.26669,-0.09898,-0.02303,-14.85941,-8.06294
"7","2018_Q1",50.183606557377,"Down",22298000,-8879000,13419000,-29606000,-20795000,-8811000,-16187000,-3627000,-4119000,492000,-19814000,-5034000,-24848000,2288000,-22560000,-21634000,-21634000,-21634000,61660000,61660000,11491000,11491000,7903000,5358000,2545000,81893000,18517000,191922000,69424000,114625000,7873000,367302000,449195000,25802000,3164000,22638000,10057000,10057000,35859000,195458000,24576000,7126000,5838000,11612000,220034000,255893000,886679000,-693233000,-144000,193302000,193302000,449195000,-21634000,4767000,10817000,-1629000,-7679000,-1080000,-1440000,-2595000,-2595000,-11714000,-11714000,-119000,-11833000,-11420000,195458000,-16417000,0.6018,-0.72594,-0.97022,-0.11192,-0.04816,0.75885,2.28375,1.3238,0.43513,-2.77843,-2.77843,2.86371,24.82554,-2.10842,-0.05234,-0.03972,-11.71611,-8.26577
"8","2018_Q2",49.49890625,"Down",22263000,-11068000,11195000,-25888000,-20737000,-5151000,-14693000,-4017000,-4197000,180000,-18710000,-4315000,-23025000,1050000,-21975000,-22168000,-22168000,-22168000,46390000,46390000,14701000,14701000,7649000,6995000,654000,69545000,23570000,193041000,71626000,115930000,5485000,361780000,431325000,23535000,5149000,18386000,13080000,13080000,36615000,196652000,27020000,8729000,5025000,13266000,223672000,260287000,885210000,-714138000,-34000,171038000,171038000,431325000,-22168000,5297000,6031000,-2453000,-13293000,-460000,-392000,-339000,-339000,-14024000,-14024000,-110000,-14134000,-9396000,196652000,-13359000,0.50285,-0.65997,-0.99573,-0.12961,-0.0514,0.60263,1.89936,1.52181,0.45593,-3.06093,-3.06093,3.07405,23.61673,-1.8446,-0.05616,-0.03385,-15.99212,-10.22677
"9","2018_Q3",38.0393650793651,"Down",22048000,-10583000,11465000,-24274000,-18385000,-5889000,-12809000,-5597000,-4263000,-1334000,-18406000,-3999000,-22405000,601000,-21804000,-23396000,-23396000,-23396000,29409000,29409000,18968000,18968000,7096000,6225000,871000,56204000,24366000,189001000,69278000,115930000,3793000,355570000,411774000,22266000,4881000,17385000,15218000,15218000,37484000,197887000,28282000,8108000,4419000,15755000,226169000,263653000,885898000,-737535000,-242000,148121000,148121000,411774000,-23396000,5586000,7271000,252000,-10287000,-4867000,-4867000,-1657000,-1657000,-16811000,-16811000,-170000,-16981000,-7223000,197887000,-12439000,0.52,-0.58096,-1.06114,-0.15795,-0.05682,0.53167,1.49941,1.77998,0.48057,-3.23049,-3.23049,3.04436,20.45238,-1.71756,-0.06251,-0.03323,-23.32521,-13.1531
"10","2018_Q4",17.5177777777778,"Down",22292000,-11227000,11065000,-21836000,-17001000,-4835000,-10771000,-4080000,-4306000,226000,-14851000,-84361000,-99212000,1778000,-97434000,-97466000,-97466000,-97466000,22841000,22841000,17202000,17202000,6492000,5188000,1304000,47189000,24942000,186382000,66990000,115930000,3462000,270324000,317513000,23067000,2222000,20845000,14866000,14866000,37933000,199161000,29224000,8061000,2637000,18526000,228385000,266318000,886374000,-834999000,-180000,51195000,51195000,317513000,-97466000,5603000,83226000,5870000,-2767000,-4067000,-4067000,-9000,-102000,-6936000,-6936000,18000,-6918000,-5168000,199161000,-5143000,0.49637,-0.48318,-4.37224,-1.90382,-0.30697,0.05277,1.24401,5.20203000000001,0.62725,-13.39862,-13.39862,3.06447,7.03776,-0.70701,-0.34862,-0.0184,-34.11765,-16.36988
