"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",5.46079365079365,"Up",17945524,-6541462,11404062,-13579762,-10472987,-3106775,-2175700,-19674,-684,-2195374,-2195374,-2195374,-2195374,-2195374,-2195374,73360434,69374434,12103249,12103249,9309287,3381242,3381242,-12817000.2004654,98154212,19970948,2985989,1735752,1250237,22956937,121111149,11070860,3115643,7955217,11570860,9205,9205,7675885,19246745,239378919,-137283860,-230655,101864404,101864404,121111149,-2195374,649538,801909,-4259640,-5003567,-532241,217759,-638628,-488758.451078708,-638628,-773388,-5559196,-5559196,265519.94527086,-5559196,-1526162,8166680,0.63548,-0.12124,-0.12234,-0.02155,-0.01813,8.48288,0.18894,0.06743,-0.04754,-0.04754,0.38863,2.206,2,-0.01995,42.71745,29.9645
"2","2010_Q3",3.97890625,"Down",19217836,-7040201,12177635,-12712951,-9684293,-3028658,-535316,-17490,-2474,-552806,-552806,-552806,-552806,-552806,-552806,74545814,72550814,13021235,13021235,8881441,2403289,2403289,-6168107.8335919,98851779,19957553,5124295,4137252,987043,25081848,123933627,13801072,3004671,10796401,21842752,2162,2162,2162,21844914,240158069,-137836666,-232690,102088713,102088713,123933627,-552806,681134,894709,900851,1923888,-580370.000000001,1410630,-33138,5455,-38593,-158138,3176380,3176380,132934.969594922,3176380,145818,8041680,0.63366,-0.02786,-0.02877,-0.00541,-0.00446,4.52561,0.21398,0.06489,-0.01197,-0.01197,0.41619,2.21086,6,-0.00502,-456.0763,124.23341
"3","2010_Q4",4.82734375,"Up",19034110,-7220383,11813727,-11524977,-8516618,-3008359,288750,-14796,20305,273954,273954,273954,273954,273954,273954,73693504,71698504,13144922,13144922,7979356,2024463,2024463,-1946355.93343676,96842245,19890223,4777295,3976252,801043,24667518,121509763,10480549,2794787,7685762,18397229,462,462,462,18397691,240924270,-137562712,-249486,103112072,103112072,121509763,273954,770116,782035,1494774,3320879,-4030655,-4030655,-17534,-1733,-15801,-142534,-852310,-852310,46669.9878379689,-852310,1058866,7916680,0.62066,0.01517,0.01439,0.00266,0.00225,5.26396,0.17842,0.06515,0.00593,0.00593,0.41221,2.23302,5,0.00247,-62.12006,-227.79852
"4","2011_Q1",6.79241935483871,"Up",18817530,-6852954,11964576,-12896310,-8848102,-4048208,-931734,-91040,155853,-1022774,-1022774,-1022774,-1022774,-1022774,-1022774,75738402,73843402,12471249,12471249,7345594,1930108,1579513,350595,97485353,19610583,5424157,4806919,617238,25034740,122520093,11885725,2898846,8986879,19677405,1422234.90810334,-1377.00735634461,2061375.14585477,19677405,241663383,-138585431,-235264,102842688,102842688,122520093,-1022774,911212,750347,3007015,3645800,-1462734,-1362734,-11700,4278,-15978,-136940,2146126,2146126,-2000,2144126,-20522,7791680,0.63582,-0.04951,-0.05435,-0.00995,-0.00835,4.95418,0.19133,0.0636,-0.02199,-0.02199,0.40453,2.21084,5,-0.00924,3310.92106,72.92502
"5","2011_Q2",8.24761904761905,"Up",17413728,-6146897,11266831,-13819727,-9399487,-4420240,-2552896,-45207,2213,-2598103,-2598103,-2598103,-2598103,-2598103,-2598103,72439284,70544284,12119960,12119960,7749936,1937898,1937898,1225084.46671838,94247078,19849944,5095709,4620919,474790,24945653,119192731,10553729,3506112,7047617,18220409,3727193.57980929,-3648.04207520732,4336213.15274577,18220409,242391389,-141183534,-235533,100972322,100972322,119192731,-2598103,829079,972552,-1253020,-2049492,-882440,-882440,-242186,582375,-824561,-367186,-3299118,-3299118,-21799.9939189845,-3299118,-1723817,7666680,0.64701,-0.1466,-0.1492,-0.02573,-0.0218,5.17261,0.18045,0.06432,-0.05585,-0.05585,0.37435,2.17063,4,-0.02392,37.5751,25.37221
"6","2011_Q3",8.080625,"Down",19063560,-6802596,12260964,-14620344,-9477357,-5142987,-2359380,-79020,-7742.99999999999,-2438400,-2438400,-2438400,-2438400,-2438400,-2438400,75399491,75399491,11744080,11744080,8146605,1718705,1718705,1179451.96671838,97008881,19478446,4768375,4434919,333456,24246821,121255702,12512162,3723978,8788184,20053842,5802109.7116106,-5078.48142779616,6076498.83326389,20053842,245057623,-143621934,-233829,101201860,101201860,121255702,-2438400,854876,958140,2301579,1676195,-297378,1597622,1706390,1729648,-23258,1581390,4855207,4855207,-21454.9939189845,4855207,-1504504,7541680,0.64316,-0.12376,-0.12791,-0.02409,-0.02011,4.83742,0.19816,0.0622,-0.05208,-0.05208,0.4072,2.16168,4,-0.02242,45.1031099999995,28.76087
"7","2011_Q4",8.98063492063492,"Up",21713902,-8120148,13593754,-17798733,-12252298,-5546435,-4204979,-29704,673,-4234683,-4234683,-3919375,-3919375,-3919375,-3919375,21374355,21374355,14361295,14361295,9447934,2238874,1522837,716036.999999999,47422458,20000180,55384284,29245948,199612,75384464,122806922,12882130,3484981,9397149,20298810,6533755,-4395.70268531919,6533755,26832565,246581438,-147541309,-3065772,95974357,95974357,122806922,-3919375,1326829,1549343,-2662012,-3705215,-626551,-50599751,414520,450266,-35746,289520,-54015446,-54015446,-9690.00000000002,-54025136,-2878150,7416680,0.62604,-0.19365,-0.1805,-0.04084,-0.03191,2.33622,0.27958,0.06039,-0.08333,-0.08333,0.46169,2.04064,3,-0.03566,4.84953,3.31932
"8","2012_Q1",10.4729032258065,"Up",23689810,-9094359,14595451,-14875196,-11578858,-3296338,-279745,-159069,7857,-438814.000000001,-438814,114878,114878,114878,114878,23878000,23878000,17159000,17159000,9621000,2178000,1682000,496000,52836000,19855000,55170000,30383000,47000,75025000,127861000,13366000,4142000,9224000,21976000,5635000,-327.08311898445,5635000,27611000,249640000,-147426000,-1964000,100250000,100250000,127861000,114878,1880216,603965,-1514547,1084512,-698631,-455431,1995276,2020711,-25435,1870276,2499357,2499357,4690,2504047.00000001,1600471,7292000,0.61611,-0.01181,0.00484999999999999,0.00115,0.000899999999999991,2.40426,0.27542,0.05703,0.00243,0.00243,0.5012,2.12095,5,0.00102,-10.3632,59.28971
"9","2012_Q2",10.5584126984127,"Up",20944000,-7212000,13732000,-17384000,-13940000,-3444000,-3652000,-121000,-46000,-3773000,-3773000,-3252000,-3252000,-3252000,-3252000,22814268,22814268,13291493,13291493,10817952,3013544,2071274,942270,49937257,19376018,55358986,29988146,52607,74735004,124672261,11959533,3529094,8430439,19126213,5257237,8400,5257237,24383450,251825192,-150677720,-858661,100288811,100288811,124672261,-3252000,1809000,671000,-584000,-1356000,-306000,-306000,710000,2162000,-1452000,585000,-1077000,-1077000,13000,-1064000,-1843000,7166680,0.65565,-0.17437,-0.15527,-0.03243,-0.02608,2.61093,0.24313,0.05748,-0.06802,-0.06802,0.43809,2.09777,3,-0.02885,8.49028,4.28466
"10","2012_Q3",10.8231746031746,"Up",22616000,-7917000,14699000,-18238000,-15126000,-3112000,-3539000,-113000,-39000,-3652000,-3652000,-3562000,-3562000,-3562000,-3562000,23272584,23272584,15412638,15412638,11024817,2632407,2190560,441847,52342446,18975141,53417640,28503467,70830,72392781,124735227,13760562,4304812,9455750,20802242,5088736,29869,5088736,25890978,254802317,-154240055,-1718013,98844249,98844249,124735227,-3562000,1805000,1239000,-422000,-940000,-424000,-424000,1934000,1968000,-34000.0000000005,1809000,445000,445000,14000,458999.999999996,-1734000,7041680,0.64994,-0.15648,-0.1575,-0.03604,-0.02856,2.51619,0.26194,0.05645,-0.07385,-0.07385,0.46887,2.04924,3,-0.0321,9.36038,4.58630000000001
