"","YQ","p","d","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",4.67328125,"Up",-2932000,-1243000,-1015000,-1689000,-2932000,4000,4000,-2928000,-2928000,-2928000,-2928000,-2928000,-2928000,7635000,5856000,1779000,262000,262000,7897000,581000,1169000,1750000,9647000,1282000,403000,1470000,1470000,2752000,2752000,35069000,-27062000,6895000,6895000,9647000,-2928000,71000,125000,565000,-2167000,-15000,-15000,42000,42000,42000,-2140000,-2140000,-2140000,-2861000,0,-0.42466,-0.30351,2.86955,0.39913,0,-0.11529,-0.11529,0.2715,-0.42466,2.66865,2.60402
"2","2016_Q3",4.03703125,"Down",-2532000,-1337000,-1066000,-1195000,-2532000,-11000,-11000,-2543000,-2543000,-2543000,-2543000,-2543000,-2543000,5617000,4e+06,1617000,129000,129000,5746000,515000,1163000,1678000,7424000,701000,192000,1839000,1839000,2713000,2957000,35345000,-29605000,4467000,4467000,7424000,-2543000,104000,236000,396000,-1807000,5000,-49000,40000,40000,0,-1856000,-1856000,-1856000,-2428000,417000,-0.56929,-0.34254,2.11795,0.66197,0.05617,-0.10002,-0.10002,0.17569,-0.52068,2.14168,2.05371
"3","2016_Q4",5.50587301587302,"Up",-2582000,-1220000,-1064000,-1362000,-2582000,-12000,-12000,-2594000,-2594000,-2594000,-2594000,-2594000,-2594000,15091000,12674000,2417000,191000,191000,15282000,475000,1103000,1578000,16860000,1539000,870000,2256000,2256000,3968000,4179000,45354000,-32199000,12681000,12681000,16860000,-2594000,108000,258000,1194000,-1034000,-9000,-9000,10551000,10551000,9717000,8674000,8674000,8674000,-2474000,384000,-0.20456,-0.15386,3.85131,0.32955,0.02278,-0.09763,-0.09763,0.47729,-0.19855,5.94462,5.69597
"4","2017_Q1",5.77403225806452,"Up",-3094000,-1663000,-1120000,-1431000,-3094000,-9000.00000000001,-9000,-3103000,-3103000,-3103000,-3103000,-3103000,-3103000,12411000,10174000,2237000,285000,285000,12696000,688000,1063000,1751000,14447000,1219000,422000,2854000,2854000,4275000,4585000,45818000,-35302000,9862000,9862000,14447000,-3103000,104000,303000,182000,-2514000,-87000,-108000,135000,135000,122000,-2500000,-2500000,-2500000,-2990000,512000,-0.31464,-0.21479,2.96982,0.46492,0.03544,-0.10802,-0.10802,0.34332,-0.29911,3.9796,3.84583
"5","2017_Q2",5.6915873015873,"Down",-4532000,-2698000,-2043000,-1834000,-4532000,-172000,-13000,-4704000,-4704000,-4704000,-4704000,-4704000,-4704000,13001000,11352000,1649000,451000,451000,13452000,636000,1086000,1722000,15174000,1404000,211000,2610000,2610000,4549000,6401000,49360000,-40006000,8773000,8773000,15174000,-4704000,128000,1596000,-310000,-3290000,-16000,-16000,518000,518000,4484000,1178000,1178000,1178000,-4404000,2124000,-0.53619,-0.31,2.95713,0.72962,0.13998,-0.17732,-0.17732,0.33069,-0.42151,2.4698,2.40004
"6","2017_Q3",5.23650793650794,"Down",-3589000,-1592000,-1115000,-1997000,-3589000,93000,-66000,-3496000,-3805000,-3805000,-3805000,-3805000,-3805000,9757000,8644000,1113000,512000,512000,10269000,895000,977000,1872000,12141000,1316000,1316000,2540000,2540000,4686000,6502000,49985000,-43811000,5639000,5639000,12141000,-3805000,137000,523000,-136000,-3281000,-39000,-39000,673000,673000,612000,-2708000,-2708000,-2708000,-3452000,2646000,-0.67477,-0.3134,2.19142,1.15304,0.21794,-0.14343,-0.14343,0.21256,-0.45926,2.05997,1.98133
"7","2017_Q4",5.63650793650794,"Up",-6836000,-5e+06,-4289000,-1836000,-6836000,-70000,-70000,-6906000,-6906000,-6906000,-6906000,-6906000,-6906000,12027000,11024000,1003000,457000,457000,12484000,833000,932000,1765000,14249000,1498000,1498000,2102000,2102000,4637000,6201000,59410000,-50717000,8048000,8048000,14249000,-6906000,153000,3479000,-196000,-3470000,-30000,-30000,208000,208000,5880000,2380000,2380000,2380000,-6683000,2601000,-0.8581,-0.48467,2.69226,0.7705,0.18254,-0.22871,-0.22871,0.26653,-0.64851,1.41044,1.37888
"8","2018_Q1",3.30409836065574,"Down",-3892000,-2385000,-1785000,-1507000,-3892000,-377000,-68000,-4269000,-3960000,-3960000,-3960000,-3960000,-3960000,8360000,7600000,760000,168000,168000,8528000,822000,866000,1688000,10216000,1217000,175000,2099000,2099000,4454000,5813000,59968000,-54677000,4403000,4403000,10216000,-3960000,162000,498000,-44000,-3344000,-6000,-6000,145000,145000,-74000,-3424000,-3424000,-3424000,-3730000,2497000,-0.89939,-0.38763,1.91468,1.32024,0.24442,-0.13115,-0.13115,0.14582,-0.57391,1.57185,1.50642
"9","2018_Q2",2.46328125,"Down",-3906000,-2445000,-1787000,-1461000,-3906000,-62000,-60000,-3968000,-3778000,-3778000,-3778000,-3778000,-3778000,13562000,12612000,950000,492000,492000,14054000,722000,806000,1528000,15582000,2216000,307000,2105000,2105000,5467000,6560000,68366000,-59344000,9022000,9022000,15582000,-3778000,164000,179000,682000,-2753000,-5000,-5000,8051000,8051000,7770000,5012000,5012000,5012000,-3742000,2239000,-0.41875,-0.24246,2.5707,0.72711,0.14369,-0.11927,-0.11927,0.28482,-0.33549,3.02592,2.89887
"10","2018_Q3",2.58015873015873,"Up",-4227000,-1904000,-1335000,-2323000,-4227000,-57000,-57000,-4284000,-4506000,-4506000,-4506000,-4506000,-4506000,11022000,10294000,728000,382000,382000,11404000,615000,177000,792000,12196000,1275000,232000,2100000,2100000,4485000,5350000,70695000,-63849000,6846000,6846000,12196000,-4506000,164000,1279000,-894000,-3957000,-17000,-17000,2005000,2005000,1656000,-2318000,-2318000,-2318000,-4063000,1975000,-0.65819,-0.36947,2.5427,0.78148,0.16194,-0.1163,-0.1163,0.17669,-0.51083,2.22668,2.14029
"11","2018_Q4",1.7984126984127,"Down",-3022000,-1496000,-1312000,-1526000,-3022000,-52000,-50000,-3074000,-2971000,-2971000,-2971000,-2971000,-2971000,11651000,10821000,830000,245000,245000,11896000,722000,287000,1009000,12905000,1238000,194000,2110000,2110000,4619000,5382000,74343000,-66820000,7523000,7523000,12905000,-2971000,110000,270000,108000,-2483000,-9000,-9000,3594000,3594000,3019000,527000,527000,527000,-2912000,2034000,-0.39492,-0.23022,2.57545,0.71541,0.15761,-0.07849,-0.07849,0.19876,-0.31087,3.30254,3.18233
"12","2019_Q1",3.22409836065574,"Up",-4047000,-2843000,-2573000,-1204000,-4047000,46000,-49000,-4001000,-4499000,-4499000,-4499000,-4499000,-4499000,8462000,8034000,428000,180000,180000,8642000,614000,262000,876000,9518000,2275000,166000,2486000,2486000,5561000,6095000,74742000,-71319000,3423000,3423000,9518000,-4499000,121000,825000,1097000,-2456000,0,-2.91038304567337e-11,0,0,-331000,-2787000,-2787000,-2787000,-3926000,1147000,-1.31434,-0.47268,1.55404,1.7806,0.12051,-0.11886,-0.11886,0.0904400000000001,-0.94576,1.86322,1.80751
