"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.0998412698413,"Up",13749000,-5829000,7920000,-10057000,-8603000,-6361000,-2242000,-1454000,-2137000,166000,166000,-1971000,-1971000,-47000,-2018000,-2018000,-2018000,-2018000,96252000,22519000,73733000,3488000,3488000,6953000,3368000,3190000,110061000,796000,878000,97000,8827000,118888000,9226000,1898000,7328000,7668000,6270000,16894000,2323000,1594000,729000,2323000,19217000,86163000,15236000,99671000,99671000,118888000,-2018000,194000,677000,-1545000,-2692000,-95000,2403000,2308000,74000,74000,74000,-310000,-310000,-310000,-1943000,0,-3536000,0.57604,-0.15543,-0.14677,-0.02025,-0.01697,1.75223,6.5148,0.1928,0,-0.14904,-0.15197,1.01544,7.36123,-0.26115,2,-0.01979,-0.03467,49.53783,45.04071
"2","2010_Q3",7.5821875,"Down",12217000,-5335000,6882000,-10702000,-9196000,-6452000,-2744000,-1506000,-3820000,141000,141000,-3679000,-3679000,-82000,-3761000,-3761000,-3761000,-3761000,92014000,31697000,60317000,3824000,3824000,6955000,3205000,3020000,105998000,708000,830000,97000,8653000,114651000,7417000,1495000,5922000,7201000,5898000,14618000,2105000,1373000,732000,2105000,16723000,88203000,11475000,97928000,97928000,114651000,-3761000,199000,1838000,-2204000,-3928000,-63000,12890000,12827000,279000,279000,279000,9178000,9178000,9178000,-3621000,0,-5806000,0.56331,-0.31268,-0.30785,-0.03841,-0.0328,1.54374,7.2512,0.17077,0,-0.27777,-0.27835,0.90229,7.2325,-0.4288,3,-0.0376,-0.05804,25.41121,24.08743
"3","2010_Q4",7.57359375,"Down",12092000,-5661000,6431000,-10022000,-8151000,-5799000,-2352000,-1871000,-3591000,132000,132000,-3459000,-3459000,0,-3459000,-3459000,-3459000,-3459000,90857000,21703000,69154000,3024000,3024000,7144000,3059000,2855000,104084000,624000,782000,97000,8089000,112173000,7522000,1701000,5821000,7261000,5757000,14783000,1868000,1302000,566000,1868000,16651000,89310000,8016000,95522000,95522000,112173000,-3459000,167000,1178000,1103000,-1011000,-35000,-8975000,-9010000,27000,27000,27000,-9994000,-9994000,-9994000,-3424000,0,-2356000,0.53184,-0.29697,-0.28606,-0.03621,-0.03084,0.68112,7.04079,0.17432,0,-0.25547,-0.25599,0.89306,7.0548,-0.174,4,-0.03552,-0.02419,26.53534,25.30131
"4","2011_Q1",8.88516129032258,"Up",15216000,-6233000,8983000,-10534000,-8361000,-6123000,-2238000,-2173000,-1551000,144000,144000,-1407000,-1407000,127000,-1280000,-1280000,-1280000,-1280000,90003000,12519000,77484000,4208000,4208000,6448000,2803000,2740000,103462000,597000,962000,325000,8343000,111805000,7490000,1296000,6194000,7134000,5633000,14624000,1764000,1287000,477000,1764000,16388000,90437000,6736000,95417000,95417000,111805000,-1280000,157000,880000,-185000,-428000,-82000,-8820000,-8902000,138000,138000,146000,-9184000,-9184000,-9184000,-1394000,0,-1788000,0.59037,-0.10193,-0.08412,-0.01341,-0.01145,1.39688,7.07481,0.17175,1.46936793852786e-39,-0.09395,-0.09395,1.11685,7.0036,-0.13124,3,-0.01317,-0.0184,64.56456,58.02901
"5","2011_Q2",8.54031746031746,"Down",11621000,-5224000,6397000,-10404000,-8274000,-5946000,-2328000,-2130000,-4007000,184000,184000,-3823000,-3823000,-32000,-3855000,-3855000,-3855000,-3855000,89098000,13164000,75934000,3334000,3334000,7268000,1679000,1665000,101379000,668000,910000,321000,8070000,109449000,7406000,1545000,5861000,7149000,5671000,14555000,1524000,1045000,479000,1524000,16079000,92065000,2881000,93370000,93370000,109449000,-3855000,157000,930000,1263000,-1505000,-180000,1588000,1408000,742000,742000,742000,645000,645000,645000,-3850000,0,-2735000,0.55047,-0.34481,-0.33173,-0.04129,-0.03522,0.70947,6.96524,0.17221,0,-0.28207,-0.28207,0.8503,6.83178,-0.20012,2,-0.04062,-0.02882,23.14234,22.23559
"6","2011_Q3",7.9775,"Down",14895000,-6476000,8419000,-11282000,-8936000,-6348000,-2588000,-2346000,-2863000,199000,199000,-2664000,-2664000,208000,-2456000,-2456000,-2456000,-2456000,91040000,17483000,73557000,3279000,3279000,8301000,2062000,2042000,104682000,771000,869000,328000,5548000,110230000,9089000,2180000,6909000,6929000,5474000,16018000,1392000,898000,494000,1392000,17410000,93529000,425000,92820000,92820000,110230000,-2456000,162000,1246000,281000,-767000,-217000,5164000,4947000,123000,123000,139000,4319000,4319000,4319000,-2701000,-1.57772181044202e-30,-2845000,0.56522,-0.19221,-0.16489,-0.02646,-0.02228,1.15839,6.53527,0.18757,1.17549435082229e-38,-0.17842,-0.17842,1.08209,6.74319,-0.20668,4,-0.02607,-0.0302,33.70603,31.79881
"7","2011_Q4",7.31253968253968,"Down",15232000,-6772000,8460000,-11088000,-8736000,-6426000,-2310000,-2352000,-2628000,91000,91000,-2537000,-2537000,-326000,-2863000,-2863000,-2863000,-2863000,88376000,13874000,74502000,4085000,4085000,9659000,1858000,1841000,103978000,643000,1331000,345000,4988000,108966000,9490000,2151000,7339000,6879000,5447000,16369000,1264000,775000,489000,1264000,17633000,94608000,-2438000,91333000,91333000,108966000,-2863000,164000,1164000,-1946000,-3481000,12000,-325000,-313000,180000,180000,185000,-3609000,-3609000,-3609000,-2464000,0,-4072000,0.55541,-0.17253,-0.18796,-0.03135,-0.02627,1.42228,6.35213,0.19306,0,-0.20652,-0.20652,1.09875,6.58826,-0.29373,3,-0.03092,-0.04398,35.86688,33.62861
"8","2012_Q1",8.61629032258065,"Up",18542000,-7506000,11036000,-11970000,-9657000,-6779000,-2878000,-2313000,-934000,140000,140000,-794000,-794000,-93000.0000000001,-887000,-887000,-887000,-887000,88686000,14020000,74666000,5193000,5193000,10729000,1487000,1432000,106095000,853000,1378000,446000,5258000,111353000,11835000,2573000,9262000,6633000,5185000,18468000,1318000,840000,478000,1318000,19786000,95733000,-3325000,91567000,91567000,111353000,-887000,154000,681000,637000,585000,-330000,-425000,-755000,315000,315000,316000,146000,146000,146000,-780000,0,-380000,0.59519,-0.05037,-0.04784,-0.00969,-0.00797,0.42841,5.7448,0.21608,1.88079096131566e-37,-0.06366,-0.06366,1.3308,6.57195,-0.02727,5,-0.00955,-0.00409000000000001,113.7,94.95289
"9","2012_Q2",7.72714285714286,"Down",15727000,-7845000,7882000,-13148000,-10932000,-7437000,-3495000,-2216000,-5266000,96000,96000,-5170000,-5170000,-97000,-5267000,-5267000,-5267000,-5267000,78924000,12787000,66137000,4496000,4496000,13434000,1413000,1363000,98267000,1019000,5751000,450000,9698000,107965000,11610000,2674000,8936000,7220000,5770000,18830000,1386000,917000,469000,1386000,20216000,97057000,-8592000,87749000,87749000,107965000,-5267000,343000,752000,-701000,-4873000,-277000,8422000,3054000,586000,586000,586000,-1233000,-1233000,-1233000,-4923000,0,-5804000,0.50118,-0.33484,-0.3349,-0.06002,-0.04878,1.10196,5.21864,0.23038,0,-0.37729,-0.37729,1.12658,6.28574,-0.41576,2,-0.05909,-0.06511,16.03169,14.98747
"10","2012_Q3",7.12015873015873,"Down",19591000,-9274000,10317000,-11838000,-9966000,-7112000,-2854000,-1872000,-1521000,144000,144000,-1377000,-1377000,-89000,-1466000,-1466000,-1466000,-1466000,80582000,17788000,62794000,6203000,6203000,12722000,1495000,1443000,101002000,946000,5527000,463000,7313000,108315000,11581000,2199000,9382000,7685000,6285000,19266000,1374000,905000,469000,1374000,20640000,98058000,-10058000,87675000,87675000,108315000,-1466000,425000,773000,-583000,-851000,-34000,5672000,5638000,214000,214000,214000,5001000,5001000,5001000,-1096000,-2.01948391736579e-28,-1624000,0.52662,-0.07764,-0.0748300000000001,-0.01672,-0.01353,1.10778,5.2425,0.23541,-3.00926553810506e-36,-0.10402,-0.10402,1.39002,6.22073,-0.11523,3,-0.01646,-0.01824,73.52372,52.97962
