"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",34.0522222222222,"Up",157400000,-98600000,58800000,-40200000,-26900000,-13300000,18600000,-3e+05,-5e+05,2e+05,18300000,18300000,-7100000,11200000,11200000,-1e+05,11100000,11100000,53900000,53900000,2.04e+08,117700000,6200000,375600000,122100000,147400000,-227428016.186303,74700000,49600000,22700000,269500000,645100000,64600000,39700000,24900000,11500000,11500000,76100000,5e+06,5e+06,5e+06,81100000,553700000,553700000,10300000,5.64e+08,645100000,11200000,4400000,7600000,-4e+06,19200000,-5e+06,-4300000,1800000,1800000,16700000,16700000,7e+05,17400000,2.3e+07,0,21100000,0.37357,0.11817,0.07052,0.01968,0.01721,1.9009,4.93561,0.14379,0,0.29679,0.29443,4.20856,14.80481,0.56417,0.01951,-2.34348,-2.89785
"2","2017_Q3",31.2706349206349,"Down",154800000,-97200000,57600000,-34300000,-19900000,-14400000,23300000,-9e+05,-1e+06,100000.000000002,22400000,22400000,-7400000,1.5e+07,1.5e+07,0,1.5e+07,1.5e+07,79600000,79600000,212100000,132800000,12100000,424500000,119100000,149200000,1.8e+07,74700000,50100000,6400000,268300000,692800000,120700000,46400000,74300000,10100000,10100000,145800000,5900000.00000001,2200000,193200000,3.39e+08,333900000,343500000,10300000,353800000,692800000,1.5e+07,6700000,3100000,-1.1e+07,13800000,-1700000,-202400000,11500000,214300000,25700000,25700000,0,25700000,3e+07,202300000,24700000,0.37209,0.15052,0.0969,0.0424,0.02165,1.64667,2.91152,0.95817,0.292,0.39894,0.39578,4.11702,9.13564,0.65691,0.02669,4.09,5.26609
"3","2017_Q4",35.9504761904762,"Up",170200000,-110800000,59400000,-44200000,-26500000,-17700000,15200000,7e+05,-4100000,4800000,15900000,15900000,-5100000,10800000,10800000,-1e+05,10700000,10700000,89300000,89300000,256300000,160700000,27600000,506300000,138700000,401500000,95500000,243300000,5.2e+07,10700000,540200000,1046500000,123300000,62200000,61100000,1e+07,1e+07,153300000,45100000,8400000,523800000,677100000,338600000,359100000,10300000,369400000,1046500000,10800000,5700000,1400000,8900000,26800000,-9e+05,-3.04e+08,-23100000,286900000,9700000,9700000,0,9700000,20900000,498700000,3.4e+07,0.349,0.08931,0.06287,0.02897,0.01022,3.17757,3.30267,1.83297,0.47654,0.28533,0.28084,4.53867,9.576,0.90667,0.01172,19.58852,26.93421
"4","2018_Q1",38.13,"Up",215700000,-1.38e+08,77700000,-51100000,-29200000,-21900000,26600000,-8400000,-6500000,-1900000,18200000,18200000,-3200000,1.5e+07,1.5e+07,-2e+05,14800000,14800000,83300000,83300000,234500000,177500000,13900000,495300000,148300000,396500000,91300000,241900000,52300000,1.1e+07,544800000,1040100000,121300000,58900000,62400000,10500000,10500000,151800000,34200000,4700000,498100000,649900000,343100000,3.79e+08,11200000,390200000,1040100000,1.5e+07,10600000,-10300000,1e+05,15400000,-12600000,-8400000,3399999.99999999,-12600000,-5600000,-5600000,2e+05,-5400000,37200000,483900000,27900000,0.36022,0.12332,0.06861,0.03793,0.01423,1.88514,3.26285,1.66556,0.46524,0.3905,0.38642,5.69129,10,0.73615,0.01629,10.76882,15.06015
"5","2018_Q2",36.9671875,"Down",176200000,-114700000,61500000,-47900000,-28200000,-19700000,13600000,-6500000,-5400000,-1100000,7100000,7100000,4300000,11400000,11400000,-1e+05,11300000,11300000,94100000,94100000,245300000,144500000,14500000,483900000,144100000,392100000,87100000,241900000,50300000,12800000,536200000,1020100000,118800000,58300000,60500000,1e+07,1e+07,148800000,27900000,7800000,462400000,611200000,348500000,397500000,11400000,408900000,1020100000,11400000,9100000,-6500000,26100000,40100000,-2600000,-2600000,8596099.63503484,-26800000,10700000,10700000,1e+05,10800000,22700000,454500000,41900000,0.34904,0.07719,0.06413,0.02764,0.01108,3.70796,3.25202,1.49474,0.44554,0.29973,0.29581,4.67374,10.54377,1.11141,0.01268,15.87665,26.5
"6","2018_Q3",32.9049206349206,"Down",201200000,-131100000,70100000,-5.3e+07,-30900000,-22100000,17100000,-1400000,-5600000,4200000,15700000,15700000,-3200000,12500000,12500000,-2e+05,12300000,12300000,55400000,55400000,245300000,1.45e+08,15800000,445700000,146300000,393900000,82900000,242200000,51700000,17100000,540200000,985900000,1.07e+08,53500000,53500000,1e+07,1e+07,1.37e+08,27500000,7900000,424600000,561600000,349200000,412600000,11700000,424300000,985900000,12500000,9800000,-1900000,-1.5e+07,5400000.00000001,-4300000,-4300000,-2300000.00000001,-39900000,-38800000,-38800000,99999.9999999999,-38700000,26900000,417100000,10800000,0.34841,0.08499,0.06113,0.02899,0.01248,0.87805,3.25328,1.32359,0.42307,0.32454,0.32031,5.30871,10.88654,0.28496,0.01416,13.4461,21.15205
"7","2018_Q4",25.3985714285714,"Down",191200000,-128100000,63100000,-55700000,-35200000,-20500000,7400000,-4700000,-5400000,7e+05,2700000,2700000,1300000,4e+06,4e+06,-1e+05,3900000,3900000,52800000,52800000,2.44e+08,147200000,15500000,4.44e+08,146100000,386700000,75900000,242200000,52600000,1.6e+07,532800000,976800000,107600000,54900000,52700000,10600000,10600000,140700000,24700000,7800000,401800000,542500000,355100000,423200000,11100000,434300000,976800000,4e+06,9600000,2800000,4900000,21300000,-8400000,-8400000,0,-14800000,-1900000,-1900000,-7e+05,-2600000,1.7e+07,399600000,12200000,0.33002,0.0387,0.0204,0.00898,0.00399,3.12821,3.15565,1.24914,0.40909,0.10317,0.10183,5.0582,11.19577,0.32275,0.00454,20.4,46.86486
"8","2019_Q1",30.2214754098361,"Up",204800000,-145600000,59200000,-49800000,-29100000,-20700000,9400000,-6200000,-5100000,-1100000,3200000,2e+05,199999.999999999,4e+05,4e+05,-4e+05,0,0,51900000,51900000,235100000,171100000,17100000,458100000,144900000,384900000,73800000,243600000,5.1e+07,16500000,529800000,987900000,113800000,66300000,47500000,13200000,13200000,1.52e+08,31700000,8500000,396500000,548500000,3.58e+08,426200000,13200000,439400000,987900000,4e+05,13700000,11300000,-6900000,18500000,-5100000,-9900000,8e+05,-8900000,-3e+05,-3e+05,1.16415321826935e-10,-3e+05,23100000,389800000,10900000,0.28906,0.0459,3.46944695195361e-18,0,0,6.86348316039505,3.01382,1.24829,0.39457,0,0,5.36126,11.15707,0.28534,-8.67361737988404e-19,14.62771,35.94681
"9","2019_Q2",30.5104761904762,"Up",185700000,-125700000,6e+07,-49600000,-30800000,-18800000,10400000,-6300000,-5100000,-1200000,4100000,4100000,-1100000,3e+06,3e+06,-332757.291665779,3e+06,3e+06,55100000,55100000,256700000,153900000,20500000,465700000,138300000,396900000,70100000,243600000,52600000,30600000,535200000,1000900000,1.24e+08,65700000,58300000,1.4e+07,1.4e+07,165500000,47400000,2.8e+07,395300000,560800000,362500000,427300000,12800000,440100000,1000900000,3e+06,13500000,0,3500000,2e+07,-3400000,-3400000,-1613094.33011924,-13100000,3500000,3500000,-4e+05,3100000,23900000,375400000,25100000,0.3231,0.056,0.01616,0.00682,0.003,8.36667,2.8139,1.27426,0.37506,0.07874,0.07833,4.87402,11.21522,0.65879,0.00348,13.40167,30.79808
"10","2019_Q3",28.93,"Down",195800000,-131400000,64400000,-49100000,-30300000,-18800000,15300000,-6700000,-5400000,-1300000,8600000,7800000,-1900000,5900000,5900000,-1e+05,5800000,5800000,3.1e+07,3.1e+07,261200000,145100000,20600000,437300000,137100000,391200000,65800000,243600000,5.2e+07,29800000,528300000,965600000,1.14e+08,62300000,51700000,12900000,12900000,156300000,46600000,27600000,363300000,519600000,363500000,433300000,12700000,4.46e+08,965600000,5900000,7900000,6100000,-7e+06,12900000,-4200000,-4200000,-2600000,-32500000,-23800000,-23800000,-2e+05,-2.4e+07,23200000,346100000,13900000,0.32891,0.07814,0.02962,0.013,0.00601,2.39655,2.79782,1.16502,0.35843,0.15223,0.15065,5.13911,11.3727,0.36483,0.00692,13.5819,20.59477
