"","YQ","p","d","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",5.06765625,"Up",-2261000,-642000,-642000,-1453000,-2261000,-2258000,-2258000,-2258000,-2258000,-2258000,-2258000,20709000,20214000,337000,337000,21046000,344000,9667000,6876000,2791000,10011000,31057000,590000,333000,257000,590000,590000,37497000,-7030000,30467000,30467000,31057000,-2258000,190000,196000,-417000,-2289000,-22000,-517000,18109000,18109000,18109000,-2071000,0,-0.07411,-0.07271,35.67119,0.01937,0,-0.23062,-0.23062,3.11174,-0.07411,9.99952,9.15922
"2","2016_Q4",5.92095238095238,"Up",-2799000,-893000,-893000,-1739000,-2799000,-2767000,-2767000,-2767000,-2767000,-2767000,-2767000,18713000,4628000,294000,294000,19007000,323000,9500000,6709000,2791000,9823000,28830000,967000,446000,521000,967000,967000,37668000,-9797000,27863000,27863000,28830000,-2767000,191000,241000,353000,-1982000,-3000,-13604000,-15586000,-15586000,-15586000,-2608000,0,-0.09931,-0.09598,19.65564,0.03471,0,-0.20728,-0.20728,2.08727,-0.09931,7.17523,6.6856
"3","2017_Q1",13.6122580645161,"Up",-2842000,-1352000,-1352000,-1324000,-2842000,-2809000,-2809000,-2809000,-2809000,-2809000,-2809000,16395000,2089000,268000,268000,16663000,317000,9334000,6543000,2791000,9651000,26314000,1016000,265000,751000,1016000,1016000,37911000,-12606000,25298000,25298000,26314000,-2809000,190000,244000,57000,-2318000,0,-221000,-2539000,-2539000,-2539000,-2652000,0,-0.11104,-0.10675,16.40059,0.04016,0,-0.21071,-0.21071,1.89768,-0.11104,6.18213,5.76882
"4","2017_Q2",27.4919047619048,"Up",-3237000,-1344000,-1344000,-1727000,-3237000,-3198000,-3198000,-3198000,-3198000,-3198000,-3198000,18860000,2751000,253000,253000,19113000,293000,9168000,6377000,2791000,9461000,28574000,1242000,782000,460000,1242000,1242000,43145000,-15804000,27332000,27332000,28574000,-3198000,190000,268000,241000,-2499000,-1879005.91940996,-1810000,662000,662000,662000,-3047000,3.46944695195361e-18,-0.11701,-0.11192,15.38889,0.04544,-5.16987882845642e-26,-0.23169,-0.23169,1.98015,-0.11701,6.18969,5.82638
"5","2017_Q3",22.7134920634921,"Down",-6221000,-3924000,-3924000,-2130000,-6221000,-6180000,-6180000,-6180000,-6180000,-6180000,-6180000,15399000,1990000,717000,717000,16116000,2730000,9102000,6210000,2791000,11832000,27948000,1669000,851000,818000,1972000,3788000,46150000,-21984000,24160000,24160000,27948000,-6180000,192000,2799000,1981000,-1208000,-2464000,232000,-761000,-761000,-761000,-6029000,0,-0.25579,-0.22112,8.17241,0.15679,0,-0.43414,-0.43414,1.69723,-0.23791,2.55415,2.47533
"6","2017_Q4",23.5998412698413,"Up",-7525000,-4434000,-4434000,-2925000,-7525000,-7486000,-7486000,-7486000,-7486000,-7486000,-7486000,42041000,32423000,512000,512000,42553000,2635000,8936000,6044000,2791000,11571000,54124000,2082000,914000,1168000,2474000,4189000,79407000,-29470000,49935000,49935000,54124000,-7486000,313000,5479000,-1723000,-3417000,57000,3842000,30433000,30433000,30433000,-7212000,5.55111512312578e-17,-0.14991,-0.13831,17.20008,0.08389,-8.27180612553028e-25,-0.5204,-0.5204,3.47132,-0.14494,5.82931,5.58684
"7","2018_Q1",18.9854098360656,"Down",-8831000,-5801000,-5801000,-2864000,-8831000,-8703000,-8703000,-8703000,-8703000,-8703000,-8703000,38069000,3386000,412000,412000,38481000,2570000,8770000,5878000,2791000,11340000,49821000,1816000,782000,1034000,2213000,3826000,84219000,-38173000,45995000,45995000,49821000,-8703000,306000,4525000,-91000,-3963000,-144000,-25262000,-29037000,-29037000,-29037000,-8525000,0,-0.18922,-0.17469,17.38861,0.08318,0,-0.5245,-0.5245,2.77195,-0.18281,4.46557,4.31084
"8","2018_Q2",16.9275,"Down",-8724000,-5383000,-5383000,-3175000,-8724000,-8668000,-8668000,-8668000,-8668000,-8668000,-8668000,33375000,10667000,368000,368000,33743000,2451000,8604000,5712000,2791000,11055000,44798000,1790000,944000,846000,2191000,3703000,87939000,-46841000,41095000,41095000,44798000,-8668000,319000,3410000,-79000,-5018000,-34000,11999000,7281000.00000001,7281000.00000001,7281000.00000001,-8405000,0,-0.21093,-0.19349,15.40073,0.09011,1.32348898008484e-23,-0.51467,-0.51467,2.44003,-0.20344,3.97085,3.82565
"9","2018_Q3",14.2074603174603,"Down",-9300000,-5172000,-5172000,-3961000,-9300000,-9163000,-9163000,-9163000,-9163000,-9163000,-9163000,27499000,6794000,1161000,1161000,28660000,2432000,8437000,5545000,2791000,10869000,39529000,2666000,1502000,1164000,3072000,4482000,91051000,-56004000,35047000,35047000,39529000,-9163000,323000,3134000,-14000,-5720000,-137000,1910000,-3873000,-3873000,-3873000,-8977000,0,-0.26145,-0.2318,9.32943,0.12789,0,-0.54283,-0.54283,2.07624,-0.25134,3.06327,2.95688
"10","2018_Q4",12.0930158730159,"Down",-10879000,-5675000,-5675000,-5038000,-10879000,-10761000,-10761000,-10761000,-10761000,-10761000,-10761000,21021000,6331000,1095000,1095000,22116000,2339000,8271000,5379000,2791000,10610000,32726000,2938000,1281000,1657000,3348000,4652000,94842000,-66765000,28074000,28074000,32726000,-10761000,331000,3344000,236000,-6850000,-72000,5989000,-463000,-463000,-463000,-10548000,-1.4210854715202e-14,-0.38331,-0.32882,6.60573,0.1657,0,-0.63573,-0.63573,1.65853,-0.36629,1.99289,1.93225
