"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",30.8485714285714,"Down",557100000,-184200000,372900000,-300700000,-300700000,72200000,-7600000,-7e+06,-7400000,4e+05,-6e+05,64600000,-1600000,6.3e+07,-15900000,47100000,47100000,47100000,47100000,600199011.268528,600199011.268528,199142194.668471,172660902.3603,26481292.3081711,62110061.6142498,80480302.2464024,-7123834.47218893,941931569.797651,244276141.855755,33781311.0216554,900304050.59071,266719712.237131,448128500.833748,19611691.4418627,1178361503.46812,2120293073.26577,678275513.566349,242316131.906801,435959381.659547,-8581261.71408695,669694251.852262,404288055.620997,387401802.555026,387401802.555026,791689858.176023,1461384110.02828,97056420.4986311,-86111176.0651674,998807007.52756,-350843288.723536,658908963.237487,658908963.237487,2120293073.26577,47100000,47100000,12600000,7400000,-52700000,14400000,-8500000,-8500000,8e+06,-14600000,-21600000,-15700000,-15700000,-1600000,-17300000,84800000,0,39500000,0.66936,0.1296,0.08454,0.377382139936863,0.14049417840631,0.83864,1.25384413029223,2.14837210017888,0.186063385318767,0.7536,0.73709,8.9136,10.3655044687486,0.632,0.198952875965556,0.77454652704524,-10.5030726259352,-13.6409612392958
"2","2010_Q3",28.70078125,"Down",565100000,-181600000,383500000,-301400000,-301400000,82100000,-6400000,-6400000,-7100000,7e+05,0,75700000,-2e+06,73700000,-15800000,57900000,57900000,57900000,57900000,121300000,121300000,211500000,174900000,36600000,286300000,96300000,27900000,715400000,240200000,21300000,834100000,276200000,354200000,26700000,1095600000,1.811e+09,440600000,120300000,320300000,1700000,442300000,422400000,262400000,262400000,684800000,1127100000,98600000,-26600000,8.94e+08,-282100000,683900000,683900000,1.811e+09,57900000,57900000,12200000,10100000,-9900000,70300000,-10200000,-10200000,-8900000,-2900000,-24200000,35900000,35900000,-9700000,26200000,94300000,424100000,9e+07,0.67864,0.14528,0.10246,0.08466,0.03197,1.5544,1.61745,1.64805,0.23418,0.92492,0.9061,9.02716,10.92492,1.4377,0.05371,0.06567,3.21103,3.68819
"3","2010_Q4",32.93015625,"Up",523200000,-176800000,346400000,-284600000,-284600000,61800000,-8500000,-6500000,-7100000,6e+05,-2e+06,53300000,-2e+05,53100000,-13200000,39900000,39900000,39900000,39900000,122800000,122800000,216900000,176500000,40400000,313700000,98100000,27700000,751500000,247300000,19900000,848800000,280600000,359200000,29300000,1.116e+09,1867500000,4.4e+08,123400000,316600000,2300000,442300000,427200000,262900000,262900000,690100000,1132400000,102800000,-2.1e+07,912300000,-2.59e+08,735100000,735100000,1867500000,39900000,39900000,12200000,10900000,-44200000,18800000,-6400000,-6400000,-2e+05,-2e+05,-14800000,-2400000,-2400000,3900000,1500000,7.4e+07,429500000,36600000,0.66208,0.11812,0.07626,0.05428,0.02137,0.91729,1.69907,1.54047,0.22999,0.63738,0.62539,8.35783,11.74281,0.58466,0.03895,0.02564,4.14459,4.96278
"4","2011_Q1",37.0741935483871,"Up",6.55e+08,-223600000,431400000,-306400000,-306400000,1.25e+08,-7200000,-6900000,-7700000,8e+05,-3e+05,117800000,-7900000,109900000,-29200000,80700000,80700000,80700000,80700000,248700000,248700000,221300000,181900000,39400000,279100000,100100000,21600000,849200000,2.58e+08,22800000,885800000,284100000,391300000,3e+07,1166600000,2015800000,498500000,153100000,345400000,1900000,500400000,426800000,298800000,298800000,725600000,1.226e+09,108600000,-41500000,969200000,-246500000,789800000,789800000,2015800000,80700000,80700000,12700000,16300000,86300000,1.96e+08,-2.1e+07,-2.1e+07,-899999.999999998,-2.8e+07,-43300000,131700000,131700000,-5800000,125900000,137700000,428700000,232200000,0.65863,0.19084,0.12321,0.10218,0.04003,2.87732,1.69704,1.55229,0.21267,1.28708,1.26887,10.44657,12.59649,3.70335,0.06373,0.15303,1.30719,1.44
"5","2011_Q2",44.1134920634921,"Up",636400000,-214900000,421500000,-339400000,-339400000,82100000,-6700000,-6600000,-7500000,9e+05,-1e+05,75400000,-1400000,7.4e+07,-18200000,55800000,55800000,55800000,55800000,175800000,175800000,229700000,194800000,34900000,305500000,113400000,34600000,824400000,265200000,23900000,8.95e+08,291400000,386600000,31900000,1184100000,2008500000,461500000,124100000,337400000,2100000,463600000,427700000,2.87e+08,2.87e+08,714700000,1178300000,114800000,-63800000,990700000,-211500000,830200000,830200000,2008500000,55800000,55800000,12800000,4600000,-85900000,-12700000,-11100000,-11100000,-5e+05,-41100000,-54600000,-78400000,-78400000,5500000,-72900000,94900000,429800000,16100000,0.66232,0.12901,0.08768,0.06721,0.02778,0.28853,1.77826,1.4193,0.21399,0.89567,0.87874,10.21509,13.32584,0.25843,0.04835,0.01041,2.6765,3.09379
"6","2011_Q3",44.945,"Up",669900000,-219600000,450300000,-344200000,-344200000,106100000,-24600000,-24800000,-25600000,8e+05,2e+05,81500000,-4e+05,81100000,-1.6e+07,65100000,65100000,65100000,65100000,116100000,116100000,241600000,203100000,38500000,325900000,108100000,31700000,791700000,268400000,26200000,916500000,294400000,396100000,39800000,1211100000,2002800000,497300000,130800000,366500000,2300000,499600000,418200000,266200000,266200000,684400000,1.184e+09,118900000,-147200000,1033800000,-186700000,818800000,818800000,2002800000,65100000,65100000,1.3e+07,27800000,-43600000,62299999.9999999,-1.2e+07,-1.2e+07,-12500000,-75800000,-108200000,-57900000,-57900000,-1800000,-59700000,119100000,420500000,79500000,0.67219,0.15838,0.09718,0.07951,0.0325,1.2212,1.58467,1.44602,0.20996,1.05511,1.0317,10.85737,13.27066,1.28849,0.0556,0.05281,2.55584,2.86899
"7","2011_Q4",39.4246031746032,"Down",602600000,-201700000,400900000,-328700000,-328700000,72200000,-7900000,-7200000,-8e+06,8e+05,-7e+05,64300000,-38300000,2.6e+07,-15500000,10500000,10500000,10500000,10500000,110200000,110200000,259400000,187200000,72200000,329200000,104900000,29600000,803700000,265600000,24600000,8.28e+08,246500000,375300000,37600000,1118200000,1921900000,487900000,119100000,368800000,215700000,703600000,416700000,254100000,254100000,670800000,1374400000,122800000,-339800000,1025100000,-260600000,547500000,547500000,1921900000,10500000,10500000,12500000,46800000,-26700000,43100000,-2.3e+07,-2.3e+07,213100000,-205700000,-10700000,9400000,9400000,-15300000,-5900000,84700000,632400000,50500000,0.66528,0.11981,0.01742,0.01918,0.00546,4.80952,1.14227,2.51032,0.32905,0.17766,0.17241,10.19628,9.26396,0.85448,0.02022,0.03522,6.16529,7.23269
"8","2012_Q1",43.7290322580645,"Up",676100000,-226300000,449800000,-327700000,-327700000,122100000,-7800000,-7200000,-7900000,7e+05,-6e+05,114300000,-1e+05,114200000,-27300000,86900000,86900000,86900000,86900000,138200000,138200000,211200000,163700000,47500000,302500000,117500000,23300000,769400000,273100000,23200000,756900000,241400000,317600000,33600000,1053200000,1822600000,477700000,157200000,320500000,195700000,673400000,415200000,233200000,233200000,648400000,1321800000,127400000,-422800000,1091700000,-295500000,500800000,500800000,1822600000,86900000,86900000,11500000,9300000,74300000,1.82e+08,-22800000,-22800000,-20700000,-89900000,-127400000,31800000,31800000,-3800000,2.8e+07,133600000,610900000,212400000,0.66529,0.18059,0.12853,0.17352,0.04768,2.44419,1.14256,2.63938,0.33518,1.52724,1.4957,11.88225,8.80141,3.73286,0.07778,0.15793,3.53817,3.87142
"9","2012_Q2",41.1506349206349,"Down",639500000,-213100000,426400000,-339600000,-339600000,86800000,-8800000,-9100000,-9800000,7e+05,3e+05,7.8e+07,-7e+05,77300000,-1.9e+07,58300000,58300000,58300000,58300000,105700000,105700000,231600000,1.91e+08,40600000,3.31e+08,141800000,36600000,810100000,287600000,2.2e+07,781500000,2.51e+08,325200000,33900000,1091100000,1901200000,445900000,120500000,325400000,267700000,713600000,416300000,233800000,233800000,650100000,1363700000,132500000,-454400000,1115200000,-255800000,537500000,537500000,1901200000,58300000,58300000,12100000,6300000,-101500000,-24800000,-17800000,-17800000,67900000,-49900000,6e+06,-36600000,-36600000,4100000,-32500000,98900000,6.84e+08,-1400000,0.66677,0.13573,0.09116,0.10847,0.03066,-0.02401,1.13523,2.53712,0.35977,1.04293,1.02102,11.44007,9.61538,-0.02504,0.05202,-0.000960000000000016,5.84732,6.66244
"10","2012_Q3",39.2003174603175,"Down",638900000,-206700000,432200000,-328500000,-328500000,103700000,-8500000,-8100000,-8700000,6e+05,-4e+05,95200000,-70500000,24700000,-1.2e+07,12700000,12700000,12700000,12700000,9.8e+07,9.8e+07,230500000,176700000,53800000,321100000,130900000,33900000,780500000,276700000,23300000,675500000,185200000,317600000,34500000,975500000,1.756e+09,424600000,115600000,3.09e+08,227700000,652300000,414300000,228700000,228700000,6.43e+08,1295300000,137900000,-4.66e+08,1098900000,-310100000,460700000,460700000,1.756e+09,12700000,12700000,11900000,76600000,-25700000,75500000,-7100000,-7100000,-28800000,-21700000,-67500000,9e+05,9e+05,-8600000,-7699999.99999999,115600000,6.42e+08,94800000,0.67648,0.16231,0.01988,0.02757,0.00723,7.46457,1.19654,2.81159,0.3656,0.22883,0.22478,11.51171,8.3009,1.70811,0.02464,0.0712,4.70588,5.2459
