"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",17.63734375,"Up",11662000,9561000,12287000,-2726000,2101000,1514000,585000,-710000,10952000,-5118000,-5118000,5834000,5834000,5126000,-1129000,3997000,3997000,3997000,3997000,3883431.93879147,98315649.0602681,279717439.995399,565514510.294284,-8321326.98930587,573835837.28359,11084481.273938,11812318.9068455,6108376.10533706,12451800.2634776,988888007.838341,839217604.30026,700259153.939284,138958450.360976,10016183.5930808,849233787.893341,8654397.47062628,130293666.491981,706155.982392589,139654219.945,139654219.945,988888007.838341,3997000,566000,710000,61000,1090000,6424000,-109000,13332000,-2254000,19000,10988000,-17481000,-17481000,-69000,-69000,-69000,6400000,0,8510000,0.50026,0.34274,0.0252265814274732,0.00366233468542888,2.1291,6.16117163326256,5.03474301300057e-18,0.57648,0.57569,1.68199,20.1438175492336,1.22738,-0.0110813340150896,-0.0108026979830376,-0.905687125069912,-1.01702912541186
"2","2011_Q1",18.3774193548387,"Up",11814000,9662000,12265000,-2603000,2152000,1552000,613000,-1200000,10614000,-5166000,-5166000,5448000,5448000,4794000,-987000,3807000,3807000,3807000,3807000,9858000,69400000,334882000,568779000,-7664000,576443000,10470000,11543000,6016000,11290000,1022238000,884583000,753043000,131540000,8468000,893051000,8667000,123161000,-2641000,129187000,129187000,1022238000,3807000,559000,1200000,20165000,-20921000,4810000,-75000,-37246000,-9661000,21000,-46961000,42727000,39469000,-2682000,-2682000,-2682000,6007000,0,-14002000,0.46115,0.32224,0.02947,0.00372,-3.67796,6.91286,0,0.54908,0.54719,1.70391,18.63236,-2.01948,0.00691,-0.0137,-1.64109,-1.80947
"3","2011_Q2",17.0406349206349,"Down",12020000,10086000,12465000,-2379000,1934000,1403000,521000,-8e+05,11220000,-5364000,-5364000,5856000,5856000,5136000,-1112000,4024000,4024000,4024000,4024000,12578606.0204028,55296033.6465773,343030186.6682,576856913.235239,-7908891.00356471,584765804.238804,10229422.9086873,11272310.3643848,6102041.29822098,17925983.2455075,1033291497.38722,896184631.899913,764477365.353572,131707266.546341,7201772.13563974,903386404.035553,8671700.84312457,123577444.502673,-2344051.99413086,129905093.351667,129905093.351667,1033291497.38722,4024000,541000,8e+05,90000,825000,6280000,-105000,-6735000,1129000,25000,-5686000,1312000,1348000,1942000,1942000,1942000,6397000,0,8229000,0.48719,0.33478,0.0309053061908422,0.00387255510485704,2.04498,6.93064612224582,-1.67824767100019e-18,0.58035,0.57837,1.73354,18.7321399835888,1.1868,0.0108612780050299,-0.00517076733898748,-1.94533095831003,-2.12686779152938
"4","2011_Q3",16.2446875,"Down",12219000,10129000,12475000,-2346000,2090000,1534000,570000,-753000,11466000,-5284000,-5284000,6182000,6182000,5441000,-1225000,4216000,4216000,4216000,4216000,13113000,54768000,328928000,585078000,-8494000,593572000,10232000,11001000,6255000,25482000,1034857000,892187000,756146000,136041000,6362000,898549000,8672000,128129000,-492999.999999999,136308000,136308000,1034857000,4216000,529000,753000,41000.0000000019,-1230000,4309000,-71000,-252000,-5675000,13000,-5985000,6291999.99999999,2989000,1313000,1313000,1313000,6711000,-1.03397576569128e-25,6635000,0.50593,0.34504,0.03093,0.00407,1.57377,6.59205,0,0.6078,0.60689,1.76155,19.65083,0.95653,0.00729,0.00641,-1.95396,-2.12116
"5","2011_Q4",17.4460317460317,"Up",12424000,10295000,12577000,-2282000,2129000,1554000,578000,-643000,11781000,-5196000,-5196000,6585000,6585000,5894000,-1385000,4509000,4509000,4509000,4509000,12530000,69902000,320033000,587697000,-8719000,596416000,10328000,10730000,6359000,24543000,1042122000,894235000,753626000,140609000,6067000,900302000,8672000,132638000,510000,141820000,141820000,1042122000,4509000,511000,643000,14000,19000,5696000,-284000,10515000,-18584000,26000,-8327000,2048000,2048000,-583000,-583000,-583000,7096000,0,8216000,0.53002,0.36293,0.03179,0.00433,1.82213,6.3482,0,0.6499,0.64923,1.79072,20.44113,1.18421,0.00433,0.00788,-1.76578,-1.90281
"6","2012_Q1",18.8316129032258,"Up",12588000,10252000,12429000,-2177000,2336000,1610000,629000,-753000,11835000,-4570000,-4570000,7265000,7265000,6414000,-1525000,4889000,4889000,4889000,4889000,11897000,98355000,340214000,580402000,-8068000,588470000,10393000,10460000,6304000,9077000,1067102000,919333000,777170000,142163000,6470000,925803000,8675000,133945000,-1321000,141299000,141299000,1067102000,4889000,518000,753000,14101000,-17090000,3171000,-263000,-3135000,-21972000,47000,-25323000,25098000,21519000,-633000,-633000,-633000,7783000,0,-8045000,0.57714,0.38839,0.0346,0.00458,-1.64553,6.55208,-1.54074395550979e-33,0.70455,0.70305,1.81404,20.36237,-1.15935,0.00796,-0.00754,-1.52859,-1.63758
"7","2012_Q2",19.7493650793651,"Up",12149000,9997000,12114000,-2117000,2152000,1474000,625000,-672000,11477000,-5091000,-5091000,6386000,6386000,5766000,-1337000,4429000,4429000,4429000,4429000,12241000,101301000,358644000,576501000,-8063000,584564000,10563000,10189000,6175000,8228000,1083842000,931792000,786722000,145070000,7258000,939050000,8675000,138374000,-2257000,144792000,144792000,1083842000,4429000,519000,672000,-256000,2293000,7657000,-362000,-19715000,260000,45000,-19772000,12459000,12459000,344000,344000,344000,6905000,0,10173000,0.52564,0.36456,0.03059,0.00409,2.29691,6.48551,0,0.63819,0.63684,1.75058,20.86348,1.46586,0.00409,0.00939,-1.77277,-1.91685
"8","2012_Q3",21.3839682539683,"Up",12447000,10164000,12182000,-2018000,2283000,1532000,752000,-1104000,11343000,-4990000,-4990000,6353000,6353000,5612000,-1272000,4340000,4340000,4340000,4340000,13140000,105102000,357260000,578055000,-8168000,586223000,10618000,9918000,6273000,7902000,1088268000,935438000,788539000,146899000,6143000,941581000,8675000,139036000,-1024000,146687000,146687000,1088268000,4340000,515000,1104000,-63000,-1537000,4359000,-244000,3890000,-7064000,-10000,-3428000,3646000,-32000,899000,899000,899000,6868000,-2.64697796016969e-23,6359000,0.5104,0.34868,0.02959,0.00399,1.46521,6.41898,-2.46519032881566e-32,0.62536,0.62379,1.79352,21.13653,0.91629,0.00737,0.00584,-1.91322,-2.06831
"9","2012_Q4",21.2459677419355,"Down",12409000,10301000,12237000,-1936000,2108000,1521000,606000,-778000,11631000,-5423000,-5423000,6208000,6208000,5543000,-1250000,4293000,4293000,4293000,4293000,12445000,67394000,382047000,583207000,-8254000,591461000,10491000,9648000,6291000,9449000,1080972000,924383000,777037000,147346000,6191000,930574000,8680000,143383000,-1665000,150398000,150398000,1080972000,4293000,517000,778000,-222000,-1145000,4221000,-61000,-26600000,32722000,19000,6080000,-11055000,-10996000,-695000,-695000,-695000,6725000,0,6769000,0.50028,0.34596,0.02854,0.00397,1.57675,6.18741,0,0.61843,0.61656,1.78759,21.6657,0.97511,0.00397,0.00626,-1.85056,-2.00467
"10","2013_Q1",23.5426666666667,"Up",12596000,10168000,11984000,-1816000,2428000,1588000,813000,-580000,12016000,-5321000,-5321000,6695000,6695000,6071000,-1386000,4685000,4685000,4685000,4685000,14783000,96597000,374001000,583813000,-8349000,592162000,10401000,9377000,6247000,9142000,1104361000,946766000,802514000,144252000,7486000,954252000,8685000,144162000,-2738000,150109000,150109000,1104361000,4685000,520000,580000,23241000,-22551000,6475000,-102000,7939000,-30478000,22000,-22619000,22383000,18482000,2338000,2338000,2338000,7215000,-4.2351647362715e-22,-14052000,0.53152,0.37194,0.03121,0.00424,-2.99936,6.35706,3.94430452610506e-31,0.6743,0.67269,1.81291,21.60482,-2.02247,0.00783,-0.01272,-2.04893,-2.20807
