"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","other_adjustments_2","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",18.64359375,"Up",148223000,-405911000,-257688000,-163626000,-14645000,-148981000,-421314000,-3210000,-3210000,-424524000,29579000,-394945000,-4449000,-399394000,-399394000,402344000,2950000,2950000,231231000,212097000,19134000,51863000,51863000,77754000,9001000,360848000,8778000,65587000,426435000,111253000,53002000,58251000,109432000,109432000,420685000,420685000,-38718000,2950000,3496000,42866000,-37116000,5750000,426435000,-399394000,-399394000,698000,550244000,547598000,-180549000,-29001000,2396000,396000,-103711000,86549000,57944000,57944000,57944000,-420616000,2e+08,-594320000,-1.73852,-2.84243,0.0199,0.51304,0.00692,-201.46441,0.85776,73.16261,0.469,0.04378,0.04378,2.19963,-0.47892,-8.81971,0.01434,-2.88855,0.07425,0.07413
"2","2013_Q3",21.40609375,"Up",161933000,-93101999.9999999,68831000,-20447000,-14376000,-6071000,48384000.0000001,-2891000,-2891000,45492999.9999999,7410000,52903000.0000001,-5873000,47030000,47030000,-41232000,5798000,5798000,295711000,273472000,22239000,53844000,53844000,72609000,8133000,422164000,8731000,68797000,490961000,120453000,50324000,70129000,108290000,108290000,428743000,428743000,-34568000,8748000,748000,50091000,12127000,62218000,490961000,47030000,47030000,765000,22876000,19476000,4840000,75511000,-618000,-3618000,-13592000,-13592000,58301000,58301000,58301000,49149000,2e+08,59244000.0000001,0.42506,0.29879,0.0358,0.0931899999999999,0.01181,10.21801,0.98466,6.89098,0.40736,0.08604,0.08604,2.40309,-0.37207,0.87918,0.02211,0.22593,-1.94736,-1.97815
"3","2013_Q4",25.0796875,"Up",178092000,-102911000,75181000,-21821000,-15748000,-6073000,53360000,-2885000,-2885000,50475000,12439000,62914000,-6824000,56090000,56090000,-50113000,5977000,5977000,317996000,294347000,23649000,74585000,74585000,75374000,10620000,467955000,8491000,73832000,541787000,141295000,42930000,98365000,104552000,104552000,445847000,445847000,-60015000,8601000,826000,24559000,71381000,95940000,541787000,56090000,56090000,821000,18241000,17032000,-3904000,71248000,-594000,-594000,-46007000,-52131000,18523000,18523000,18523000,54181000,2e+08,56507000,0.42215,0.29962,0.03356,0.0623,0.01103,9.45407,1.04959,4.64714,0.36915,0.08673,0.08673,2.58409,-0.73403,0.81991,0.04089,0.19094,-2.17781,-2.21132
"4","2014_Q1",27.6631147540984,"Up",197593000,-111399000,86194000,-27828000,-21016000,-6812000,58366000,2255000,-2883000,60621000,10765000,71386000,-9244000,62142000,62142000,-52060000,10082000,10082000,238799000,230995000,7804000,71538000,71538000,193877000,4785000,504214000,8760000,77184000,581398000,45434000,18828000,26606000,196168000,196168000,441602000,449087000,6640000.00000001,1401000,378000,43779000,88532000,132311000,581398000,62142000,62142000,941000,15895000,13766000,-84570000,-5592000,-1225000,15707000,-65707000,-74203000,-64088000,-64088000,-64088000,59307000,2e+08,-17244000,0.43622,0.29538,0.05102,0.0762,0.01734,-1.71037,1.14178,3.39418,0.344,0.14344,0.14344,2.81128,0.11978,-0.24534,0.05468,-0.0507500000000001,-0.65421,-0.66475
"5","2014_Q2",25.174126984127,"Down",201792000,-109492000,92300000,-25148000,-17986000,-7162000,67152000,-3159000,-2883000,63993000,-598000,63395000,-11208000,52187000,52187000,-43551000,8636000,8636000,256545000,238634000,17911000,62219000,62219000,487838000,13049000,806602000,9998000,70526000,877128000,114121000,49541000,64580000,443429000,443429000,757550000,757550000,65689000,-24419000,582000,55616000,63962000,119578000,877128000,52187000,52187000,693000,40319000,37779000,54023000,147222000,-110000,-10110000,-93802000,-140580000,-3468000,-3468000,-3468000,67845000,2e+08,132966000,0.4574,0.33278,0.0428,0.07222,0.00985,15.39671,1.06475,6.3352,0.22802,0.12151,0.12151,2.83931,0.58888,1.87089,0.1734,0.41607,-0.83344,-0.84204
"6","2014_Q3",23.97703125,"Down",208487000,-101461000,107026000,-26201000,-17950000,-8251000,80825000,-2897000,-2902000,77928000,-5355000,72573000,-8650000,63923000,63923000,-44663000,19260000,19260000,254958000,236693000,18265000,65034000,65034000,551224000,12802000,871216000,11545000,61358000,932574000,113582000,42450000,71132000,494661000,494661000,808243000,808243000,83501000,-5173000,804000,79659000,44672000,124331000,932574000,63923000,63923000,730000,28006000,27830000,-4765000,87894000,-1276000,-1276000,-75042000,-91413000,-4795000,-4795000,-4795000,81555000,2e+08,84164000,0.51335,0.38767,0.09238,0.15491,0.02065,4.36989,1.07791,6.50074,0.21446,0.26927,0.26927,2.91485,1.10634,1.17669,0.10986,0.2595,-0.67388,-0.67996
"7","2014_Q4",22.39015625,"Down",212406000,-103174000,109232000,-28216000,-19670000,-8546000,81016000,-2283000,-2905000,78733000,-273000,78460000,-15335000,63125000,63125000,-42686000,20439000,20439000,278357000,266575000,11782000,68249000,68249000,575930000,12562000,922536000,14001000,61429000,983965000,117786000,39856000,77930000,519808000,519808000,837594000,837594000,79070000,13878000,360000,93864000,52507000,146371000,983965000,63125000,63125000,870000,31799000,23652000,-4795000,90999000,-3492000,2903000,-51603000,-69503000,24399000,24399000,24399000,81886000,2e+08,88934000,0.51426,0.38142,0.09623,0.13964,0.02077,4.35119,1.10141,5.7224,0.20326,0.28026,0.28026,2.91256,1.27946,1.21948,0.11069,0.25676,-0.9569,-0.96718
"8","2015_Q1",21.7468852459016,"Down",206016000,-100839000,105177000,-27267000,-18969000,-8298000,77910000,-2834000,-2882000,75076000,2039000,77115000,-13636000,63479000,63479000,-42185000,21294000,21294000,188996000,182284000,6712000,69361000,69361000,569213000,5892000,827570000,16594000,21882000,849452000,49191000,21934000,27257000,492762000,492762000,741953000,741953000,93696000,16417000,206000,110876000,-3377000,107499000,849452000,63479000,63479000,957000,9289000,2583000,-48273000,25452000,-4737000,708000,-53096000,-71851000,-45691000,-45691000,-45691000,78867000,2e+08,39493000,0.51053,0.37817,0.10336,0.19809,0.02507,1.85465,1.11539,6.90195,0.23545,0.2795,0.2795,2.70412,1.44802,0.51838,0.13024,0.12843,0.13953,0.14124
"9","2015_Q2",21.5103174603175,"Down",203575000,-108841000,94734000,-26905000,-18680000,-8225000,67829000,-2874000,-2879000,64955000,-6427000,58528000,-5082000,53446000,53446000,-33932000,19514000,19514000,222139000,215109000,7030000,66411000,66411000,700952000,13182000,989502000,15888000,15888000,1005390000,99507000,34196000,65311000,596421000,596421000,895928000,895928000,99569000,9558000,115000,109817000,-355000,109462000,1005390000,53446000,53446000,1039000,24802000,25378000,49422000,128709000,-1389000,-1389000,-41422000,-94495000,32825000,32825000,32825000,68868000,2e+08,121983000,0.46535,0.33319,0.09586,0.17827,0.01941,6.25105,1.10444,8.18483,0.19893,0.26585,0.26585,2.77345,1.48828,1.66186,0.23456,0.39418,-0.32147,-0.32639
"10","2015_Q3",20.53796875,"Down",211573000,-104358000,107215000,-28902000,-19507000,-9395000,78313000,-2558000,-2978000,75755000,9.31322574615479e-10,75755000,-16497000,59258000,59258000,-35522000,23736000,23736000,228593000,215464000,13129000,76725000,76725000,697075000,13722000,1002393000,15897000,15897000,1018290000,106726000,32966000,73760000,599535000,599535000,906261000,906261000,101609000,15840000,367000,118392000,-6363000,112029000,1018290000,59258000,59258000,1047000,27449000,19112000,-2152999.99999999,85601000,-1383000,-7168000,-54541000,-78078000,355000,355000,355000,79360000,2e+08,92321000,0.50675,0.37015,0.11219,0.21187,0.02331,3.88949,1.10608,8.08952,0.19641,0.32328,0.32328,2.88155,1.60461,1.25738,0.1515,0.29587,-0.36029,-0.36511
