"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",17.2452380952381,"Down",45827000,-44080000,1747000,-7830000,-7830000,-6083000,18000,18000,-6065000,-6065000,0,-6065000,-6065000,-6065000,-6065000,277677884.809433,126842550.51801,-86455902.9201536,-86455902.9201536,-18836787.6404172,7756161.85084376,7755983.73053444,180141356.099706,-18768185.8232859,5432584.65855305,5432540.06813559,-13335601.1647329,166805754.934973,-34725611.7512782,-17875879.2521234,-16849732.4991548,-34725540.7170246,7733851.95059997,7733851.45224445,7733968.32107796,-26991572.3959466,5240000.00042132,254301327.330352,193797327.33092,193797327.33092,166805754.934973,-6065000,685000,1888000,-3492000,-131000,3819000,-1183000,-1183000,-1183000,-5398000,0,-3641000,0.03812,-0.13274,-0.13235,3.01250415718794,2.16958750122415,0.60033,24.4042398368893,-0.991212479001665,1.73762186993404e-06,-0.72278,-0.72278,5.46129,23.0952371318594,-0.4339,3.00331999501543,3.85355344468212,219.787584546609,175.848900491822
"2","2011_Q3",11.79296875,"Down",36621000,-37244000,-623000,-7151000,-7151000,-7774000,18000,18000,-7756000,-7756000,0,-7756000,-7756000,-7756000,-7756000,148459942.404716,61542775.2590052,-28861451.4600768,-28861451.4600768,-4665393.82020859,5383080.92542188,5382991.86526722,120316178.049853,6343907.08835704,5678792.32927653,5678770.03406779,12022699.4176336,132338877.467487,-7806805.87563908,-5541939.62606169,-2264866.24957738,-7806770.35851228,7558425.97529998,7558425.72612222,7558484.16053898,-248286.1979733,5240000.00021066,193091163.665176,132587163.66546,132587163.66546,132338877.467487,-7756000,672000,2978000,-4106000,-175000,8801000,3184000,3184000,3184000,-7102000,0,-4299000,-0.01701,-0.21228,-0.21179,1.28948207859397,0.926858750612074,0.55428,13.7456699184446,-0.299486239500833,8.68810934967022e-07,-0.9243,-0.9243,4.36419,15.8006835659297,-0.51232,1.30062499750771,1.56316172234106,107.855527273305,86.3302352459112
"3","2011_Q4",6.27301587301587,"Down",31776000,-33494000,-1718000,-7039000,-7039000,-8757000,15000,15000,-8742000,-8742000,0,-8742000,-8742000,-8742000,-8742000,76105647.4682388,25136591.7530017,1054182.84664107,1054182.84664107,4130202.05993047,4058026.97514063,4057997.28842241,85348059.349951,19801969.0294523,5829597.44309218,5829590.01135593,25631566.4725445,110979625.822496,7680064.70812031,993020.124646103,6687044.5834742,7680076.54716257,7421475.3251,7421475.24204074,7421494.72017966,15101571.2673422,5240000.00007022,156382054.555059,95878054.5551533,95878054.5551533,110979625.822496,-8742000,663000,-3017000,-11096000,-222000,5744000,-6862000,-6862000,-6862000,-8094000,0,-11333000,-0.05407,-0.27559,-0.27511,0.338834026197989,0.241226250204025,1.29639,7.55384330614821,0.0997312534997224,2.89603644989007e-07,-1.0418,-1.0418,3.7868,11.4259745219766,-1.35057,0.359568332502571,0.355080574113687,42.9865124244349,34.6291284153037
"4","2012_Q1",6.65516129032258,"Up",48103000,-45707000,2396000,-6470000,-6470000,-4074000,10000,10000,-4064000,-4064000,0,-4064000,-4064000,-4064000,-4064000,44721000,9727000,11477000,11477000,8720000,3463000,3463000,68381000,24802000,5916000,5916000,30718000,99099000,14716000,3392000,11324000,14716000,7344000,7344000,7344000,22060000,5240000,137543000,77039000,77039000,99099000,-4064000,663000,-3480000,-6881000,-288000,13711000,5320000,5320000,5320000,-3411000,0,-7179000,0.04981,-0.08469,-0.08449,-0.05275,-0.04101,1.76649,4.64671,0.28635,0,-0.48431,-0.48431,5.73252,9.18088,-0.85553,-0.03027,-0.08508,13.11082,10.97717
"5","2012_Q2",5.14952380952381,"Down",50284000,-49240000,1044000,-7896000,-7896000,-6852000,7000,7000,-6845000,-6845000,0,-6845000,-6845000,-6845000,-6845000,38412000,7417000,10593000,10593000,10274000,3280000,3280000,62559000,24540000,5969000,5969000,30509000,93068000,16282000,3318000,12964000,16282000,7347000,7347000,7347000,23629000,5240000,129943000,69439000,69439000,93068000,-6845000,615000,1084000,-5146000,-353000,3591000,-2310000,-2310000,-2310000,-6237000,0,-5506000,0.02076,-0.13627,-0.13613,-0.09858,-0.07355,0.80438,3.84222,0.34028,0,-0.81573,-0.81573,5.99244,8.27517,-0.65616,-0.07931,-0.07171,6.15873,5.60595
"6","2012_Q3",4.71492063492063,"Down",45296000,-44031000,1265000,-7191000,-7191000,-5926000,4000,4000,-5922000,-3422000,3.3881317890172e-21,-3422000,-3422000,-3422000,-3422000,39051000,8056000,7944000,7944000,10034000,3103000,3103000,60132000,22523000,5993000,5993000,28516000,88648000,15951000,2664000,13287000,15951000,7436000,7436000,7436000,23387000,5240000,125765000,65261000,65261000,88648000,-3422000,588000,2766000,-2568000,3958000,3963000,638999.999999997,638999.999999997,639000,-5338000,0,1386000,0.02793,-0.13083,-0.07555,-0.05244,-0.0386,-0.40503,3.76979,0.35836,0,-0.40781,-0.40781,5.39801,7.77727,0.16517,-0.03667,0.01907,7.31566,6.58977
"7","2012_Q4",4.29338709677419,"Down",36805000,-37497000,-692000,-6698000,-6698000,-7390000,3000,3000,-7387000,-7387000,0,-7387000,-7387000,-7387000,-7387000,30744000,3747000,11716000,11716000,9170000,2614000,2614000,54244000,21947000,6019000,6019000,27966000,82210000,16704000,3093000,13611000,16704000,7632000,7632000,7632000,24336000,5240000,118378000,57874000,57874000,82210000,-7387000,576000,-1487000,-8298000,-27000,3989000,-4309000,-4309000,-4309000,-6814000,0,-8328000,-0.0188,-0.20079,-0.20071,-0.12764,-0.08986,1.12739,3.24737,0.4205,-1.05879118406788e-22,-0.88032,-0.88032,4.38612,6.89695,-0.99246,-0.11277,-0.12713,4.51189,4.16022
"8","2013_Q1",4.58066666666667,"Up",50461000,-47194000,3267000,-5665000,-5665000,-2398000,3000,3000,-2395000,-1711000,2.71050543121376e-20,-1711000,-1711000,-1711000,-1711000,29009000,12011000,11199000,11199000,8359000,2903000,2903000,51470000,21196000,6190000,6190000,27386000,78856000,14681000,3296000,11385000,14681000,8011000,8011000,8011000,22692000,5240000,116668000,56164000,56164000,78856000,-1711000,580000,-770000,-2585000,862000,10848000,8264000,8264000,8264000,-1818000,1.4210854715202e-14,-1726000,0.06474,-0.04752,-0.03391,-0.03046,-0.0217,1.00877,3.50589,0.40403,0,-0.2039,-0.2039,6.01353,6.69317,-0.20569,-0.02668,-0.0269,15.95655,12.09716
"9","2013_Q2",4.44234375,"Down",49920000,-46861000,3059000,-6530000,-6530000,-3471000,3000,3000,-3468000,-3468000,0,-3468000,-3468000,-3468000,-3468000,25010000,9012000,11011000,11011000,9750000,3951000,3951000,49722000,20662000,6242000,6242000,26904000,76626000,15881000,4260000,11621000,15881000,8049000,8049000,8049000,23930000,5240000,113200000,52696000,52696000,76626000,-3468000,544000,-1079000,-4003000,-15000,1004000,-2999000,-2999000,-2999000,-2927000,0,-4021000,0.06128,-0.06953,-0.06947,-0.06581,-0.04526,1.15946,3.13091,0.45411,8.470329472543e-22,-0.41329,-0.41329,5.94906,6.27988,-0.47919,-0.05709,-0.06619,8.54458,7.20542
"10","2013_Q3",4.56578125,"Up",41836000,-39162000,2674000,-5819000,-5819000,-3145000,9000,9000,-3136000,-1725000,0,-1725000,-1725000,-1725000,-1725000,24268000,10270000,8356000,8356000,10711000,4015000,4015000,47350000,19508000,7776000,7776000,27284000,74634000,15673000,2914000,12759000,15673000,7990000,7990000,7990000,23663000,5240000,111475000,50971000,50971000,74634000,-1725000,488000,1461000,-1787000,337000,2445000,657999.999999998,657999.999999998,657999.999999998,-2657000,2.27373675443232e-13,-859000.000000001,0.06392,-0.07517,-0.04123,-0.03384,-0.02311,0.49797,3.02112,0.46424,0,-0.20557,-0.20557,4.98567,6.07431,-0.10237,-0.02926,-0.01457,9.13361,7.71638
