"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",10.4065079365079,"Down",28957000,-21804000,-5954000,-11205000,-4645000,7153000,-235000,-235000,6918000,-53000,6865000,3801000,3801000,3801000,3801000,2373853,2373853,1343416,34959679,1697292,22354007,38676948,456964777,673611952,-216647175,1791507,874122,458756284,497433232,52506061,5868441,46637620,5539064,53697,58045125,1.5e+07,10291990,5469612,25291990,83337115,402809354,22051585,414096117,414096117,497433232,3801000,11205000,6024000,-15920000,5110000,-53372000,-52764000,-11330000,39744000,-7910000,-7910000,-7910000,18358000,1.5e+07,0.24702,0.13126,0.00918,0.00764,0.66633,0.20125,0.03015,0.0722,0.0722,0.55005,7.86597,0.00887,0.68777,1.76515
"2","2012_Q3",10.3125396825397,"Down",55905000,-3.3e+07,-6711000,-19914000,-6375000,22905000,29000,29000,22934000,-33323000,-10389000,-6676000,-6676000,-6676000,-6676000,9432000,9432000,1381000,33769000,1538000,16198000,44582000,482592000,752358000,-269766000,10515000,828000,493107000,537689000,58630000,16874000,41756000,5432000,56000,64062000,6e+07,5850000,5850000,65850000,129912000,403188000,15376000,407777000,407777000,537689000,-6676000,19914000,14687000,18491000,46416000,-84574000,-84113000,-245000,44755000,7058000,7058000,7058000,42819000,6e+07,0.40971,-0.11942,-0.01637,-0.01242,0.69592,0.31859,0.11159,-0.12681,-0.12681,1.06194,7.74593,-0.0141,1.18097,2.20772999999999
"3","2012_Q4",8.715,"Down",28386000,-34432000,-6261000,-21680000,-6491000,-6046000,-90000,-90000,-6136000,-3655000,-9791000,-9198000,-9198000,-9198000,-9198000,4178000,4178000,1478000,29524000,974000,22155000,35180000,548361000,843403000,-295042000,5295000,1537000,553656000,588836000,73734000,17364000,56182000,1838000,1838000,75572000,1.06e+08,8036000,6016000,114036000,189608000,403815000,6178000,399228000,399228000,588836000,-9198000,21680000,15816000,501000,28799000,-80053000,-80053000,0,4.6e+07,-5254000,-5254000,-5254000,15634000,1.06e+08,-0.21299,-0.32403,-0.02304,-0.01562,0.46552,0.47494,0.18002,-0.17047,-0.17047,0.52609,7.399,-0.01792,6.51286,-16.84122
"4","2013_Q1",8.10883333333333,"Down",51908000,-45617000,-7289000,-27655000,-10673000,6291000,-482000,-482000,5809000,-27185000,-21376000,-21188000,-21188000,-21188000,-21188000,2095000,2095000,877000,35225000,1103000,29744000,38197000,591090000,940460000,-349370000,2742000,1560000,593832000,632029000,93840000,28120000,65720000,2652000,1571000,96492000,1.5e+08,6433000,6433000,156433000,252925000,404879000,-15010000,379104000,379104000,632029000,-21188000,27655000,31201000,6235000,43903000,-90022000,-89986000,0,4.4e+07,-2083000,-2083000,-2083000,33946000,1.5e+08,0.1212,-0.40818,-0.05589,-0.03352,0.39586,0.66717,0.23733,-0.39268,-0.39268,0.96203,7.02604,-0.03956,4.35707,23.51057
"5","2013_Q2",9.781875,"Up",54886000,-47830000,-8699000,-28232000,-10899000,7056000,-1204000,-1204000,5852000,-21311000,-15459000,-15505000,-15505000,-15505000,-15505000,4652000,4652000,966000,31650000,1597000,27903000,37268000,610179000,1009011000,-398832000,2875000,1732000,613054000,650322000,67641000,19675000,47920000,4842000,2627000,72483000,2.05e+08,8734000,7310000,213734000,286217000,405385000,-30515000,364105000,364105000,650322000,-15505000,28232000,26628000,-7126000,32229000,-84761000,-84672000,2175393.92474657,5.5e+07,2557000,2557000,2557000,35288000,2.05e+08,0.12856,-0.28249,-0.04258,-0.02384,0.51416,0.78608,0.31523,-0.28052,-0.28052,0.99302,6.58751,-0.02683,5.67751,28.39399
"6","2013_Q3",14.7265625,"Up",65959000,-38975000,-8600000,-20234000,-10141000,26984000,-1561000,-1561000,25423000,-271000,25152000,25120000,25120000,25120000,25120000,5105000,5105000,597000,33108000,1318000,27812000,38810000,690255000,1109321000,-419066000,5646000,1677000,695901000,734711000,90884000,35959000,54847000,344000,87000,91228000,2.45e+08,8458000,7948000,253458000,344686000,406185000,-5395000,390025000,390025000,734711000,25120000,20234000,-6223000,12552000,51683000,-91309000,-91229000,-1000,39999000,453000,453000,453000,47218000,2.45e+08,0.4091,0.38084,0.06441,0.03419,0.42542,0.88375,0.33346,0.44709,0.44566,1.17394,6.94168,0.03904,5.08058,8.89027
"7","2013_Q4",19.45671875,"Up",71377000,-46649000,-11954000,-26127000,-8568000,24728000,-1973000,-1973000,22755000,-87000,22668000,20105000,20105000,20105000,20105000,6330000,6330000,687000,36674000,3250000,30439000,43691000,748846000,1194039000,-445193000,3283000,2288000,752129000,795820000,81660000,20280000,60400000,4275000,97000,85935000,1.45e+08,12219000,8610000,157219000,243154000,548721000,14710000,552666000,552666000,795820000,20105000,26127000,12314000,-15266000,43280000,-84204000,-84183000,-6941000,42128000,1225000,1225000,1225000,50855000,1.45e+08,0.34644,0.28167,0.03638,0.02526,0.50842,0.43997,0.1822,0.34206,0.34117,1.21437,9.40276,0.02832,2.72677,5.60781
"8","2014_Q1",21.3088524590164,"Up",68667000,-45413000,-12499000,-23802000,-9112000,23254000,-724000,-724000,22530000,-1e+05,22430000,15374000,15374000,15374000,15374000,6287000,6287000,785000,35803000,2474000,31674000,42875000,845877000,1314872000,-468995000,1578000,1405000,847455000,890330000,97547000,25358000,71785000,2780000,88000.0000000001,100327000,2e+08,21079000,9897000,221079000,321406000,549605000,30084000,568924000,568924000,890330000,15374000,23802000,9472000,3630000,52278000,-106895000,-106855000,-466000,54534000,-42999.9999999995,-42999.9999999995,-42999.9999999995,47056000,2e+08,0.33865,0.22389,0.02702,0.01727,0.42735,0.56494,0.22464,0.26156,0.26089,1.16826,9.67936,0.01946,4.11665,8.33031
"9","2014_Q2",26.1711111111111,"Up",73980000,-46606000,-13225000,-24030000,-9351000,27374000,-1358000,-1358000,26016000,-117000,25899000,16363000,16363000,16363000,16363000,14340000,14340000,923000,43715000,2195000,38615000,58978000,959912000,1452937000,-493025000,2841000,2574000,962753000,1021731000,126560000,6328000,118553000,6315000,88000,132875000,2.7e+08,32455000,12095000,302455000,435330000,550719000,46447000,586401000,586401000,1021731000,16363000,24030000,13281000,-21729000,31945000,-93898000,-93898000,1141837.49039944,70006000,8053000,8053000,8053000,51404000,2.7e+08,0.37002,0.22118,0.0279,0.01601,0.44386,0.74238,0.26426,0.24912,0.24707,1.1263,8.92761,0.01841,4.97354,9.33952
"10","2014_Q3",26.106875,"Down",90908000,-60717000,-17216000,-31797000,-11704000,30191000,-1207000,-1207000,28984000,-124000,28860000,18226000,18226000,18226000,18226000,14635000,14635000,954000,51755000,2427000,45012000,67344000,1063349000,1588171000,-524822000,2748000,2577000,1066097000,1133441000,140576000,18541000,118816000,10352000,88000,150928000,1.5e+08,45271000,13304000,195271000,346199000,733334000,64673000,787242000,787242000,1133441000,18226000,31797000,16287000,15220000,81530000,-142321000,-142321000,-789000,61086000,295000,295000,295000,61988000,1.5e+08,0.3321,0.20049,0.02315,0.01608,0.4462,0.43976,0.13234,0.27748,0.2752,1.38402,11.98529,0.01855,2.18373,4.48362
