"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","raw_materials","work_in_process","finished_goods","other_inventory","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.4684126984127,"Up",5.76e+09,-3.676e+09,2.084e+09,-6.47e+08,-6.41e+08,1.437e+09,-1.49e+08,-2.87e+08,1.38e+08,1.288e+09,-7e+06,1.281e+09,-4.68e+08,8.13e+08,8.13e+08,-7098397.11680225,8.13e+08,8.13e+08,3.29e+09,3.29e+09,1.7e+08,1.813e+09,9.84e+08,2.81e+08,3.88e+08,1.6e+08,1.765e+09,5.04e+08,7.038e+09,2.635e+09,6.012e+09,-3.377e+09,2.3149e+10,5.174e+09,1.2132e+10,5.843e+09,3.0961e+10,3.7999e+10,2.072e+09,3.11e+08,7.33e+08,4.6e+08,5.993e+09,5.993e+09,9.04e+09,1.1185e+10,1.1185e+10,1.3477e+10,3.504e+09,1.157e+09,2.347e+09,8.481e+09,1.492e+09,2.4662e+10,3.3702e+10,6.755e+09,9.35e+08,5.82e+09,-2.3684e+10,2.2683e+10,-1.491e+09,4.263e+09,3.4e+07,4.297e+09,3.7999e+10,8.13e+08,8.13e+08,6.9e+07,-3.19e+08,-1.52e+08,1.478e+09,-5.8e+07,-3e+06,-8e+06,1.547e+09,2.041e+09,-3.8e+07,-3.8e+07,5.5e+07,1.7e+07,-7.06e+08,2.1e+07,-1.54e+08,-6.39e+08,1.419e+09,1.419e+09,1.419e+09,1.506e+09,1.216e+10,3.414e+09,0.36181,0.24948,0.14115,0.1892,0.0214,4.19926,0.77854,7.84315,0.32001,0.392,0.39143,2.77724,2.05545,1.64609,0.34041,128.002613331132,0.05074,0.11405,0.86839,5.88977,6.17258
"2","2010_Q3",11.5896875,"Up",6.274e+09,-3.9e+09,2.374e+09,-8.24e+08,-6.51e+08,1.55e+09,-1.77e+08,-2.9e+08,1.13e+08,1.373e+09,-2.1e+07,1.352e+09,-3.09e+08,1.043e+09,1.043e+09,-1e+06,1.042e+09,1.042e+09,8.54e+08,8.54e+08,9e+07,1.65e+09,8.53e+08,2.48e+08,3.91e+08,1.58e+08,2.058e+09,7.91e+08,4.652e+09,2.535e+09,5.821e+09,-3.286e+09,2.2939e+10,5.174e+09,1.2128e+10,5.637e+09,3.0593e+10,3.5245e+10,1.851e+09,2.77e+08,7.33e+08,4.7e+08,3.5e+09,3.5e+09,5.551e+09,1.1984e+10,1.1984e+10,1.3154e+10,3.517e+09,1.156e+09,2.361e+09,8.464e+09,1.173e+09,2.5138e+10,3.0689e+10,6.744e+09,9.35e+08,5.809e+09,-2.3643e+10,2.2996e+10,-1.576e+09,4.521e+09,3.5e+07,4.556e+09,3.5245e+10,1.043e+09,1.043e+09,6.8e+07,-1.37e+08,-1.1e+08,-2.724e+09,7.4e+07,1.63e+08,-3.3e+07,-2.928e+09,-1.75e+09,-3.1e+07,-3.1e+07,3.5e+07,4e+06,-7.29e+08,1.8e+07,-1e+06,-6.9e+08,-2.436e+09,-2.436e+09,-2.436e+09,1.618e+09,1.2184e+10,-8.28e+08,0.37839,0.24705,0.16608,0.22871,0.02956,-0.794629999999999,0.83805,6.73595,0.34569,0.50193,0.5012,3.02216,2.17775,-0.39884,0.35116,64.0013937766037,0.05924,-0.0277,0.69962,7.00247,7.30968
"3","2010_Q4",12.926875,"Up",6.402e+09,-3.926e+09,2.476e+09,-6.97e+08,-6.91e+08,1.779e+09,-9.3e+07,-2.79e+08,1.86e+08,1.686e+09,-3e+06,1.683e+09,-5.52e+08,1.131e+09,1.131e+09,0,1.131e+09,1.131e+09,1.7e+09,1.7e+09,8.2e+07,1.618e+09,8.34e+08,2.25e+08,3.9e+08,1.69e+08,2.106e+09,8.42e+08,5.506e+09,2.422e+09,5.177e+09,-2.755e+09,2.3808e+10,5.174e+09,1.2122e+10,6.512e+09,3.1604e+10,3.711e+10,1.732e+09,3.2e+08,7.96e+08,4.84e+08,4.617e+09,4.617e+09,6.349e+09,1.2194e+10,1.2194e+10,1.3382e+10,3.516e+09,1.143e+09,2.373e+09,8.771e+09,1.095e+09,2.5576e+10,3.1925e+10,6.695e+09,9.35e+08,5.76e+09,-2.351e+10,2.3334e+10,-1.369e+09,5.15e+09,3.5e+07,5.185e+09,3.711e+10,1.131e+09,1.131e+09,7.1e+07,-8.87e+08,-8.93e+08,1.116e+09,3e+06,3.2e+07,4.7e+07,1.034e+09,1.431e+09,-4.7e+07,-4.7e+07,1.09e+08,6.2e+07,-7.3e+08,5e+07,2.3e+07,-6.47e+08,8.46e+08,8.46e+08,8.46e+08,1.85e+09,1.2194e+10,3.471e+09,0.38675,0.27788,0.17666,0.21813,0.03048,3.06897,0.86722,6.15718,0.32859,0.54427,0.54427,3.08085,2.47834,1.67036,0.3513,25.2505226662264,0.0605,0.11284,0.64545,5.67243,5.89882
"4","2011_Q1",13.1064516129032,"Up",5.927e+09,-3.673e+09,2.254e+09,-7.56e+08,-7.52e+08,1.498e+09,-8.6e+07,-2.77e+08,1.91e+08,1.412e+09,-5e+06,1.407e+09,-4.87e+08,9.2e+08,9.2e+08,-1e+06,9.19e+08,9.19e+08,2.314e+09,2.314e+09,8.5e+07,1.803e+09,9.6e+08,2.99e+08,3.84e+08,1.6e+08,1.779e+09,6.14e+08,5.981e+09,2.38e+09,5.15e+09,-2.77e+09,2.3674e+10,5.174e+09,1.2118e+10,6.382e+09,3.1421e+10,3.7402e+10,2.004e+09,5.29e+08,7.97e+08,4.47e+08,4.836e+09,4.836e+09,6.84e+09,1.2194e+10,1.2194e+10,1.3141e+10,3.593e+09,1.191e+09,2.402e+09,8.498e+09,1.05e+09,2.5335e+10,3.2175e+10,6.686e+09,9.35e+08,5.751e+09,-2.3469e+10,2.3459e+10,-1.484e+09,5.192e+09,3.5e+07,5.227e+09,3.7402e+10,9.2e+08,9.2e+08,6.8e+07,-20999999.9999999,-2.09e+08,78000000.0000005,-4e+06,-1.85e+08,4.2e+07,2.25e+08,1.045e+09,-5.2e+07,-5.2e+07,2.28e+08,1.76e+08,-7.93e+08,1.5e+07,1.71e+08,-6.07e+08,6.14e+08,6.14e+08,6.14e+08,1.566e+09,1.2194e+10,2.079e+09,0.38029,0.25274,0.15505,0.17582,0.02457,2.26224,0.87442,6.15554,0.32603,0.44183,0.4414,2.84952,2.49615,0.99952,0.38125,6,0.05602,0.06803,0.86289,6.30907,6.59546
"5","2011_Q2",14.5296825396825,"Up",5.643e+09,-3.495e+09,2.148e+09,-6.07e+08,-6.01e+08,1.541e+09,-8.9e+07,-2.78e+08,1.89e+08,1.452e+09,-2e+06,1.45e+09,-5.12e+08,9.38e+08,9.38e+08,-1e+06,9.37e+08,9.37e+08,3.432e+09,3.432e+09,7.1e+07,1.824e+09,9.25e+08,2.99e+08,4.26e+08,1.74e+08,1.661e+09,4.98e+08,6.988e+09,2.339e+09,5.099e+09,-2.76e+09,2.3608e+10,5.174e+09,1.2112e+10,6.322e+09,3.1596e+10,3.8584e+10,2.12e+09,2.82e+08,7.98e+08,4.2e+08,5.764e+09,5.764e+09,7.884e+09,1.2194e+10,1.2194e+10,1.3018e+10,3.399e+09,9.87e+08,2.412e+09,8.512e+09,1.107e+09,2.5212e+10,3.3096e+10,6.556e+09,9.35e+08,5.621e+09,-2.3313e+10,2.3601e+10,-1.391e+09,5.453e+09,3.5e+07,5.488e+09,3.8584e+10,9.38e+08,9.38e+08,6e+07,-4.47e+08,-3.37e+08,1.511e+09,-5e+06,-2.1e+07,-6.6e+07,1.603e+09,2.062e+09,-1.3e+07,-1.3e+07,5e+06,-8e+06,-7.94e+08,2.1e+07,-1.63e+08,-9.36e+08,1.118e+09,1.118e+09,1.118e+09,1.601e+09,1.2194e+10,3.611e+09,0.38065,0.27308,0.16605,0.17074,0.02428,3.85379,0.88635,6.03061,0.31604,0.44962,0.44962,2.70777,2.6166,1.73273,0.381,0.499825777924532,0.05638,0.11762,0.84739,5.47283,5.68592
"6","2011_Q3",14.37859375,"Down",5.92e+09,-3.948e+09,1.972e+09,-6.76e+08,-6.71e+08,1.296e+09,-1.39e+08,-2.94e+08,1.55e+08,1.157e+09,-1e+06,1.156e+09,-7.12e+08,4.44e+08,4.44e+08,0,4.44e+08,4.44e+08,2.064e+09,2.064e+09,1.66e+08,1.673e+09,8.02e+08,2.79e+08,4.04e+08,1.88e+08,1.754e+09,5.91e+08,5.657e+09,2.305e+09,4.737e+09,-2.432e+09,2.2943e+10,5.174e+09,1.2107e+10,5.662e+09,3.1175e+10,3.6832e+10,1.861e+09,2.52e+08,7.92e+08,4.18e+08,3.585e+09,3.585e+09,5.446e+09,1.3688e+10,1.3688e+10,1.303e+10,3.406e+09,9.86e+08,2.42e+09,8.212e+09,1.412e+09,2.6718e+10,3.2164e+10,6.562e+09,9.35e+08,5.627e+09,-2.3906e+10,2.3256e+10,-1.279e+09,4.633e+09,3.5e+07,4.668e+09,3.6832e+10,4.44e+08,4.44e+08,6.1e+07,-5.27e+08,-1.08e+08,-1.561e+09,-7e+06,1.51e+08,-2.8e+07,-1.677e+09,-1.583e+09,-2.7e+07,-2.7e+07,1.25e+08,9.8e+07,-7.95e+08,-5.67e+08,-15000000.0000001,1.17e+08,-1.368e+09,-1.368e+09,-1.368e+09,1.357e+09,1.3688e+10,4.81e+08,0.33311,0.21892,0.075,0.09512,0.01205,1.08333,1.03874,6.89032,0.37163,0.21387,0.21387,2.85164,2.2317,0.2317,0.38295,3,0.03948,0.01533,1.79054,8.56595,8.96914
"7","2011_Q4",15.514126984127,"Up",6.108e+09,-3.663e+09,2.445e+09,-5.67e+08,-5.81e+08,1.878e+09,-8.5e+07,-2.93e+08,2.08e+08,1.793e+09,0,1.793e+09,-6.19e+08,1.174e+09,1.174e+09,-1e+06,1.173e+09,1.173e+09,3.043e+09,3.043e+09,1.94e+08,1.625e+09,7.77e+08,2.43e+08,4.23e+08,1.82e+08,1.713e+09,5.26e+08,6.575e+09,2.284e+09,4.762e+09,-2.478e+09,2.2803e+10,5.174e+09,1.2102e+10,5.527e+09,3.0626e+10,3.7201e+10,1.858e+09,3.26e+08,8.46e+08,4e+08,4.521e+09,4.521e+09,6.979e+09,1.3088e+10,1.3088e+10,1.2679e+10,3.399e+09,9.69e+08,2.43e+09,8.08e+09,1.2e+09,2.5767e+10,3.2746e+10,6.585e+09,9.35e+08,5.65e+09,-2.429e+10,2.3585e+10,-1.461e+09,4.419e+09,3.6e+07,4.455e+09,3.7201e+10,1.174e+09,1.174e+09,6.3e+07,-6.2e+07,4.8e+07,9.1e+08,3e+06,4.8e+07,-1.2e+07,8.71e+08,2.085e+09,-3.5e+07,-3.5e+07,1.19e+08,8.4e+07,-7.9e+08,-4.25e+08,2.5e+07,-1.19e+09,9.79e+08,9.79e+08,9.79e+08,1.941e+09,1.3688e+10,3.435e+09,0.40029,0.30747,0.19204,0.2633,0.03153,2.92839,0.94211,7.35039,0.36795,0.57136,0.57136,2.97516,2.15246,1.67316,0.3848,7,0.06369,0.11145,0.67349,5.48429,5.66826
"8","2012_Q1",16.5579032258065,"Up",6.129e+09,-3.755e+09,2.374e+09,-7.99e+08,-7.9e+08,1.575e+09,-1.73e+08,-3.51e+08,1.78e+08,1.402e+09,-2.19e+08,1.183e+09,-3.46e+08,8.37e+08,8.37e+08,-1e+06,8.36e+08,8.36e+08,3.27e+09,3.27e+09,2.68e+08,1.779e+09,9.34e+08,3.16e+08,3.59e+08,1.7e+08,1.603e+09,3.96e+08,6.92e+09,2.216e+09,4.728e+09,-2.512e+09,2.2106e+10,5.174e+09,1.2098e+10,4.834e+09,2.9831e+10,3.6751e+10,1.774e+09,5.03e+08,8.41e+08,4.3e+08,5.058e+09,5.058e+09,7.432e+09,1.3089e+10,1.3089e+10,1.2515e+10,4.021e+09,1.662e+09,2.359e+09,7.562e+09,9.32e+08,2.5604e+10,3.3036e+10,6.609e+09,9.35e+08,5.674e+09,-2.4625e+10,2.3583e+10,-1.887e+09,3.68e+09,3.5e+07,3.715e+09,3.6751e+10,8.37e+08,8.37e+08,6.9e+07,6.48e+08,8999999.99999997,-5.37e+08,-1e+07,-1.54e+08,1.4e+07,-3.87e+08,1.017e+09,-3e+07,-3e+07,2.43e+08,2.13e+08,-8.43e+08,-3.27e+08,1.67e+08,-1.003e+09,2.27e+08,2.27e+08,2.27e+08,1.644e+09,1.3689e+10,1.423e+09,0.38734,0.25698,0.1364,0.22503,0.02275,1.70215,0.93111,8.8926,0.37248,0.4092,0.4092,3,1.80127,0.69652,0.41263,7,0.05612,0.04756,1.00837,6.33759,6.61524
"9","2012_Q2",18.401746031746,"Up",5.647e+09,-3.445e+09,2.202e+09,-5.39e+08,-5.34e+08,1.663e+09,2.27e+08,-2.93e+08,5.2e+08,1.89e+09,-2.1e+07,1.869e+09,-6.74e+08,1.195e+09,1.195e+09,2.3283064365387e-10,1.195e+09,1.195e+09,4.156e+09,4.156e+09,2.44e+08,1.83e+09,9.32e+08,3.1e+08,4.1e+08,1.78e+08,1.663e+09,4.56e+08,7.893e+09,2.165e+09,4.737e+09,-2.572e+09,2.1792e+10,5.174e+09,1.2093e+10,4.525e+09,2.9922e+10,3.7815e+10,2.23e+09,3.28e+08,8.39e+08,4.74e+08,5.951e+09,5.951e+09,8.781e+09,1.3089e+10,1.3089e+10,1.2209e+10,3.521e+09,1.154e+09,2.367e+09,7.446e+09,1.242e+09,2.5298e+10,3.4079e+10,6.568e+09,9.35e+08,5.633e+09,-2.4902e+10,2.372e+10,-1.685e+09,3.701e+09,3.5e+07,3.736e+09,3.7815e+10,1.195e+09,1.195e+09,5.6e+07,-1.121e+09,-1.121e+09,1.707e+09,1.3e+07,-5.1e+07,-6.8e+07,1.813e+09,1.837e+09,-1.6e+07,-1.6e+07,3.03e+08,2.87e+08,-8.38e+08,-2.66e+08,-1.34e+08,-1.238e+09,8.86e+08,8.86e+08,8.86e+08,1.719e+09,1.3689e+10,4.084e+09,0.38994,0.29449,0.21162,0.31986,0.0316,3.41757,0.89887,9.12179,0.362,0.58751,0.58751,2.7763,1.81957,2.00787,0.412,8,0.0686,0.13781,0.70126,5.54567,5.73241
"10","2012_Q3",20.0612698412698,"Up",6.487e+09,-3.993e+09,2.494e+09,-6.01e+08,-5.96e+08,1.893e+09,-69999999.9999999,-2.93e+08,2.23e+08,1.823e+09,-1.6e+07,1.807e+09,-5.81e+08,1.226e+09,1.226e+09,-1e+06,1.225e+09,1.225e+09,1.528e+09,1.528e+09,2.56e+08,1.684e+09,7.99e+08,2.69e+08,4.32e+08,1.84e+08,1.675e+09,4.68e+08,5.143e+09,2.131e+09,4.75e+09,-2.619e+09,2.0787e+10,5.174e+09,1.2088e+10,3.525e+09,2.9404e+10,3.4547e+10,1.97e+09,3.35e+08,8.36e+08,5.81e+08,3.511e+09,3.511e+09,6.081e+09,1.3089e+10,1.3089e+10,1.1069e+10,3.506e+09,1.139e+09,2.367e+09,6.838e+09,7.25e+08,2.4158e+10,3.0239e+10,6.582e+09,9.35e+08,5.647e+09,-2.4969e+10,2.4334e+10,-1.674e+09,4.273e+09,3.5e+07,4.308e+09,3.4547e+10,1.226e+09,1.226e+09,5.7e+07,-1.563e+09,-1.563e+09,-1.642e+09,-1.1e+07,1.46e+08,4000000.00000003,-1.781e+09,-1.922e+09,-2.3e+07,-2.3e+07,2.46e+08,2.23e+08,-8.36e+08,-9.4e+07,1000000.00000006,-9.29e+08,-2.628e+09,-2.628e+09,-2.628e+09,1.95e+09,1.3689e+10,8.66e+08,0.38446,0.29181,0.18884,0.28435,0.03546,0.706939999999999,0.84575,7.01927,0.39624,0.60434,0.60434,3.2003,2.10804,0.42723,0.41243,5,0.07091,0.02979,0.68245,6.23641,6.42419
