"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q3",107.0346875,"Up",80673000,-36660000,44013000,-4667000,-4667000,39346000,-1130000,-1216000,86000,38216000,38216000,-5000,38211000,38211000,38211000,38211000,229751000,229751000,9609000,9609000,22714000,262074000,332454000,46212000,378666000,640740000,25649000,25649000,4842000,2970000,30491000,1.25e+08,1055000,1055000,126055000,156546000,484194000,640740000,38211000,4648000,1128000,-25943000,-25577000,18044000,-4006000,-4006000,144344000,158382000,158382000,158382000,43994000,1.25e+08,14050000,0.54557,0.48772,0.47365,0.07892,0.05964,0.3677,8.59513,0.32331,0.19509,5.23431,5.23123,11.05094,1.92463,0.06262,0.02302,-2.38103,-2.6623
"2","2011_Q4",107.589841269841,"Up",77203000,-35647000,41556000,-4042000,-4532000,37514000,-1217000,-1349000,132000,36297000,36297000,-12000,36285000,36285000,36285000,36285000,255514000,255514000,10422000,10422000,25799000,291735000,336071000,45973000,382044000,673779000,34245000,34245000,22792000,20550000,57037000,1.25e+08,2485000,2485000,127485000,184522000,489257000,673779000,36285000,4663000,1158000,15597000,20417000,57703000,-4492000,-1972000,-29968000,25763000,25763000,25763000,42177000,1.25e+08,53294000,0.53827,0.48591,0.46999,0.07416,0.05385,1.46876,5.11484,0.37715,0.18552,4.97048,4.96755,10.57561,7.30045,0.05883,0.08641,-3.09444,-3.47907
"3","2012_Q1",128.154838709677,"Up",87614000,-40412000,47202000,-4630000,-4630000,42572000,-1354000,-1370000,16000,41218000,41218000,-1000,41217000,41217000,41217000,41217000,236975000,236975000,9322000,9322000,23255000,271863000,341495000,45951000,387446000,659309000,30691000,14822000,11763000,9019000,42454000,1.25e+08,2367000,2367000,127367000,169821000,489488000,659309000,41217000,4921000,1278000,-15460000,-16267000,31956000,-8606000,-8606000,-41889000,-18539000,-18539000,-18539000,47493000,1.25e+08,23428000,0.53875,0.4859,0.47044,0.0842,0.06252,0.56841,6.40371,0.34694,0.18959,5.64377,5.63105,11.99682,3.20795,0.06682,0.03798,-2.35772,-2.63025
"4","2012_Q2",115.312380952381,"Down",78276000,-40873000,37403000,-5977000,-5977000,31426000,-1164000,-1170000,5999.99999999999,30262000,30262000,-18000,30244000,30244000,30244000,30244000,225573000,225573000,5681000,5681000,21793000,255772000,355366000,45793000,401159000,656931000,34240000,34240000,17472000,16023000,51712000,1.25e+08,2187000,2187000,127187000,178899000,478032000,656931000,30244000,5438000,1495000,16637000,11538000,53814000,-22274000,-22274000,-42942000,-11402000,-11402000,-11402000,36864000,1.25e+08,31245000,0.47783,0.40148,0.38638,0.06327,0.04604,1.0331,4.94609,0.37424,0.19028,4.14126,4.13192,10.71819,4.27832,0.04997,0.05163,-2.72822,-3.20031
"5","2012_Q3",123.846031746032,"Up",81431000,-38407000,43024000,-6977000,-6977000,36047000,-927000,-955000,28000,35120000,35120000,-32000,35088000,35088000,35088000,35088000,196394000,196394000,7660000,7660000,22658000,226712000,367359000,45632000,412991000,639703000,28125000,18372000,6833000,4371000,34958000,1.25e+08,2602000,2602000,127602000,162560000,477143000,639703000,35088000,5158000,3017000,-17214000,-17355000,26049000,-16944000,-16944000,-38284000,-29179000,-29179000,-29179000,41205000,1.25e+08,7079000,0.52835,0.44267,0.43089,0.07354,0.05485,0.20175,6.48527,0.34069,0.1954,4.80427,4.79384,11.14959,0.96926,0.05802,0.01171,-1.73265,-1.98058
"6","2012_Q4",128.967419354839,"Up",75013000,-37590000,37423000,-5076000,-5076000,32347000,-777000,-790000,13000,31570000,31570000,-13000,31557000,31557000,31557000,31557000,180291000,180291000,7937000,7937000,29798000,220464000,387309000,45469000,432778000,653242000,45203000,45203000,14393000,10372000,59596000,1.25e+08,2715000,2715000,127715000,187311000,465931000,653242000,31557000,5230000,1462000,6678000,17052000,44927000,-17175000,-17175000,-43855000,-16103000,-16103000,-16103000,37577000,1.25e+08,27093000,0.49889,0.43122,0.42069,0.06773,0.04831,0.85854,3.69931,0.40201,0.19135,4.32092,4.31136,10.27111,3.70969,0.05316,0.04564,-1.47141,-1.70931
"7","2013_Q1",133.230833333333,"Up",67589000,-45539000,22050000,-6112000,-6112000,15938000,-615000,-633000,18000,15323000,15323000,11000,15334000,15334000,15334000,15334000,127848000,127848000,6805000,6805000,28949000,166048000,411600000,45306000,456906000,622954000,43579000,9480000,5896000,965000,49475000,1.25e+08,2287000,2287000,127287000,176762000,446192000,622954000,15334000,4897000,2122000,-13646000,-15481000,8707000,-25758000,-24732000,-36418000,-52443000,-52443000,-52443000,20835000,1.25e+08,-18580000,0.32624,0.23581,0.22687,0.03437,0.02461,-1.21169,3.3562,0.39616,0.20066,2.09868,2.09386,9.25053,-2.54294,0.02674,-0.0324,-0.13669,-0.17869
"8","2013_Q2",125.975625,"Down",81411000,-38978000,42433000,-5630000,-5630000,36803000,-1241000,-1250000,9000,35562000,35562000,-9000,35553000,35553000,35553000,35553000,153242000,153242000,14092000,14092000,32224000,199558000,417595000,42960000,460555000,660113000,32975000,32975000,31047000,28604000,64022000,1.25e+08,1976000,1976000,126976000,190998000,469115000,660113000,35553000,5767000,1503000,14662000,22538000,57485000,-18063000,-18063000,-14028000,25394000,25394000,25394000,42570000,1.25e+08,39178000,0.52122,0.45206,0.43671,0.07579,0.05386,1.10196,3.11702,0.40715,0.18936,4.86594,4.85478,11.14227,5.36207,0.05964,0.06572,-0.66342,-0.76738
"9","2013_Q3",106.4184375,"Down",88834000,-46182000,42652000,-5592000,-5592000,37060000,-1605000,-1651000,46000,35455000,35455000,-18000,35437000,35437000,35437000,35437000,111882000,111882000,4962000,4962000,32837000,154746000,421733000,42719000,464452000,619198000,21756000,38462199.5317781,4485000,1505000,26241000,1.25e+08,6861000,6861000,131861000,158102000,461096000,619198000,35437000,6193000,1097000,-25590000,-31433000,17137000,-13756000,-13756000,-44741000,-41360000,-41360000,-41360000,43253000,1.25e+08,3925000,0.48013,0.41718,0.39891,0.07685,0.05723,0.11076,5.89711,0.34288,0.20187,4.8498,4.83907,12.15755,0.53716,0.05976,0.00662,0.30329,0.35397
"10","2013_Q4",93.54109375,"Down",69199000,-43291000,25908000,-4588000,-4588000,21320000,-1619000,-1652000,33000,19701000,19701000,4000,19705000,19705000,19705000,19705000,87166000,87166000,7826000,7826000,32838000,127830000,421351000,44847000,466198000,594028000,24649000,18699930.5425245,4546000,797000,29195000,1.25e+08,1333000,1333000,126333000,155528000,438500000,594028000,19705000,6563000,568000,-4935000,-2064000,21901000,-3992000,-3992000,-42625000,-24716000,-24716000,-24716000,27883000,1.25e+08,18952000,0.3744,0.3081,0.28476,0.04494,0.03317,0.96179,4.37849,0.35468,0.21043,2.69651,2.69109,9.46946,2.59346,0.03489,0.03355,1.35688,1.77458
