"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.13301587301587,"Up",98467000,-86091000,12376000,-7753000,-6696000,-1633000,-5063000,-1057000,4623000,-155000,-155000,4468000,4468000,-618000,3850000,3850000,3850000,3850000,27744000,27744000,45522000,45522000,56694000,2346000,2346000,132306000,7847000,9382000,8987000,395000,17229000,149535000,57182000,54304000,2878000,2027000,4070000,4070000,63279000,16578000,3824000,3824000,20402000,83681000,97388000,-3337000,-28197000,65854000,65854000,149535000,3850000,525000,667000,-6785000,-1743000,-870000,-870000,3502000,158000,158000,-2702857.36237231,3660000,1047000,1047000,1047000,5148000,18605000,-1889000,0.12569,0.04695,0.0391,0.05846,0.02575,-0.49065,2.09084,1.2707,0.12442,0.17906,0.16799,4.57965,3.06283,-0.08786,5,0.04361,-0.0214,-1.77525,-1.97685
"2","2010_Q3",9.118125,"Down",105878000,-91083000,14795000,-8226000,-6836000,-1895000,-4941000,-1390000,6569000,-145000,-145000,6424000,6424000,-770000,5654000,5654000,5654000,5654000,23101000,23101000,45691000,45691000,55058000,2800000,2800000,126650000,8361000,9373000,8987000,386000,17734000,144384000,47643000,43323000,4320000,1957000,1809000,1809000,51409000,16149000,3623000,3623000,19772000,71181000,99083000,-3337000,-22543000,73203000,73203000,144384000,5654000,589000,484000,-10548000,-3821000,-1108000,-1108000,-5e+05,360000,360000,426000,286000,-4643000,-4643000,-4643000,7158000,18106000,-3728000,0.13974,0.06204,0.0534,0.07724,0.03916,-0.65936,2.46358,0.97238,0.1254,0.26091,0.24566,4.88593,3.37808,-0.17204,5,0.05956,-0.03927,-0.69782,-0.76039
"3","2010_Q4",8.55046875,"Down",118486000,-101287000,17199000,-8676000,-7172000,-1395000,-5777000,-1504000,8523000,-234000,-234000,8289000,8289000,-1592000,6697000,6697000,6697000,6697000,27728000,27728000,46554000,46554000,64041000,4017000,4017000,142340000,8333000,9353000,8987000,366000,17686000,160026000,54477000,51094000,3383000,1702000,2689000,2689000,58868000,15899000,3423000,3423000,19322000,78190000,101019000,-3337000,-15846000,81836000,81836000,160026000,6697000,603000,184000,-2882000,4602000,-540000,-540000,-506000,390000,390000,681000,565000,4627000,4627000,4627000,9126000,17601000,7296000,0.14516,0.07193,0.05652,0.08183,0.04185,1.08944,2.41795,0.95545,0.10999,0.30592,0.29042,5.41254,3.73834,0.33329,6,0.06511,0.07093,-1.10969,-1.1882
"4","2011_Q1",10.7951612903226,"Up",120303000,-105532000,14771000,-9009000,-7473000,-1964000,-5509000,-1536000,5762000,-133000,534000,5629000,5629000,-1733000,3896000,3896000,3896000,3896000,34654000,34654000,54589000,54589000,59288000,3236000,2952000,151767000,8971000,9558000,8987000,375000,18529000,170296000,49646000,45957000,3689000,4110000,1266000,1266000,55022000,24542000,3223000,3223000,27765000,82787000,102796000,-3337000,-11950000,87509000,87509000,170296000,3896000,606000,334000,-8731000,-3895000,-1253000,-1253000,11051000,887000,887000,136000,12074000,6926000,6926000,6926000,6368000,28652000,-1883000,0.12278,0.0479,0.03238,0.04452,0.02288,-0.48332,2.7583,0.94604,0.16825,0.17602,0.17009,5.43521,3.9536,-0.0850700000000001,5,0.03263,-0.01577,-0.94253,-1.04165
"5","2011_Q2",9.90380952380952,"Down",126719000,-109167000,17552000,-9365000,-7760000,-2057000,-5703000,-1605000,8187000,-368000,-368000,7819000,7819000,-1999000,5820000,5820000,5820000,5820000,35283000,35283000,58002000,58002000,65152000,7138000,7138000,165575000,9487000,9579000,8987000,592000,19066000,184641000,52610000,48740000,3870000,3762000,6122000,6122000,62494000,23538000,3022000,3022000,26560000,89054000,105054000,-3337000,-6130000,95587000,95587000,184641000,5820000,639000,401000,-4980000,1880000,-1154000,-1154000,-1353000,655000,655000,601000,-97000,629000,629000,629000,8826000,27300000,4691000,0.13851,0.06461,0.04593,0.06089,0.03152,0.80601,2.64945,0.93165,0.14785,0.25904,0.24749,5.63998,4.25436,0.20879,5,0.04622,0.03726,-0.90449,-0.97508
"6","2011_Q3",6.1796875,"Down",133741000,-114748000,18993000,-9500000,-8063000,-2018000,-6045000,-1437000,9493000,-367000,-367000,9126000,9126000,-2168000,6958000,6958000,6958000,6958000,37636000,37636000,57779000,57779000,69871000,8858000,8858000,174144000,10256000,9585000,8987000,598000,19841000,193985000,54053000,48916000,5137000,3333000,6806000,6806000,64192000,22900000,2791000,2791000,25691000,89883000,106611000,-3337000,828000,104102000,104102000,193985000,6958000,722000,1010000,-4160000,4530000,-1502000,-1502000,-1068000,239000,239000,154000,-675000,2353000,2353000,2353000,10215000,26233000,6721000,0.14201,0.07098,0.05203,0.06684,0.03587,0.96594,2.71286,0.86341,0.13523,0.30606,0.29631,5.88286,4.57913,0.29564,4,0.05227,0.05049,-1.1163,-1.2012
"7","2011_Q4",5.41285714285714,"Down",105306000,-92454000,12852000,-8542000,-7290000,-1679000,-5611000,-1252000,4310000,-275000,-275000,4035000,4035000,-880000,3155000,3155000,3155000,3155000,37872000,37872000,47670000,47670000,59267000,10216000,10216000,155025000,10293000,9577000,8987000,590000,19870000,174895000,30162000,26931000,3231000,3071000,8275000,8275000,41508000,22483000,2559000,2559000,25042000,66550000,107699000,-3337000,3983000,108345000,108345000,174895000,3155000,811000,1088000,-3301000,1753000,-838000,-838000,-680000,3000,3000,-2000,-679000,236000,236000,236000,5121000,25554000,1862000,0.12204,0.04093,0.02996,0.02912,0.01804,0.59017,3.73482,0.61424,0.14611,0.13835,0.13572,4.61787,4.75114,0.08165,3,0.02312,0.01365,-2.40539,-2.858
"8","2012_Q1",7.69129032258065,"Up",86873000,-77278000,9595000,-8039000,-6777000,-1503000,-5274000,-1262000,1556000,-96000,1010000,1460000,1460000,6341000,7801000,7801000,7801000,7801000,52155000,52155000,41051000,41051000,55473000,5441000,3449000,154120000,10009000,14170000,8987000,417000,24179000,178299000,32254000,29451000,2803000,2931000,1557000,1557000,36742000,21802000,2470000,2470000,24272000,61014000,108838000,-3337000,11784000,117285000,117285000,178299000,7801000,773000,-5090000,12077000,15561000,-489000,-489000,-822000,114000,114000,-81000,-789000,14283000,14283000,14283000,2329000,24733000,7576000,0.11045,0.01791,0.0898,0.06651,0.04375,0.97116,4.19465,0.52022,0.13872,0.3429,0.3319,3.81859,5.15538,0.33301,6,0.05399,0.05243,-11.77415,-17.62339
"9","2012_Q2",6.62539682539682,"Down",110565000,-94905000,15660000,-9393000,-7987000,-1744000,-6243000,-1406000,6267000,-105000,-105000,6162000,6162000,-1502000,4660000,4660000,4660000,4660000,54770000,54770000,48974000,48974000,60998000,4767000,4767000,169509000,9518000,14173000,8987000,5186000,23691000,193200000,42018000,39050000,2968000,2708000,2250000,2250000,46976000,21115000,2244000,2244000,23359000,70335000,109932000,-3337000,16444000,122865000,122865000,193200000,4660000,705000,1249000,-2715000,3899000,-214000,-214000,-912000,93000,93000,-251000,-1070000,2615000,2615000,2615000,6972000,23823000,5545000,0.14164,0.05668,0.04215,0.03793,0.02412,1.18991,3.60842,0.57246,0.12331,0.20249,0.19672,4.80446,5.33894,0.24095,5,0.03129,0.03723,-4.43876,-4.93809
"10","2012_Q3",6.16015873015873,"Down",101949000,-87695000,14254000,-9792000,-8504000,-1666000,-6838000,-1288000,4462000,-13999.9999999999,-14000,4448000,4448000,-1658000,2790000,2790000,2790000,2790000,51137000,51137000,41942000,41942000,44451000,6364000,6364000,143894000,8762000,14164000,8987000,5177000,22926000,166820000,29721000,25797000,3924000,2736000,3159000,3159000,35616000,938000,1990000,1990000,2928000,38544000,111369000,-3337000,20367000,128276000,128276000,166820000,2790000,758000,1376000,11496000,16420000,-1999.99999999997,-2000,-20149000,85000,85000,13000,-20051000,-3633000,-3633000,-3633000,5220000,3674000,18372000,0.13982,0.04377,0.02737,0.02175,0.01672,6.58495,4.04015,0.30048,0.02202,0.11978,0.11767,4.377,5.5073,0.78877,5,0.02083,0.13717,-9.09253,-10.63716
"11","2012_Q4",4.80112903225806,"Down",100849000,-86526000,14323000,-12926000,-11617000,-1805000,-9812000,-1309000,1397000,-813000,-813000,584000,-1479000,356000,-1123000,-1123000,-1123000,-1123000,58329000,58329000,47549000,47549000,63304000,7406000,7406000,176588000,9891000,91922000,29651000,5372000,101813000,278401000,38145000,34084000,4061000,48523000,3417000,3417000,90085000,29312000,1753000,1753000,31065000,121150000,142065000,-3337000,18666000,157251000,157251000,278401000,-1123000,2760000,942000,6031000,8610000,-193000,-75518000,75985000,41000,41000,-1926000,74100000,7192000,7192000,7192000,4157000,77835000,9639000,0.14202,0.01385,-0.01114,-0.00714,-0.00403,-8.58326,1.96024,0.77042,0.27958,-0.04061,-0.04061,3.64655,5.68596,0.34853,4,-0.00474,0.0407,4.69233,13.96278
"12","2013_Q1",5.83416666666667,"Up",90067000,-78516000,11551000,-12901000,-11783000,-1818000,-9965000,-1118000,-1350000,-716000,-716000,-2066000,-2434000,1260000,-1174000,-1174000,-1174000,-1174000,54311000,54311000,50074000,50074000,53965000,6769000,3913000,165119000,9282000,91528000,27702000,530000,100810000,265929000,28096000,23485000,4611000,48706000,2434000,2434000,79236000,26934000,2979000,2979000,29913000,109149000,143180000,-3337000,16937000,156780000,156780000,265929000,-1174000,2758000,-1055000,-2119000,-1590000,-2e+05,180000.000000015,-2320000,108000,108000,-396000,-2607999.99999999,-4018000,-4018000,-4018000,1408000,75640000,-2171000,0.12825,-0.01499,-0.01303,-0.00749,-0.00441,1.84923000000001,2.08389,0.69619,0.28444,-0.04072,-0.03915,3.12396,5.4379,-0.0752999999999999,2,-0.00499,-0.00922000000000001,15.14844,-15.79926
