"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",10.0342857142857,"Down",-6928000,-2125000,-4803000,-6928000,57000,57000,-6871000,-6871000,-6871000,-6871000,-6871000,-6871000,41067000,25470000,490000,490000,41557000,793000,86000,86000,69148000,110705000,2937000,1936000,1001000,2937000,93000,27000,93000,3030000,129058000,-21338000,107675000,107675000,110705000,-6871000,46000,1960000,-30000,-4895000,-48058000,-48188000,57599000,4516000,4516000,4516000,-6882000,0,-0.06381,-0.06207,14.14947,0.02814,0,-0.46764,-0.46764,7.32832,-0.06376,5.96731,5.92768
"2","2012_Q3",9.38428571428571,"Down",-6896000,-2213000,-4683000,-6896000,71000,71000,-6825000,-6825000,-6825000,-6825000,-6825000,-6825000,38688000,15751000,509000,509000,39197000,782000,86000,86000,66467000,105664000,3213000,2450000,763000,3213000,82000,25000,82000,3295000,130543000,-28163000,102369000,102369000,105664000,-6825000,48000,1483000,248000,-5046000,-4636000,-4673000.00000001,0,-9719000,-9719000,-9719000,-6848000,0,-0.06667,-0.06459,12.1995,0.03219,0,-0.3436,-0.3436,5.15375,-0.06662,5.64953,5.61021
"3","2012_Q4",7.78693548387097,"Down",-10430000,-2298000,-8132000,-10430000,63000,63000,-10367000,-10367000,-10367000,-10367000,-10367000,-10367000,46852000,11126000,429000,429000,47281000,884000,86000,86000,51549000,98830000,3149000,1737000,1412000,3149000,69000,22000,69000,3218000,134120000,-38530000,95612000,95612000,98830000,-10367000,52000,3572000,7000,-6736000,2263000,2109000,2000,-4625000,-4625000,-4625000,-10378000,0,-0.10843,-0.1049,15.01461,0.03366,0,-0.51424,-0.51424,4.74266,-0.10835,4.51455,4.49204
"4","2013_Q1",9.87633333333333,"Up",-7976000,-3882000,-4094000,-7976000,55000,55000,-7921000,-7921000,-7921000,-7921000,-7921000,-7927000,56576000,10096000,506000,506000,57082000,811000,86000,86000,35841000,92923000,2399000,1848000,551000,2399000,58000,20000,58000,2457000,136895000,-46451000,90466000,90466000,92923000,-7921000,61000,2773000,-837000,-5924000,4882000,4893000,1000.00000000047,-1030000,-1030000,-1030000,-7915000,0,-0.08762,-0.08531,23.79408,0.02716,-8.07793566946316e-28,-0.38965,-0.38965,4.44681,-0.08757,7.14795,7.09328
"5","2013_Q2",10.03390625,"Up",-9081000,-3785000,-5296000,-9081000,44000,44000,-9037000,-9037000,-9037000,-9037000,-9037000,-9037000,66723000,28245000,986000,986000,67709000,755000,86000,86000,18532000,86241000,3040000,1926000,1114000,3364000,46000,18000,46000,3410000,138301000,-55488000,82831000,82831000,86241000,-9037000,56000,2493000,151000,-6337000,25251000,25251000,-765000,18149000,18149000,18149000,-9025000,0,-0.1091,-0.10479,20.12753,0.04117,0,-0.4412,-0.4412,4.04389,-0.10904,7.39313,7.34754
"6","2013_Q3",14.54890625,"Up",-10284000,-4239000,-6045000,-10284000,34000,34000,-10250000,-10250000,-10250000,-10250000,-10250000,-10250000,57451000,13880000,841000,841000,58292000,730000,381000,381000,21669000,79961000,4388000,2034000,2354000,5238000,32000,16000,32000,5270000,140432000,-65738000,74691000,74691000,79961000,-10250000,56000,2689000,1186000,-6319000,-7981000,-8012000,-34000,-14365000,-14365000,-14365000,-10228000,-4.33680868994202e-19,-0.13723,-0.12819,11.12868,0.07056,0,-0.49448,-0.49448,3.60321,-0.13717,5.61703,5.58644
"7","2013_Q4",10.95328125,"Down",-10644000,-3855000,-6789000,-10644000,53000,53000,-10591000,-10591000,-10591000,-10591000,-10591000,-10591000,99930000,22640000,1077000,1077000,101007000,674000,408000,408000,31422000,132429000,5293000,1836000,3457000,5706000,18000,18000,18000,5724000,202954000,-76329000,126705000,126705000,132429000,-10591000,62000,2794000,631000,-7104000,-43419000,-43424000,59288000,8760000,8760000,8760000,-10582000,0,-0.08359,-0.07997,17.70189,0.04518,0,-0.43897,-0.43897,5.25159,-0.08358,9.44339,9.38839
"8","2014_Q1",13.3026229508197,"Up",-11393000,-3593000,-7800000,-11393000,69000,69000,-11324000,-11324000,-11324000,-11324000,-11324000,-11324000,101312000,18889000,643000,557000,101955000,631000,331000,331000,23306000,125261000,7087000,2760000,4327000,7804000,11000,11000,11000,7815000,205071000,-87653000,117446000,117446000,125261000,-11324000,62000,1700000,3017000,-6545000,2812000,2792000,1999.99999999255,-3751000,-3751000,-3751000,-11331000,0,-0.09642,-0.0904,13.06445,0.06654,0,-0.44616,-0.44616,4.62732,-0.09641,8.94113,8.89248
"9","2014_Q2",9.06285714285714,"Down",-13134000,-4723000,-8411000,-13134000,72000,72000,-13062000,-13062000,-13062000,-13062000,-13062000,-13062000,105642000,13244000,943000,857000,106585000,577000,330000,330000,9141000,115726000,6100000,2515000,3585000,6392000,9000,9000,9000,6401000,210018000,-100715000,109325000,109325000,115726000,-13062000,64000,5182000,-1460000,-9276000,4128000,4118000,-487000,-5645000,-5645000,-5645000,-13070000,0,-0.11948,-0.11287,16.67475,0.05855,0,-0.51268,-0.51268,4.29096,-0.11947,8.08279,8.0434
"10","2014_Q3",8.74046875,"Down",-13087000,-4782000,-8305000,-13087000,65000,65000,-13022000,-13022000,-13022000,-13022000,-13022000,-13022000,98595000,22391000,963000,877000,99558000,1489000,538000,538000,7784000,107342000,7324000,3159000,4165000,7871000,292000,292000,292000,8163000,212886000,-113736000,99179000,99179000,107342000,-13022000,77000,3077000,1152000,-8716000,18527000,17922000,-59000,9147000,9147000,9147000,-13010000,0,-0.1313,-0.12131,12.64871,0.08231,1.65436122510606e-24,-0.5073,-0.5073,3.86377,-0.13091,7.5784,7.53381
