"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",21.77734375,"Up",11649000,-18400000,-3951000,-14204000,-6751000,1753000,-387000,2140000,-4998000,-4998000,-4998000,-4998000,-4998000,-4998000,-47814025.4444549,-39146209.3058607,-8667816.13859423,-16101600.6249484,-276994.72834428,-276994.72834428,-64192620.7977476,4570711.20183965,3282580.77286029,2335956.93187101,195238.222031348,7853291.97469993,-56339328.8230476,14367705.8800008,501660.130899495,13866045.7491013,-10463757.0277433,5687781.30833696,3338983.37477405,37750438.931612,27286681.9038687,241309948.822342,-322428156.272566,-2507803.27669279,-83626010.7269163,-83626010.7269163,-56339328.8230476,-4998000,588000,-1148000,-6631000,-12189000,-94000,-94000,-94000,9213000,9119000,2122000,2122000,2122000,-948000,-948000,104000,-844000,-6163000,0,-0.57953,-0.42905,-1.71724833530913,-0.92668837385316,2.57375032080079,1.95151644953453,0.361551003266956,-0.60609,-0.60609,1.41263,-0.633459698039066,-1.12357335321454,-41.6275868094635,-38.720182291621
"2","2011_Q1",29.8354838709677,"Up",1766000,-17381000,-4185000,-12951000,-15615000,493000,-393000,886000,-15122000,-15122000,-15122000,-15122000,-15122000,-15122000,72154000,22453000,49701000,1001000,1360000,1360000,74515000,6404000,3330000,2312000,719000,9734000,84249000,12488000,2329000,10159000,13917000,7282000,1627000,18221000,32138000,369802000,-316945000,-746000,52111000,52111000,84249000,-15122000,546000,1362000,-4672000,-17886000,-287000,-287000,-287000,-30941000,-31228000,43364000,43364000,43364000,-5750000,-5750000,-6000,-5756000,-15069000,10939000,-8.84202,-8.56285,-0.29019,-0.17949,5.35424,0.61672,0.12984,-1.83379,-1.83379,0.21416,6.31932,-0.21501,4.06231,3.92027
"3","2011_Q2",26.3349206349206,"Down",1744000,-19671000,-4754000,-14672000,-17927000,-539000,-457000,-82000,-18466000,-18466000,-18466000,-18466000,-18466000,-18466000,90807925.1481516,37522403.1019536,53285522.0461981,4402033.54164945,1913831.57611476,1913831.57611476,97123790.2659158,6863012.93272012,3278223.07571324,2304014.356043,900753.92598955,10141236.0084334,107265026.274349,10466514.7066664,2430863.28970017,8035651.41696623,16751252.3425811,7228489.56388768,1249672.20840865,14640520.3561293,31391772.6987104,403647767.059219,-327671197.909145,-103315.574435737,75873253.5756388,75873253.5756388,107265026.274349,-18466000,605000,2299000,-3933000,-19495000,-141000,-141000,-141000,17141000,1.7e+07,939000,939000,939000,-1556000,-1556000,74000,-1482000,-17322000,0,-10.27924,-10.5883,0.027165278436376,-0.0106547087156134,6.4220023930664,0.352202016821824,0.0968079989110147,-1.59567,-1.59567,0.1507,6.60646073267969,-0.0075988822618189,13.6021047698212,12.827936597207
"4","2011_Q3",24.3875,"Down",7269000,-17365000,-4054000,-13257000,-10096000,-539000,-464000,-75000,-10635000,-10635000,-10635000,-10635000,-10635000,-10635000,61724000,27479000,34245000,1139000,1788000,1788000,64651000,6570000,3209000,2312000,897000,9779000,74430000,8855000,1742000,7113000,10284000,6442000,1502000,18316000,28600000,392048000,-346046000,-172000,45830000,45830000,74430000,-10635000,398000,1909000,-1301000,-9629000,-278000,-278000,-278000,-2283000,-2560999.99999999,18653000,18653000,18660000,6470000,6470000,38000,6508000,-9698000,11874000,-1.38891,-1.46306,-0.23205,-0.14289,6.28656,0.62405,0.15953,-0.90231,-0.90231,0.61673,3.88838,-0.16579,5.14024000000001,4.9376
"5","2011_Q4",28.1539682539683,"Up",1174000,-15994000,-4217000,-11777000,-14820000,-409000,-467000,58000,-15229000,-15229000,-15229000,-15229000,-15229000,-15229000,53221000,19072000,34149000,783000,1393000,1393000,55397000,6127000,3195000,2312000,883000,9322000,64719000,8629000,1313000,7316000,10058000,6090000,1507000,18432000,28490000,398122000,-361275000,-618000,36229000,36229000,64719000,-15229000,305000,2050000,170000,-12704000,-145000,-145000,-145000,-190000,-335000,4787000,4787000,4787000,-8252000,-8252000,-155000,-8407000,-14515000,12342000,-12.62351,-12.97189,-0.42035,-0.23531,5.50776,0.78639,0.1907,-1.22746,-1.22746,0.09462,2.92007,-0.27861,2.81633,2.75837
"6","2012_Q1",40.4096774193548,"Up",11427000,-16161000,-4545000,-11616000,-4734000,467000,-466000,933000,-4267000,-4267000,-4267000,-4267000,-4267000,-4267000,113961000,31941000,82020000,9527000,1130000,1130000,124618000,6163000,3321000,2312000,1009000,9484000,134102000,10199000,2040000,8159000,27219000,7003000,617000,7003000,34222000,466431000,-365542000,-1009000,99880000,99880000,134102000,-4267000,294000,1151000,-2466000,-5288000,-578000,-578000,-578000,-48144000,-48722000,67061000,67061000,67054000,13044000,13044000,-175000,12869000,-4440000,12810000,-0.414279999999998,-0.373410000000003,-0.04272,-0.03182,4.57835,0.34263,0.09552,-0.29892,-0.29892,0.80052,6.99709,-0.03565,22.78176,21.36692
"7","2012_Q2",42.7555555555556,"Up",2350000,-18198000,-5793000,-12405000,-15848000,-657000,-535000,-122000,-16505000,-16505000,-16505000,-16505000,-16505000,-16505000,106881000,19753000,87128000,1375000,1868000,1868000,110124000,6962000,3590000,2498000,1092000,10552000,120676000,8659000,2358000,6301000,25817000,6480000,631000,6480000,32297000,471006000,-382047000,-580000,88379000,88379000,120676000,-16505000,292000,3173000,4859000,-8181000,-932000,-932000,-932000,-5411000,-6343000,2253000,2253000,2253000,-12271000,-12271000,83000,-12188000,-15556000,13357000,-6.74383,-7.0234,-0.18675,-0.13677,4.26556,0.36544,0.11068,-1.06189,-1.06189,0.15119,5.68606,-0.15252,6.01209,5.90131
"8","2012_Q3",41.184126984127,"Down",2684000,-17333000,-5957000,-11376000,-14649000,-461000,-524000,63000.0000000002,-15110000,-15110000,-15110000,-15110000,-15110000,-15110000,160199000,34530000,125669000,1284000,4145000,4145000,165628000,6833000,3434000,2356000,1078000,10267000,175895000,8495000,1155000,7340000,25259000,5928000,616000,5928000,31187000,543112000,-397157000,-1247000,144708000,144708000,175895000,-15110000,3e+05,2951000,-3830000,-15689000,-471000,-471000,-471000,-38904000,-39375000,70037000,70037000,70037000,14973000,14973000,-196000,14777000,-14349000,13905000,-5.4579,-5.62966,-0.10442,-0.0859,6.55719,0.21552,0.07905,-0.90103,-0.90103,0.16005,8.62913,-0.09183,10.19541,9.98662
"9","2012_Q4",36.5879032258064,"Down",2874000,-19971000,-7121000,-12850000,-17097000,-694000,-498000,-196000,-17791000,-17791000,-17791000,-17791000,-17791000,-17791000,148279000,24650000,123629000,3685000,2419000,2419000,154383000,6948000,3491000,2408000,1083000,10439000,164822000,10741000,1578000,9163000,29365000,5399000,624000,5399000,34764000,545945000,-414948000,-939000,130058000,130058000,164822000,-17791000,306000,2788000,2350000,-12347000,-324000,-324000,-324000,1766000,1442000,930000,930000,930000,-9975000,-9975000,95000,-9880000,-16791000,14452000,-5.94885,-6.19033,-0.13679,-0.10794,5.25738,0.2673,0.08768,-1.00022,-1.00022,0.16158,7.31197,-0.11868,7.97016,7.82751
"10","2013_Q1",26.7033333333333,"Down",1806000,-21808000,-9293000,-12515000,-20002000,-541000,-503000,-38000,-20543000,-20543000,-20543000,-20543000,-20543000,-20543000,125130000,7599000,117531000,1005000,2052000,2052000,128187000,7965000,3600000,2475000,1125000,11565000,139752000,12229000,2166000,10063000,19014000,5912000,629000,5912000,24926000,550912000,-435491000,-595000,114826000,114826000,139752000,-20543000,309000,5023000,7619000,-7592000,-1204000,-1204000,-1204000,5787000,4583000.00000001,822000,822000,-14178000,-17187000,-17187000,136000,-17051000,-19693000,0,-11.0753,-11.37486,-0.17891,-0.147,6.74172,0.21708,1.38777878078145e-17,-1.13571,-1.13571,0.09984,6.34812,-0.17015,6.35403,6.25587
