"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",14.7736206896552,"Down",5902000,4646000,5348000,-702000,1256000,4000,830000,422000,-135000,5767000,-4287000,-141000,-4146000,1480000,1480000,1538000,-244000,1294000,1294000,1294000,1294000,13493000,96000,182233000,389353000,-2876000,392229000,6806000,5448000,4871000,602300000,475872000,368246000,107626000,33739000,7435000,542046000,23343000,-831000,40601000,-2859000,60254000,60254000,602300000,1294000,345000,135000,894000,-1601000,1067000,-20000,3966000,-8557000,-5179000,-1050000,5070000,81000,4807000,8908000,4796000,4796000,4796000,1825000,58739000,448000,0.25076,0.21925,0.02148,0.00215,0.34621,8.99602,0.09752,0.27135,0.27078,1.23764,12.63518,0.09395,0.22018,0.00389,0.00074,0.81144,24.79233,30.57162
"2","2017_Q4",15.3477419354839,"Up",5924000,4705000,5457000,-752000,1219000,2000,822000,395000,-149000,5775000,-4423000,-148000,-4275000,1352000,1352000,1333000,-127000,1206000,1206000,1206000,1206000,13219000,133000,188393000,379709000,-2907000,382616000,6695000,5448000,6325000,599922000,473583000,363703000,109880000,32707000,8184000,539474000,23359000,-831000,40759000,-2839000,60448000,60448000,599922000,1206000,355000,149000,1991000,-2695000,1006000,-53000,-5773000,9280000,3126000,-1048000,-1032000,1.45519152283669e-11,-2289000,-4369000,-237000,-237000,-237000,1707000,57707000,-914000,0.22822,0.20358,0.01995,0.00201,-0.75788,8.9246,0.09619,0.25295,0.25241,1.24252,12.67862,-0.19171,0.21981,0.00376,-0.00152,0.86899,26.0621,32.90533
"3","2018_Q1",15.6162295081967,"Up",5822000,4621000,5395000,-774000,1201000,2000,860000,339000,-50000,5772000,-4804000,-140000,-4664000,968000,968000,937000,-359000,578000,578000,578000,578000,9839000,58000,182502000,380965000,-2939000,383904000,8887000,5448000,4246000,591945000,477668000,361757000,115911000,21769000,8121000,532558000,23376000,-831000,40876000,-4034000,59387000,59387000,591945000,578000,360000,50000,1535000,971000,3494000,-2379000,4300000,-838000,957000,-1049000,-10938000,0,4081000,-7906000,-3455000,-3455000,-3455000,1328000,46769000,279000,0.16627,0.09928,0.00973,0.00098,0.4827,8.96759,0.07901,0.12123,0.12084,1.22114,12.45615,0.05852,0.22002,0.00275,0.00047,1.81488,27.80873,38.15083
"4","2018_Q2",16.386875,"Up",5819000,4645000,5439000,-794000,1174000,-21000,849000,346000,-158000,5661000,-4341000,-177000,-4164000,1320000,1320000,1256000,71000,1327000,1327000,1327000,1327000,12130000,22000,177035000,386145000,-3035000,389180000,8724000,5448000,5480000,594984000,488126000,368559000,119567000,16240000,7619000,536985000,23391000,-833000,41310000,-5869000,57999000,57999000,594984000,1327000,360000,158000,22000,-1140000,727000,-40999.9999999995,2939000,-5142000,-2344000,-1049000,-5529000,-5000,10455000,3872000,2255000,2255000,2255000,1680000,41240000,428000,0.22684,0.22805,0.02288,0.00223,0.32253,9.25852,0.06931,0.27817,0.27716,1.21982,12.15813,0.08972,0.2199,0.00399,0.00072,0.7905,17.32738,22.05303
"5","2018_Q3",17.1785714285714,"Up",6550000,5054000,5944000,-890000,1496000,52000,908000,536000,-41000,6509000,-4540000,-177000,-4363000,1969000,1969000,1603000,-34000,1569000,1569000,1569000,1569000,15956000,1206000,171840000,418653000,-3058000,421711000,8675000,9139000,6043000,631512000,532439000,410338000,122101000,11343000,8070000,566852000,29913000,-773000,41758000,-6238000,64660000,64660000,631512000,1569000,357000,41000,-272000,140000,1835000,-25000,3623000,-330000,10829000,-1121000,-14897000,98000,8266000,-7654000,5010000,5010000,5010000,2326000,26343000,2475000,0.30061,0.23954,0.02427,0.00248,1.57744,8.76666,0.04171,0.31453,0.31325,1.31306,12.96225,0.49616,0.22472,0.00426,0.00392,0.71447,4.46561,5.27527
"6","2018_Q4",16.8398360655738,"Down",6420000,5179000,6129000,-950000,1241000,-4000,958000,287000,-32000,6388000,-4899000,-140000,-4759000,1489000,1489000,1356000,29000,1385000,1385000,1385000,1385000,14280000,1048000,166553000,415037000,-3038000,418075000,8659000,9139000,5973000,620689000,529787000,406078000,123709000,4352000,6168000,555307000,29934000,-773000,42023000,-5802000,65382000,65382000,620689000,1385000,353000,32000,-66000,-944000,760000,-186000,4024000,4329000,8167000,-1120000,-6991000,0,-2650000,-10761000,-1834000,-1834000,-1834000,1842000,19352000,683000,0.23193,0.21573,0.02118,0.00223,0.49314,8.49327,0.03118,0.27179,0.27035,1.25984,12.83034,0.13403,0.21979,0.00404,0.0011,0.80866,2.75353,3.40631
"7","2019_Q1",16.6234482758621,"Down",6254000,5138000,6139000,-1001000,1116000,-215000,1018000,313000,-106000,6148000,-4857000,-146000,-4711000,1291000,1291000,1030000,593000,1623000,1623000,1623000,1623000,15617000,3280000,167249000,414597000,-3034000,417631000,8744000,9139000,6610000,625236000,521722000,395665000,126057000,14511000,6625000,557858000,29955000,-803000,42525000,-4299000,67378000,67378000,625236000,1623000,364000,106000,378000,-472000,1999000,-296000,-1255000,-266000,-1817000,-1121000,10159000,-31000,-8061000,946000,1128000,1128000,1128000,1655000,29511000,294000,0.20643,0.25951,0.02409,0.0026,0.18115,8.27953,0.0472,0.3186,0.31709,1.22769,13.22659,0.05771,0.22006,0.00439,0.00047,0.6907,8.39517,10.7622
"8","2019_Q2",16.555,"Down",6254000,5159000,6218000,-1059000,1095000,-56000,881000,270000,-15000,6239000,-4835000,-197000,-4638000,1404000,1404000,1404000,10000,1414000,1414000,1414000,1414000,15002000,9275000,167501000,411985000,-2994000,414979000,8644000,9047000,6328000,627782000,523856000,395186000,128670000,2683000,7070000,558609000,29974000,-803000,42818000,-2816000,69173000,69173000,627782000,1413000,351000,15000,135000,438000,2352000,-96000,3399000,-75000,3228000,-1120000,1226000,19557.1597126202,2135000,2241000,7821000,7821000,7821000,1755000,27683000,2087000,0.2245,0.2261,0.02044,0.00225,1.47595,8.07554,0.0441,0.27752,0.27633,1.22745,13.57629,0.40961,0.21982,0.00404,0.00332,0.79208,7.22564,9.03205
"9","2019_Q3",16.5430158730159,"Down",6765000,5552000,6712000,-1160000,1213000,0,957000,256000,459000,7224000,-5280000,-365000,-4915000,1944000,1944000,1930000,-86000,1844000,1844000,1844000,1844000,14431000,14215000,204543000,404436000,-3015000,407451000,8518000,9047000,6874000,662064000,534375000,411020000,123355000,2857000,7306000,589538000,3e+07,-712000,43539000,-301000,72526000,72526000,662064000,1845000,394000,-459000,156000,128000,2064000,-74000,-38794000,122000,-38746000,-1124000,28467000,89000,10521000,37953000,1271000,1271000,1271000,2338000,47857000,2478000,0.28736,0.27258,0.02543,0.00279,1.34382,8.12864,0.07228,0.36151,0.36008,1.32624,14.21836,0.4858,0.22035,0.00448,0.00374,0.60954,14.29683,17.19444
"10","2019_Q4",16.49453125,"Down",6300000,5104000,6380000,-1276000,1196000,0,894000,302000,46000,6346000,-5578000,-210000,-5368000,768000,768000,990000,103000,1093000,1093000,1093000,1093000,13239000,2764000,225119000,402264000,-3057000,405321000,8487000,9047000,6187000,667107000,536836000,401812000,135024000,3981000,7504000,593321000,30022000,-637000,43593000,808000,73786000,73786000,667107000,1093000,496000,-46000,150000,380000,2073000,170000,-18256000,12769000,-5496000.00000001,-1122000,-10223000,69000,2454000,-8821999.99999999,-12245000,-12245000,-12245000,1264000,48981000,1711000,0.1219,0.17349,0.01481,0.00164,1.56542,8.04111,0.07342,0.21402,0.21327,1.2336,14.44801,0.33503,0.2197,0.00332,0.00256,1.02653,28.2769,46.53906
