"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",19.1079365079365,"Up",52108000,-21448000,30660000,-25415000,-14197000,-10899000,-319000,5245000,514000,-2000,516000,5759000,0,5759000,-2077000,3682000,3630000,3630000,3630000,-1641235163.82457,-1641235163.82457,506037252.581027,506037252.581027,-133015189.6587,335331863.784164,35490936.0245194,61575801.8869828,159532158.280454,-932881237.118076,16025656.2425797,1890923401.04529,358508992.972557,1507567825.44714,24791699.1059331,1906949057.28787,974067820.169791,141021597.728134,-237553681.77995,378575279.508084,206601598.092166,206594079.347225,347623195.825165,185590145.252229,107390086.201943,78195204.6422573,185590145.341231,533213341.166396,215446666.264227,225674134.808047,-266322.068879073,440854479.003395,440854479.003395,974067820.169791,3630000,1747000,701000,3272000,9350000,-2153000,15872000,-78000,294000,294000,770000,25992000,25992000,6000,25998000,6992000,0,10188000,0.58839,0.10066,0.06966,0.802515812989705,0.666517600893638,2.80661,-84.0813653950043,1.64233707448851,1.27069622458984e-10,0.15821,0.15506,2.27109,2684.11677993725,0.44404,0.750499963097044,1.83967316899792,728.171383848339,1501.70980864675
"2","2011_Q3",15.14109375,"Down",55513000,-23873000,31640000,-24815000,-14019000,-10479000,-317000,6825000,361000,-43000,404000,7186000,-307000,6879000,-1696000,5183000,5183000,5183000,5183000,-605982581.912283,-605982581.912283,246107626.290514,246107626.290514,-51730594.8293502,152438431.892082,17458468.0122597,27518400.9434914,68958079.140227,-259167118.559038,15560328.1212899,864053700.522644,162615496.486279,687590912.723571,13819849.5529666,879614028.643934,620446910.084895,80967798.8640668,-100729340.889975,181697139.754042,91870799.0460832,91867039.6736126,172838597.912582,90013072.6261144,49314543.1009717,40696102.3211286,90013072.6706155,262851670.583198,212668833.132114,144375067.404024,551338.965560463,357595239.501698,357595239.501698,620446910.084895,5183000,1869000,1813000,-762000,8103000,-3620000,-3620000,-58000,1291000.00000003,1291000,1696000,6179000,6179000,19000,6198000.00000001,8694000,0,6008000,0.56996,0.12294,0.09337,0.353752906494853,0.293938800446819,1.15917,-32.8571876975021,0.819958537244257,6.35348112294918e-11,0.22439,0.21599,2.40337,1346.83577496862,0.26011,0.330924981548522,0.808071584498958,305.658741924169,641.879369323376
"3","2011_Q4",13.5230158730159,"Down",59855000,-26973000,32882000,-25783000,-14437000,-10683000,-663000,7099000,386000,-4000,390000,7485000,-1e+05,7385000,-2007000,5378000,5378000,5378000,5378000,-49509527.3040945,-49509527.3040945,103234875.430171,103234875.430171,-4041531.6097834,52940477.2973607,7797489.3374199,8737800.31449714,19889026.3800757,102624293.813654,15012442.7070966,311555566.840881,57142498.8287595,246911637.574524,7492283.18432219,326568009.547978,429192303.361632,46073932.954689,-24335780.2966584,70409713.2513474,30073266.3486944,30072013.2245375,76147199.3041941,38280357.5420382,17842514.3669906,20437034.1070429,38280357.5568718,114427556.861066,212482944.377371,101252022.468008,1029779.65518682,314764746.500566,314764746.500566,429192303.361632,5378000,2323000,1298000,-3607000,5392000,-1938000,-31446000,-110000,94548000,94548000,93991000,67937000,67937000,47000,67984000,9422000,0,5884000,0.54936,0.1186,0.08985,0.110040968831618,0.0915996001489397,1.09409,-4.73795923250071,0.366466179081419,2.11782704098306e-11,0.2047,0.19682,2.27819,543.182334989541,0.22396,0.103038327182841,0.246387194832986,74.4685406413898,168.310129774459
"4","2012_Q1",13.9335483870968,"Up",61234000,-26517000,34717000,-28339000,-15215000,-12439000,-685000,6378000,256000,4000,252000,6634000,-155000,6479000,-2280000,4199000,4251000,4251000,4251000,162875000,162875000,44786000,44786000,18540000,13983000,4171000,1075000,1059000,240184000,14520000,100858000,16702000,79558000,4598000,115378000,355562000,30068000,7972000,22096000,6138000,6138000,36206000,17920000,5654000,12266000,17920000,54126000,214068000,86113000,1255000,301436000,301436000,355562000,4251000,2409000,2015000,-46000.0000000009,8629000,-3489000,-3489000,-52000,1161999.99999999,1162000.00000001,1343000,6482999.99999999,6482999.99999999,-29000,6454000,8787000,-1.0842021724855e-19,7532000,0.56696,0.10416,0.06942,0.0141,0.01196,1.77182,6.63382,0.17956,0,1.99671,0.14122,28.76186,141.58572,3.53781,0.01331,0.02358,-18.53591,-25.537
"5","2012_Q2",12.4420634920635,"Down",49122000,-19206000,29916000,-26326000,-13645000,-11865000,-816000,3590000,402000,-3000,405000,3992000,-25000,3967000,-1314000,2653000,2653000,2653000,2653000,165862000,165862000,38128000,38128000,24502000,12711000,4242000,371000,1202000,241203000,14221000,99390000,15906000,79558000,3926000,113611000,354814000,26678000,12539000,14139000,4994000,4994000,31672000,16460000,5429000,11031000,16460000,48132000,216603000,88766000,1313000,306682000,306682000,354814000,2653000,2671000,2018000,-3126000,4216000,-1666000,-1666000,-59000,90000,90000,406000,2956000,2956000,31000,2987000,6261000,0,2783000,0.60901,0.07308,0.05401,0.00865,0.00748000000000001,1.049,7.61565,0.15694,0,0.09062,0.08834,1.67784,10.47519,0.09506,0.00821,0.00861,-26.4913,-46.20111
"6","2012_Q3",10.6034920634921,"Down",67959000,-27046000,40913000,-26835000,-14419000,-11724000,-692000,14078000,388000,-6000,394000,14466000,-593000,13873000,-4828000,9045000,9045000,9045000,9045000,104955000,104955000,46807000,46807000,22760000,24457000,5262000,1955000,8495000,198979000,14452000,164225000,27545000,132471000,4209000,178677000,377656000,29621000,7168000,22453000,9595000,9595000,39216000,20229000,9755000,10474000,20229000,59445000,219107000,97811000,1293000,318211000,318211000,377656000,9045000,2597000,348000,-962000,11028000,-1925000,-72576000,-43000,695000,695000,659000.000000004,-60889000,-60889000,-18000,-60907000,16675000,0,18616000,0.60202,0.20715,0.13309,0.02842,0.02395,2.05815,5.07392,0.18681,0,0.30706,0.30181,2.30706,10.80256,0.63197,0.02673,0.05501,-6.29415,-7.45525
"7","2012_Q4",8.68338709677419,"Down",66989000,-31926000,35063000,-27812000,-15217000,-11452000,-1143000,7251000,519000,-5000,524000,7770000,-145000,7625000,-2380000,5245000,5245000,5245000,5245000,114845000,114845000,38190000,38190000,21802000,26366000,4894000,1668000,11672000,201203000,15351000,162792000,26231000,132325000,4236000,178143000,379346000,32625000,8204000,24421000,4870000,4870000,37495000,16755000,11312000,5443000,16755000,54250000,220759000,103056000,1281000,325096000,325096000,379346000,5245000,3113000,3081000,1004000,12443000,-2897000,-2897000,-35000,246000,246000,286000,9832000,9832000,58000,9890000,10364000,0,10851000,0.52341,0.10824,0.0783,0.01613,0.01383,2.06883,5.36613,0.16687,6.46234853557053e-27,0.17742,0.17385,2.26605,10.99709,0.36706,0.01534,0.03174,-11.08115,-15.83851
"8","2013_Q1",7.55083333333333,"Down",5.3e+07,-25084000,27916000,-24187000,-12344000,-10943000,-9e+05,3729000,350000,-13000,363000,4079000,1770000,5849000,-469000,5380000,5676000,5676000,5676000,115964000,115964000,38532000,38532000,25845000,27362000,6206000,2585000,10918000,207703000,15929000,161974000,25083000,132621000,4270000,177903000,385606000,32087000,9002000,23085000,4855000,4855000,36942000,15560000,9794000,5766000,15560000,52502000,223066000,108732000,1306000,333104000,333104000,385606000,5676000,3277000,-7939000,3168000,4182000,-2939000,-3663000,-47999.9999999998,6e+05,6e+05,624000,1143000.00000001,1143000.00000001,-24000,1119000.00000001,7006000,-1.38777878078145e-17,7704000,0.52672,0.07036,0.10709,0.01704,0.01472,1.35729,5.62241,0.15761,0,0.19168,0.18814,1.78981,11.24895,0.26016,0.01628,0.0221,-16.5521,-31.09788
"9","2013_Q2",8.64,"Up",49428000,-29038000,20390000,-26360000,-14533000,-10039000,-1788000,-5970000,333000,-6000,339000,-5637000,-5214000,-10851000,3651000,-7200000,-7200000,-7200000,-7200000,30568000,30568000,40503000,40503000,40438000,31777000,6253000,2307000,10959000,143286000,19738000,223956000,41795000,177517000,4644000,243694000,386980000,31902000,10888000,21014000,4602000,4602000,36504000,21922000,16134000,5788000,21922000,58426000,225684000,101532000,1338000,328554000,328554000,386980000,-7200000,3999000,-1189000,-5559000,-9949000,-980000,-68966000,-6621000,133000,133000,-6479000,-85394000,-85394000,-2000,-85396000,-1971000,0,-12161000,0.41252,-0.12078,-0.14567,-0.02191,-0.01861,1.68903,3.92521,0.17783,1.03397576569128e-25,-0.24094,-0.24094,1.65405,10.99468,-0.40695,-0.02054,-0.0347,15.50888,5.12026999999999
"10","2013_Q3",9.48296875,"Up",49804000,-32232000,17572000,-24392000,-14574000,-7588000,-2230000,-6820000,103000,-13000,116000,-6717000,-259000,-6976000,2192000,-4784000,-4784000,-4784000,-4784000,33900000,33900000,35275000,35275000,40783000,33822000,5444000,2617000,12567000,143780000,18261000,220098000,39565000,178429000,2104000,238359000,382139000,29255000,8875000,20380000,6007000,6007000,35262000,20794000,15365000,5429000,20794000,56056000,228129000,96748000,1206000,326083000,326083000,382139000,-4784000,4421000,-625999.999999999,2548000,1559000,-746000,-858000,-221999.999999999,537000,537000,2541000,3242000,3242000,90000,3332000.00000001,-2399000,0,-2789000,0.35282,-0.13694,-0.09606,-0.01467,-0.01252,0.58298,4.07748,0.17191,0,-0.1589,-0.1589,1.65423,10.8308,-0.09264,-0.01379,-0.00804,14.13089,4.97067
