"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",3.5231746031746,"Down",12192000,-5965000,6227000,-6894000,-5071000,-1823000,-667000,7000,-22000,29000,-660000,-660000,-18000,-678000,-678000,-678000,-678000,44117741.9119543,44117741.9119543,-12403084.1863082,-12403084.1863082,2689165.35043939,1715800.255453,-2728095.48396563,4443895.73941863,36119623.3315386,-1990483.36082689,10731723.7913065,9488000,817991.769604859,8741240.43047957,44860863.7620181,-30480295.0006148,-14128749.8840493,-16351545.1165655,57172733.3197585,56864833.0409256,27352926.58189,3836807.42102233,3836807.42102233,4677006.23286722,32029932.8147572,199905960.018487,-187474402.128272,399373.057045917,12830930.9472609,12830930.9472609,44860863.7620181,-678000,280000,588000,-842000,-652000,-83000,-214000,1168000,32000,1200000,334000,334000,383000,-387000,0,-1294000,0.51074,-0.05471,-0.05561,-4.28969158665327,-2.01612618214978,1.90855,1.35454138126527,2.83060195341542,0.0317208964403203,-0.06501,-0.06501,1.16905,1.44270772758494,-0.12408,-3.76146884627691,-0.105402597649242,-43.0968105056678,521.183191662834
"2","2011_Q3",2.111875,"Down",12719000,-6441000,6278000,-6803000,-5106000,-1697000,-525000,-41000,-36000,-5000.00000000001,-566000,-566000,-13000,-579000,-579000,-579000,-579000,24071370.9559772,24071370.9559772,-2613542.09315408,-2613542.09315408,5949082.6752197,1941900.1277265,-647047.741982815,2588947.86970932,29348811.6657693,87758.3195865552,10530361.8956532,9488000,508995.88480243,10618120.2152398,39966931.8810091,-6053647.50030739,26125.0579753406,-6079772.55828274,26645366.6598792,26206916.5204628,21255463.290945,2116903.71051117,2116903.71051117,3069003.11643361,24324466.4073786,196227980.009244,-180984701.064136,399186.528522958,15642465.4736305,15642465.4736305,39966931.8810091,-579000,281000,626000,320999.999999999,649000.000000001,-137000,26000,-350000,-163000,-486000,189000,189000,187000,-244000,0,-47000.0000000005,0.49359,-0.04128,-0.04552,-2.07934579332664,-0.977308091074891,0.081170000000002,1.44569069063263,1.81493097670771,0.0400104482201601,-0.05552,-0.05552,1.21958,1.58312386379247,-0.00450999999999993,-1.82193942313846,-0.156266298824621,-24.4442652528339,224.106690831417
"3","2011_Q4",1.79603174603175,"Down",12382000,-6023000,6359000,-6712000,-4960000,-1752000,-353000,-36000,-29000,-7000,-389000,-389000,-10000,-399000,-399000,-399000,-399000,11912790.3186591,11912790.3186591,1920819.30228197,1920819.30228197,8077027.55840657,1703966.70924217,348317.419339062,1355649.28990311,23614603.8885898,1259919.43986219,10388453.9652177,9488000,301331.96160081,11648373.4050799,35262977.2936697,6416784.1665642,6799375.01932511,-382590.852760912,10285455.5532931,9759972.17348759,17368154.430315,1077634.57017039,1077634.57017039,2034334.37214454,19402488.8024595,193869993.336415,-178408567.021379,399062.176174319,15860488.4912101,15860488.4912101,35262977.2936697,-399000,279000,335000,-2164000,-1949000,-72000,-72000,-199000,0,-150000,-2171000,-2171000,-2165000,-74000,0,-2300000,0.51357,-0.02851,-0.03222,-0.817218597775545,-0.38424936369163,5.76441,1.38884356354421,1.3014769922359,0.04609014940672,-0.03813,-0.03813,1.18341,1.54309128793082,-0.21982,-0.715306474379485,-0.164618766274874,-8.61388841761129,63.034970277139
"4","2012_Q1",2.87209677419355,"Up",12028000,-6478000,5550000,-9069000,-7308000,-1761000,-3519000,-81000,-36000,-45000,-3600000,-3600000,-15000,-3615000,-3615000,-3615000,-3615000,5836000,5836000,2908000,2908000,9160000,1241000,605000,636000,19145000,1761000,10286000,9488000,175000,12047000,31192000,10358000,8358000,2e+06,4036000,3467000,15061000,550000,550000,1428000,16489000,192781000,-178477000,399000,14703000,14703000,31192000,-3615000,303000,221000,899000,-2192000,-121000,-121000,-205000,-164000,-352000,-2665000,-2665000,-2644000,-3216000,1545000,-2423000,0.46142,-0.29257,-0.30055,-0.24587,-0.1159,0.67026,1.27116,1.12147,0.04953,-0.34646,-0.34646,1.15277,1.40914,-0.23222,-0.2152,-0.14424,1.33427,1.21938
"5","2012_Q2",2.31142857142857,"Down",11184000,-5882000,5302000,-6677000,-4982000,-1695000,-1375000,-56000,-27000,-29000,-1431000,-1431000,-13000,-1444000,-1444000,-1444000,-1444000,4035000,4035000,2056000,2056000,9285000,792000,470000,322000,16168000,1826000,10203000,9488000,110000,12029000,28197000,9197000,6869000,2328000,3840000,3271000,13704000,365000,365000,1105000,14809000,192910000,-179921000,399000,13388000,13388000,28197000,-1444000,252000,161000,-332000,-1363000,-209000,-209000,-219000,0,-219000,-1791000,-1791000,-1801000,-1123000,1407000,-1651000,0.47407,-0.12294,-0.12911,-0.10786,-0.05121,1.14335,1.1798,1.10614,0.0499,-0.13674,-0.13674,1.05909,1.2678,-0.15634,-0.09525,-0.10891,2.34016,1.91127
"6","2012_Q3",1.94888888888889,"Down",10452000,-5411000,5041000,-6374000,-4728000,-1646000,-1333000,-31000,-23000,-8000,-1364000,-1364000,-13000,-1377000,-1377000,-1377000,-1377000,3303000,3303000,1409000,1409000,8453000,720000,397000,323000,13885000,1699000,10161000,9488000,86000,11860000,25745000,6836000,4836000,2e+06,5135000,4566000,12638000,342000,342000,902000,13540000,193104000,-181298000,399000,12205000,12205000,25745000,-1377000,242000,768000,-60999.9999999995,-428000,-96000,-96000,-188000,-30000,-218000,-742000,-742000,-732000,-1091000,1227000,-1235000,0.4823,-0.12754,-0.13175,-0.11282,-0.05349,0.89688,1.09867,1.10938,0.04766,-0.13013,-0.13013,0.98771,1.15337,-0.11671,-0.09997,-0.08966,1.90284,1.55739
"7","2012_Q4",1.73612903225806,"Down",12134000,-6215000,5919000,-5897000,-4122000,-1775000,22000,-39000,-26000,-13000,-17000,-17000,-24000,-41000,-41000,-41000,-41000,1834000,1834000,2675000,2675000,6751000,1264000,733000,531000,12524000,1615000,10140000,9488000,83000,11755000,24279000,6702000,4426000,2276000,3864000,3295000,11233000,312000,312000,674000,11907000,193312000,-181339000,399000,12372000,12372000,24279000,-41000,243000,193000,-1523000,-1128000,-141000,-141000,-218000,0,-2e+05,-1469000,-1469000,-1469000,265000,1029000,-1375000,0.4878,0.00181,-0.00338,-0.00330999999999998,-0.00169,33.53659,1.11493,0.96242,0.04238,-0.00382,-0.00387,1.13022,1.15238,-0.12807,-0.00299000000000001,-0.10027,-3.03774,-36.59091
"8","2013_Q1",2.0175,"Up",11612000,-5728000,5884000,-5986000,-4192000,-1794000,-102000,-53000,-21000,-32000,-155000,-155000,-23000,-178000,-178000,-178000,-178000,11374000,11374000,2674000,2674000,5955000,1171000,549000,622000,21174000,1605000,9866000,9488000,87000,11471000,32645000,5663000,3563000,2100000,3865000,3574000,10195000,303000,303000,518000,10713000,203050000,-181517000,399000,21932000,21932000,32645000,-178000,251000,107000,216000,396000,-193000,-193000,-199000,0,9337000,9540000,9540000,9540000,149000,882000,195000,0.50672,-0.00878,-0.01533,-0.00812,-0.00545,-1.09551,2.0769,0.48846,0.02702,-0.01355,-0.0134,0.88412,1.66986,0.01485,-0.0077,0.00844,-70.41611,102.86275
"9","2013_Q2",1.8471875,"Down",11202000,-5730000,5472000,-5877000,-4268000,-1609000,-405000,-10000,-15000,5000,-415000,-415000,-15000,-430000,-430000,-430000,-430000,10526000,10526000,2237000,2237000,7650000,1374000,718000,656000,21787000,1527000,10231000,9488000,86000,11758000,33545000,6217000,4809000,1408000,4611000,3954000,11495000,302000,302000,343000,11838000,203255000,-181947000,399000,21707000,21707000,33545000,-430000,218000,228000,-508000,-492000,-140000,-140000,-190000,-26000,-216000,-848000,-848000,-848000,-187000,708000,-820000,0.48848,-0.03615,-0.03839,-0.01981,-0.01282,1.90698,1.89535,0.54535,0.02111,-0.02954,-0.02954,0.76947,1.49107,-0.05633,-0.01893,-0.0361,52.50267,24.24198
"10","2013_Q3",1.538125,"Down",12162000,-6130000,6032000,-6384000,-4719000,-1665000,-352000,-39000,-16000,-23000,-391000,-391000,-21000,-412000,-412000,-412000,-412000,8452000,8452000,2348000,2348000,9694000,1302000,598000,704000,21796000,1426000,10224000,9488000,79000,11650000,33446000,6592000,5126000,1466000,4494000,3837000,11586000,281000,281000,359000,11945000,203461000,-182359000,399000,21501000,21501000,33446000,-412000,218000,247000,-1890000,-1837000,-49000,-49000,-188000,-3.63797880709171e-12,-187999.999999999,-2074000,-2074000,-2074000,-134000,578000,-2052000,0.49597,-0.02894,-0.03388,-0.01916,-0.01232,4.98058,1.88124,0.55556,0.01728,-0.02826,-0.02826,0.83427,1.47489,-0.14076,-0.01843,-0.09177,58.76119,22.36932
