"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",1.48492063492063,"Down",2169000,-1225000,944000,-2660000,-1518000,-1142000,-1716000,46000,2000,44000,-1670000,-1515000,-1000,-1516000,-1516000,-1516000,-1516000,-13189380.1981534,-13189380.1981544,-20512823.6253571,-20512823.6253571,11356336.1060346,-2669449.16648522,-2669449.16648522,-25015316.8839612,1470254.47331631,7938412.85577305,7938412.85577305,9408667.32908935,-15606649.5548718,4090812.63384047,-3616041.36926314,7706854.00310361,-4241569.46160971,3372645.86325219,-150756.827769156,235140.074298529,235140.434198958,84383.6064298018,50478492.6216628,-66039545.0910178,-114735.486705736,-15675787.9560608,-15691033.1613016,-15606649.5548718,-1516000,147000,287000,-1485000,-2567000,0,0,12000,12000,12000,-2555000,-2555000,194000,-2361000,-1569000,0,-3053000,0.43522,-0.79115,-0.69894,-5.14065943935758,-3.63592499181881,2.01385,-0.900094868553357,1.06012614135655,2.43996413111035e-08,-0.17492,-0.17492,0.25026,-1.6987007577265,-0.35226,-4.94641142239191,3.5083487195955,-89.8215367230736,-69.4758557412034
"2","2011_Q3",1.215625,"Down",3577000,-2223000,1354000,-2691000,-1495000,-1196000,-1337000,580000,1000,579000,-757000,-757000,-10000,-767000,-767000,-767000,-767000,-3267690.09907672,-3267690.09907722,-9151911.81267856,-9151911.81267856,7513668.05301731,-1124224.58324261,-1124224.58324261,-6030158.44198058,1268627.23665815,4055206.42788652,4055206.42788652,5323833.66454468,-706324.777435904,2395406.31692023,-1647520.68463157,4042927.0015518,-1510284.73080485,1580822.9316261,885121.586115422,403070.037149265,403070.217099479,1288191.8032149,48849746.3108314,-52236772.5455089,1400132.25664713,-1986893.97803038,-1994516.5806508,-706324.777435904,-767000,145000,240000,-187000,-569000,-3000,-3000,231000,231000,231000,-341000,-341000,-4000,-345000,-1192000,0,-1372000,0.37853,-0.37378,-0.21443,-2.23153971967879,-1.5783724959094,1.78879,2.25724256572332,0.618898070678277,1.21998206555517e-08,-0.08785,-0.08785,0.40969,-0.190190378863248,-0.15714,-2.14678571119595,1.52340935979775,-36.5838483615368,-28.0069728706017
"3","2011_Q4",0.723333333333333,"Down",4242000,-2637000,1605000,-2525000,-1486000,-1039000,-920000,-30000,0,-30000,-950000,-950000,4000,-946000,-946000,-946000,-946000,2051103.30030776,2051103.30030759,-2166637.27089285,-2166637.27089285,5560222.6843391,-238408.194414203,-238408.194414203,5206280.51933981,1098875.74555272,1722735.47596217,1722735.47596217,2821611.22151489,8027891.7408547,1973802.10564008,-151173.561543856,2124975.66718393,-187428.243601618,604274.310542032,1786373.86203847,459356.679049755,459356.73903316,2245730.60107163,48043915.4369438,-44502590.848503,2243377.41888238,5784702.0073232,5782161.13978306,8027891.7408547,-946000,140000,241000,-751000,-1316000,-3000,-3000,3000,3000,3000,-1316000,-1316000,64000,-1252000,-780000,0,-1538000,0.37836,-0.21688,-0.22301,-0.644829906559597,-0.456684165303134,1.62579,3.79415752190777,0.392062690226092,4.06660688518391e-09,-0.10716,-0.10716,0.48052,0.663889873712251,-0.17422,-0.620075237065318,0.402783119932583,-7.32951278717893,-5.26615095686724
"4","2012_Q1",0.786774193548387,"Up",3749000,-2140000,1609000,-2655000,-1465000,-1190000,-1046000,169000,5.6843418860808e-14,169000,-877000,-2e+05,56000,-144000,-144000,-160000,-160000,4020000,4020000,1432000,1432000,4958000,161000,161000,10571000,954000,558000,558000,1512000,12083000,2319000,885000,1434000,221000,221000,2540000,442000,442000,2982000,47836000,-41328000,2593000,9101000,9101000,12083000,-144000,141000,195000,118000,310000,-9000,-8999.99999999994,97000,97000,97000,398000,398000,-186000,212000,-905000,-4.33680868994202e-19,-852000,0.42918,-0.27901,-0.04268,-0.01758,-0.01324,5.325,4.16181,0.32766,0,-0.01802,-0.01802,0.42228,1.02512,-0.09597,-0.01677,-0.08928,4.44199,3.84321
"5","2012_Q2",1.27015873015873,"Up",4130000,-2328000,1802000,-2683000,-1601000,-1082000,-881000,-12000,0,-12000,-893000,97000,27000,124000,124000,124000,124000,3892000,3892000,2633000,2633000,5169000,247000,247000,11941000,827000,178000,178000,1005000,12946000,2924000,1473000,1451000,209000,209000,3133000,389000,389000,3522000,48001000,-41204000,2627000,9424000,9424000,12946000,124000,137000,-809000,-1072000,-1620000,-7000,1368000,0,0,0,-252000,-252000,124000,-128000,-744000,0,-1850000,0.43632,-0.21332,0.03002,0.01316,0.00958000000000001,-14.91935,3.81136,0.37373,0,0.01388,0.01363,0.46238,1.05508,-0.20712,0.01264,-0.18853,5.23118,4.41771
"6","2012_Q3",1.16634920634921,"Down",3860000,-2732000,1128000,-2567000,-1528000,-1039000,-1439000,58000,1.4210854715202e-14,58000,-1381000,-1381000,8000.00000000001,-1373000,-1373000,-1373000,-1373000,3126000,3126000,2101000,2101000,5579000,218000,218000,11024000,707000,177000,177000,884000,11908000,3047000,1494000,1553000,271000,271000,3318000,337000,337000,3655000,48287000,-42577000,2543000,8253000,8253000,11908000,-1373000,131000,164000,279000,-799000,-11000,-11000.0000000002,114000,114000,114000,-696000,-696000,-70000.0000000001,-766000,-1308000,3.46944695195361e-18,-1048000,0.29223,-0.3728,-0.3557,-0.16636,-0.1153,0.76329,3.32248,0.44287,0,-0.1529,-0.15581,0.42984,0.91904,-0.1167,-0.15984,-0.122,2.38991,2.17234
"7","2012_Q4",0.922096774193548,"Down",2855000,-1747000,1108000,-2458000,-1525000,-933000,-1350000,7000,0,7000,-1343000,-1343000,-18000,-1361000,-1361000,-1362000,-1362000,2975000,2975000,825000,825000,5650000,247000,247000,9697000,587000,172000,172000,759000,10456000,2181000,960000,1221000,901000,185000,3082000,324000,324000,3406000,48469000,-43938000,2519000,7050000,7050000,10456000,-1361000,120000,165000,289000,-787000,-2000,-2000,0,0,716000,-73000,-73000,-78000,-151000,-1230000,0,-925000,0.38809,-0.47285,-0.47706,-0.19319,-0.13026,0.67915,3.14633,0.48312,0,-0.15041,-0.15041,0.3153,0.77858,-0.10215,-0.1847,-0.12544,2.4187,2.2037
"8","2013_Q1",0.926333333333333,"Up",4676000,-2507000,2169000,-3006000,-1872000,-1134000,-837000,60000,-4000,64000,-777000,-777000,-2000,-779000,-779000,-779000,-779000,2073000,2073000,2588000,2588000,6070000,197000,197000,10928000,510000,175000,175000,685000,11613000,2892000,1507000,1385000,1916000,508000,4808000,351000,351000,5159000,48713000,-44695000,2458000,6476000,6454000,11613000,-779000,103000,216000,-1209000,-1669000,-25000,-25000.0000000001,54000,54000,746000,-948000,-948000,46000,-902000,-734000,0,-1966000,0.46386,-0.179,-0.1666,-0.1207,-0.06708,2.52375,2.27288,0.79935,0,-0.08563,-0.08563,0.51402,0.71188,-0.21612,-0.11447,-0.28891,2.82425,2.4767
"9","2013_Q2",1.20046875,"Up",4832000,-2376000,2456000,-2719000,-1789000,-930000,-263000,-31000,-12000,-19000,-294000,-294000,-2000,-296000,-296000,-296000,-296000,1901000,1901000,2558000,2558000,6710000,326000,326000,11495000,439000,174000,174000,613000,12108000,3581000,2001000,1580000,1845000,393000,5426000,273000,273000,5699000,48949000,-44991000,2473000,6431000,6409000,12108000,-296000,86000,168000,-230000,-272000,-16000,-16000,67000,67000,111000,-177000,-177000,5000,-172000,-177000,0,-421000,0.50828,-0.05443,-0.06126,-0.04619,-0.02445,1.4223,2.1185,0.88922,-1.32348898008484e-23,-0.03229,-0.03229,0.52717,0.70161,-0.04593,-0.0443,-0.06301,10.74011,7.22814
"10","2013_Q3",1.68375,"Up",5054000,-2791000,2263000,-3030000,-2068000,-962000,-767000,-28000,-13000,-15000,-795000,-795000,-16000,-811000,-811000,-811000,-811000,1192000,1192000,2899000,2899000,6444000,390000,390000,10925000,358000,169000,169000,527000,11452000,3072000,1461000,1611000,2279000,594000,5351000,256000,256000,5607000,49187000,-45802000,2482000,5867000,5845000,11452000,-811000,84000,63000,-293000,-957000,-5000,-5000,113000,113000,346000,-616000,-616000,-93000,-709000,-683000,8.88178419700125e-16,-965000,0.44776,-0.15176,-0.16047,-0.13875,-0.07082,1.18989,2.04167,0.95928,0,-0.0872,-0.0872,0.54344,0.63086,-0.10376,-0.13293,-0.15817,1.74524,1.55411
