"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",16.2161904761905,"Down",198938000,-176736000,22202000,-14065000,-14065000,8137000,-5031000,-4636000,-243000,-152000,3106000,3106000,-309000,2797000,2797000,2797000,2201000,106802000,106802000,100150000,100150000,107027000,28824000,26415000,2409000,342803000,78635000,17655000,17655000,96290000,439093000,138376000,107319000,31057000,27171000,75724000,13775000,241271000,83751000,4287000,4287000,88038000,329309000,291523000,-180545000,-1194000,109784000,109784000,439093000,2797000,3530000,10069000,1405000,17801000,-4673000,-4673000,65764000,-2752000,63012000,76140000,76140000,-395000,75745000,11667000,110922000,8708000,0.1116,0.0409,0.01106,0.02005,0.00501,3.95638,1.42082,2.99961,0.25262,0.08067,0.0804,7.29138,4.02375,0.31916,0.00978,0.0387,0.35313,0.50633
"2","2017_Q1",17.8724193548387,"Up",185574000,-166527000,19047000,-9738000,-9738000,9309000,-4648000,-4637000,-57000,46000,4661000,174000,-2430000,-2256000,-2256000,-2256000,-2256000,119066000,119066000,67842000,67842000,105403000,32916000,30657000,2259000,325227000,91166000,20813000,20813000,111979000,437206000,132193000,112281000,19912000,33403000,70958000,1390000,236554000,89752000,4393000,4393000,94145000,330699000,293170000,-182801000,-3862000,106507000,106507000,437206000,-2256000,3194000,3882000,21045000,25865000,-11590000,-11590000,-1841000,8e+05,-1041000,13234000,13234000,-970000,12264000,12503000,123155000,24388000,0.10264,0.05016,-0.01216,-0.02118,-0.00516,-10.81028,1.37485,3.10495,0.28169,-0.06566,-0.0652,5.40087,3.09974,0.70978,-0.00964000000000001,0.1042,0.32704,0.43925
"3","2017_Q2",18.015873015873,"Up",208615000,-188697000,19918000,-8306000,-8306000,11612000,-4068000,-3007000,-1381000,320000,7544000,7544000,-2331000,5213000,5213000,5213000,5213000,115541000,115541000,96564000,96564000,120622000,25767000,23839000,1928000,358494000,103486000,15961000,15961000,119447000,477941000,145285000,123390000,21895000,32474000,95536000,6217000,273295000,88015000,4565000,4565000,92580000,365875000,295629000,-179978000,-3585000,112066000,112066000,477941000,5213000,3952000,1850000,-1077000,9938000,-16922000,-16922000,-1654000,-1155000,-2809000,-9793000,-9793000,-63000,-9856000,15564000,120489000,-104000,0.09548,0.05566,0.02499,0.04652,0.01091,-0.01995,1.31175,3.26482,0.2521,0.15452,0.15411,6.18357,3.32175,-0.00308,0.02198,-0.00044,0.31791,0.42611
"4","2017_Q3",19.9846031746032,"Up",239582000,-209657000,29925000,-10752000,-10752000,19173000,-3899000,-2924000,-1233000,258000,15274000,15274000,-5697000,9577000,9577000,9577000,9577000,130834000,130834000,117202000,117202000,116727000,28270000,25487000,2783000,393033000,112432000,14432000,14432000,126864000,519897000,175158000,149285000,25873000,38511000,82918000,8663000,296587000,89852000,4222000,4222000,94074000,390661000,297990000,-166469000,-2285000,129236000,129236000,519897000,9577000,4764000,2187000,-596000,15932000,-9805000,-9805000,322999.999999999,7408000,7731000,13858000,13858000,227000,14085000,23937000,128363000,19233000,0.12491,0.08003,0.03997,0.0741,0.01842,2.00825,1.32519,3.02285,0.2469,0.28387,0.28311,7.10146,3.83069,0.57009,0.03658,0.07346,-0.10323,-0.12888
"5","2017_Q4",20.9366666666667,"Up",253498000,-223192000,30306000,-9315000,-9315000,20991000,-2777000,-3206000,39000,390000,18214000,18214000,3523000,21737000,21737000,21737000,21737000,139065000,139065000,134458000,134458000,130381000,33578000,29776000,3802000,437482000,119635000,19244000,19244000,138879000,576361000,189008000,160858000,28150000,44498000,97703000,10409000,331209000,89139000,4245000,4245000,93384000,424593000,299872000,-146087000,-1054000,151768000,151768000,576361000,21737000,5427000,-1426000,-8148000,17590000,-8585000,-8585000,2077000,-1697000,104000,9109000,9109000,141000,9250000,26418000,133637000,6162000,0.11955,0.08281,0.08575,0.14323,0.03771,0.28348,1.32086,2.79765,0.23186,0.64138,0.62079,7.4798,4.47812,0.18182,0.07505,0.02127,-0.20547,-0.25859
"6","2018_Q1",20.5173770491803,"Down",228586000,-196026000,32560000,-1.2e+07,-1.2e+07,20560000,-4822000,-3149000,-1896000,223000,15738000,15738000,-8575000,7163000,7163000,7163000,7163000,148113000,148113000,121576000,121576000,4112000.00000001,136975000,27507000,109468000,410776000,123480000,22306000,22306000,145786000,556562000,197594000,167175000,30419000,35506000,2763000,2763000,235863000,85879000,4938000,4938000,90817000,326680000,301883000,-70932000,-558000,229882000,229882000,556562000,7163000,6735000,4352000,20953000,39203000,-8666000,-8666000,-10154000,-5287000,-14999000,15538000,15538000,30000,15568000,27295000,121385000,48157000,0.14244,0.08994,0.03134,0.03116,0.01287,6.72302,1.74159,1.42108,0.2181,0.21061,0.19476,6.72094,6.75905,1.41592,0.02011,0.13519,-0.97923,-1.3
"7","2018_Q2",25.24890625,"Up",253981000,-225723000,28258000,-11163000,-11163000,17095000,-6490000,-3297000,-4011000,818000,10605000,10605000,-1957000,8648000,8648000,8648000,8648000,138841000,138841000,117950000,117950000,4205000,168984000,35718000,133266000,429980000,126860000,23024000,23024000,149884000,579864000,201849000,169179000,32670000,43085000,4449000,4449000,249383000,82658000,4791000,4791000,87449000,336832000,304571000,-62284000,1332000,243032000,243032000,579864000,8648000,7072000,2569000,-21321000,-3032000,-11714000,-11714000,7155000,-2978000,4490000,-10256000,-10256000,386000,-9870000,24167000,125743000,-6911000,0.11126,0.06731,0.03405,0.03558,0.01491,-0.79914,1.72418,1.38596,0.21685,0.25399,0.24375,7.45928,7.13771,-0.20297,0.02315,-0.0185,-0.54198,-0.76619
"8","2018_Q3",28.9503174603175,"Up",230610000,-215559000,15051000,-10989000,-10989000,4062000,-2763000,-2672000,-765000,674000,1299000,-2098000,-1955000,-4053000,-4053000,-4053000,-4053000,113995000,113995000,119479000,119479000,5593000,162424000,26622000,135802000,401491000,145348000,25045000,25045000,170393000,571884000,201293000,167314000,33979000,39528000,1820000,1820000,242641000,90332000,4818000,4818000,95150000,337791000,307667000,-66337000,-6653000,234093000,234093000,571884000,-4053000,6130000,6087000,-2597000,5567000,-30596000,-30596000,4232000,-2752000,2202000,-22827000,-22827000,-839000,-23666000,10192000,129860000,-21046000,0.06527,0.01761,-0.01758,-0.01731,-0.00709,5.1927,1.65467,1.44298,0.22707,-0.11863,-0.11863,6.75009,6.85204,-0.61603,-0.01099,-0.05707,1.55661,3.90571
"9","2018_Q4",25.4325396825397,"Down",254976000,-238009000,16967000,-9756000,-9756000,7211000,-7948000,-2278000,-8181000,2511000,-737000,-737000,10269000,9532000,9532000,9532000,9532000,110838000,110838000,117066000,117066000,7445000,150146000,25036000,125110000,385495000,150931000,38270000,38270000,189201000,574696000,200743000,168039000,32704000,39201000,8335000,8335000,248279000,93583000,4284000,4284000,97867000,346146000,310512000,-56805000,-21977000,228550000,228550000,574696000,9532000,5878000,-8902000,8152000,14660000,-8326000,-8326000,-839000,-8725000,-11247000,-4913000,-4913000,170000,-4743000,13089000,132784000,2646000,0.06654,0.02828,0.03738,0.04171,0.01659,0.27759,1.55267,1.51453,0.23105,0.27694,0.26272,7.408,6.64023,0.07688,0.02607,0.00724,1.67668,3.04341
"10","2019_Q1",29.6196721311475,"Up",290057000,-277492000,12565000,-11634000,-11634000,931000,-1874000,-1989000,-532000,647000,-942999.999999999,-5524000,-3324000,-8848000,-8848000,-8848000,-8848000,85346000,85346000,176815000,176815000,5735000,146301000,26038000,120263000,414197000,159423000,31235000,31235000,190658000,604855000,235843000,199078000,36765000,27058000,7143000,7143000,270044000,110565000,3289000,3289000,113854000,383898000,312118000,-74981000,-14392000,220957000,220957000,604855000,-8848000,7349000,1443000,-20397000,-20453000,-2052000,-2052000,-19424000,14174000,-3177000,-25682000,-25682000,9e+05,-24782000,8280000,137623000,-10845000,0.04332,0.00321000000000001,-0.0305,-0.04004,-0.01463,1.2257,1.53381,1.73743,0.22753,-0.25563,-0.23233,8.38024,6.38383,-0.31333,-0.02445,-0.02997,6.31365,56.15145
