"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",22.8155737704918,"Up",3984400000,-3494400000,4.9e+08,-436800000,53200000,4300000,-21100000,25400000,57500000,57500000,-23300000,34200000,34200000,34200000,34200000,9200000,9200000,964600000,964600000,882600000,26400000,26400000,1882800000,594700000,8.76e+08,6.64e+08,1.67e+08,4.5e+07,1470700000,3353500000,1.13e+09,895900000,234100000,12900000,134100000,126300000,1.277e+09,1409700000,173800000,82800000,89700000,1583500000,2860500000,5.95e+08,-97500000,-4500000,4.93e+08,4.93e+08,3353500000,34200000,29600000,-1e+06,36200000,9.9e+07,-34400000,0,-34400000,-62200000,0,-62200000,2400000,2400000,2400000,82800000,1422600000,107900000,0.12298,0.01335,0.00858,0.06937,0.0102,3.15497,1.47439,5.80223,0.42421,0.39366,0.39103,45.86275,5.67472,1.24199,0.01637,0.05164,17.07005,26.56767
"2","2016_Q2",25.2690625,"Up",3928900000,-3447800000,481100000,-437100000,4.4e+07,-23200000,-2.1e+07,-2200000,20800000,20800000,-8600000,12200000,12200000,12200000,12200000,11500000,11500000,942600000,942600000,916300000,4.8e+07,30600000,1918400000,593300000,8.93e+08,668300000,179800000,44900000,1486300000,3404700000,1062800000,855900000,206900000,12400000,147800000,138800000,1.223e+09,1484800000,191400000,97700000,90700000,1676200000,2899200000,596200000,-85300000,-5400000,505500000,505500000,3404700000,12200000,28200000,6100000,-72400000,-25900000,-17500000,-8899999.99999999,-26400000,54500000,3030243.411763,54600000,2300000,2300000,2300000,72200000,1497200000,-9099999.99999997,0.12245,0.0112,0.00311,0.02413,0.00358,-0.7459,1.5686,5.73531,0.43975,0.14041,0.13918,45.21926,5.818,-0.10474,0.00556,-0.00415000000000001,20.57756,33.76591
"3","2016_Q3",26.09484375,"Up",3893900000,-3407100000,486800000,-4.33e+08,53800000,-24300000,-23300000,-1e+06,29500000,29500000,-1.2e+07,17500000,17500000,17500000,17500000,9e+06,9e+06,963900000,963900000,911600000,51200000,33900000,1935700000,597700000,878900000,668600000,163500000,46800000,1476600000,3412300000,1047200000,829300000,217900000,1.2e+07,154400000,146600000,1213600000,1245400000,197200000,100800000,95200000,1442600000,2656200000,827600000,-67800000,-3700000,756100000,756100000,3412300000,17500000,28600000,15700000,-25200000,36600000,-24800000,-3e+05,-25100000,-1.4e+07,-319756.588237002,-1.4e+07,-2500000,-2500000,-2500000,82400000,1257400000,44400000,0.12502,0.01382,0.00449,0.02315,0.00513,2.53714,1.59501,3.51303,0.36849,0.17658,0.17411,39.28953,7.62906,0.448,0.00792,0.02008,15.15049,23.20446
"4","2016_Q4",23.7452380952381,"Down",3909100000,-3428300000,480800000,-443200000,37600000,-22100000,-21600000,-5e+05,15500000,15500000,-6100000,9400000,9400000,9400000,9400000,10700000,10700000,979100000,979100000,899100000,56200000,39100000,1945100000,604300000,890700000,676200000,167400000,47100000,1.495e+09,3440100000,1147900000,9.31e+08,216900000,11800000,110300000,103700000,1.27e+09,1202300000,1.98e+08,98800000,97200000,1400300000,2670300000,832200000,-58400000,-4e+06,769800000,769800000,3440100000,9400000,29400000,17900000,5.1e+07,107700000,-2.5e+07,-3.1e+07,-5.6e+07,-44300000,-5700000,-5e+07,1700000,1700000,1700000,6.7e+07,1214100000,99100000,0.123,0.00962,0.0024,0.01221,0.00273,10.54255,1.53157,3.46882,0.35293,0.09428,0.09208,39.20931,7.7213,0.994,0.00431,0.04542,17.96119,32.00532
"5","2017_Q1",23.1862903225806,"Down",4372900000,-3811600000,561300000,-494500000,66800000,-18100000,-1.8e+07,-1e+05,48700000,48700000,-19500000,29200000,29200000,29200000,29200000,10900000,10900000,968200000,968200000,919700000,40100000,40100000,1938900000,6.37e+08,879500000,6.74e+08,149300000,56200000,1516500000,3455400000,1149400000,9.18e+08,231400000,2400000,164900000,159600000,1316700000,1143100000,192800000,81100000,111700000,1335900000,2652600000,837800000,-29200000,-5800000,802800000,802800000,3455400000,29200000,32400000,10500000,3.8e+07,110100000,-51300000,1200000,-50100000,-60800000,-7500000,-67100000,-7100000,-7100000,-7100000,99200000,1145500000,105400000,0.12836,0.01528,0.00668,0.03637,0.00845,3.60959,1.47254,3.30419,0.33151,0.29166,0.28554,43.6783,8.01869,1.05278,0.01364,0.04923,11.4375,16.98503
"6","2017_Q2",26.4412698412698,"Up",4046100000,-3534800000,511300000,-479700000,31600000,-12100000,-12900000,8e+05,19500000,19500000,-7300000,12200000,12200000,12200000,12200000,8900000,8900000,1005800000,1005800000,952800000,34600000,34600000,2002100000,643900000,882100000,675300000,147700000,59100000,1.526e+09,3528100000,1137600000,922900000,214700000,2400000,112600000,108800000,1252600000,1264200000,190700000,79900000,1.08e+08,1454900000,2707500000,842100000,-17500000,-4e+06,820600000,820600000,3528100000,12200000,29500000,6300000,-123200000,-75200000,-34700000,-14800000,-49500000,124700000,-2e+06,122700000,-2e+06,-2e+06,-2e+06,61100000,1266600000,-89500000,0.12637,0.00781,0.00302,0.01487,0.00346,-7.33607,1.59836,3.29942,0.359,0.12212,0.11868,40.5015,8.21421,-0.8959,0.00536,-0.03929,20.58429,39.80063
"7","2017_Q3",27.918253968254,"Up",4051800000,-3534600000,517200000,-465900000,51300000,-13100000,-13600000,5e+05,38200000,38200000,-15300000,22900000,22900000,22900000,22900000,11700000,11700000,990100000,990100000,985100000,32800000,32800000,2019700000,699800000,913400000,687500000,168300000,57600000,1613200000,3632900000,1.048e+09,850400000,197600000,11100000,191600000,189400000,1250700000,1341700000,186900000,81400000,105500000,1528600000,2779300000,846500000,5400000,1700000,853600000,853600000,3632900000,22900000,30400000,6200000,-9800000,49700000,-4.5e+07,-67300000,-112300000,68100000,-2700000,65400000,2800000,2800000,2800000,81700000,1352800000,42200000,0.12765,0.01266,0.00565,0.02683,0.0063,1.84279,1.61486,3.25597,0.37237,0.22877,0.22407,40.47752,8.52747,0.42158,0.00957,0.01763,16.41493,26.1423
"8","2017_Q4",29.3261904761905,"Up",4.235e+09,-3713600000,521400000,-474700000,46700000,-13800000,-1.4e+07,2e+05,32900000,32900000,-12100000,20800000,20800000,20800000,20800000,7600000,7600000,1.038e+09,1.038e+09,1000200000,34700000,34700000,2080500000,721600000,944200000,704100000,184400000,55700000,1665800000,3746300000,1148600000,920700000,227900000,11800000,214700000,213800000,1375100000,1302500000,1.88e+08,82800000,105200000,1490500000,2865600000,851700000,26200000,2800000,880700000,880700000,3746300000,20800000,32700000,5600000,68400000,127500000,-26200000,-62800000,-8.9e+07,-41800000,-8e+05,-42600000,-4100000,-4100000,-4100000,79400000,1314300000,133700000,0.12312,0.01103,0.00491,0.02362,0.00555,6.42788,1.51298,3.25378,0.35083,0.20729,0.20143,42.20636,8.77713,1.33247,0.00873,0.05611,16.45718,27.98073
"9","2018_Q1",32.0426229508197,"Up",4428900000,-3.854e+09,574900000,-493500000,81400000,-14300000,-14400000,1e+05,67100000,67100000,-26700000,40400000,40400000,40400000,40400000,8100000,8100000,1028500000,1028500000,1013300000,3.5e+07,3.5e+07,2084900000,740700000,978500000,718600000,201100000,58800000,1719200000,3804100000,1153400000,907100000,246300000,11700000,218200000,218200000,1383300000,1285900000,209400000,1.03e+08,106400000,1495300000,2878600000,856500000,66600000,2400000,925500000,925500000,3804100000,40400000,33500000,13200000,12600000,99700000,-33200000,-4.8e+07,-81200000,-21500000,-5e+05,-1.8e+07,5e+05,5e+05,5e+05,114900000,1297600000,1.21e+08,0.12981,0.01838,0.00912,0.04365,0.01062,2.99505,1.50719,3.11032,0.34111,0.40157,0.38889,44.02239,9.19929,1.20272,0.01661,0.04974,11.2228,15.84152
"10","2018_Q2",33.834375,"Up",4364900000,-3810200000,554700000,-504200000,50500000,-14300000,-14600000,3e+05,36200000,36200000,-13600000,22600000,22600000,22600000,22600000,6900000,6900000,1058600000,1058600000,1.034e+09,33300000,33300000,2132800000,737600000,1012900000,738700000,215600000,58600000,1750500000,3883300000,1158100000,908700000,249400000,1.2e+07,205100000,2.05e+08,1375200000,1351800000,206900000,100400000,106500000,1558700000,2933900000,857800000,89200000,2400000,949400000,949400000,3883300000,22600000,31400000,3800000,-41800000,1.6e+07,-16400000,-63200000,-79600000,65100000,-2900000,62400000,-1200000,-1200000,-1200000,81900000,1363800000,37300000,0.12708,0.01157,0.00518,0.0238,0.00582,1.65044,1.5509,3.09027,0.3512,0.22398,0.21752,43.25966,9.40932,0.36967,0.00897,0.0148,16.56777,26.86931
"11","2018_Q3",35.2206349206349,"Up",4311100000,-3743500000,567600000,-518500000,49100000,-1.5e+07,-15100000,1e+05,34100000,34100000,43900000,7.8e+07,7.8e+07,7.8e+07,7.8e+07,10100000,10100000,1034900000,1034900000,1043400000,51600000,51600000,2.14e+09,734900000,1007700000,740100000,206800000,60800000,1742600000,3882600000,1091700000,886900000,204800000,7e+06,181400000,181400000,1280100000,1406100000,180900000,6.6e+07,114900000,1.587e+09,2867100000,843900000,167200000,4400000,1015500000,1015500000,3882600000,7.8e+07,32300000,-10100000,-83600000,16600000,-21800000,0,-21800000,45300000,-36700000,8400000,3200000,3200000,3200000,81400000,1413100000,-67900000,0.13166,0.01139,0.01809,0.07681,0.02009,-0.87051,1.67174,2.82334,0.36396,0.76847,0.74215,42.47389,10.00493,-0.66897,0.02989,-0.02602,17.23587,28.57434
"12","2018_Q4",31.7455555555556,"Down",4349200000,-3790500000,558700000,-498600000,60100000,-15300000,-15200000,-1e+05,44800000,44800000,-11100000,33700000,33700000,33700000,33700000,7500000,7500000,1070300000,1070300000,1054400000,51400000,51400000,2183600000,744300000,1004600000,740400000,202500000,61700000,1748900000,3932500000,1246200000,1022500000,223700000,7600000,193300000,193300000,1447100000,1246300000,177700000,66300000,111400000,1.424e+09,2871100000,853500000,200900000,7e+06,1061400000,1061400000,3932500000,33700000,32100000,9600000,121600000,1.97e+08,-34400000,-7700000,-42100000,-159900000,2500000.00000001,-157400000,-2500000,-2500000,-2500000,92200000,1253900000,190500000,0.12846,0.01382,0.00775,0.03175,0.00857,5.65282,1.50895,2.70501,0.31886,0.32814,0.32249,42.34859,10.33496,1.85492,0.01352,0.07641,13.51844,20.73877
"13","2019_Q1",36.6539344262295,"Up",4594700000,-3982900000,611800000,-5.18e+08,93800000,-15300000,-15500000,2e+05,78500000,78500000,-14100000,64400000,64400000,64400000,64400000,7500000,7500000,1065600000,1065600000,1051900000,78500000,78500000,2203500000,795500000,1001900000,740500000,193800000,67600000,1797400000,4000900000,1200800000,9.73e+08,227800000,8400000,260800000,260800000,1.47e+09,1175800000,219800000,106300000,113500000,1395600000,2865600000,862200000,264800000,8300000,1135300000,1135300000,4000900000,64400000,34300000,44700000,-6e+06,137400000,-65700000,-2e+05,-65900000,-83200000,-3300000,-74200000,-2700000,-2700000,-2700000,128100000,1184200000,70500000,0.13315,0.02041,0.01402,0.05673,0.0161,1.09472,1.49898,2.52409,0.29598,0.62585,0.61392,44.65209,11.03304,0.68513,0.02536,0.02776,9.18579,12.54478
"14","2019_Q2",40.051746031746,"Up",4539700000,-3946100000,593600000,-5.43e+08,50600000,-15400000,-15600000,2e+05,35200000,35200000,-7e+06,28200000,28200000,28200000,28200000,8600000,8600000,1068800000,1068800000,1115500000,70200000,70200000,2263100000,809400000,1014400000,746600000,197800000,7e+07,1823800000,4086900000,1280700000,1042300000,238400000,9600000,184400000,184400000,1474700000,1.224e+09,222900000,103500000,119400000,1446900000,2921600000,863700000,292100000,9500000,1165300000,1165300000,4086900000,28200000,35500000,5100000.00000001,-36500000,32300000,-24800000,-31500000,-56300000,34100000,-11400000,25300000,1300000,1300000,1300000,86100000,1233600000,31800000,0.13076,0.01115,0.00621,0.0242,0.0069,1.12766,1.53462,2.50717,0.30184,0.27246,0.26832,43.86184,11.25894,0.30725,0.01076,0.01213,14.22764,24.20949
"15","2019_Q3",44.43921875,"Up",4615700000,-4001100000,614600000,-541600000,7.3e+07,-16700000,-1.6e+07,-7e+05,56300000,56300000,-13200000,43100000,43100000,43100000,43100000,7500000,7500000,1093200000,1093200000,1140900000,51900000,51900000,2293500000,855600000,1017400000,747400000,2.11e+08,5.9e+07,1.873e+09,4166500000,1163200000,940600000,222600000,13500000,281500000,281500000,1458200000,1284600000,218600000,100700000,117900000,1503200000,2961400000,864200000,335200000,5700000,1205100000,1205100000,4166500000,43100000,37100000,8800000,-51300000,37700000,-34600000,-25500000,-60100000,25700000,-2400000,21400000,-1e+06,-1e+06,-1e+06,110100000,1298100000,37400000,0.13315,0.01582,0.00934,0.03576,0.01034,0.86775,1.57283,2.45739,0.31156,0.41482,0.41087,44.42445,11.59865,0.35996,0.01584,0.01374,11.72207,17.67945
"16","2019_Q4",45.71421875,"Up",4.689e+09,-4084300000,604700000,-545500000,59200000,-15500000,-16500000,1e+06,43700000,43700000,-11400000,32300000,32300000,32300000,32300000,7700000,7700000,1128500000,1128500000,1128300000,60700000,60700000,2325200000,895900000,1001700000,747500000,199700000,54500000,1897600000,4222800000,1305900000,1.045e+09,260900000,16900000,2.76e+08,2.76e+08,1598800000,1.168e+09,221800000,107100000,114700000,1389800000,2988600000,863400000,367500000,3300000,1234200000,1234200000,4222800000,32300000,39700000,16100000,102400000,190500000,-32700000,-7e+05,-33400000,-150800000,-2200000,-156800000,3e+05,3e+05,3e+05,98900000,1184900000,1.8e+08,0.12896,0.01263,0.00689,0.02617,0.00765,5.57276,1.45434,2.42149,0.2806,0.31058,0.30674,45.08654,11.86731,1.73077,0.01223,0.06816,11.90293,19.88514
