"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",28.5580952380952,"Down",319035000,-164447000,154588000,-142628000,-136976000,-5652000,0,11960000,1000,0,1000,11961000,11961000,-4625000,7336000,7336000,7336000,7336000,21755000,21755000,27819000,27819000,345606000,31517000,28217000,3300000,426697000,104993000,644039000,533314000,1.1e+08,725000,749032000,1175729000,70967000,70967000,101197000,98026000,172164000,0,198665000,195579000,3086000,198665000,370829000,0,0,804900000,804900000,804900000,1175729000,7336000,5652000,-204000,6691000,19475000,-818000,-818000,0,-24868000,-24868000,-6211000,-6211000,-291000,-6502000,17612000,0,28110000,0.48455,0.03749,0.02299,0.00911,0.00624,3.83179,2.47843,0.46071,0,0.22956,0.22956,9.98326,25.18697,0.87962,0.00731,0.02801,-1.23524,-1.81898
"2","2014_Q3",36.9934375,"Up",329561000,-179887000,149674000,-131287000,-125889000,-5346000,-52000.0000000002,18387000,22000.0000000019,0,22000,18409000,18409000,-7120000,11289000,11289000,11289000,11289000,28299000,28299000,18046000,18046000,415208000,30682000,27382000,3300000,492235000,101276000,643326000,532656000,1.1e+08,670000,744602000,1236837000,139614000,139614000,82051000,75558000,221665000,0,198500000,195303000,3197000,198500000,420165000,0,0,816672000,816672000,816672000,1236837000,11289000,5346000,3319000,-13468000,6486000,-934999.999999999,-935000,-2.98023223876953e-08,846999.999999993,847000,6398000,6398000,146000,6543999.99999997,23733000,0,16450000,0.45416,0.05579,0.03425,0.01382,0.00913,1.45717,2.22063,0.51448,0,0.35326,0.35326,10.31264,25.55534,0.51475,0.01112,0.0162,-1.19239,-1.53908
"3","2014_Q4",47.12453125,"Up",383851000,-209401000,174450000,-151179000,-145917000,-5255000,-7000,23271000,10000,0,10000,23281000,23281000,-9002000,14279000,14279000,14279000,14279000,16331000,16331000,38648000,38648000,463957000,40902000,37602000,3300000,559838000,99162000,642616000,531999000,1.1e+08,617000,741778000,1301616000,139393000,139393000,105040000,97086000,244433000,0,198199000,194966000,3233000,198199000,442632000,0,0,858984000,858984000,858984000,1301616000,14279000,5255000,351000,-56792000,-36907000,-1867000,-1867000,0,26760000,26760000,-12014000,-12014000,46000,-11968000,28526000,0,-21131000,0.45447,0.06063,0.0372,0.01662,0.01097,-1.47987,2.29035,0.5153,0,0.44682,0.44682,12.01148,26.87937,-0.66123,0.01351,-0.01999,-0.5725,-0.70177
"4","2015_Q1",39.73,"Down",522906000,-265687000,257219000,-171194000,-164553000,-3450000,-3191000,86025000,-19119000,-20494000,1375000,66906000,66906000,-26011000,40895000,40895000,40895000,40895000,22411000,22411000,33617000,33617000,369928000,25293000,21993000,3300000,451249000,101096000,641930000,531342000,1.1e+08,588000,743026000,1194275000,115387000,115387000,87974000,83955000,203361000,0,198600000,195534000,3066000,198600000,401961000,1.49011611938477e-08,-2.3283064365387e-10,792314000,792314000,792314000,1194275000,40895000,3450000,22712000,155010000,222067000,-12988000,-12988000,511138000,-5691000,5447000.00000001,214526000,214526000,-3557000,210969000,89475000,-1.49011611938477e-08,257508000,0.4919,0.16451,0.07821,0.05161,0.03424,6.29681,2.21896,0.50733,0,1.27969,1.27969,16.3628,24.79313,8.05795,0.54585,0.25987,-0.250469999999999,-0.260520000000001
"5","2015_Q2",28.7346031746032,"Down",330483000,-168461000,162022000,-143228000,-138206000,-5002000,-20000,18794000,-1788000,-1925000,137000,17006000,17006000,-6138000,10868000,10868000,10868000,10868000,64976000,64976000,39800000,39800000,326973000,32963000,29663000,3300000,464712000,98656000,664386000,530683000,1.1e+08,23703000,763042000,1227754000,76091000,76091000,112508000,108776000,188599000,509850000,183979000,168349000,15630000,693829000,882428000,340496000,5946000,-1116000,345326000,345326000,1227754000,10868000,5002000,2949000,12558000,31377000,-1548000,-1548000,5.15e+08,-2527000,12473000,42302000,42302000,263000,42565000,23796000,509850000,40944000,0.49026,0.05687,0.03289,0.03147,0.00885,3.76739,2.46402,2.55535,0.41527,0.34008,0.34008,10.34149,10.80596,1.28122,0.49162,0.0394,18.69533,23.67107
"6","2015_Q3",25.04890625,"Down",347222000,-178816000,168406000,-143108000,-138283000,-4825000,0,25298000,-6002000,-6205000,203000,19296000,19296000,-7451000,11845000,11845000,11845000,11845000,132837000,132837000,24818000,24818000,366192000,31360000,28060000,3300000,555207000,98574000,663313000,530027000,1.1e+08,23286000,761887000,1317094000,163249000,163249000,101526000,97845000,264775000,508563000,186300000,170461000,15839000,694863000,959638000,341278000,17791000,-1613000,357456000,357456000,1317094000,11845000,4825000,2724000,54416000,73810000,-4168000,-4168000,-1287000,-84999.9999999991,-1372000,68270000,68270000,-408999.999999999,67861000,30123000,508563000,87822000,0.48501,0.07286,0.03411,0.03314,0.00899,7.41427,2.0969,2.68463,0.38613,0.37065,0.3706,10.86529,11.18553,2.74813,0.01126,0.08346,12.47306,14.852
"7","2015_Q4",24.2090625,"Down",268530000,-145479000,123051000,-117433000,-117772000,-3047000,3386000,5618000,-10615000,-10485000,-130000,-4997000,-4997000,2194000,-2803000,-2803000,-2803000,-2803000,104986000,104986000,37875000,37875000,436712000,44133000,40833000,3300000,623706000,105661000,652652000,528300000,1.1e+08,14352000,758313000,1382019000,151429000,151429000,107596000,107596000,259025000,494788000,201316000,184926000,16390000,696104000,955129000,344476000,88787000,-6373000,426890000,426890000,1382019000,-2803000,3047000,-2038000,-198187000,-199981000,-12401000,-12401000,-517576000,2612000,-14964000,-227346000,-227346000,452000,-226894000,8665000,494788000,-204117000,0.45824,0.02092,-0.01044,-0.00657,-0.00203,72.82091,2.4079,2.23741,0.35802,-0.08771,-0.08767,8.40285,13.35826,-6.38724,-0.44773,-0.18176,44.9858,69.38448
"8","2016_Q1",23.4647540983607,"Down",473543000,-274433000,199110000,-155604000,-151040000,-4525000,-38999.9999999995,43506000,-5750000,-6211000,461000,37756000,-60544000,21086000,-39458000,-39458000,-39458000,-39458000,228368000,228368000,32061000,32061000,329203000,26918000,23618000,3300000,616550000,109831000,555145000,4.3e+08,1.1e+08,15145000,664976000,1281526000,146097000,146097000,83992000,83992000,230089000,493838000,173090000,157252000,15838000,666928000,897017000,344564000,49329000,-9384000,384509000,384509000,1281526000,-39458000,4525000,72804000,93259000,131130000,-4107000,-4107000,-1287000,-445000,-1732000,125291000,125291000,-1909000,123382000,48031000,493838000,116097000,0.42047,0.09187,-0.08333,-0.10262,-0.03079,-2.94228999999999,2.67962,2.33289,0.38535,-1.23472,-1.22639,14.81813,12.03207,3.63291,-0.03753,0.11042,5.52706000000002,6.10192
"9","2016_Q2",20.2353125,"Down",273433000,-143763000,129670000,-133156000,-129034000,-4136000,14000,-3486000,-5717000,-6170000,453000,-9203000,-9203000,3444000,-5759000,-5759000,-5759000,-5759000,169073000,169073000,31127000,31127000,309855000,35418000,32118000,3300000,545473000,111208000,555386000,4.3e+08,1.1e+08,15386000,666594000,1212067000,76038000,76038000,86807000,86807000,162845000,492890000,174715000,158499000,16216000,667605000,830450000,345116000,43570000,-7069000,381617000,381617000,1212067000,-5759000,4136000,1127000,-49555000,-50051000,-10485000,-10485000,-1288000,-161000,-1449000,-61985000,-61985000,2690000,-59295000,650000,492890000,-62834000,0.47423,-0.01275,-0.02106,-0.01509,-0.00475,10.91057,3.34965,2.17613,0.40665,-0.18021,-0.17963,8.55628,11.94158,-1.9662,-0.00549,-0.05989,498.18,-92.89071
"10","2016_Q3",16.5565625,"Down",292010000,-155858000,136152000,-133440000,-128892000,-4488000,-59999.9999999999,2711999.99999999,-5646000,-6174000,528000,-2933999.99999999,-2934000.00000001,954000,-1980000,-1980000,-1980000,-1980000,210736000,210736000,29287000,29287000,354739000,35081000,31781000,3300000,629843000,112682000,555913000,4.3e+08,1.1e+08,15913000,668595000,1298438000,174940000,174940000,82212000,82212000,257152000,491941000,171990000,155451000,16539000,663931000,921083000,345918000,41590000,-10153000,377355000,377355000,1298438000,-1980000,4488000,140000,49477000,52125000.0000001,-7488000,-7488000,-1287000,-235000,-1522000,43115000,43115000,-1452000,41663000,7199999.99999999,491941000,48235000,0.46626,0.00929000000000001,-0.00678,-0.00525000000000001,-0.00152,-24.36111,2.4493,2.44089,0.37887,-0.06192,-0.06178,9.13159,11.80046,1.50838,-0.00189999999999999,0.04632,39.0562499999999,103.68916
"11","2016_Q4",16.3504761904762,"Down",311476000,-177825000,133651000,-137074000,-132365000,-4795000,86000,-3423000,-5717000,-6149000,432000,-9140000,-9140000,1918000,-7222000,-7222000,-7222000,-7222000,131532000,131532000,40101000,40101000,425290000,44242000,40942000,3300000,641165000,115871000,556142000,4.3e+08,1.1e+08,16142000,672013000,1313178000,180608000,180608000,101093000,101093000,281701000,490992000,174814000,158048000,16766000,665806000,947507000,343639000,34368000,-12336000,365671000,365671000,1313178000,-7222000,4795000,2394000,-68900000,-68933000,-8066000,-8066000,-1288000,0,-1288000,-78287000,-78287000,-917000,-79204000,1372000,490992000,-77512000,0.42909,-0.01099,-0.02319,-0.01975,-0.0055,10.73276,2.27605,2.59115,0.3739,-0.22575,-0.22527,9.73636,11.43043,-2.42293,-0.007,-0.07515,261.99708,-105.01315
"12","2017_Q1",17.6516129032258,"Up",458841000,-281906000,176935000,-152369000,-146285000,-5584000,-5e+05,24566000,-9169000,-6137000,-3032000,15397000,-157603000,62782000,-94821000,-94821000,-94821000,-94821000,213108000,213108000,39284000,39284000,325314000,29694000,26394000,3300000,607400000,122836000,384155000,2.57e+08,1.1e+08,17155000,506991000,1114391000,162408000,162408000,86446000,86446000,248854000,490043000,104082000,90467000,13615000,594125000,842979000,344291000,-60453000,-12426000,271412000,271412000,1114391000,-94821000,5584000,106488000,73697000,90948000.0000001,-7233000,-7233000,-1287000,0,-1287000,82428000,82428000,-852000,81576000,30150000,490043000,33832000,0.38561,0.05354,-0.20665,-0.34936,-0.08509,-0.356799999999998,2.44079,3.1059,0.43974,-2.96408,-2.98649,14.34326,8.48428,1.05758,-0.10955,0.03909,9.18524000000002,11.2730999999999
"13","2017_Q2",19.0447619047619,"Up",268365000,-145722000,122643000,-129363000,-121346000,-6509000,-1508000,-6720000,-5383000,-6125000,742000,-12103000,-12103000,4264000,-7839000,-7839000,-7839000,-7839000,139810000,139810000,32731000,32731000,309914000,41309000,38009000,3300000,523764000,124021000,383975000,2.57e+08,1.1e+08,16975000,507996000,1031760000,88331000,88331000,85798000,85798000,174129000,489095000,103866000,89994000,13872000,592961000,767090000,344871000,-68292000,-11909000,264670000,264670000,1031760000,-7839000,6509000,95000,-59089000,-60324000,-11382000,-11382000,-1288000,0,-1288000,-72994000,-72994000,-304000,-73298000,-211000,489095000,-74946000,0.457,-0.02504,-0.02921,-0.02962,-0.0076,9.56066,3.00791,2.89829,0.47404,-0.24495,-0.24495,8.38588,8.27042,-2.34192,-0.00914,-0.08739,-1655.37915,-51.97693
"14","2017_Q3",13.0150793650794,"Down",302190000,-168026000,134164000,-133990000,-127336000,-6174000,-480000,173999.999999993,-5673000,-6167000,494000,-5499000,-5499000.00000001,1618999.99999999,-3879999.99999999,-3879999.99999999,-3879999.99999999,-3879999.99999999,176955000,176955000,24632000,24632000,370470000,39516000,36216000,3300000,611573000,126825000,384007000,2.57e+08,1.1e+08,17007000,510832000,1122405000,181685000,181685000,85415000,85415000,267100000,488146000,105159000,91015000,14144000,593305000,860405000,345459000,-72172000,-11287000,2.62e+08,2.62e+08,1122405000,-3879999.99999999,6174000,2534999.99999999,42300000,47129000,-8841000,-8841000,-1287000,-629000,-1916000,36372000,36372000,773000,37145000,6348000,488146000,38188000,0.44397,0.00057999999999999,-0.01284,-0.01481,-0.00346,-9.84227000000001,2.28968,3.28399,0.43491,-0.12116,-0.121159999999999,9.43636,8.18136,1.19248,-0.00453999999999999,0.04465,49.0219000000004,1788.45402
"15","2017_Q4",13.8142857142857,"Up",325489000,-183514000,141975000,-136034000,-129122000,-6348000,-564000,5941000,-5774000,-6350000,576000,167000,167000,-5000,162000,162000,162000,162000,92913000,92913000,39044000,39044000,423540000,50574000,48934000,1640000,606071000,129955000,384454000,2.57e+08,1.1e+08,17454000,514409000,1120480000,160340000,160340000,103886000,103886000,264226000,487197000,105960000,91392000,14568000,593157000,857383000,346473000,-72010000,-11366000,263097000,263097000,1120480000,162000,6348000,2015000,-83137000,-74612000,-8920000,-8920000,-1288000,-45000,-1333000,-84865000,-84865000,-837000,-85702000,12289000,487197000,-79763000,0.43619,0.01825,5e-04,0.00062,0.00014,-492.3642,2.29376,3.25881,0.43481,0.00505,0.00504,10.14142,8.19745,-2.48522,0.00019,-0.09315,32.0843,66.3666
