"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",30.6704761904762,"Up",31013000,-14638000,16375000,-15562000,-8940000,-6622000,813000,38000,-5339038.89049761,38000,851000,851000,-43000,808000,808000,808000,2e+05,61998000,47935000,14063000,17531000,17531000,20486000,1628000,1628000,101643000,13303000,3881000,17184000,118827000,13251000,3540000,9711000,640000,640000,16413000,6795000,954000,5841000,18628000,35041000,271092000,-187306000,83786000,83786000,118827000,808000,660000,423000,755000,-332000,-5074000,-1883000,-1258000,-3914000,1981000,-3183000,-1279000,-1279000,-14116000,-15395000,-17249000,69006000,69006000,52081000,33503000,33503000,33503000,1473000,14355000,-4837000,0.528,0.02621,0.00645,0.00239,0.00168,-24.185,6.19283,0.41822,0.12081,0.01306,0.01186,2.02461,5.46977,-0.31577,0.00191,-0.04609,-32.3442,-58.60148
"2","2017_Q1",31.4629032258064,"Up",33655000,-15267000,18388000,-18043000,-10640000,-7403000,345000,-172000,-1633000,1461000,173000,173000,-70000,103000,103000,103000,103000,100541000,33636000,66905000,17447000,17447000,27734000,3004000,3004000,148726000,14929000,3881000,18810000,167536000,20911000,7166000,13745000,751000,751000,25381000,6758000,966000,5792000,18132000,43513000,311236000,-187203000,124023000,124023000,167536000,103000,726000,1398000,1348000,50000,-2225000,102000,-7248000,3506000,1415000,2000,-1203000,-1203000,-52987000,-54190000,557000,39394000,39394000,39889000,-14299000,-14299000,-14299000,1071000,15093000,-2287000,0.54637,0.01025,0.00306,0.000829999999999998,0.000609999999999999,-22.20388,5.85974,0.35085,0.09009,0.00535999999999999,0.00582999999999997,1.75232,6.45751,-0.11908,0.00071,-0.01568,-79.78338,-247.67536
"3","2017_Q2",41.9965079365079,"Up",31727000,-14959000,16768000,-18766000,-11423000,-7343000,-1998000,-105000,-374000,269000,-2103000,-2103000,-57000,-2160000,-2160000,-2160000,-2160000,83542000,7307000,76235000,21052000,21052000,39189000,2475000,2475000,146258000,16987000,3881000,20868000,167126000,18628000,7372000,11256000,885000,885000,24097000,7710000,960000,6750000,17803000,41900000,314635000,-189363000,125226000,125226000,167126000,-2160000,874000,1452000,1370000,82000,-16787000,-3630000,-11455000,-50000,-1652000,-16621000,-1220000,-1220000,-9432000,-10652000,-439000,1983000,1983000,944000,-26329000,-26329000,-26329000,-1124000,14677000,-19074000,0.52851,-0.06297,-0.06808,-0.01725,-0.01292,8.83056,6.06955,0.3346,0.08782,-0.10617,-0.10617,1.55953,6.15543,-0.93757,-0.01463,-0.12922,61.26779,34.46697
"4","2017_Q3",42.0934920634921,"Up",34111000,-15940000,18171000,-18985000,-11866000,-7119000,-814000,-118000,-307000,189000,-932000,-932000,-45000,-976999.999999999,-976999.999999999,-976999.999999999,-977000,74516000,14832000,59684000,25514000,25514000,43419000,2294000,2294000,145743000,17888000,3881000,21769000,167512000,18525000,5920000,12605000,903000,903000,24579000,7703000,1020000,6683000,16448000,41027000,316875000,-190340000,126485000,126485000,167512000,-976999.999999999,973000,1324000,1253000,71000,-7479000,-4412000,-4230000,-1071000,2234000,-6159000,-2911000,-2911000,16501000,13590000,-806000,949999.999999996,949999.999999996,94000,7525000,7525000,7525000,159000,13896000,-10186000,0.5327,-0.02386,-0.02864,-0.00772,-0.00583,10.42579,5.92957,0.32436,0.08296,-0.04734,-0.04734,1.65299,6.12934,-0.4936,-0.0066,-0.06879,-381.25786,74.47174
"5","2017_Q4",28.6903174603175,"Down",32599000,-15606000,16993000,-21676000,-12830000,-8846000,-4683000,-118000,-223000,105000,-4801000,-4801000,-50000,-4851000,-4851000,-4851000,-4851000,62474000,17558000,44916000,25610000,25610000,45817000,2585000,2585000,136486000,17715000,4052000,21767000,158253000,11840000,2843000,8997000,1292000,1292000,18232000,7090000,485000,6605000,14578000,32810000,320651000,-195191000,125443000,125443000,158253000,-4851000,1021000,2179000,2140000,39000,-8623000,-96000,-2398000,-3004000,-3125000,-10274000,-2025000,-2025000,14770000,12745000,-1332000,1587000,1587000,255000,2726000,2726000,2726000,-3662000,12588000,-14260000,0.52127,-0.14365,-0.14881,-0.03867,-0.03065,2.9396,7.48607,0.26155,0.07954,-0.23293,-0.23293,1.5653,6.02338,-0.68472,-0.03343,-0.09826,13.62261,10.65257
"6","2018_Q1",16.6749180327869,"Down",26863000,-13854000,13009000,-22533000,-13621000,-8912000,-9524000,-59000,-4000,-55000,-9583000,-9583000,249000,-9334000,-9334000,-9334000,-9334000,58116000,19285000,38831000,22244000,22244000,47083000,2359000,2359000,129802000,18110000,4122000,22232000,152034000,13557000,4666000,8891000,1342000,1342000,19923000,6924000,501000,6423000,13169000,33092000,323503000,-204525000,118942000,118942000,152034000,-9334000,1082000,2638000,2665000,-27000,2782000,3316000,-1266000,1289000,-556999.999999999,-2832000,-396000,-396000,6111000,5715000,-1342000,136000,136000,-1156000,1727000,1727000,1727000,-8442000,11269000,-6305000,0.48427,-0.35454,-0.34747,-0.07848,-0.06139,0.67549,6.51518,0.27822,0.07412,-0.4463,-0.4463,1.28445,5.6872,-0.30147,-0.06806,-0.04598,5.54928000000006,4.91884000000001
"7","2018_Q2",16.92640625,"Up",25068000,-13306000,11762000,-22087000,-14084000,-8003000,-10325000,-139000,-229000,90000,-10464000,-14391000,-51000,-14442000,-14442000,-14442000,-14442000,57873000,2.8e+07,29873000,17023000,17023000,54706000,1846000,1846000,131448000,17507000,4089000,21596000,153044000,12317000,4499000,7818000,3301000,949000,16432000,7586000,156000,7430000,28052000,44484000,327583000,-218967000,108560000,108560000,153044000,-14442000,1120000,2480000,2065000,415000,-694000,5221000,-7623000,34000,1674000,-11536000,-698000,-698000,8993000,8295000,9990000,1966000,1966000,11956000,8715000,8715000,8715000,-9205000,21280000,-10546000,0.4692,-0.41188,-0.57611,-0.13303,-0.09437,0.73023,7.99951,0.40976,0.13904,-0.68364,-0.68364,1.18665,5.13893,-0.49922,-0.10509,-0.07674,3.97534,3.54412
"8","2018_Q3",22.0749206349206,"Up",28542000,-14882000,13660000,-21447000,-13084000,-8363000,-7787000,-84000,-351000,267000,-7871000,-7693000,-39000,-7732000,-7732000,-7732000,-7732000,52807000,15500000,37307000,20016000,20016000,53278000,1533000,1533000,127634000,16918000,4095000,21013000,148647000,14431000,5299000,9132000,2473000,883000,19200000,6959000,219000,6740000,25720000,44920000,330462000,-226699000,103727000,103727000,148647000,-7732000,1138000,1640000,2613000,-973000,178000.000000001,-2993000,1428000,545000,1198000,-4776000,-373000,-373000,-7347000,-7720000,-241000,237000,237000,-4000,-12500000,-12500000,-12500000,-6649000,21057000,-6805000,0.47859,-0.27283,-0.2709,-0.07454,-0.05202,0.88011,6.6476,0.43306,0.14166,-0.36244,-0.36244,1.33793,4.86228,-0.31899,-0.05869,-0.05165,4.77515,4.07731
"9","2018_Q4",19.6190476190476,"Down",34405000,-17857000,16548000,-23363000,-14559000,-8804000,-6815000,-186000,-390000,204000,-7001000,-7001000,-69000,-7070000,-7070000,-7070000,-7070000,54662000,17593000,37069000,19588000,19588000,49195000,2020000,2020000,125465000,20552000,4083000,24635000,150100000,15858000,3441000,12417000,2142000,1104000,22854000,6879000,208000,6671000,26783000,49637000,334249000,-233769000,100463000,100463000,150100000,-7070000,1136000,3249000,3335000,-86000,2292000,428000,4083000,-1353000,-866000,-393000,-1980000,-1980000,359000,-1621000,3683000,424000,424000,4107000,2093000,2093000,2093000,-5679000,24758000,-5298000,0.48098,-0.19808,-0.20549,-0.07037,-0.0471,0.74936,5.48985,0.49408,0.16494,-0.33033,-0.33033,1.60748,4.69387,-0.24754,-0.05352,-0.04011,5.26572,4.38797
"10","2019_Q1",16.6195081967213,"Down",34618000,-18307000,16311000,-22504000,-13506000,-8998000,-6193000,-186000,-433000,247000,-6379000,-6379000,392000,-5987000,-5987000,-5987000,-5987000,56073000,17530000,38543000,18462000,18462000,44725000,1954000,1954000,121214000,19778000,4077000,23855000,145069000,14939000,4643000,10296000,1633000,1051000,23025000,6270000,185000,6085000,24161000,47186000,337648000,-239756000,97883000,97883000,145069000,-5987000,1140000,2755000,3304000,-549000,7020000,1126000,4470000,1100000,324000,4928000,-3316000,-3316000,-1304000,-4620000,-433000,62000,62000,-371000,-63000,-63000,-63000,-5053000,24344000,-1741000,0.47117,-0.1789,-0.17294,-0.06116,-0.04127,0.2908,5.26445,0.48207,0.16781,-0.27879,-0.27879,1.61201,4.558,-0.08107,-0.04659,-0.01355,6.27924,5.12337
