"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",19.64203125,"Up",139627000,-65942000,73685000,-67254000,-70995000,3982000,6431000,-5095000,-5095000,1336000,1336000,-17000,1319000,5550000,5550000,5550000,4376000,4376000,58900000,58900000,63484000,115223000,14663000,241983000,74721000,157765000,136584000,20125630.9455054,21181000,232486000,474469000,82308000,63308000,1.9e+07,21542000,21542000,124774000,75104000,27753000,47351000,222004000,346778000,112230000,39165000,-23704000,127691000,127691000,474469000,1319000,4622000,739000,-15900000,-9220000,-6065000,-6086000,-1822000,132000,132000,13914000,-1392000,-23902000,107000,-23795000,11053000,167824000,-10895000,0.52773,0.04606,0.03975,0.04346,0.0117,-1.96306,1.93937,2.71576,0.35371,0.33506,0.33482,8.42955,7.70895,-0.65775,0.11,0.01989,-0.0294,0.32829,14.78766,25.41564
"2","2011_Q1",20.3672580645161,"Up",157714000,-72717000,84997000,-76716000,-81647000,4212000,8281000,-4772000,-4772000,3509000,3309000.00000001,-1596000,1713000,53392000,53392000,53392000,44094000,44094000,50177000,50177000,85338000,89304000,12554000,268913000,83895000,205663000,166680000,16866000,22117000,289558000,558471000,106306000,83211000,23095000,40785000,40785000,147091000,84287000,28846000,55441000,231352000,378443000,113108000,90739000,-23819000,180028000,180028000,558471000,1713000,5465000,-619000,20375000,26934000,-3893000,-62196000,-1815000,-185000,-185000,-22901000,-58163000,39669000,49000,39718000,13746000,147065000,31824000,0.53893,0.05251,0.33854,0.29658,0.0956,0.596039999999999,1.82821,2.10213,0.26334,3.22864,3.22591,9.53704,10.88638,1.92441,0.10975,0.1342,0.07736,0.03399,7.49098,12.43461
"3","2011_Q2",28.4536507936508,"Up",208308000,-90648000,117660000,-86347000,-91138000,4791000,31313000,-4804000,-4804000,26509000,25909000,-8849000,17060000,18100000,18100000,18100000,47033000,47033000,72263000,72263000,62843000,60587000,10912000,242726000,82899000,205474000,167573000,16185000,21716000,288373000,531099000,95593000,73746000,21847000,4949000,4949000,101258000,85279000,30231000,55048000,232507000,333765000,113190000,106700000,-22556000,197334000,197334000,531099000,17060000,5119000,5770000,-10733000,17216000,-3634000,-3634000,-2142000,939000,939000,-508000,13074000,2661000,278000,2939000,36432000,147944000,30914000,0.56484,0.15032,0.08689,0.09172,0.03408,1.70796,2.3971,1.69137,0.27856,1.09597,1.09531,12.61326,11.94877,1.87187,0.1297,0.04701,0.0718,0.11834,2.76985,3.22266
"4","2011_Q3",30.01296875,"Up",180646000,-77709000,102937000,-84626000,-88648000,4022000,18311000,-4268000,-4268000,14043000,5195000,-1675000,3520000,2604000,2604000,2604000,37775000,37775000,53902000,53902000,77731000,34103000,16337000,203511000,86889000,203171000,166826000,16555000,19790000,290060000,493571000,96617000,76877000,19740000,1362000,1362000,102385000,84491000,30322000,54169000,192579000,294964000,114170000,107160000,-22723000,198607000,198607000,493571000,3520000,5339000,9100000,-1515000,16444000,-9092000,-9490000,-2143000,474000,474000,-44603000,-37649000,-9179000,-79000,-9258000,23650000,112494000,14718000,0.56983,0.10136,0.01441,0.01311,0.00528,5.65207,1.9877,1.48516,0.22792,0.15768,0.15752,10.93896,12.02658,0.89124,0.12977,0.012,0.0372,0.82296,3.15937,4.08055
"5","2011_Q4",32.391746031746,"Up",170280000,-81540000,88740000,-81324000,-85161000,3837000,7416000,-3705000,-3705000,3711000,2342000,-731000,1611000,1624000,1624000,1624000,4962000,4962000,66372000,66372000,91003000,35021000,17425000,197358000,91121000,201022000,166082000,16555000,18385000,292143000,489501000,99957000,78209000,21748000,3073989.03620414,3073989.03620414,103236000,84611000,30738000,53873000,187901000,291137000,114933000,106645000,-23214000,198364000,198364000,489501000,1611000,5727000,2091000,-23655000,-14226000,-9722000,-9722000,-2140000,604000,604000,-8186000,-32134000,-32712000,-101000,-32813000,13143000,106569000,-19503000,0.52114,0.04355,0.00954,0.00819,0.00332,-12.00924,1.91172,1.46769,0.21771,0.09841,0.09832,10.31875,12.0206,-1.18186,0.12968,0.00966,-0.05007,1.31773,7.73088,13.70105
"6","2012_Q1",40.6854838709677,"Up",199679000,-96047000,103632000,-89465000,-93635000,4170000,14167000,-3489000,-3489000,10678000,10078000,-3026000,7052000,7052000,7052000,7052000,13373000,13373000,59706000,59706000,103420000,37571000,17838000,214070000,93206000,201931000,165193000,16495000,20243000,295137000,509207000,112483000,89149000,23334000,2500000,2500000,117554000,84179000,34882000,49297000,187584000,305138000,116192000,111551000,-23674000,204069000,204069000,509207000,7052000,10969000,3275000,3517000,24813000,-12862000,-12862000,-2143000,-715000,1112000,-3521000,8430000,8430000.00000001,-19000,8411000,25136000,105976000,18817000,0.51899,0.07095,0.03532,0.03456,0.01385,2.66832,1.82104,1.49527,0.20812,0.42716,0.42628,12.09516,12.36108,1.1398,0.12981,0.02332,0.04773,0.30389,3.68408,6.53653
"7","2012_Q2",37.6461904761905,"Down",230953000,-101739000,129214000,-95826000,-100808000,4982000,33388000,-3603000,-3603000,29785000,29185000,-11183000,18002000,18002000,18002000,18002000,5679000,5679000,86705000,86705000,85996000,34869000,15530000,213249000,97270000,204470000,165673000,16495000,22302000,301740000,514989000,93080000,76377000,16703000,2500000,2500000,101603000,84305000,33614000,50691000,191296000,292899000,117631000,127079000,-22620000,222090000,222090000,514989000,18002000,6028000,687000,-27829000,-3112000,-9633000,-9633000,-2475000,680000,680000,4989000,-7756000,-7756000,62000,-7694000,39416000,113014000,13137000,0.55948,0.14457,0.07795,0.08106,0.03496,0.72975,2.09885,1.31883,0.21945,1.08898,1.0876,13.9709,13.43476,0.79469,0.14972,0.04882,0.03132,0.13748,2.72313,3.21478
"8","2012_Q3",41.2895238095238,"Up",206929000,-88649000,118280000,-97362000,-100702000,3340000,20918000,-3314000,-3314000,17604000,7861000,-2833000,5028000,5028000,5028000,5028000,4561000,4561000,61833000,61833000,88382000,38610000,18907000,193386000,109500000,204211000,164682000,17277000,22252000,313711000,507097000,95798000,76186000,19612000,0,0,101566000,84700000,31281000,53419000,179949000,281515000,119419000,129628000,-23465000,225582000,225582000,507097000,5028000,5694000,8500000,23881000,43103000,-17631000,-19314000,-2481000,885000,885000,-24935000,-1146000,-1146000,28000,-1118000.00000001,26612000,101017000,35695000,0.5716,0.10109,0.0243,0.02229,0.00992,7.09924,1.90404,1.24795,0.19921,0.30373,0.30344,12.50024,13.62704,2.15628,0.14987,0.01826,0.08679,0.49344,3.62453,4.61115
"9","2012_Q4",43.8822580645161,"Up",181414000,-84592000,96822000,-90302000,-94146000,3844000,6520000,-959000,-959000,5561000,4961000,-1951000,3010000,3010000,3010000,3010000,5621000,5621000,68920000,68920000,102172000,39438000,20111000,216151000,123841000,204830000,165013000,17273000,22544000,328671000,544822000,100255000,78550000,21705000,2500000,2500000,109710000,84511000,31459000,53052000,207812000,317522000,120175000,130153000,-23028000,227300000,227300000,544822000,3010000,6477000,1666000,-16468000,-5315000,-20389000,-20519000,-2482000,203000,203000,26812000,978000,978000,82000,1060000,12997000,130256000,-21909000,0.53371,0.03594,0.01659,0.01324,0.00552,-7.27874,1.9702,1.39693,0.23908,0.18154,0.18142,10.94174,13.70929,-1.32141,0.1497,0.01242,-0.04956,0.82458,9.58952,19.1158
"10","2013_Q1",42.2195,"Down",236246000,-111005000,125241000,-110811000,-115081000,4270000,14430000,-1063000,-1063000,13367000,8882000,-3605000,5277000,5277000,5277000,5277000,7517000,7517000,62805000,62805000,109605000,42463000,19511000,222390000,128882000,204798000,164317000,17275000,23206000,333680000,556070000,116322000,66004000,50318000,0,0,124266000,93407000,34385000,59022000,201959000,326225000,121486000,132944000,-24585000,229845000,229845000,556070000,5277000,8136000,4186000,14823000,32422000,-13049000,-13049000,-2486000,1124000,1124000,-17460000,1913000,1913000,-17000,1896000,22566000,116496000,27945000,0.53013,0.06108,0.02234,0.02296,0.00949,5.29562,1.78963,1.41933,0.2095,0.31814,0.3173,14.24284,13.85694,1.68475,0.14988,0.01765,0.0635499999999999,0.4711,4.82935,7.55225
