"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.4407936507937,"Up",1.932e+09,-1.238e+09,6.94e+08,-5.09e+08,-5.09e+08,1.85e+08,2e+06,-6e+07,-6.1e+07,6.2e+07,1.87e+08,1.87e+08,-7.4e+07,1.13e+08,1.13e+08,1.13e+08,1.13e+08,1.188e+09,1.188e+09,1.99e+08,1.99e+08,1.098e+09,1.7e+08,1.7e+08,2.655e+09,1.677e+09,2.26e+09,1.448e+09,3.2e+07,1.8e+08,3.937e+09,6.592e+09,1.135e+09,4.85e+08,1.8e+07,6.32e+08,1.135e+09,2.523e+09,9.57e+08,2.4e+08,7.17e+08,3.48e+09,4.615e+09,2.03e+08,-2e+06,1.777e+09,-1e+06,1.977e+09,0,1.977e+09,6.592e+09,1.13e+08,8.9e+07,-2.1e+07,2e+07,-2.41e+08,3.7e+07,-5.7e+07,-6.3e+07,-1.58e+08,-6e+07,-4.4e+07,-4.4e+07,-4.4e+07,5.5e+07,1.1e+07,-3.73e+08,-2e+08,1.1e+07,1.3e+07,-2e+06,-8e+06,-5.7e+08,-6.19e+08,-6.19e+08,3e+06,-6.16e+08,2.74e+08,2.523e+09,6.3e+07,0.35921,0.09576,0.05849,0.05716,0.01714,0.55752,2.33921,2.33434,0.38274,0.34985,0.33934,5.98142,6.12074,0.19505,1.1548,16.49225513454,0.08906,0.01154,3.30088,4.87226,7.21622
"2","2010_Q3",10.39609375,"Down",2.242e+09,-1.464e+09,7.78e+08,-5.42e+08,-5.42e+08,2.36e+08,8e+06,-5.2e+07,-5.1e+07,6e+07,2.44e+08,2.44e+08,-6.6e+07,1.78e+08,1.78e+08,1.78e+08,1.78e+08,1.3e+09,1.3e+09,2.09e+08,2.09e+08,1.083e+09,1.81e+08,1.81e+08,2.773e+09,1.641e+09,2.308e+09,1.447e+09,3.2e+07,2.33e+08,3.949e+09,6.722e+09,1.18e+09,5.59e+08,6e+06,6.15e+08,1.18e+09,2.532e+09,9.37e+08,2.24e+08,7.13e+08,3.469e+09,4.649e+09,2.26e+08,-6.8e+07,1.906e+09,9e+06,2.073e+09,2.3283064365387e-10,2.073e+09,6.722e+09,1.78e+08,8.8e+07,-6e+07,-1.8e+07,3.8e+07,-2.7e+07,1.3e+07,5.4e+07,-2e+06,2.44e+08,-4.6e+07,-6.6e+07,-6.6e+07,-7.45058059692383e-09,-1.4e+07,-4.9e+07,-3.1e+07,-4.1e+07,2.5e+07,-6.6e+07,4e+06,-1.17e+08,1.13e+08,1.13e+08,-1e+06,1.12e+08,3.24e+08,2.532e+09,3.82e+08,0.34701,0.10526,0.07939,0.08587,0.02648,2.14607,2.35,2.24264,0.37667,0.54769,0.53453,6.89846,6.37846,1.17538,0.15077,7,0.04096,0.06893,0.27528,3.80247,5.22034
"3","2010_Q4",13.07125,"Up",1.983e+09,-1.269e+09,7.14e+08,-5.65e+08,-5.65e+08,1.49e+08,-4.8e+07,-4.8e+07,-4.8e+07,0,1.01e+08,1.01e+08,-4e+07,6.1e+07,6.1e+07,6.1e+07,6.1e+07,9.88e+08,9.88e+08,2.47e+08,2.47e+08,1.456e+09,2.55e+08,2.55e+08,2.946e+09,1.633e+09,2.312e+09,1.448e+09,3.5e+07,2.32e+08,3.945e+09,6.891e+09,1.372e+09,6.87e+08,8e+06,6.77e+08,1.372e+09,2.519e+09,9.56e+08,2.19e+08,7.37e+08,3.475e+09,4.847e+09,2.66e+08,-1.47e+08,1.919e+09,5e+06,2.043e+09,1e+06,2.044e+09,6.891e+09,6.1e+07,8.9e+07,5e+06,-8e+06,-2.58e+08,-3.8e+07,-3.71e+08,1.9e+08,-3.9e+07,-1.03e+08,-8.7e+07,-8.7e+07,-8.7e+07,5e+06,-8.2e+07,-4.9e+07,-2.4e+07,-5.7e+07,2.2e+07,-7.9e+07,2e+06,-1.28e+08,-3.13e+08,-3.13e+08,1e+06,-3.12e+08,2.38e+08,2.519e+09,-6.7e+07,0.36006,0.07514,0.03076,0.02984,0.00885,-1.09836,2.14723,2.37133,0.36555,0.18827,0.18318,6.12037,6.30556,-0.20679,0.15123,5,0.01993,-0.01214,0.80328,6.43277,10.27517
"4","2011_Q1",14.0556451612903,"Up",3.456e+09,-2.011e+09,1.445e+09,-7.25e+08,-7.25e+08,7.2e+08,5e+06,-4.8e+07,-4.8e+07,5.3e+07,7.25e+08,7.19e+08,-2.66e+08,4.53e+08,4.53e+08,4.53e+08,4.53e+08,1.13e+09,1.13e+09,2.32e+08,2.32e+08,1.032e+09,1.63e+08,1.63e+08,2.557e+09,1.61e+09,2.284e+09,1.451e+09,3.5e+07,2.06e+08,3.894e+09,6.451e+09,1.504e+09,5.45e+08,1.94e+08,7.65e+08,1.504e+09,2.507e+09,9.63e+08,2.02e+08,7.61e+08,3.47e+09,4.974e+09,3.28e+08,-2.07e+08,1.354e+09,999999.999999996,1.476e+09,1e+06,1.477e+09,6.451e+09,4.53e+08,9.3e+07,7e+06,-1.8e+07,6.95e+08,1.7e+07,4.24e+08,-6.9e+07,3.23e+08,1.248e+09,-9e+06,-7.7e+07,-7.7e+07,2e+07,-6.6e+07,-1.017e+09,-5.96046447753906e-08,-3.2e+07,2.8e+07,-6e+07,7e+06,-1.042e+09,1.4e+08,1.4e+08,2e+06,1.42e+08,8.13e+08,2.507e+09,1.765e+09,0.41811,0.20833,0.13108,0.3067,0.07022,3.89625,1.70013,3.36764,0.38862,1.41562,1.36036,10.8,4.6125,5.51562,3.17812,6,0.29715,0.35678,2.24503,1.69373,1.9125
"5","2011_Q2",17.6290476190476,"Up",2.217e+09,-1.375e+09,8.42e+08,-6.25e+08,-6.25e+08,2.17e+08,3.2e+07,-5.5e+07,-5.5e+07,8.7e+07,2.49e+08,2.49e+08,-8.4e+07,1.65e+08,1.65e+08,1.65e+08,1.65e+08,1.557e+09,1.557e+09,2.05e+08,2.05e+08,1.075e+09,3.27e+08,3.27e+08,3.164e+09,1.598e+09,2.253e+09,1.458e+09,0,1.94e+08,3.851e+09,7.015e+09,1.389e+09,6.4e+08,6e+07,6.89e+08,1.389e+09,3.51e+09,9.89e+08,2.18e+08,7.71e+08,4.499e+09,5.888e+09,3.79e+08,-7.97e+08,1.456e+09,8.9e+07,1.127e+09,0,1.127e+09,7.015e+09,1.65e+08,9e+07,6e+06,1.3e+07,-1.93e+08,3.2e+07,-3.9e+07,-4.5e+07,-1.41e+08,6.8e+07,-7.7e+07,-7.7e+07,-7.7e+07,0,-6.4e+07,-6.4e+07,9.81e+08,-5.16e+08,4e+07,-5.56e+08,1.9e+07,4.2e+08,4.24e+08,4.24e+08,3e+06,4.27e+08,3.07e+08,3.51e+09,1.21e+08,0.37979,0.09788,0.07442,0.14641,0.02352,0.73333,2.2779,5.22449,0.50036,0.5205,0.50305,6.99369,3.55521,0.3817,0.20189,6,0.0407,0.02151,0.38788,6.36156,9
"6","2011_Q3",17.795625,"Up",2.458e+09,-1.556e+09,9.02e+08,-7.09e+08,-7.09e+08,1.93e+08,8.3e+07,-6.4e+07,-6.4e+07,1.47e+08,2.76e+08,2.76e+08,-4.5e+07,2.31e+08,2.31e+08,2.31e+08,2.31e+08,1.035e+09,1.035e+09,2.41e+08,2.41e+08,1.104e+09,2.42e+08,2.42e+08,2.622e+09,1.583e+09,2.295e+09,1.457e+09,3e+07,2.1e+08,3.878e+09,6.5e+09,1.347e+09,6.46e+08,5e+06,6.96e+08,1.347e+09,3.524e+09,1.004e+09,2.24e+08,7.8e+08,4.528e+09,5.875e+09,4.19e+08,-1.112e+09,1.32e+09,-2e+06,6.25e+08,1.16415321826935e-10,6.25e+08,6.5e+09,2.31e+08,9e+07,2.3e+07,1e+07,-1.03e+08,-3.9e+07,-29999999.9999999,3.3e+07,-6.7e+07,2.41e+08,-8.5e+07,-8.5e+07,-8.5e+07,0,-8.5e+07,-3.67e+08,3.57627868652344e-07,-3.19e+08,1.5e+07,-3.34e+08,8e+06,-6.78e+08,-5.22e+08,-5.22e+08,0,-5.22e+08,2.83e+08,3.524e+09,1.4e+08,0.36697,0.07852,0.09398,0.3696,0.03554,0.606060000000001,1.94655,9.4,0.54215,0.75738,0.73333,8.05902,2.04918,0.459019999999999,1.20328,7,0.11605,0.0271699999999999,1.58874,8.79505,12.89637
"7","2011_Q4",19.9063492063492,"Up",2.174e+09,-1.388e+09,7.86e+08,-5.99e+08,-5.99e+08,1.87e+08,-6.5e+07,-6.4e+07,-6.4e+07,-1e+06,1.22e+08,1.22e+08,-2.7e+07,9.5e+07,9.5e+07,9.5e+07,9.5e+07,4.98e+08,4.98e+08,2.98e+08,2.98e+08,1.537e+09,2.53e+08,2.53e+08,2.586e+09,1.661e+09,2.27e+09,1.452e+09,3e+07,1.98e+08,3.931e+09,6.517e+09,1.504e+09,8e+08,4e+06,7e+08,1.504e+09,3.536e+09,9.56e+08,2.2e+08,7.36e+08,4.492e+09,5.996e+09,4.5e+08,-1.284e+09,1.354e+09,0,5.2e+08,1e+06,5.21e+08,6.517e+09,9.5e+07,8.4e+07,7e+06,-1e+06,-3.15e+08,-5e+07,-4.35e+08,1.67e+08,3e+06,-1.29e+08,-1.76e+08,-1.76e+08,-1.76e+08,0,-1.76e+08,-6e+07,0,-1.77e+08,6e+06,-1.83e+08,6e+06,-2.31e+08,-5.36e+08,-5.36e+08,-1e+06,-5.37e+08,2.71e+08,3.536e+09,-1.93e+08,0.36155,0.08602,0.0437,0.18234,0.01458,-2.03158,1.71941,11.50864,0.54258,0.31773,0.30844,7.2709,1.73913,-0.64548,0.20067,5,0.03092,-0.0385,0.63158,11.21033,16.24599
"8","2012_Q1",22.2764516129032,"Up",3.515e+09,-1.988e+09,1.527e+09,-7.65e+08,-7.65e+08,7.62e+08,-6.1e+07,-6.3e+07,-6.3e+07,1999999.99999999,7.01e+08,5.8e+08,-2.21e+08,3.59e+08,3.59e+08,3.59e+08,3.59e+08,9.35e+08,9.35e+08,2.18e+08,2.18e+08,9.97e+08,1.67e+08,1.67e+08,2.317e+09,1.644e+09,2.147e+09,1.33e+09,5.1e+07,2.71e+08,3.791e+09,6.108e+09,1.469e+09,5.4e+08,1.59e+08,7.7e+08,1.526e+09,3.481e+09,9.63e+08,1.83e+08,7.8e+08,4.444e+09,5.97e+09,1.73e+08,-6e+07,23999999.9999998,0,1.37e+08,1e+06,1.38e+08,6.108e+09,3.59e+08,9.2e+07,6.7e+07,-5.9e+07,6.54e+08,-9.5e+07,4.77e+08,-4.9e+07,3.21e+08,1.172e+09,3.6e+07,-8.8e+07,-8.8e+07,7.6e+07,1.3e+07,-6.53e+08,-5.96046447753906e-08,-1.03e+08,1.4e+07,-1.17e+08,8e+06,-7.48e+08,4.37e+08,4.37e+08,0,4.37e+08,8.54e+08,3.538e+09,1.765e+09,0.43442,0.21679,0.10213,2.60145,0.05878,4.91643,1.51835,43.26087,0.57924,1.21695,1.17705,11.91525,0.46441,5.98305,2.21356,6,0.21815,0.38047,1.81894,3.04801,3.41601
"9","2012_Q2",23.1903174603175,"Up",2.154e+09,-1.252e+09,9.02e+08,-6.09e+08,-6.09e+08,2.93e+08,-8e+07,-7.8e+07,-7.8e+07,-2e+06,2.13e+08,2.13e+08,-8.8e+07,1.25e+08,1.25e+08,1.25e+08,1.25e+08,1.286e+09,1.286e+09,1.58e+08,1.58e+08,1.1e+09,2.22e+08,2.22e+08,2.766e+09,1.689e+09,2.161e+09,1.33e+09,5e+07,2.86e+08,3.85e+09,6.616e+09,1.233e+09,5.36e+08,6e+06,6.91e+08,1.29e+09,4.48e+09,9.77e+08,1.91e+08,7.86e+08,5.457e+09,6.747e+09,2.29e+08,-4.4e+08,7.5e+07,5e+06,-1.31e+08,0,-1.31e+08,6.616e+09,1.25e+08,8.6e+07,-6.4e+07,7e+06,-3.3e+08,4.7e+07,-1.02e+08,-1.68e+08,-1.07e+08,-1.83e+08,-1.36e+08,-1.36e+08,-1.36e+08,1.2e+07,-1.24e+08,-7.3e+07,9.85e+08,-3.43e+08,3.3e+07,-3.76e+08,8.7e+07,6.56e+08,3.49e+08,3.49e+08,2e+06,3.51e+08,3.79e+08,4.537e+09,1e+06,0.41876,0.13603,0.05803,-0.9542,0.01889,0.008,2.14419,-51.50382,0.68576,0.42808,0.41528,7.37671,-0.44863,0.00342,0.25,3,0.03678,0.00019,0.584,8.57784,11.09556
"10","2012_Q3",24.5296825396825,"Up",2.399e+09,-1.457e+09,9.42e+08,-6.37e+08,-6.37e+08,3.05e+08,-7.6e+07,-7.9e+07,-7.9e+07,3e+06,2.29e+08,2.29e+08,-8.6e+07,1.43e+08,1.43e+08,1.43e+08,1.43e+08,1.193e+09,1.193e+09,1.75e+08,1.75e+08,1.057e+09,2.4e+08,2.4e+08,2.665e+09,1.775e+09,2.149e+09,1.33e+09,5.1e+07,2.74e+08,3.924e+09,6.589e+09,1.343e+09,6.24e+08,7e+06,7.12e+08,1.4e+09,4.48e+09,9.54e+08,1.88e+08,7.66e+08,5.434e+09,6.834e+09,2.63e+08,-6.63e+08,1.46e+08,9e+06,-2.45e+08,0,-2.45e+08,6.589e+09,1.43e+08,8.8e+07,0,-4000000.00000001,1.57e+08,-1.5e+07,41999999.9999999,1.15e+08,15000000.0000001,3.88e+08,-1.93e+08,-1.93e+08,-1.93e+08,-1e+06,-1.94e+08,-7.3e+07,0,-2.25e+08,3e+06,-2.28e+08,1.3e+07,-2.85e+08,-9.1e+07,-9.1e+07,-2e+06,-9.3e+07,3.93e+08,4.537e+09,4.43e+08,0.39266,0.12714,0.05961,-0.58367,0.0217,3.0979,1.90357,-27.89388,0.68857,0.4931,0.48311,8.27241,-0.84483,1.52759,0.25172,5,0.04117,0.0844499999999999,0.51049,8.50891,10.96393
