"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",27.2428125,"Down",128787000,-84870000,43917000,-59051000,-59051000,-15134000,-927000,-927000,-16061000,-16061000,-16116000,-16116000,-16116000,-16116000,6127000,6127000,270800000,17673000,17673000,294600000,26763000,9427000,9427000,36190000,330790000,142947000,115312000,27635000,8588000,156818000,21621000,21621000,23532000,180350000,308788000,-217555000,57689000,1518000,150440000,150440000,330790000,7194000,0.341,-0.11751,-0.12514,-0.10713,-0.04872,1.87861,1.19882,0.02175,-10.25941,-10.25941,81.98555,95.76981,-0.08991,-0.0705
"2","2011_Q1",27.3977419354839,"Up",231287000,-153077000,78210000,-62966000,-62966000,15244000,-915000,-1126000,14329000,12356000,12351000,12351000,12351000,12351000,75212000,75212000,234164000,3137000,3137000,317761000,21478000,9485000,9485000,30963000,348724000,158032000,130007000,28025000,-7045701.63667351,163158000,22020000,22020000,23768000,186926000,308898000,-217555000,70039000,416000,161798000,161798000,348724000,6874000,0.33815,0.06591,0.0534,0.07634,0.03542,1.94757,1.1553,0.01971,7.86262,7.86262000000001,147.23685,103.00029,0.06477,-4.48294
"3","2011_Q2",28.4787301587302,"Up",131496000,-83207000,48289000,-49968000,-49968000,-1679000,-832000,-832000,-2511000,-2511000,-2547000,-2547000,-2547000,-2547000,29674000,29674000,217785000,6868000,6868000,254327000,20047000,9399000,9399000,29446000,283773000,97006000,71021000,25985000,-11749266.7407245,101970000,20861000,20861000,22443000,124413000,309007000,-217555000,67492000,416000,159360000,159360000,283773000,6546000,0.36723,-0.01277,-0.01937,-0.01598,-0.00898,2.49414,0.7807,0.02307,-1.621,-1.621,83.68878,101.42243,-0.01364,13.77487
"4","2011_Q3",30.7784375,"Up",107990000,-67999000,39991000,-46416000,-46416000,-6425000,-793000,-793000,-7218000,-7218000,-7278000,-7278000,-7278000,-7278000,22494000,22494000,205452000,7545000,7545000,235491000,18816000,9181000,9181000,27997000,263488000,84231000,58896000,25335000,-8866781.02643883,89027000,20743000,20743000,22156000,111183000,309230000,-217555000,60214000,416000,152305000,152305000,263488000,6209000,0.37032,-0.0595,-0.0674,-0.04779,-0.02762,2.64516,0.73,0.02356,-4.62756,-4.62756,68.66317,96.83993,-0.0406,2.53463
"5","2011_Q4",34.3296825396825,"Up",109997000,-69344000,40653000,-44394000,-44394000,-3741000,-774000,-774000,-4515000,-4515000,-4509000,-4509000,-4509000,-4509000,19017000,19017000,223528000,8551000,8551000,251096000,17968000,8160000,8160000,26128000,277224000,102814000,78539000,24275000,-1742330.20810208,107437000,20690000,20690000,21932000,129369000,309289000,-217555000,55705000,416000,147855000,147855000,277224000,5865000,0.36958,-0.03401,-0.04099,-0.0305,-0.01626,2.33715,0.87497,0.02116,-2.86704,-2.86704,69.9415,94.01348,-0.02585,3.51564
"6","2012_Q1",37.0496774193548,"Up",193106000,-123885000,69221000,-51875000,-51875000,17346000,-790000,-1030000,16556000,16556000,16496000,16496000,16496000,16496000,88515000,88515000,191327000,1940000,1940000,288455000,16651000,8014000,8014000,24665000,313120000,116377000,93141000,23236000,6280000,127101000,23105000,23105000,24173000,151274000,309357000,-217555000,72201000,-2157000,161846000,161846000,313120000,5512000,0.35846,0.08983,0.08542,0.10192,0.05268,2.26949,0.93468,0.0176,10.39249,9.75806,121.6569,101.96308,0.08661,-4.78514
"7","2012_Q2",41.3133333333333,"Up",112287000,-70472000,41815000,-38201000,-38201000,3614000,-770000,-770000,2844000,2844000,2797000,2797000,2797000,2797000,62343000,62343000,176227000,7673000,7673000,246243000,15681000,8006000,8006000,23687000,269930000,67693000,52163000,15530000,11320000,82581000,22639000,22639000,22639000,105220000,309424000,-217555000,74998000,-2157000,164710000,164710000,269930000,3568000,0.37239,0.03219,0.02491,0.01698,0.01036,2.98184,0.63882,0.01322,1.7739,1.77317,71.21421,104.46171,0.01465,-16.26314
"8","2012_Q3",51.2533333333333,"Up",91038000,-55220000,35818000,-37136000,-37136000,-1318000,-522000,-522000,-1840000,-1840000,-1887000,-1887000,-1887000,-1887000,58252000,58252000,161972000,7737000,7737000,227961000,15368000,8402000,8402000,23770000,251731000,52249000,41496000,10753000,10391000,66006000,22840000,22840000,22840000,88846000,309486000,-217555000,73111000,-2157000,162885000,162885000,251731000,3366000,0.39344,-0.01448,-0.02073,-0.01158,-0.0075,3.45364,0.54545,0.01337,-1.19669,-1.19669,57.73409,103.29771,-0.00998,41.6434
"9","2012_Q4",57.6345161290323,"Up",91769000,-57032000,34737000,-36365000,-36365000,-1628000,-513000,-513000,-2141000,-2141000,-2188000,-2188000,-2188000,-2188000,59932000,59932000,178332000,10944000,10944000,249208000,15264000,8362000,8362000,23626000,272834000,75826000,65002000,10824000,9910000,88893000,23035000,23035000,23035000,111928000,309695000,-217555000,70923000,-2157000,160906000,160906000,272834000,3157000,0.37853,-0.01774,-0.02384,-0.0136,-0.00802,2.80346,0.69561,0.01157,-1.38678,-1.38678,58.16447,101.98447,-0.01169,34.87408
"10","2013_Q1",63.338,"Up",163450000,-103698000,59752000,-46870000,-46870000,12882000,-513000,-579000,12369000,35119000,35012000,35012000,35012000,35012000,132982000,132982000,155429000,6734000,6734000,297776000,9057000,8407000,8407000,17464000,315240000,97227000,79438000,17789000,10464000,110631000,23849000,23849000,23849000,134480000,310018000,-217555000,91071000,-2774000,180760000,180760000,315240000,2940000,0.36557,0.07881,0.21421,0.19369,0.11106,2.69161,0.74397,0.00933,22.10284,21.30202,103.18487,114.11256,0.16869,-10.09486
