"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.3404761904762,"Up",869884000,-782101000,87783000,-65577000,-62802000,-2775000,22206000,-1215000,-1215000,20096607.5516678,20991000,20991000,-8155000,12836000,12775000,12775000,12775000,-76282809.5908665,-76282809.5908665,2058425161.39848,2058425161.39848,314200718.964373,146951377.237657,45149806.7205513,2296343070.77198,187629042.841326,169743049.857144,3586831416.53802,1742769060.57091,453764698.070023,3944203509.23649,6240546580.00847,1365435667.57796,768830186.936295,14232399.3584162,582373081.283247,93352231.9920228,84758689.6308025,1458787899.56998,3736032910.97032,463459291.4343,11848343.3541787,451610948.080122,4199492202.40462,5658280101.9746,187417618.530316,389069643.479016,5779216.02453552,582266478.033867,582266478.033867,6240546580.00847,12836000,12775000,8493000,7570000,-41119000,-8913000,-6336000,-6924000,-6992000,8602000,1251000,-176831572.096998,2861000,-12976000,-12976000,-12976000,30699000,0,-8601000,0.10091,0.02553,0.01469,-0.212821276167217,-0.114502258719006,-0.67327,0.997999989930289,7.84166434773789,1.71677415639408,0.24652,0.24311,16.78632,11.2597442805884,-0.16598,0.13493,-0.150595582582097,-0.977447513233294,0.54732,155.002578441757,289.777647587977
"2","2010_Q3",16.12046875,"Down",855461000,-771974000,83487000,-67938000,-65244000,-2694000,15549000,-1177000,-1177000,11027764.5310007,14372000,14245000,-5622000,8623000,8577000,8577000,8577000,-797269.863622181,-797269.863622181,903057720.466159,903057720.466159,182765572.988124,70889459.0792188,28596268.9068504,1085026023.59066,95781014.2804419,60564349.9523812,1573614138.84601,873389353.523638,230041232.690008,1729959503.07883,2814985526.66949,562184222.525986,270389395.645432,5360799.78613873,286434027.094416,84325410.6640076,80897563.2102675,646509633.189994,1141010970.32344,358236097.144767,22208114.4513929,336027982.693374,1499247067.46821,2145756700.6582,182641539.510105,486658547.826339,-71261.3251548251,669228826.011289,669228826.011289,2814985526.66949,8623000,8577000,8551000,3676000,29110000,53236000,-4815000,-4815000,-7022000,-43427000,1794000,-101167943.258199,-48655000,-234000,-234000,-234000,24100000,0,54017000,0.09759,0.01818,0.01003,-0.0367504253890724,-0.0214640862396688,6.29789,1.61462332997676,2.9948047825793,0.54715805213136,0.16492,0.1627,16.44896,12.9029314268628,1.03865,0.13502,-0.0241985275273656,-0.245432504411098,0.8187,44.5470961472523,81.8092291959924
"3","2010_Q4",18.27078125,"Up",869029000,-776224000,92805000,-57479000,-54697000,-2782000,35326000,-1149000,-1149000,5225882.26550034,34177000,34177000,-13204000,20973000,20963000,20963000,20963000,32902000,32902000,458689000,458689000,126166000,41760000,22862000,617757000,59860000,19589000,831592000,563404000,147385000,911041000,1528798000,256968000,80313000,1591000,175064000,79242000,78397000,336210000,1.5e+08,325698000,27432000,298266000,475698000,811908000,185651000,533364000,-2125000,716890000,716890000,1528798000,20973000,20963000,9028000,2965000,2253000,35967000,-5572000,-36193000,-7037000,16101000,3121000,-50613971.6290994,12185000,11959000,11959000,11959000,44354000,1.5e+08,54239000,0.10679,0.04065,0.02412,0.02924,0.01371,2.58737,1.83741,1.13254,0.09812,0.40199,0.39556,16.66467,13.74722,1.0401,0.13494,0.02348,0.04548,0.33569,2.64008,3.31478
"4","2011_Q1",20.0433870967742,"Up",901373000,-803719000,97654000,-61896000,-58783000,-3113000,35758000,-1098000,-1098000,2031960.75516678,34660000,34660000,-13222000,21438000,21806000,21806000,21806000,39446000,39446000,450513000,450513000,118797000,41306000,25540000,608756000,58088000,20171000,861655000,593983000,149438000,939914000,1548670000,256750000,78928000,977000,176845000,77101000,77101000,333851000,140500000,335294000,29455000,305839000,475794000,809645000,192944000,547944000,-1863000,739025000,739025000,1548670000,21438000,21806000,10243000,10130000,25976000,69574000,-5707000,-39928000,-7101000,-21211000,5210000,-20208657.2096998,-23102000,6544000,6544000,6544000,46001000,140500000,79492000,0.10834,0.03967,0.02419,0.02951,0.01408,3.64542,1.82344,1.09556,0.09072,0.41542,0.40858,17.17163,14.07881,1.51436,0.13528,0.0238,0.06544,0.32564,2.19678,2.82605
"5","2011_Q2",18.328253968254,"Down",1029169000,-924305000,104864000,-87948000,-82655000,-5293000,16916000,-3259000,-4046000,787000,13657000,13657000,-5252000,8405000,8390000,8390000,8390000,31365000,31365000,574532000,574532000,130855000,49151000,31663000,736752000,66176000,32926000,1119985000,726518000,178661000,1219087000,1955839000,344080000,134447000,1334000,208299000,76500000,76500000,420580000,4.3e+08,356370000,30653000,325717000,786370000,1206950000,200609000,549177000,-897000,748889000,748889000,1955839000,8405000,8390000,12674000,4759000,-25580000,1297000,-5179000,-297987000,-7398000,295267000,5731000,-4991000,288609000,-8081000,-8081000,-8081000,29590000,4.3e+08,4083000,0.10189,0.01644,0.00815,0.0112,0.00429,0.48665,1.75175,1.61165,0.21985,0.15878,0.15568,19.47745,14.17304,0.07727,0.14001,0.01028,0.00266,0.88176,13.47195,23.56556
"6","2011_Q3",16.184375,"Down",1060083000,-944523000,115560000,-89061000,-83395000,-5666000,26499000,-3485000,-4317000,832000,23014000,23014000,-8814000,14200000,14191000,14191000,14191000,23290000,23290000,555940000,555940000,136735000,47038000,38824000,715965000,62346000,31208000,1107472000,742179000,178696000,1201026000,1916991000,325921000,127197000,716000,198008000,76438000,76438000,402359000,3.96e+08,358375000,32961000,325414000,754375000,1156734000,205144000,555821000,-708000,760257000,760257000,1916991000,14200000,14191000,13232000,6471000,-2637000,31880000,-4575000,261999.99999994,-7436000,-34781000,2e+06,0,-40217000,-8075000,-8075000,-8075000,39731000,3.96e+08,41333000,0.10901,0.025,0.01339,0.01867,0.0074,2.91262,1.77942,1.5215,0.20657,0.26723,0.26202,19.96202,14.31611,0.77833,0.14002,0.01428,0.02729,0.52399,9.38084,14.06506
"7","2011_Q4",16.0290476190476,"Down",1076247000,-952844000,123403000,-82670000,-76356000,-6314000,40733000,-2948000,-4114000,1166000,37785000,37785000,-9874000,27911000,27875000,27875000,27875000,39614000,39614000,565267000,565267000,160175000,46615000,66163000,765056000,62055000,31059000,1068665000,746832000,143913000,1161779000,1926835000,362993000,129076000,728000,233189000,79316000,79316000,442309000,3.65e+08,335388000,33791000,301597000,700388000,1142697000,209132000,576139000,-1133000,784138000,784138000,1926835000,27911000,27875000,13104000,11006000,-993000,51660000,-6378000,-4840000,-7444000,-24840000,1788000,0,-30496000,16324000,16324000,16324000,53837000,3.65e+08,56340000,0.11466,0.03785,0.0259,0.03555,0.01447,2.02117,1.72969,1.45727,0.18943,0.52388,0.5143,20.22678,14.73694,1.05884,0.1399,0.02379,0.03795,0.26705,6.04391,7.98827
"8","2012_Q1",17.8546774193548,"Up",1081343000,-959592000,121751000,-88331000,-82356000,-5975000,33420000,-2198000,-3328000,1130000,31222000,31222000,-13040000,18182000,18048000,18048000,18048000,26467000,26467000,552098000,552098000,155192000,41823000,65599000,733757000,60009000,30093000,1055739000,750872000,144925000,1145841000,1879598000,364368000,130464000,307000,233597000,78828000,78828000,443196000,3e+08,340516000,38236000,302280000,640516000,1083712000,211922000,586625000,-2661000,795886000,795886000,1879598000,18182000,18048000,13648000,13672000,28746000,75153000,-5080000,-4847000.00000001,-7466000,-76146000,189000,-30000,-83453000,-13147000,-13147000,-13147000,47068000,3e+08,83774000,0.11259,0.03091,0.01669,0.02268,0.0096,4.64173,1.6556,1.36164,0.15961,0.33841,0.33323,20.27607,14.92352,1.57083,0.13999,0.01776,0.05832,0.41367,5.81144,8.18471
"9","2012_Q2",17.5650793650794,"Down",1073785000,-966420000,107365000,-89569000,-84020000,-5549000,17796000,298000,-2834000,3132000,18094000,18094000,-7454000,10640000,10630000,10630000,10630000,17650000,17650000,573767000,573767000,153454000,50764000,62315000,744871000,64282000,32702000,1044945000,750868000,138294000,1141929000,1886800000,366135000,130156000,367000,235612000,83528000,83528000,449663000,2.93e+08,338978000,37805000,301173000,631978000,1081641000,217095000,589366000,-1302000,805159000,805159000,1886800000,10640000,10630000,12974000,5889000,-17714000,11991000,-11244000,-11244000,-7746000,-4045000,2241000,-14000,-9564000,-8817000,-8817000,-8817000,30770000,2.93e+08,9266000,0.09999,0.01657,0.0099,0.0132,0.00563,0.87168,1.65651,1.34339,0.15529,0.1987,0.19507,20.07112,15.04998,0.1732,0.14479,0.01279,0.00645,0.72869,8.94865,15.47258
"10","2012_Q3",15.4179365079365,"Down",1057244000,-947916000,109328000,-90465000,-85164000,-5301000,18863000,-940000,-2441000,1501000,17923000,17610000,-5863000,11747000,11712000,11712000,11712000,25411000,25411000,564055000,564055000,157543000,49178000,62591000,747009000,61367000,32561000,1035007000,749234000,137822000,1128935000,1875944000,366940000,128619000,5547000,232774000,86540000,86540000,453480000,2.66e+08,338622000,38732000,299890000,604622000,1058102000,225730000,593112000,-1e+06,817842000,817842000,1875944000,11747000,11712000,12829000,-1036000,19050000,43531000,-3838000,-3838000,-7833000,-29955000,5856000,0,-31932000,7761000,7761000,7761000,31692000,2.66e+08,52767000,0.10341,0.01784,0.01108,0.01432,0.00624,4.50538,1.64728,1.29377,0.1418,0.21712,0.21309,19.59928,15.16123,0.9782,0.14521,0.01374,0.0371,0.6688,7.59147,12.75455
