"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",28.3068253968254,"Up",-1754000,-756000,-998000,-1754000,65000,-1689000,-1689000,-1689000,-1689000,-1689000,-1689000,-119732131.253139,353584924.398438,-2563837.76929523,290726.977147288,-69759072.1868967,19028620.1441542,35779494.9210168,35779494.9210168,56338139.6365589,-13420932.5503378,-2970562.21469601,1479722.24971415,-4450284.46441016,-56832844.2861636,-78853282.3091205,812345.152259264,-78853282.3091205,-135686126.595284,96675151.0574101,31556760.9575392,122265194.044946,122265194.044946,-13420932.5503378,-1689000,70000,505000,426000,-688000,-398000,402000,4000,252000,252000,228000,-456000,-456000,-456000,-1684000,0,6.90015410447516,5.09942184392486,249.001872530619,-3.5953532301527,4.38207169532959e-22,-0.39075,-0.39075,30.9770752019122,5.8878936728998,-686.964699190185,-671.491411567838
"2","2011_Q3",27.67953125,"Down",-2824000,-1246000,-1578000,-2824000,3000.00000000003,-2821000,-2821000,-2821000,-2821000,-2821000,-2821000,-30358065.6265695,202463962.199219,-950418.884647616,120863.488573644,-9046036.09344833,9321310.07207708,15527247.4605084,15527247.4605084,24915569.8182794,15869533.7248311,-139281.107348005,1436861.12485707,-1576142.23220508,-25877922.1430818,-36965141.1545603,674172.576129632,-36965141.1545603,-62843063.297642,93374075.528705,-12134619.5212304,78712597.0224732,78712597.0224732,15869533.7248311,-2821000,74000,1042000,174000,-1531000,-134000,497000,363000,4780000,4780000,4780000,3612000.00000001,3612000.00000001,3612000.00000001,-2750000,0,2.55670205223758,1.82607092196243,129.58337126531,-1.65848161507635,2.1910358476648e-22,-0.65263,-0.65263,19.3374376009561,2.1384918364499,-283.310199595092,-276.941920783919
"3","2011_Q4",25.5544444444444,"Down",-2699000,-1152000,-1547000,-2699000,86000,-2613000,-2613000,-2613000,-2613000,-2613000,-2613000,20635311.4578102,102325654.066406,12527.0384507946,97287.829524548,26733321.3021839,4075436.69069236,4613082.48683613,4613082.48683613,8453189.93942648,35186511.2416104,1393906.29755066,1316620.37495236,77285.9225983068,-7275307.38102726,-11868047.0515201,601057.525376544,-11868047.0515201,-19143354.4325473,93097025.176235,-38076873.1737435,54329865.6741577,54329865.6741577,35186511.2416104,-2613000,80000,949000,207000,-1377000,-112000,0,-112000,41616000,41616000,41616000,40127000,40127000,40127000,-2619000,0,0.515834017412527,0.328533640654143,57.6605537551032,-0.506103871692117,7.30345282554932e-23,-0.60451,-0.60451,12.872172533652,0.404620612149967,-68.5658731983641,-67.0335402613063
"4","2012_Q1",24.3861290322581,"Down",-3837000,-1331000,-2506000,-3837000,112000,-3725000,-3725000,-3725000,-3725000,-3725000,-3725000,42829000,42829000,468000,154000,43297000,2088000,452000,452000,2719000,46016000,2018000,1177000,841000,2018000,576000,576000,576000,2594000,94375000,-50953000,43422000,43422000,46016000,-3725000,88000,999000,479000,-2159000,-289000,-2000,-291000.000000002,413000,413000,412999.999999985,-2037000.00000001,-2037000.00000001,-2037000.00000001,-3749000,0,-0.08579,-0.08095,21.4554,0.05974,0,-0.86177,-0.86177,10.04557,-0.08466,11.42411,11.16211
"5","2012_Q2",24.3857142857143,"Down",-4481000,-1637000,-2844000,-4332000,-161000,-4493000,-4493000,-4493000,-4493000,-4493000,-4493000,45804000,13633000,559000,225000,46363000,2156000,459000,459000,3481000,49844000,2122000,1076000,1046000,5045000,4505000,582000,4505000,9550000,95739000,-55446000,40294000,40294000,49844000,-4493000,97000,991000,6867000,3462000,-179000,-32285000,-32980000,323000,323000,323000,-29195000,-29195000,-29195000,-4235000,0,-0.11151,-0.09014,9.18989,0.23701,0,-1.03944,-1.03944,9.32192,-0.10029,10.81558,10.57341
"6","2012_Q3",36.6293650793651,"Up",4474177,1634088,2840089,4325550,160965,4486515,4486515,4486515,4486515,4486515,4486515,41515000,6672000,483000,266000,43843000,2883000,1730000,1730000,5799000,49642000,2127000,1174000,953000,4976000,4314000,622000,4314000,9290000,97924000,-57438000,40352000,40352000,49642000,4486515,-96801,-989342,-6862198,-3461826,178004,32253718,32943269,-322600,-322600,-322600,29158843,29158843,29158843,4228749,0,0.11118,0.09038,8.81089,0.23022,0,1.03794,1.03794,9.33533,0.10045,-9.81732,-9.59762
"7","2012_Q4",35.7188709677419,"Down",-11650177,-4833088,-6817089,-11053550,401035,-10652515,-10652515,-10652515,-10652515,-10652515,-10652515,39543000,11605000,383000,211000,41455000,3066000,1680000,1680000,5441000,46896000,2422000,1529000,893000,4854000,4141000,679000,4141000,8995000,99461000,-61612000,37901000,37901000,46896000,-10652515,311801,3093342,4902198,-2345174,-1312004,-22115718,-29239269,396600,396600,396600,-31187843,-31187843,-31187843,-10741749,0,-0.28106,-0.22715,8.54038,0.23733,2.35098870164458e-38,-2.4031,-2.4031,8.55009,-0.25338,3.68124,3.5774
"8","2013_Q1",32.3443333333333,"Down",-4069000,-1732000,-2337000,-3971000,-164000,-4135000,-4135000,-4135000,-4135000,-4135000,-4135000,37809000,9389000,383000,383000,38192000,5019000,2922000,2922000,9228000,47420000,3167000,1368000,1799000,5522000,4156000,651000,4156000,9678000,103619000,-65747000,37742000,37742000,47420000,-4135000,123000,1882000,1200000,-930000,-167000,-3000.00000000745,-1521000.00000001,235000,235000,235000,-2215999.99999999,-2215999.99999999,-2215999.99999999,-3848000,-1.57772181044202e-30,-0.10956,-0.0872,6.91633,0.25643,0,-0.91181,-0.91181,8.32252,-0.09869,9.82562,9.52128
"9","2013_Q2",30.09546875,"Down",-4379000,-1681000,-2698000,-4190000,195000,-3995000,-3995000,-3995000,-3995000,-3995000,-3995000,68314000,38751000,1668000,1668000,69982000,6440000,4038000,4038000,11462000,81444000,3494000,1696000,1798000,5232000,4019000,709000,4019000,9251000,141836000,-69742000,72193000,72193000,81444000,-3995000,130000,1357000,-1014000,-3522000,-1978000,303000,-2610000,35494000,35494000,35494000,29362000,29362000,29362000,-4060000,0,-0.0553400000000027,-0.0490499999999983,13.37576,0.12814,0,-0.83519,-0.83519,15.09251,-0.0524199999999984,16.82611,16.30406
"10","2013_Q3",31.13359375,"Up",-5073000,-1420000,-3653000,-4884000,394000,-4490000,-4490000,-4490000,-4490000,-4490000,-4490000,64573,23548,1699,1699,66272,10026,2066,2066,12848,79120,4748,3397,1351,6126,3950,834,3950,10076,142912,-74232,69044,69044,79120,-4490000,146000,579000,397000,-3368000,-1360000,-10419000,-12285000,450000.000000007,450000.000000007,449999.999999993,-15203000,-15203000,-15203000,-4738000,2.52435489670724e-29,-65.03099,-56.74924,10.81815,0.14594,0,-0.78107,-0.78107,0.01201,-61.51191,0.01363,0.01322
