"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",17.3425396825397,"Up",22635000,-6282000,16353000,-15379000,-14094000,-1285000,974000,10000,10000,984000,984000,-492000,492000,492000,492000,268000,39294000,39294000,13021000,13021000,6248000,2589000,808000,61152000,1399000,4385000,3998000,5784000,66936000,10442000,4808000,5462000,265000,265000,10707000,150000,150000,10857000,61231000,-5152000,56079000,56079000,66936000,492000,238000,874000,2061000,3665000,-224000,-224000,41228000,41228000,29134000,32575000,32575000,32575000,1212000,0,3541000,0.72247,0.04303,0.01184,0.00478,0.004,13.21269,5.7114,0.1936,0,0.02187,0.02187,1.84717,4.57643,0.28897,0.15072,0.06297,-32.42079,-40.34292
"2","2017_Q1",17.0109677419355,"Down",28478000,-7523000,20955000,-17663000,-16501000,-1162000,3292000,18000,18000,3310000,3310000,-931000,2379000,2379000,2379000,2379000,41695000,30701000,15003000,15003000,6554000,981000,981000,64233000,1563000,8139000,5354000,9702000,73935000,12484000,3776000,7885000,67000,67000,12551000,1745000,1745000,14296000,62423000,-2773000,59639000,59639000,73935000,2379000,124000,-46000,240000,2697000,-291000,-11302000,11999.9999999925,11999.9999999925,11999.9999999963,-8592999.99999999,-8592999.99999999,-8592999.99999999,3416000,0,4296000,0.73583,0.1156,0.08354,0.03989,0.03218,1.8058,5.11776,0.23971,0,0.14247,0.09879,1.70542,3.57151,0.25727,0.03876,0.06999,-12.2058,-12.66555
"3","2017_Q2",22.5171428571429,"Up",19850000,-5624000,14226000,-17158000,-16040000,-1118000,-2932000,55000,55000,-2877000,-2877000,1373000,-1504000,-1504000,-1504000,-1504000,40737000,20714000,11428000,11428000,6933000,1425000,870000,60523000,2273000,8052000,5260000,10325000,70848000,11066000,4862000,6204000,48000,48000,11114000,563000,563000,11677000,63466000,-4277000,59171000,59171000,70848000,-1504000,298000,627000,263000,-316000,-708000,-9757000,1e+05,1e+05,86000,-9987000,-9987000,-9987000,-2634000,0,-4452000,0.71668,-0.14771,-0.07577,-0.02542,-0.02123,2.96011,5.44565,0.19734,0,-0.08911,-0.08911,1.17606,3.50571,-0.26377,-0.02518,-0.07453,15.46583,13.89393
"4","2017_Q3",31.6622222222222,"Up",26264000,-7034000,19230000,-18500000,-17035000,-1465000,729999.999999999,64000,64000,794000,794000.000000001,2993000,3787000,3787000,3787000,3787000,39098000,18096000,12910000,12910000,9631000,5148000,708000,66787000,2854000,8252000,5454000,11106000,77893000,11056000,6567000,4489000,34000,34000,11090000,610000,610000,11700000,67196000,-490000,66193000,66193000,77893000,3787000,366000,1214000,-8066000,-2699000,-831000,-1976000,2196000,2689000,2057000,-2618000,-2618000,-2618000,1096000,2.16840434497101e-19,-10794000,0.73218,0.02779,0.14419,0.05721,0.04862,-2.85028,6.02227,0.17676,8.07793566946316e-28,0.22046,0.1843,1.52893,3.85335,-0.62836,0.05669,-0.16158,-35.67336,-53.5589
"5","2017_Q4",29.0160317460317,"Down",28283000,-7528000,20755000,-19582000,-18466000,-1116000,1173000,85000,85000,1258000,1258000,84000,1342000,1342000,1342000,1342000,41646000,19653000,14579000,14579000,9784000,5700000,932000,71709000,3353000,8020000,5223000,11373000,83082000,13722000,5485000,8237000,26000,26000,13748000,861000,861000,14609000,68132000,852000,68473000,68473000,83082000,1342000,409000,1227000,70000,3048000,-458000,-1460000,94000,94000,-31000,1557000,1557000,1557000,1582000,0,1110000,0.73383,0.04147,0.04745,0.0196,0.01615,0.82712,5.21596,0.21335,0,0.07621,0.07052,1.6061,3.88836,0.06303,0.01936,0.01601,-26.32491,-35.50384
"6","2018_Q1",30.9247540983607,"Up",34886000,-8829000,26057000,-21130000,-19769000,-1361000,4927000,88000,88000,5015000,5015000,-2785000,2230000,2230000,2230000,2230000,43912000,23968000,17623000,17623000,11040000,4297000,2178000,76872000,3776000,7799000,2919000,11575000,88447000,13769000,4253000,9304000,17000,17000,13786000,1874000,1874000,15660000,70242000,3082000,72787000,72787000,88447000,2230000,776000,1310000,-157000,4159000,-1823000,-823000,1088000,1088000,979000,4315000,4315000,4315000,5703000,0,6508000,0.74692,0.14123,0.06392,0.03064,0.02521,2.91838999999999,5.57609,0.21515,0,0.1256,0.11703,1.96491,4.09964,0.36656,0.02987,0.08717,-7.69981,-8.91252
"7","2018_Q2",43.50890625,"Up",26848000,-7309000,19539000,-21366000,-19929000,-1437000,-1827000,91000,91000,-1736000,-1736000,1686000,-50000,-50000,-50000,-50000,41241000,25313000,14209000,14209000,14656000,5063000,1116000,75169000,3912000,7992000,5328000,11904000,87073000,12121000,5234000,6887000,15000,15000,12136000,1775000,1775000,13911000,70673000,3032000,73162000,73162000,87073000,-50000,463000,1283000,-3869000,-2173000,-432000,4568000,138000,138000,-1050000,1345000,1345000,1345000,-1364000,0,-7351000,0.72776,-0.06805,-0.00186,-0.00068,-0.00057,147.02,6.19389,0.19014,0,-0.00278,-0.00278,1.49183,4.06531,-0.40846,-0.00067,-0.0981,30.23534,22.57307
"8","2018_Q3",60.0822222222222,"Up",34133000,-9610000,24523000,-23212000,-21923000,-1289000,1311000,132000,132000,1443000,1443000,1129000,2572000,2572000,2572000,2572000,41122000,17320000,17529000,17529000,16437000,6152000,947000,81240000,4012000,7481000,1849000,11493000,92733000,12202000,4649000,7553000,8999.99999999999,8999.99999999999,12211000,1753000,1753000,13964000,73696000,5604000,78769000,78769000,92733000,2572000,1224000,2228000,-5250000,774000,-2169000,-10013000,1849000,1849000,1246000,-7993000,-7993000,-7993000,2535000,5.55111512312578e-17,-6013000,0.71845,0.03841,0.07535,0.03265,0.02774,-2.33787000000007,6.65302,0.17728,-2.06795153138257e-25,0.14166,0.12601,1.87994,4.33836,-0.33118,0.03194,-0.07468,-16.2217,-31.3669
"9","2018_Q4",57.6852380952381,"Down",36322000,-10141000,26181000,-24811000,-23588000,-1223000,1370000,128000,128000,1498000,1498000,248000,1746000,1746000,1746000,1746000,45936000,23136000,20179000,20179000,14919000,8168000,2370000,89202000,4063000,8470000,1378000,12533000,101735000,16312000,3929000,10582000,6000,6000,16318000,1999000,1999000,18317000,76099000,7350000,83418000,83418000,101735000,1746000,787000,1133000,1417000,5083000,-835000,217000,647000,647000,516000,5816000,5816000,5816000,2157000,0,2491000,0.7208,0.03772,0.04807,0.02093,0.01716,1.42669,5.46648,0.21958,0,0.09516,0.08918,1.97963,4.54646,0.13576,0.02044,0.02916,-21.29624,-33.52993
"10","2019_Q1",64.5918032786885,"Up",46448000,-14433000,32015000,-29879000,-28539000,-1340000,2136000,135000,135000,2271000,2271000,83999.9999999999,2355000,2355000,2355000,2355000,45885000,20099000,24332000,24332000,11189000,3555000,1762000,84961000,4810000,17300000,3141000,22110000,107071000,15362000,5110000,10201000,5000,5000,15367000,2434000,2434000,17801000,79573000,9705000,89270000,89270000,107071000,2355000,1263000,-416000,2121000,5323000,-760000,-9498000,1595000,1595000,1138000,-3037000,-3037000,-3037000,3399000,8.88178419700125e-16,4676000,0.68927,0.04599,0.0507,0.02638,0.02199,1.98556,5.5288,0.19941,3.30872245021211e-24,0.12723,0.12137,2.50938,4.82286,0.25262,0.02568,0.05099,-13.49956,-21.48174
"11","2019_Q2",52.1377777777778,"Down",37617000,-11359000,26258000,-28060000,-26779000,-1281000,-1802000,161000,161000,-1641000,-1641000,3113000,1472000,1472000,1472000,1472000,48294000,23548000,21661000,21661000,11321000,4494000,1680000,85770000,4616000,23131000,6810000,27747000,113517000,15354000,5832000,9522000,1950000,1950000,17304000,4214000,4214000,21518000,80807000,11177000,91999000,91999000,113517000,1472000,996000,622000,-1817000,1273000,-775000,3725000,861000,861000,-1549000,3449000,3449000,3449000,-806000,0,-6511000,0.69804,-0.0479,0.03913,0.016,0.01297,-4.42323,4.95666,0.23389,0,0.07852,0.07518,2.00659,4.90746,-0.34731,0.0153,-0.06767,59.91811,26.80022
"12","2019_Q3",51.67921875,"Down",45200000,-13695000,31505000,-28457000,-27223000,-1234000,3048000,159000,159000,3207000,3207000,-422000.000000001,2785000,2785000,2785000,2785000,51333000,25040000,24758000,24758000,13165000,4823000,1570000,94079000,4978000,22779000,7265000,27757000,121836000,16557000,6855000,9702000,2101000,2101000,18658000,4170000,4170000,22828000,85006000,13962000,99008000,99008000,121836000,2785000,837000,-2986000,-1058000,-422000,-1082000,-10999.9999999981,2533000,2533000,1925000,1492000,1492000,1492000,3885000,0,2167000,0.69701,0.06743,0.06162,0.02813,0.02286,0.778099999999999,5.04229,0.23057,5.29395592033938e-23,0.14749,0.14167,2.39378,5.24344,0.11476,0.02699,0.021,-13.21313,-16.84154
"13","2019_Q4",55.33703125,"Up",49612000,-14239000,35373000,-32188000,-30721000,-1467000,3185000,178000,178000,3363000,3363000,-932000,2431000,2431000,2431000,2431000,52362000,19814000,27681000,27681000,16882000,5803000,1956000,102728000,7499000,33548000,19634000,41047000,143775000,21321000,6289000,15032000,2807000,2807000,24128000,15680000,15680000,39808000,87543000,16393000,103967000,103967000,143775000,2431000,975000,1867000,-3703000,1570000,-2419000,-7003000,296000,296000,207000,-5226000,-5226000,-5226000,4160000,0,-1030000,0.71299,0.0642,0.049,0.02338,0.01691,-0.42369,4.25763,0.38289,0,0.12806,0.12369,2.61352,5.47689,-0.05426,0.02032,-0.00861,-12.58702,-16.44019
"14","2020_Q1",53.566935483871,"Down",57063000,-15963000,41100000,-35033000,-33647000,-1192000,6067000,133000,133000,6200000,6200000,-1917000,4283000,4283000,4283000,4283000,53381000,22770000,33444000,33444000,19059000,2451000,2451000,108335000,7408000,36009000,21727000,43417000,151752000,19071000,3843000,14596000,2357000,2357000,21428000,17729000,17729000,39157000,91893000,20676000,112595000,112595000,151752000,4283000,730000,2876000,-7800000,88999.9999999995,-1170000,953999.999999999,2197000,2197000,1913000,2956000,2956000,2956000,6797000,1.13686837721616e-13,-256000,0.72026,0.10632,0.07506,0.03804,0.02822,-0.0597699999999998,5.05577,0.34777,8.470329472543e-22,0.22466,0.21772,2.99321,5.90611,-0.0134300000000001,0.03286,-0.00196,-7.85361,-8.79858
"15","2020_Q2",46.8503174603175,"Down",43675000,-12602000,31073000,-35524000,-33840000,-1684000,-4451000,266000,266000,-4185000,-4185000,2878000,-1307000,-1307000,-1307000,-1307000,53716000,32297000,30781000,30781000,22363000,5461000,1966000,112321000,7334000,35864000,22685000,43198000,155519000,22063000,8739000,13324000,2658000,2658000,24721000,17758000,17758000,42479000,93633000,19369000,113040000,113040000,155519000,-1307000,730000,2929000,-1443000,909000,-358000,9606000,172000,172000,-988000,9527000,9527000,9527000,-3721000,0,-8400000,0.71146,-0.10191,-0.02993,-0.01156,-0.0084,6.42693,4.54355,0.37579,0,-0.06817,-0.06817,2.27787,5.89561,-0.4381,-0.00999,-0.06422,14.4359,12.0683
"16","2020_Q3",36.62796875,"Down",35120000,-10208000,24912000,-32875000,-31770000,-1105000,-7963000,36000,36000,-7927000,-7927000,-5923000,-13850000,-13850000,-13850000,-13850000,46043000,31341000,30552000,30552000,24826000,3155000,2195000,104576000,7009000,29945000,23526000,36954000,141530000,16400000,5686000,10714000,4086000,4086000,20486000,17659000,17659000,38145000,97837000,5519000,103385000,103385000,141530000,-13850000,720000,9911000,-5670000,-8889000,-302000,6125000,2201000,2201000,1808000,-955999.999999998,-955999.999999998,-955999.999999998,-7243000,0,-7292000,0.70934,-0.22674,-0.39436,-0.13397,-0.09786,0.5265,5.10475,0.36896,6.7762635780344e-21,-0.71622,-0.71622,1.81615,5.34631,-0.37709,-0.11442,-0.06024,6.3569,5.78212
"17","2020_Q4",39.73734375,"Up",49092000,-14120000,34972000,-33178000,-31928000,-1102000,1794000,-121000,-121000,1673000,1673000,751000,2424000,2424000,2424000,2424000,51655000,42204000,36033000,36033000,22419000,4003000,4003000,114110000,7177000,36463000,29782000,43640000,157750000,20958000,5053000,14446000,4683000,4683000,25641000,22990000,22990000,48631000,101176000,7943000,109119000,109119000,157750000,2424000,652000,2022000,637000,5735000,-963000,4953000,214000,214000,175000,10863000,10863000,10863000,2446000,0,1369000,0.71238,0.03654,0.04938,0.02221,0.01537,0.56477,4.45029,0.44567,0,0.12484,0.12484,2.52832,5.61982,0.07051,0.01835,0.01036,-21.11815,-28.7932
