"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",45.1547619047619,"Up",9.368e+09,-4.463e+09,4.905e+09,-4.065e+09,-4.049e+09,8.4e+08,5.61e+08,-1.48e+08,1.401e+09,1.401e+09,3.3e+07,1.434e+09,1.434e+09,-4e+06,1.43e+09,1.43e+09,4.147e+09,3.949e+09,1.98e+08,6.204e+09,3.283e+09,1.631e+09,1.631e+09,1.5265e+10,1.885e+10,3.0029e+10,1.435e+10,1.3156e+10,1.381e+09,1.142e+09,4.8879e+10,6.4144e+10,9.68e+09,9.553e+09,1.974e+09,1.1654e+10,1.9884e+10,1.075e+10,4.143e+09,6.607e+09,3.0634e+10,4.2288e+10,4.541e+09,3.1e+07,4.51e+09,3.4496e+10,-3.569e+09,2.1581e+10,2.75e+08,2.1856e+10,6.4144e+10,1.434e+09,3.76e+08,-1.394e+09,-1.75e+08,2.41e+08,-2.58e+08,1.6e+07,-2.74e+08,-3.748e+09,-5e+06,-4.011e+09,-7.12e+08,5.237e+09,-4.68e+08,2.67e+08,-7.35e+08,-1.36e+08,3.921e+09,1.51e+08,1.51e+08,-1.45e+08,6e+06,1.216e+09,2.1858e+10,7.5e+08,0.52359,0.08967,0.15265,0.06543,0.02229,0.52448,1.30985,1.93485,0.34076,0.90392,0.89041,5.92162,22.41972,0.47408,0.45006,54.8777013047625,0.03933,0.01377,0.4979,14.56497,21.08452
"2","2010_Q3",45.8565625,"Up",1.4801e+10,-6.745e+09,8.056e+09,-5.595e+09,-5.563e+09,2.461e+09,-1.61e+08,-1.7e+08,2.3e+09,2.3e+09,-6.87e+08,1.613e+09,1.613e+09,-1e+07,1.603e+09,1.603e+09,4.754e+09,4.529e+09,2.25e+08,6.88e+09,3.53e+09,1.579e+09,1.579e+09,1.6743e+10,1.8396e+10,2.9935e+10,1.3876e+10,1.3605e+10,1.373e+09,1.081e+09,4.8331e+10,6.5074e+10,1.0079e+10,9.843e+09,4.493e+09,1.4572e+10,1.9586e+10,1.1002e+10,4.159e+09,6.843e+09,3.0588e+10,4.516e+10,4.57e+09,3.1e+07,4.539e+09,3.5328e+10,-4.226e+09,1.9626e+10,2.88e+08,1.9914e+10,6.5074e+10,1.613e+09,5.93e+08,3.18e+08,-3.23e+08,2.201e+09,-6.73e+08,2.1e+07,-6.94e+08,-1.9e+07,-4.2e+07,-7.34e+08,-7.39e+08,2.294e+09,-2.376e+09,1.97e+08,-2.573e+09,1.6e+07,-8.05e+08,6.62e+08,6.62e+08,-8.2e+07,5.8e+08,3.054e+09,2.4079e+10,2.745e+09,0.54429,0.16627,0.1083,0.0805,0.02463,1.71241,1.14898,2.26775,0.37002,0.99689,0.98103,9.2046,22.18408,1.70709,0.45958,28.7653896137569,0.04259,0.04991,0.46101,6.32777,7.8525
"3","2010_Q4",46.4446875,"Up",1.5514e+10,-7.008e+09,8.506e+09,-5.706e+09,-5.676e+09,2.8e+09,-1.41e+08,-1.51e+08,2.659e+09,2.659e+09,-7.29e+08,1.93e+09,1.93e+09,-8e+06,1.922e+09,1.922e+09,5.809e+09,5.577e+09,2.32e+08,7.245e+09,3.359e+09,1.488e+09,1.488e+09,1.7901e+10,1.8534e+10,3.0267e+10,1.3762e+10,1.3905e+10,1.401e+09,1.199e+09,4.8801e+10,6.6702e+10,1.1361e+10,1.0699e+10,5.756e+09,1.7117e+10,1.8445e+10,1.0904e+10,3.865e+09,7.039e+09,2.9349e+10,4.6466e+10,4.566e+09,3.1e+07,4.535e+09,3.6487e+10,-4.358e+09,1.9938e+10,2.98e+08,2.0236e+10,6.6702e+10,1.93e+09,6.11e+08,-5.12e+08,1.317e+09,3.346e+09,-6.84e+08,1.8e+07,-7.02e+08,-1e+07,-5e+06,-6.99e+08,-7.67e+08,-1e+07,-8.74e+08,2.36e+08,-1.11e+09,2.5e+07,-1.626e+09,1.021e+09,1.021e+09,2.7e+07,1.048e+09,3.411e+09,2.4201e+10,4.773e+09,0.54828,0.18048,0.12389,0.09498,0.02881,2.48335,1.0458,2.2962,0.36282,1.20957,1.19083,9.76337,23.09314,3.00378,0.48269,12.5061558455028,0.04859,0.08625,0.39906,5.39197,6.56857
"4","2011_Q1",46.2264516129032,"Down",1.8155e+10,-8.359e+09,9.796e+09,-7.565e+09,-7.526e+09,2.231e+09,-3.59e+08,-3.66e+08,1.872e+09,1.872e+09,-5.11e+08,1.361e+09,1.361e+09,4e+06,1.365e+09,1.365e+09,6.369e+09,5.943e+09,4.26e+08,6.323e+09,3.372e+09,1.505e+09,1.505e+09,1.7569e+10,1.9058e+10,3.1526e+10,1.3808e+10,1.4661e+10,1.368e+09,1.689e+09,5.0584e+10,6.8153e+10,1.0994e+10,1.0923e+10,4.898e+09,1.5892e+10,1.9999e+10,1.0786e+10,4.057e+09,6.729e+09,3.0785e+10,4.6677e+10,4.558e+09,3.1e+07,4.527e+09,3.709e+10,-3.63e+09,2.1164e+10,3.12e+08,2.1476e+10,6.8153e+10,1.361e+09,7.47e+08,-67999999.9999998,6.2e+08,2.66e+09,-1.557e+09,2.6e+07,-1.583e+09,-4.9e+08,-1.77e+08,-2.224e+09,-7.6e+08,8.53e+08,-2.22e+08,3.38e+08,-5.6e+08,2.5e+07,-1.04e+08,3.32e+08,3.32e+08,3.4e+07,3.66e+08,2.978e+09,2.4897e+10,2.552e+09,0.53958,0.12289,0.07519,0.06356,0.02003,1.8696,1.10552,2.17345,0.36531,0.86338,0.85206,11.48324,13.45541,1.61417,0.48071,4,0.03718,0.04465,0.55678,6.22163,8.3048
"5","2011_Q2",49.6604761904762,"Up",1.1937e+10,-5.447e+09,6.49e+09,-4.764e+09,-4.739e+09,1.726e+09,-1.63e+08,-1.63e+08,1.563e+09,1.563e+09,-4.19e+08,1.144e+09,1.144e+09,-1e+06,1.143e+09,1.143e+09,4.029e+09,3.662e+09,3.67e+08,6.937e+09,3.831e+09,1.715e+09,1.715e+09,1.6512e+10,2.0329e+10,3.6244e+10,1.7895e+10,1.5824e+10,1.408e+09,1.117e+09,5.6573e+10,7.3085e+10,1.0584e+10,1.0243e+10,6.256e+09,1.684e+10,2.0942e+10,1.1629e+10,4.972e+09,6.657e+09,3.2571e+10,4.9411e+10,4.438e+09,3.1e+07,4.407e+09,3.7466e+10,-3.035e+09,2.1985e+10,1.689e+09,2.3674e+10,7.3085e+10,1.144e+09,5.23e+08,-1.08e+08,-1.179e+09,3.8e+08,-4.21e+08,1.2e+07,-4.33e+08,-2.62e+09,6.2e+07,-2.979e+09,-7.69e+08,1.116e+09,-1.43e+08,2.18e+08,-3.61e+08,2.2e+07,2.26e+08,-2.373e+09,-2.373e+09,9.2e+07,-2.281e+09,2.249e+09,2.7198e+10,1.068e+09,0.54369,0.14459,0.09575,0.04828,0.01564,0.93438,0.98052,2.08714,0.37214,0.72205,0.71215,7.54075,13.95831,0.67467,0.48579,1.14692207724862,0.03059,0.01709,0.67279,10.30191,13.42352
"6","2011_Q3",46.61125,"Down",1.6827e+10,-7.963e+09,8.864e+09,-6.11e+09,-6.07e+09,2.754e+09,-1.79e+08,-1.79e+08,2.575e+09,2.575e+09,-6.7e+08,1.905e+09,1.905e+09,-2e+07,1.885e+09,1.885e+09,3.344e+09,2.913e+09,4.31e+08,8.283e+09,4.539e+09,1.751e+09,1.751e+09,1.7917e+10,2.0854e+10,3.6909e+10,1.8028e+10,1.6299e+10,1.449e+09,1.133e+09,5.7763e+10,7.568e+10,1.2342e+10,1.1433e+10,5.715e+09,1.8057e+10,2.1607e+10,1.1646e+10,4.977e+09,6.669e+09,3.3253e+10,5.131e+10,4.389e+09,3.1e+07,4.358e+09,3.8527e+10,-2.254e+09,2.3952e+10,4.18e+08,2.437e+10,7.568e+10,1.905e+09,6.64e+08,-1.4e+07,-5.82e+08,1.973e+09,-7.76e+08,2.2e+07,-7.98e+08,-33000000.0000005,-6.4e+07,-8.73e+08,-7.61e+08,9.1e+07,49000000.0000001,4.34e+08,-3.85e+08,-1.304e+09,-1.925e+09,-8.25e+08,-8.25e+08,7.6e+07,-7.49e+08,3.418e+09,2.7322e+10,2.73e+09,0.52677,0.16367,0.11202,0.07735,0.02491,1.44828,0.99225,2.10546,0.36102,1.19078,1.17445,10.62982,25.68667,1.72457,0.48073,1.84692207724862,0.04178,0.0431,0.40371,7.01521,8.70661
"7","2011_Q4",46.445873015873,"Down",1.7582e+10,-8.452e+09,9.13e+09,-6.224e+09,-6.186e+09,2.906e+09,-2.09e+08,-2.09e+08,2.697e+09,2.697e+09,-6.86e+08,2.011e+09,2.011e+09,-1.1e+07,2e+09,2e+09,3.535e+09,3.083e+09,4.52e+08,8.33e+09,4.205e+09,1.764e+09,1.764e+09,1.7834e+10,2.0737e+10,3.6807e+10,1.7859e+10,1.6272e+10,1.5e+09,1.176e+09,5.7544e+10,7.5378e+10,1.2495e+10,1.1524e+10,5.07e+09,1.7565e+10,2.1781e+10,1.2029e+10,5.17e+09,6.859e+09,3.381e+10,5.1375e+10,4.437e+09,3.1e+07,4.406e+09,3.9714e+10,-2.8e+09,2.3577e+10,4.26e+08,2.4003e+10,7.5378e+10,2.011e+09,6.9e+08,3.3e+08,4.5e+08,3.481e+09,-7.19e+08,1.2e+07,-7.31e+08,-8.9e+07,-3.5e+07,-8.43e+08,-8.19e+08,-5.18e+08,-1.111e+09,7.2e+07,-1.183e+09,4e+06,-2.444e+09,1.94e+08,1.94e+08,-2.4e+07,1.7e+08,3.596e+09,2.6851e+10,4.013e+09,0.51928,0.16528,0.11375,0.08332,0.02653,2.0065,1.01531,2.14036,0.35622,1.26823,1.25078,11.14902,26.22131,2.54471,0.51934,4,0.04483,0.06382,0.4095,6.48387,8.0234
"8","2012_Q1",47.8624193548387,"Up",2.0158e+10,-9.731e+09,1.0427e+10,-8.18e+09,-8.15e+09,2.247e+09,-2.48e+08,-2.48e+08,1.999e+09,1.999e+09,-5.97e+08,1.402e+09,1.402e+09,1.3e+07,1.415e+09,1.415e+09,4.425e+09,4.067e+09,3.58e+08,6.912e+09,3.827e+09,2.277e+09,2.277e+09,1.7441e+10,1.9698e+10,3.5743e+10,1.6445e+10,1.68e+10,1.477e+09,1.021e+09,5.5441e+10,7.2882e+10,1.1949e+10,1.1757e+10,6.205e+09,1.8154e+10,2.0568e+10,1.3261e+10,4.995e+09,8.266e+09,3.3829e+10,5.1983e+10,4.487e+09,2.6e+07,4.461e+09,4.0316e+10,-6.229e+09,2.0588e+10,3.11e+08,2.0899e+10,7.2882e+10,1.402e+09,8.6e+08,7.4e+08,1.08e+08,3.11e+09,-1.339e+09,3.8e+07,-1.377e+09,3.29e+08,8.7e+07,-9.23e+08,-8.08e+08,2.47e+08,-3.39e+08,2.21e+08,-5.6e+08,-92000000.0000001,-9.92e+08,1.195e+09,1.195e+09,-2.11e+08,9.84e+08,3.107e+09,2.6773e+10,2.473e+09,0.51726,0.11147,0.0702,0.06771,0.01941,1.7477,0.96072,2.48734,0.36735,0.90647,0.89614,12.91352,13.26329,1.58424,0.51762,5,0.03648,0.04059,0.57102,7.19279,9.94571
"9","2012_Q2",50.2384126984127,"Up",1.2428e+10,-5.889e+09,6.539e+09,-4.817e+09,-4.792e+09,1.722e+09,-1.75e+08,-1.75e+08,1.547e+09,1.547e+09,-4.14e+08,1.133e+09,1.133e+09,-6e+06,1.127e+09,1.127e+09,3.813e+09,3.485e+09,3.28e+08,7.158e+09,4.214e+09,2.393e+09,2.393e+09,1.7578e+10,2.0005e+10,3.6808e+10,1.7053e+10,1.7208e+10,1.515e+09,1.032e+09,5.6813e+10,7.4391e+10,1.1329e+10,1.118e+10,5.656e+09,1.6985e+10,2.2054e+10,1.2398e+10,5.075e+09,7.323e+09,3.4452e+10,5.1437e+10,4.282e+09,3.1e+07,4.251e+09,4.0631e+10,-4.464e+09,2.2641e+10,3.13e+08,2.2954e+10,7.4391e+10,1.133e+09,5.55e+08,-8.61e+08,-1.517e+09,-6.9e+08,-2.99e+08,1.7e+07,-3.16e+08,-2.3e+07,6.5e+07,-2.57e+08,-8.16e+08,9.34e+08,1.32e+08,2.74e+08,-1.42e+08,3.3e+07,2.83e+08,-6.64e+08,-6.64e+08,8.2e+07,-5.82e+08,2.277e+09,2.771e+10,8.75e+08,0.52615,0.13856,0.09068,0.0491,0.01515,0.7764,1.03491,2.24087,0.37249,0.71875,0.71149,7.92602,25.79656,0.55804,0.52041,3,0.03081,0.01388,0.72405,10.49495,13.87747
"10","2012_Q3",53.6057142857143,"Up",1.6458e+10,-7.915e+09,8.543e+09,-6.166e+09,-6.136e+09,2.377e+09,-2.08e+08,-2.08e+08,2.169e+09,2.169e+09,-6.68e+08,1.501e+09,1.501e+09,-1.3e+07,1.488e+09,1.488e+09,4.193e+09,3.863e+09,3.3e+08,7.721e+09,4.274e+09,1.845e+09,1.845e+09,1.8033e+10,1.8514e+10,3.5843e+10,1.6208e+10,1.6456e+10,1.562e+09,1.617e+09,5.4357e+10,7.239e+10,1.1231e+10,1.1153e+10,7.038e+09,1.8269e+10,2.1294e+10,1.2232e+10,4.867e+09,7.365e+09,3.3526e+10,5.1795e+10,4.254e+09,3.1e+07,4.223e+09,4.1274e+10,-6.636e+09,2.0457e+10,1.38e+08,2.0595e+10,7.239e+10,1.501e+09,6.46e+08,1.18e+08,-3.28e+08,1.937e+09,-5.6e+08,2.5e+07,-5.85e+08,-3.1e+08,-1.1e+07,-8.81e+08,-8.1e+08,1.091e+09,-8.42e+08,2.22e+08,-1.064e+09,-1.4e+07,-5.75e+08,4.81e+08,4.81e+08,-1.03e+08,3.78e+08,3.023e+09,2.8332e+10,2.803e+09,0.51908,0.14443,0.09041,0.07225,0.02056,1.88374,0.98708,2.51493,0.39138,0.95262,0.94058,10.53649,24.89885,1.79449,0.51857,4,0.03757,0.04583,0.54435,7.98511,10.15524
"11","2012_Q4",52.6653225806452,"Down",1.6652e+10,-7.833e+09,8.819e+09,-6.019e+09,-5.992e+09,2.8e+09,-1.81e+08,-1.81e+08,2.619e+09,2.619e+09,-7.06e+08,1.913e+09,1.913e+09,-1.1e+07,1.902e+09,1.902e+09,5.711e+09,5.309e+09,4.02e+08,7.998e+09,3.905e+09,1.656e+09,1.656e+09,1.927e+10,1.853e+10,3.6217e+10,1.631e+10,1.6701e+10,1.585e+09,1.621e+09,5.4747e+10,7.4017e+10,1.2009e+10,1.1722e+10,4.211e+09,1.622e+10,2.3732e+10,1.2481e+10,4.93e+09,7.551e+09,3.6213e+10,5.2433e+10,4.21e+09,3.1e+07,4.179e+09,4.2332e+10,-6.086e+09,2.1439e+10,1.45e+08,2.1584e+10,7.4017e+10,1.913e+09,6.36e+08,2.49e+08,1.073e+09,3.871e+09,-4.92e+08,1.6e+07,-5.08e+08,-3.4e+07,-6.4e+07,-5.9e+08,-8.44e+08,-3.69e+08,-6.91e+08,4.31e+08,-1.122e+09,3.2e+07,-1.872e+09,1.409e+09,1.409e+09,3.7e+07,1.446e+09,3.436e+09,2.7943e+10,4.723e+09,0.52961,0.16815,0.11422,0.08812,0.0257,2.48318,1.18804,2.42925,0.37752,1.22237,1.20839,10.7018,13.85604,3.03535,0.54242,6,0.04428,0.07617,0.44374,6.47031,7.94
